ࡑ	MANDAIC LETTER ASZ (U+0851)	e0a191
ࡒ	MANDAIC LETTER AQ (U+0852)	e0a192
ࡓ	MANDAIC LETTER AR (U+0853)	e0a193
ࡔ	MANDAIC LETTER ASH (U+0854)	e0a194
ࡕ	MANDAIC LETTER AT (U+0855)	e0a195
ࡖ	MANDAIC LETTER DUSHENNA (U+0856)	e0a196
ࡗ	MANDAIC LETTER KAD (U+0857)	e0a197
ࡘ	MANDAIC LETTER AIN (U+0858)	e0a198
࡙	MANDAIC AFFRICATION MARK (U+0859)	e0a199
࡚	MANDAIC VOCALIZATION MARK (U+085A)	e0a19a
࡛	MANDAIC GEMINATION MARK (U+085B)	e0a19b
࡞	MANDAIC PUNCTUATION (U+085E)	e0a19e
ऀ	DEVANAGARI SIGN INVERTED CANDRABINDU (U+0900)	e0a480
ँ	DEVANAGARI SIGN CANDRABINDU (U+0901)	e0a481
ं	DEVANAGARI SIGN ANUSVARA (U+0902)	e0a482
ः	DEVANAGARI SIGN VISARGA (U+0903)	e0a483
ऄ	DEVANAGARI LETTER SHORT A (U+0904)	e0a484
अ	DEVANAGARI LETTER A (U+0905)	e0a485
आ	DEVANAGARI LETTER AA (U+0906)	e0a486
इ	DEVANAGARI LETTER I (U+0907)	e0a487
ई	DEVANAGARI LETTER II (U+0908)	e0a488
उ	DEVANAGARI LETTER U (U+0909)	e0a489
ऊ	DEVANAGARI LETTER UU (U+090A)	e0a48a
ऋ	DEVANAGARI LETTER VOCALIC R (U+090B)	e0a48b
ऌ	DEVANAGARI LETTER VOCALIC L (U+090C)	e0a48c
ऍ	DEVANAGARI LETTER CANDRA E (U+090D)	e0a48d
ऎ	DEVANAGARI LETTER SHORT E (U+090E)	e0a48e
ए	DEVANAGARI LETTER E (U+090F)	e0a48f
ऐ	DEVANAGARI LETTER AI (U+0910)	e0a490
ऑ	DEVANAGARI LETTER CANDRA O (U+0911)	e0a491
ऒ	DEVANAGARI LETTER SHORT O (U+0912)	e0a492
ओ	DEVANAGARI LETTER O (U+0913)	e0a493
औ	DEVANAGARI LETTER AU (U+0914)	e0a494
क	DEVANAGARI LETTER KA (U+0915)	e0a495
ख	DEVANAGARI LETTER KHA (U+0916)	e0a496
ग	DEVANAGARI LETTER GA (U+0917)	e0a497
घ	DEVANAGARI LETTER GHA (U+0918)	e0a498
ङ	DEVANAGARI LETTER NGA (U+0919)	e0a499
च	DEVANAGARI LETTER CA (U+091A)	e0a49a
छ	DEVANAGARI LETTER CHA (U+091B)	e0a49b
ज	DEVANAGARI LETTER JA (U+091C)	e0a49c
झ	DEVANAGARI LETTER JHA (U+091D)	e0a49d
ञ	DEVANAGARI LETTER NYA (U+091E)	e0a49e
ट	DEVANAGARI LETTER TTA (U+091F)	e0a49f
ठ	DEVANAGARI LETTER TTHA (U+0920)	e0a4a0
ड	DEVANAGARI LETTER DDA (U+0921)	e0a4a1
ढ	DEVANAGARI LETTER DDHA (U+0922)	e0a4a2
ण	DEVANAGARI LETTER NNA (U+0923)	e0a4a3
त	DEVANAGARI LETTER TA (U+0924)	e0a4a4
थ	DEVANAGARI LETTER THA (U+0925)	e0a4a5
द	DEVANAGARI LETTER DA (U+0926)	e0a4a6
ध	DEVANAGARI LETTER DHA (U+0927)	e0a4a7
न	DEVANAGARI LETTER NA (U+0928)	e0a4a8
ऩ	DEVANAGARI LETTER NNNA (U+0929)	e0a4a9
प	DEVANAGARI LETTER PA (U+092A)	e0a4aa
फ	DEVANAGARI LETTER PHA (U+092B)	e0a4ab
ब	DEVANAGARI LETTER BA (U+092C)	e0a4ac
भ	DEVANAGARI LETTER BHA (U+092D)	e0a4ad
म	DEVANAGARI LETTER MA (U+092E)	e0a4ae
य	DEVANAGARI LETTER YA (U+092F)	e0a4af
र	DEVANAGARI LETTER RA (U+0930)	e0a4b0
ऱ	DEVANAGARI LETTER RRA (U+0931)	e0a4b1
ल	DEVANAGARI LETTER LA (U+0932)	e0a4b2
ळ	DEVANAGARI LETTER LLA (U+0933)	e0a4b3
ऴ	DEVANAGARI LETTER LLLA (U+0934)	e0a4b4
व	DEVANAGARI LETTER VA (U+0935)	e0a4b5
श	DEVANAGARI LETTER SHA (U+0936)	e0a4b6
ष	DEVANAGARI LETTER SSA (U+0937)	e0a4b7
स	DEVANAGARI LETTER SA (U+0938)	e0a4b8
ह	DEVANAGARI LETTER HA (U+0939)	e0a4b9
ऺ	DEVANAGARI VOWEL SIGN OE (U+093A)	e0a4ba
ऻ	DEVANAGARI VOWEL SIGN OOE (U+093B)	e0a4bb
़	DEVANAGARI SIGN NUKTA (U+093C)	e0a4bc
ऽ	DEVANAGARI SIGN AVAGRAHA (U+093D)	e0a4bd
ा	DEVANAGARI VOWEL SIGN AA (U+093E)	e0a4be
ि	DEVANAGARI VOWEL SIGN I (U+093F)	e0a4bf
ी	DEVANAGARI VOWEL SIGN II (U+0940)	e0a580
ु	DEVANAGARI VOWEL SIGN U (U+0941)	e0a581
ू	DEVANAGARI VOWEL SIGN UU (U+0942)	e0a582
ृ	DEVANAGARI VOWEL SIGN VOCALIC R (U+0943)	e0a583
ॄ	DEVANAGARI VOWEL SIGN VOCALIC RR (U+0944)	e0a584
ॅ	DEVANAGARI VOWEL SIGN CANDRA E (U+0945)	e0a585
ॆ	DEVANAGARI VOWEL SIGN SHORT E (U+0946)	e0a586
े	DEVANAGARI VOWEL SIGN E (U+0947)	e0a587
ै	DEVANAGARI VOWEL SIGN AI (U+0948)	e0a588
ॉ	DEVANAGARI VOWEL SIGN CANDRA O (U+0949)	e0a589
ॊ	DEVANAGARI VOWEL SIGN SHORT O (U+094A)	e0a58a
ो	DEVANAGARI VOWEL SIGN O (U+094B)	e0a58b
ौ	DEVANAGARI VOWEL SIGN AU (U+094C)	e0a58c
्	DEVANAGARI SIGN VIRAMA (U+094D)	e0a58d
ॎ	DEVANAGARI VOWEL SIGN PRISHTHAMATRA E (U+094E)	e0a58e
ॏ	DEVANAGARI VOWEL SIGN AW (U+094F)	e0a58f
ॐ	DEVANAGARI OM (U+0950)	e0a590
॑	DEVANAGARI STRESS SIGN UDATTA (U+0951)	e0a591
॒	DEVANAGARI STRESS SIGN ANUDATTA (U+0952)	e0a592
॓	DEVANAGARI GRAVE ACCENT (U+0953)	e0a593
॔	DEVANAGARI ACUTE ACCENT (U+0954)	e0a594
ॕ	DEVANAGARI VOWEL SIGN CANDRA LONG E (U+0955)	e0a595
ॖ	DEVANAGARI VOWEL SIGN UE (U+0956)	e0a596
ॗ	DEVANAGARI VOWEL SIGN UUE (U+0957)	e0a597
क़	DEVANAGARI LETTER QA (U+0958)	e0a598
ख़	DEVANAGARI LETTER KHHA (U+0959)	e0a599
ग़	DEVANAGARI LETTER GHHA (U+095A)	e0a59a
