ອ	LAO LETTER O (U+0EAD)	e0baad
ຮ	LAO LETTER HO TAM (U+0EAE)	e0baae
ຯ	LAO ELLIPSIS (U+0EAF)	e0baaf
ະ	LAO VOWEL SIGN A (U+0EB0)	e0bab0
ັ	LAO VOWEL SIGN MAI KAN (U+0EB1)	e0bab1
າ	LAO VOWEL SIGN AA (U+0EB2)	e0bab2
ຳ	LAO VOWEL SIGN AM (U+0EB3)	e0bab3
ິ	LAO VOWEL SIGN I (U+0EB4)	e0bab4
ີ	LAO VOWEL SIGN II (U+0EB5)	e0bab5
ຶ	LAO VOWEL SIGN Y (U+0EB6)	e0bab6
ື	LAO VOWEL SIGN YY (U+0EB7)	e0bab7
ຸ	LAO VOWEL SIGN U (U+0EB8)	e0bab8
ູ	LAO VOWEL SIGN UU (U+0EB9)	e0bab9
ົ	LAO VOWEL SIGN MAI KON (U+0EBB)	e0babb
ຼ	LAO SEMIVOWEL SIGN LO (U+0EBC)	e0babc
ຽ	LAO SEMIVOWEL SIGN NYO (U+0EBD)	e0babd
ເ	LAO VOWEL SIGN E (U+0EC0)	e0bb80
ແ	LAO VOWEL SIGN EI (U+0EC1)	e0bb81
ໂ	LAO VOWEL SIGN O (U+0EC2)	e0bb82
ໃ	LAO VOWEL SIGN AY (U+0EC3)	e0bb83
ໄ	LAO VOWEL SIGN AI (U+0EC4)	e0bb84
ໆ	LAO KO LA (U+0EC6)	e0bb86
່	LAO TONE MAI EK (U+0EC8)	e0bb88
້	LAO TONE MAI THO (U+0EC9)	e0bb89
໊	LAO TONE MAI TI (U+0ECA)	e0bb8a
໋	LAO TONE MAI CATAWA (U+0ECB)	e0bb8b
໌	LAO CANCELLATION MARK (U+0ECC)	e0bb8c
ໍ	LAO NIGGAHITA (U+0ECD)	e0bb8d
໐	LAO DIGIT ZERO (U+0ED0)	e0bb90
໑	LAO DIGIT ONE (U+0ED1)	e0bb91
໒	LAO DIGIT TWO (U+0ED2)	e0bb92
໓	LAO DIGIT THREE (U+0ED3)	e0bb93
໔	LAO DIGIT FOUR (U+0ED4)	e0bb94
໕	LAO DIGIT FIVE (U+0ED5)	e0bb95
໖	LAO DIGIT SIX (U+0ED6)	e0bb96
໗	LAO DIGIT SEVEN (U+0ED7)	e0bb97
໘	LAO DIGIT EIGHT (U+0ED8)	e0bb98
໙	LAO DIGIT NINE (U+0ED9)	e0bb99
ໜ	LAO HO NO (U+0EDC)	e0bb9c
ໝ	LAO HO MO (U+0EDD)	e0bb9d
ༀ	TIBETAN SYLLABLE OM (U+0F00)	e0bc80
༁	TIBETAN MARK GTER YIG MGO TRUNCATED A (U+0F01)	e0bc81
༂	TIBETAN MARK GTER YIG MGO -UM RNAM BCAD MA (U+0F02)	e0bc82
༃	TIBETAN MARK GTER YIG MGO -UM GTER TSHEG MA (U+0F03)	e0bc83
༄	TIBETAN MARK INITIAL YIG MGO MDUN MA (U+0F04)	e0bc84
༅	TIBETAN MARK CLOSING YIG MGO SGAB MA (U+0F05)	e0bc85
༆	TIBETAN MARK CARET YIG MGO PHUR SHAD MA (U+0F06)	e0bc86
༇	TIBETAN MARK YIG MGO TSHEG SHAD MA (U+0F07)	e0bc87
༈	TIBETAN MARK SBRUL SHAD (U+0F08)	e0bc88
༉	TIBETAN MARK BSKUR YIG MGO (U+0F09)	e0bc89
༊	TIBETAN MARK BKA- SHOG YIG MGO (U+0F0A)	e0bc8a
་	TIBETAN MARK INTERSYLLABIC TSHEG (U+0F0B)	e0bc8b
༌	TIBETAN MARK DELIMITER TSHEG BSTAR (U+0F0C)	e0bc8c
།	TIBETAN MARK SHAD (U+0F0D)	e0bc8d
༎	TIBETAN MARK NYIS SHAD (U+0F0E)	e0bc8e
༏	TIBETAN MARK TSHEG SHAD (U+0F0F)	e0bc8f
༐	TIBETAN MARK NYIS TSHEG SHAD (U+0F10)	e0bc90
༑	TIBETAN MARK RIN CHEN SPUNGS SHAD (U+0F11)	e0bc91
༒	TIBETAN MARK RGYA GRAM SHAD (U+0F12)	e0bc92
༓	TIBETAN MARK CARET -DZUD RTAGS ME LONG CAN (U+0F13)	e0bc93
༔	TIBETAN MARK GTER TSHEG (U+0F14)	e0bc94
༕	TIBETAN LOGOTYPE SIGN CHAD RTAGS (U+0F15)	e0bc95
༖	TIBETAN LOGOTYPE SIGN LHAG RTAGS (U+0F16)	e0bc96
༗	TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS (U+0F17)	e0bc97
༘	TIBETAN ASTROLOGICAL SIGN -KHYUD PA (U+0F18)	e0bc98
༙	TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS (U+0F19)	e0bc99
༚	TIBETAN SIGN RDEL DKAR GCIG (U+0F1A)	e0bc9a
༛	TIBETAN SIGN RDEL DKAR GNYIS (U+0F1B)	e0bc9b
༜	TIBETAN SIGN RDEL DKAR GSUM (U+0F1C)	e0bc9c
༝	TIBETAN SIGN RDEL NAG GCIG (U+0F1D)	e0bc9d
༞	TIBETAN SIGN RDEL NAG GNYIS (U+0F1E)	e0bc9e
༟	TIBETAN SIGN RDEL DKAR RDEL NAG (U+0F1F)	e0bc9f
༠	TIBETAN DIGIT ZERO (U+0F20)	e0bca0
༡	TIBETAN DIGIT ONE (U+0F21)	e0bca1
༢	TIBETAN DIGIT TWO (U+0F22)	e0bca2
༣	TIBETAN DIGIT THREE (U+0F23)	e0bca3
༤	TIBETAN DIGIT FOUR (U+0F24)	e0bca4
༥	TIBETAN DIGIT FIVE (U+0F25)	e0bca5
༦	TIBETAN DIGIT SIX (U+0F26)	e0bca6
༧	TIBETAN DIGIT SEVEN (U+0F27)	e0bca7
༨	TIBETAN DIGIT EIGHT (U+0F28)	e0bca8
༩	TIBETAN DIGIT NINE (U+0F29)	e0bca9
༪	TIBETAN DIGIT HALF ONE (U+0F2A)	e0bcaa
༫	TIBETAN DIGIT HALF TWO (U+0F2B)	e0bcab
༬	TIBETAN DIGIT HALF THREE (U+0F2C)	e0bcac
༭	TIBETAN DIGIT HALF FOUR (U+0F2D)	e0bcad
༮	TIBETAN DIGIT HALF FIVE (U+0F2E)	e0bcae
༯	TIBETAN DIGIT HALF SIX (U+0F2F)	e0bcaf
༰	TIBETAN DIGIT HALF SEVEN (U+0F30)	e0bcb0
༱	TIBETAN DIGIT HALF EIGHT (U+0F31)	e0bcb1
༲	TIBETAN DIGIT HALF NINE (U+0F32)	e0bcb2
༳	TIBETAN DIGIT HALF ZERO (U+0F33)	e0bcb3
༴	TIBETAN MARK BSDUS RTAGS (U+0F34)	e0bcb4
༵	TIBETAN MARK NGAS BZUNG NYI ZLA (U+0F35)	e0bcb5
༶	TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN (U+0F36)	e0bcb6
༷	TIBETAN MARK NGAS BZUNG SGOR RTAGS (U+0F37)	e0bcb7
༸	TIBETAN MARK CHE MGO (U+0F38)	e0bcb8
༹	TIBETAN MARK TSA -PHRU (U+0F39)	e0bcb9
༺	TIBETAN MARK GUG RTAGS GYON (U+0F3A)	e0bcba
༻	TIBETAN MARK GUG RTAGS GYAS (U+0F3B)	e0bcbb
༼	TIBETAN MARK ANG KHANG GYON (U+0F3C)	e0bcbc
༽	TIBETAN MARK ANG KHANG GYAS (U+0F3D)	e0bcbd
༾	TIBETAN SIGN YAR TSHES (U+0F3E)	e0bcbe
༿	TIBETAN SIGN MAR TSHES (U+0F3F)	e0bcbf
ཀ	TIBETAN LETTER KA (U+0F40)	e0bd80
ཁ	TIBETAN LETTER KHA (U+0F41)	e0bd81
ག	TIBETAN LETTER GA (U+0F42)	e0bd82
གྷ	TIBETAN LETTER GHA (U+0F43)	e0bd83
ང	TIBETAN LETTER NGA (U+0F44)	e0bd84
ཅ	TIBETAN LETTER CA (U+0F45)	e0bd85
ཆ	TIBETAN LETTER CHA (U+0F46)	e0bd86
ཇ	TIBETAN LETTER JA (U+0F47)	e0bd87
ཉ	TIBETAN LETTER NYA (U+0F49)	e0bd89
ཊ	TIBETAN LETTER TTA (U+0F4A)	e0bd8a
ཋ	TIBETAN LETTER TTHA (U+0F4B)	e0bd8b
ཌ	TIBETAN LETTER DDA (U+0F4C)	e0bd8c
ཌྷ	TIBETAN LETTER DDHA (U+0F4D)	e0bd8d
ཎ	TIBETAN LETTER NNA (U+0F4E)	e0bd8e
ཏ	TIBETAN LETTER TA (U+0F4F)	e0bd8f
ཐ	TIBETAN LETTER THA (U+0F50)	e0bd90
ད	TIBETAN LETTER DA (U+0F51)	e0bd91
དྷ	TIBETAN LETTER DHA (U+0F52)	e0bd92
ན	TIBETAN LETTER NA (U+0F53)	e0bd93
པ	TIBETAN LETTER PA (U+0F54)	e0bd94
ཕ	TIBETAN LETTER PHA (U+0F55)	e0bd95
བ	TIBETAN LETTER BA (U+0F56)	e0bd96
བྷ	TIBETAN LETTER BHA (U+0F57)	e0bd97
མ	TIBETAN LETTER MA (U+0F58)	e0bd98
ཙ	TIBETAN LETTER TSA (U+0F59)	e0bd99
ཚ	TIBETAN LETTER TSHA (U+0F5A)	e0bd9a
ཛ	TIBETAN LETTER DZA (U+0F5B)	e0bd9b
ཛྷ	TIBETAN LETTER DZHA (U+0F5C)	e0bd9c
ཝ	TIBETAN LETTER WA (U+0F5D)	e0bd9d
ཞ	TIBETAN LETTER ZHA (U+0F5E)	e0bd9e
ཟ	TIBETAN LETTER ZA (U+0F5F)	e0bd9f
འ	TIBETAN LETTER -A (U+0F60)	e0bda0
ཡ	TIBETAN LETTER YA (U+0F61)	e0bda1
ར	TIBETAN LETTER RA (U+0F62)	e0bda2
ལ	TIBETAN LETTER LA (U+0F63)	e0bda3
ཤ	TIBETAN LETTER SHA (U+0F64)	e0bda4
ཥ	TIBETAN LETTER SSA (U+0F65)	e0bda5
ས	TIBETAN LETTER SA (U+0F66)	e0bda6
ཧ	TIBETAN LETTER HA (U+0F67)	e0bda7
ཨ	TIBETAN LETTER A (U+0F68)	e0bda8
ཀྵ	TIBETAN LETTER KSSA (U+0F69)	e0bda9
ཪ	TIBETAN LETTER FIXED-FORM RA (U+0F6A)	e0bdaa
ཫ	TIBETAN LETTER KKA (U+0F6B)	e0bdab
ཬ	TIBETAN LETTER RRA (U+0F6C)	e0bdac
ཱ	TIBETAN VOWEL SIGN AA (U+0F71)	e0bdb1
ི	TIBETAN VOWEL SIGN I (U+0F72)	e0bdb2
ཱི	TIBETAN VOWEL SIGN II (U+0F73)	e0bdb3
ུ	TIBETAN VOWEL SIGN U (U+0F74)	e0bdb4
ཱུ	TIBETAN VOWEL SIGN UU (U+0F75)	e0bdb5
ྲྀ	TIBETAN VOWEL SIGN VOCALIC R (U+0F76)	e0bdb6
ཷ	TIBETAN VOWEL SIGN VOCALIC RR (U+0F77)	e0bdb7
ླྀ	TIBETAN VOWEL SIGN VOCALIC L (U+0F78)	e0bdb8
ཹ	TIBETAN VOWEL SIGN VOCALIC LL (U+0F79)	e0bdb9
ེ	TIBETAN VOWEL SIGN E (U+0F7A)	e0bdba
ཻ	TIBETAN VOWEL SIGN EE (U+0F7B)	e0bdbb
ོ	TIBETAN VOWEL SIGN O (U+0F7C)	e0bdbc
ཽ	TIBETAN VOWEL SIGN OO (U+0F7D)	e0bdbd
ཾ	TIBETAN SIGN RJES SU NGA RO (U+0F7E)	e0bdbe
ཿ	TIBETAN SIGN RNAM BCAD (U+0F7F)	e0bdbf
ྀ	TIBETAN VOWEL SIGN REVERSED I (U+0F80)	e0be80
ཱྀ	TIBETAN VOWEL SIGN REVERSED II (U+0F81)	e0be81
ྂ	TIBETAN SIGN NYI ZLA NAA DA (U+0F82)	e0be82
ྃ	TIBETAN SIGN SNA LDAN (U+0F83)	e0be83
྄	TIBETAN MARK HALANTA (U+0F84)	e0be84
྅	TIBETAN MARK PALUTA (U+0F85)	e0be85
྆	TIBETAN SIGN LCI RTAGS (U+0F86)	e0be86
྇	TIBETAN SIGN YANG RTAGS (U+0F87)	e0be87
ྈ	TIBETAN SIGN LCE TSA CAN (U+0F88)	e0be88
ྉ	TIBETAN SIGN MCHU CAN (U+0F89)	e0be89
ྊ	TIBETAN SIGN GRU CAN RGYINGS (U+0F8A)	e0be8a
ྋ	TIBETAN SIGN GRU MED RGYINGS (U+0F8B)	e0be8b
ྌ	TIBETAN SIGN INVERTED MCHU CAN (U+0F8C)	e0be8c
ྍ	TIBETAN SUBJOINED SIGN LCE TSA CAN (U+0F8D)	e0be8d
ྎ	TIBETAN SUBJOINED SIGN MCHU CAN (U+0F8E)	e0be8e
ྏ	TIBETAN SUBJOINED SIGN INVERTED MCHU CAN (U+0F8F)	e0be8f
ྐ	TIBETAN SUBJOINED LETTER KA (U+0F90)	e0be90
ྑ	TIBETAN SUBJOINED LETTER KHA (U+0F91)	e0be91
