ጧ	ETHIOPIC SYLLABLE THWA (U+1327)	e18ca7
ጨ	ETHIOPIC SYLLABLE CHA (U+1328)	e18ca8
ጩ	ETHIOPIC SYLLABLE CHU (U+1329)	e18ca9
ጪ	ETHIOPIC SYLLABLE CHI (U+132A)	e18caa
ጫ	ETHIOPIC SYLLABLE CHAA (U+132B)	e18cab
ጬ	ETHIOPIC SYLLABLE CHEE (U+132C)	e18cac
ጭ	ETHIOPIC SYLLABLE CHE (U+132D)	e18cad
ጮ	ETHIOPIC SYLLABLE CHO (U+132E)	e18cae
ጯ	ETHIOPIC SYLLABLE CHWA (U+132F)	e18caf
ጰ	ETHIOPIC SYLLABLE PHA (U+1330)	e18cb0
ጱ	ETHIOPIC SYLLABLE PHU (U+1331)	e18cb1
ጲ	ETHIOPIC SYLLABLE PHI (U+1332)	e18cb2
ጳ	ETHIOPIC SYLLABLE PHAA (U+1333)	e18cb3
ጴ	ETHIOPIC SYLLABLE PHEE (U+1334)	e18cb4
ጵ	ETHIOPIC SYLLABLE PHE (U+1335)	e18cb5
ጶ	ETHIOPIC SYLLABLE PHO (U+1336)	e18cb6
ጷ	ETHIOPIC SYLLABLE PHWA (U+1337)	e18cb7
ጸ	ETHIOPIC SYLLABLE TSA (U+1338)	e18cb8
ጹ	ETHIOPIC SYLLABLE TSU (U+1339)	e18cb9
ጺ	ETHIOPIC SYLLABLE TSI (U+133A)	e18cba
ጻ	ETHIOPIC SYLLABLE TSAA (U+133B)	e18cbb
ጼ	ETHIOPIC SYLLABLE TSEE (U+133C)	e18cbc
ጽ	ETHIOPIC SYLLABLE TSE (U+133D)	e18cbd
ጾ	ETHIOPIC SYLLABLE TSO (U+133E)	e18cbe
ጿ	ETHIOPIC SYLLABLE TSWA (U+133F)	e18cbf
ፀ	ETHIOPIC SYLLABLE TZA (U+1340)	e18d80
ፁ	ETHIOPIC SYLLABLE TZU (U+1341)	e18d81
ፂ	ETHIOPIC SYLLABLE TZI (U+1342)	e18d82
ፃ	ETHIOPIC SYLLABLE TZAA (U+1343)	e18d83
ፄ	ETHIOPIC SYLLABLE TZEE (U+1344)	e18d84
ፅ	ETHIOPIC SYLLABLE TZE (U+1345)	e18d85
ፆ	ETHIOPIC SYLLABLE TZO (U+1346)	e18d86
ፇ	ETHIOPIC SYLLABLE TZOA (U+1347)	e18d87
ፈ	ETHIOPIC SYLLABLE FA (U+1348)	e18d88
ፉ	ETHIOPIC SYLLABLE FU (U+1349)	e18d89
ፊ	ETHIOPIC SYLLABLE FI (U+134A)	e18d8a
ፋ	ETHIOPIC SYLLABLE FAA (U+134B)	e18d8b
