ℌ	BLACK-LETTER CAPITAL H (U+210C)	e2848c
ℍ	DOUBLE-STRUCK CAPITAL H (U+210D)	e2848d
ℎ	PLANCK CONSTANT (U+210E)	e2848e
ℏ	PLANCK CONSTANT OVER TWO PI (U+210F)	e2848f
ℐ	SCRIPT CAPITAL I (U+2110)	e28490
ℑ	BLACK-LETTER CAPITAL I (U+2111)	e28491
ℒ	SCRIPT CAPITAL L (U+2112)	e28492
ℓ	SCRIPT SMALL L (U+2113)	e28493
℔	L B BAR SYMBOL (U+2114)	e28494
ℕ	DOUBLE-STRUCK CAPITAL N (U+2115)	e28495
№	NUMERO SIGN (U+2116)	e28496
℗	SOUND RECORDING COPYRIGHT (U+2117)	e28497
℘	SCRIPT CAPITAL P (U+2118)	e28498
ℙ	DOUBLE-STRUCK CAPITAL P (U+2119)	e28499
ℚ	DOUBLE-STRUCK CAPITAL Q (U+211A)	e2849a
ℛ	SCRIPT CAPITAL R (U+211B)	e2849b
ℜ	BLACK-LETTER CAPITAL R (U+211C)	e2849c
ℝ	DOUBLE-STRUCK CAPITAL R (U+211D)	e2849d
℞	PRESCRIPTION TAKE (U+211E)	e2849e
℟	RESPONSE (U+211F)	e2849f
℠	SERVICE MARK (U+2120)	e284a0
℡	TELEPHONE SIGN (U+2121)	e284a1
™	TRADE MARK SIGN (U+2122)	e284a2
℣	VERSICLE (U+2123)	e284a3
ℤ	DOUBLE-STRUCK CAPITAL Z (U+2124)	e284a4
℥	OUNCE SIGN (U+2125)	e284a5
Ω	OHM SIGN (U+2126)	e284a6
℧	INVERTED OHM SIGN (U+2127)	e284a7
ℨ	BLACK-LETTER CAPITAL Z (U+2128)	e284a8
℩	TURNED GREEK SMALL LETTER IOTA (U+2129)	e284a9
K	KELVIN SIGN (U+212A)	e284aa
Å	ANGSTROM SIGN (U+212B)	e284ab
ℬ	SCRIPT CAPITAL B (U+212C)	e284ac
ℭ	BLACK-LETTER CAPITAL C (U+212D)	e284ad
℮	ESTIMATED SYMBOL (U+212E)	e284ae
ℯ	SCRIPT SMALL E (U+212F)	e284af
ℰ	SCRIPT CAPITAL E (U+2130)	e284b0
ℱ	SCRIPT CAPITAL F (U+2131)	e284b1
Ⅎ	TURNED CAPITAL F (U+2132)	e284b2
ℳ	SCRIPT CAPITAL M (U+2133)	e284b3
ℴ	SCRIPT SMALL O (U+2134)	e284b4
ℵ	ALEF SYMBOL (U+2135)	e284b5
ℶ	BET SYMBOL (U+2136)	e284b6
ℷ	GIMEL SYMBOL (U+2137)	e284b7
ℸ	DALET SYMBOL (U+2138)	e284b8
ℹ	INFORMATION SOURCE (U+2139)	e284b9
℺	ROTATED CAPITAL Q (U+213A)	e284ba
℻	FACSIMILE SIGN (U+213B)	e284bb
ℼ	DOUBLE-STRUCK SMALL PI (U+213C)	e284bc
ℽ	DOUBLE-STRUCK SMALL GAMMA (U+213D)	e284bd
ℾ	DOUBLE-STRUCK CAPITAL GAMMA (U+213E)	e284be
ℿ	DOUBLE-STRUCK CAPITAL PI (U+213F)	e284bf
⅀	DOUBLE-STRUCK N-ARY SUMMATION (U+2140)	e28580
⅁	TURNED SANS-SERIF CAPITAL G (U+2141)	e28581
⅂	TURNED SANS-SERIF CAPITAL L (U+2142)	e28582
⅃	REVERSED SANS-SERIF CAPITAL L (U+2143)	e28583
⅄	TURNED SANS-SERIF CAPITAL Y (U+2144)	e28584
ⅅ	DOUBLE-STRUCK ITALIC CAPITAL D (U+2145)	e28585
ⅆ	DOUBLE-STRUCK ITALIC SMALL D (U+2146)	e28586
ⅇ	DOUBLE-STRUCK ITALIC SMALL E (U+2147)	e28587
ⅈ	DOUBLE-STRUCK ITALIC SMALL I (U+2148)	e28588
ⅉ	DOUBLE-STRUCK ITALIC SMALL J (U+2149)	e28589
⅊	PROPERTY LINE (U+214A)	e2858a
⅋	TURNED AMPERSAND (U+214B)	e2858b
⅌	PER SIGN (U+214C)	e2858c
⅍	AKTIESELSKAB (U+214D)	e2858d
