⺁	CJK RADICAL CLIFF (U+2E81)	e2ba81
⺂	CJK RADICAL SECOND ONE (U+2E82)	e2ba82
⺃	CJK RADICAL SECOND TWO (U+2E83)	e2ba83
⺄	CJK RADICAL SECOND THREE (U+2E84)	e2ba84
⺅	CJK RADICAL PERSON (U+2E85)	e2ba85
⺆	CJK RADICAL BOX (U+2E86)	e2ba86
⺇	CJK RADICAL TABLE (U+2E87)	e2ba87
⺈	CJK RADICAL KNIFE ONE (U+2E88)	e2ba88
⺉	CJK RADICAL KNIFE TWO (U+2E89)	e2ba89
⺊	CJK RADICAL DIVINATION (U+2E8A)	e2ba8a
⺋	CJK RADICAL SEAL (U+2E8B)	e2ba8b
⺌	CJK RADICAL SMALL ONE (U+2E8C)	e2ba8c
⺍	CJK RADICAL SMALL TWO (U+2E8D)	e2ba8d
⺎	CJK RADICAL LAME ONE (U+2E8E)	e2ba8e
⺏	CJK RADICAL LAME TWO (U+2E8F)	e2ba8f
⺐	CJK RADICAL LAME THREE (U+2E90)	e2ba90
⺑	CJK RADICAL LAME FOUR (U+2E91)	e2ba91
⺒	CJK RADICAL SNAKE (U+2E92)	e2ba92
⺓	CJK RADICAL THREAD (U+2E93)	e2ba93
⺔	CJK RADICAL SNOUT ONE (U+2E94)	e2ba94
⺕	CJK RADICAL SNOUT TWO (U+2E95)	e2ba95
⺖	CJK RADICAL HEART ONE (U+2E96)	e2ba96
⺗	CJK RADICAL HEART TWO (U+2E97)	e2ba97
⺘	CJK RADICAL HAND (U+2E98)	e2ba98
⺙	CJK RADICAL RAP (U+2E99)	e2ba99
⺛	CJK RADICAL CHOKE (U+2E9B)	e2ba9b
⺜	CJK RADICAL SUN (U+2E9C)	e2ba9c
⺝	CJK RADICAL MOON (U+2E9D)	e2ba9d
⺞	CJK RADICAL DEATH (U+2E9E)	e2ba9e
⺟	CJK RADICAL MOTHER (U+2E9F)	e2ba9f
⺠	CJK RADICAL CIVILIAN (U+2EA0)	e2baa0
⺡	CJK RADICAL WATER ONE (U+2EA1)	e2baa1
⺢	CJK RADICAL WATER TWO (U+2EA2)	e2baa2
⺣	CJK RADICAL FIRE (U+2EA3)	e2baa3
⺤	CJK RADICAL PAW ONE (U+2EA4)	e2baa4
⺥	CJK RADICAL PAW TWO (U+2EA5)	e2baa5
⺦	CJK RADICAL SIMPLIFIED HALF TREE TRUNK (U+2EA6)	e2baa6
⺧	CJK RADICAL COW (U+2EA7)	e2baa7
⺨	CJK RADICAL DOG (U+2EA8)	e2baa8
⺩	CJK RADICAL JADE (U+2EA9)	e2baa9
⺪	CJK RADICAL BOLT OF CLOTH (U+2EAA)	e2baaa
⺫	CJK RADICAL EYE (U+2EAB)	e2baab
⺬	CJK RADICAL SPIRIT ONE (U+2EAC)	e2baac
⺭	CJK RADICAL SPIRIT TWO (U+2EAD)	e2baad
⺮	CJK RADICAL BAMBOO (U+2EAE)	e2baae
⺯	CJK RADICAL SILK (U+2EAF)	e2baaf
⺰	CJK RADICAL C-SIMPLIFIED SILK (U+2EB0)	e2bab0
⺱	CJK RADICAL NET ONE (U+2EB1)	e2bab1
⺲	CJK RADICAL NET TWO (U+2EB2)	e2bab2
⺳	CJK RADICAL NET THREE (U+2EB3)	e2bab3
⺴	CJK RADICAL NET FOUR (U+2EB4)	e2bab4
⺵	CJK RADICAL MESH (U+2EB5)	e2bab5
⺶	CJK RADICAL SHEEP (U+2EB6)	e2bab6
⺷	CJK RADICAL RAM (U+2EB7)	e2bab7
⺸	CJK RADICAL EWE (U+2EB8)	e2bab8
⺹	CJK RADICAL OLD (U+2EB9)	e2bab9
⺺	CJK RADICAL BRUSH ONE (U+2EBA)	e2baba
⺻	CJK RADICAL BRUSH TWO (U+2EBB)	e2babb
⺼	CJK RADICAL MEAT (U+2EBC)	e2babc
⺽	CJK RADICAL MORTAR (U+2EBD)	e2babd
⺾	CJK RADICAL GRASS ONE (U+2EBE)	e2babe
⺿	CJK RADICAL GRASS TWO (U+2EBF)	e2babf
⻀	CJK RADICAL GRASS THREE (U+2EC0)	e2bb80
⻁	CJK RADICAL TIGER (U+2EC1)	e2bb81
⻂	CJK RADICAL CLOTHES (U+2EC2)	e2bb82
⻃	CJK RADICAL WEST ONE (U+2EC3)	e2bb83
⻄	CJK RADICAL WEST TWO (U+2EC4)	e2bb84
⻅	CJK RADICAL C-SIMPLIFIED SEE (U+2EC5)	e2bb85
⻆	CJK RADICAL SIMPLIFIED HORN (U+2EC6)	e2bb86
⻇	CJK RADICAL HORN (U+2EC7)	e2bb87
⻈	CJK RADICAL C-SIMPLIFIED SPEECH (U+2EC8)	e2bb88
⻉	CJK RADICAL C-SIMPLIFIED SHELL (U+2EC9)	e2bb89
⻊	CJK RADICAL FOOT (U+2ECA)	e2bb8a
⻋	CJK RADICAL C-SIMPLIFIED CART (U+2ECB)	e2bb8b
⻌	CJK RADICAL SIMPLIFIED WALK (U+2ECC)	e2bb8c
⻍	CJK RADICAL WALK ONE (U+2ECD)	e2bb8d
⻎	CJK RADICAL WALK TWO (U+2ECE)	e2bb8e
⻏	CJK RADICAL CITY (U+2ECF)	e2bb8f
⻐	CJK RADICAL C-SIMPLIFIED GOLD (U+2ED0)	e2bb90
⻑	CJK RADICAL LONG ONE (U+2ED1)	e2bb91
⻒	CJK RADICAL LONG TWO (U+2ED2)	e2bb92
