㛋	U+36CB (U+36CB)	e39b8b
㛌	U+36CC (U+36CC)	e39b8c
㛍	to have one's ambition fulfilled; to be successful in one's career; (same as 愜) pleasing; satisfying; to gratify or be gratified, undignified; improper (U+36CD)	e39b8d
㛎	an ugly woman (U+36CE)	e39b8e
㛏	used in girl's name (U+36CF)	e39b8f
㛐	(non-classical form of 嫂) wife of one's elder's brother (U+36D0)	e39b90
㛑	three women, beautiful things (U+36D1)	e39b91
㛒	can not speak (U+36D2)	e39b92
㛓	used in girl's name (U+36D3)	e39b93
㛔	(same as 妦) exquisite; fine; (said of a woman's figure) very full and voluptuous; buxom, used in girl's name (U+36D4)	e39b94
㛕	womanly, (same as 姶 ancient form) exquisite; fine, used in girl's name, clever; bright; nimble, cute; lovable (U+36D5)	e39b95
㛖	used in girl's name (U+36D6)	e39b96
㛗	frivolous; flippant; disrespectful; irreverent; to insult, young, used in girl's name (U+36D7)	e39b97
㛘	used in girl's name, a fat woman (U+36D8)	e39b98
㛙	used in girl's name, (same as 妾) a concubine, (in old China) a polite term used by a woman to refer to herself when speaking to her husband (U+36D9)	e39b99
㛚	equal; uniform, used in girl's name (U+36DA)	e39b9a
㛛	(same as U+5A20 娠) pregnant, to let develop; to nourish; to foster; to nurture, slave girls (U+36DB)	e39b9b
㛜	used in girl's name (U+36DC)	e39b9c
㛝	used in girl's name (U+36DD)	e39b9d
㛞	used in girl's name (U+36DE)	e39b9e
㛟	U+36DF (U+36DF)	e39b9f
㛠	U+36E0 (U+36E0)	e39ba0
㛡	U+36E1 (U+36E1)	e39ba1
㛢	U+36E2 (U+36E2)	e39ba2
㛣	U+36E3 (U+36E3)	e39ba3
㛤	U+36E4 (U+36E4)	e39ba4
㛥	to prostrate; to make obeisance, to concede or submit willingly (U+36E5)	e39ba5
㛦	good; nice; fine; excellent (U+36E6)	e39ba6
㛧	name of a county in today's Shanxi province (U+36E7)	e39ba7
㛨	(corrupted form) chaos; anarchy; distractions; confusion (U+36E8)	e39ba8
㛩	(same as 妯) sisters-in-law (a reference among wives of brothers) (U+36E9)	e39ba9
㛪	to slander; to libel, a maidservant, used in girl's name, womanly (U+36EA)	e39baa
㛫	used in girl's name (U+36EB)	e39bab
㛬	used in girl's name (U+36EC)	e39bac
㛭	used in girl's name (U+36ED)	e39bad
㛮	(same as 嫂) wife of one's elder brother (U+36EE)	e39bae
㛯	(same as 嬔) to soar; to fly; to roam (same as 娩) complaisant; agreeable, a pair; a couple; persons or things that come in pairs (U+36EF)	e39baf
㛰	(same as 婚) to marry a wife; a bride-groom (U+36F0)	e39bb0
㛱	exquisite; fine, used in girl's name (U+36F1)	e39bb1
㛲	(same as 髮) the hair on the human head, hairbreadth; hair's-breadth (U+36F2)	e39bb2
㛳	an abnomal unborn baby (U+36F3)	e39bb3
㛴	(same as 惱) to anger to annoy; to irritate (U+36F4)	e39bb4
㛵	used in girl's name (U+36F5)	e39bb5
㛶	do not care about appearance and deportment (U+36F6)	e39bb6
㛷	used in girl's name (U+36F7)	e39bb7
㛸	(corrupted form) used in girl's name (U+36F8)	e39bb8
㛹	pretty; exquisite; fine (U+36F9)	e39bb9
㛺	not clean; impure (U+36FA)	e39bba
㛻	womanly; feminine (U+36FB)	e39bbb
㛼	to interrupt; to put in a word, lacking in courage; cowardly, nervous; socially timid, womanly; feminine (U+36FC)	e39bbc
㛽	(ancient form of 璈) to walk slowly like a woman, to ridicule; to laugh at (U+36FD)	e39bbd
㛾	(said of a woman) not clean; impure (U+36FE)	e39bbe
㛿	cunning; wicked, spoiled; coddled (U+36FF)	e39bbf
㜀	U+3700 (U+3700)	e39c80
㜁	U+3701 (U+3701)	e39c81
㜂	used in girl's name (U+3702)	e39c82
㜃	from; by; whence, to undertake; to manage, to follow (U+3703)	e39c83
㜄	last name (refer to 千家姓) (U+3704)	e39c84
㜅	to fawn on; to flatter, to love, attractive, jealous; envy; jealousy (U+3705)	e39c85
㜆	commonly known as mother in Wu (U+3706)	e39c86
㜇	unhappy, girlish (U+3707)	e39c87
㜈	a beaugiful face (of a woman); pretty (U+3708)	e39c88
㜉	womanly, used in girl's name (U+3709)	e39c89
㜊	exquisite; fine (U+370A)	e39c8a
㜋	used in girl's name (U+370B)	e39c8b
㜌	a different name for breasts, to breast-feed; to feed a baby with milk, stingy; niggardly; miserly (U+370C)	e39c8c
㜍	used in girl's name (U+370D)	e39c8d
㜎	slave girls, lacking in courage; nervous, a jealous woman (U+370E)	e39c8e
㜏	(the large seal type 妘) last name, used in girl's name (U+370F)	e39c8f
㜐	used in girl's name (U+3710)	e39c90
㜑	(same as 婆) an older woman, mother of one's husband, one's grandmother (U+3711)	e39c91
㜒	maternal grandmother, a midwife, an old woman (U+3712)	e39c92
㜓	womanly (U+3713)	e39c93
㜔	U+3714 (U+3714)	e39c94
㜕	(same as 連) relatives through marriage (U+3715)	e39c95
㜖	exquisite; fine (U+3716)	e39c96
㜗	covetousness; greed; cupidity; avarice, licentious; obscene; to seduce (U+3717)	e39c97
