仕	official; serve government (U+4ED5)	e4bb95
他	other, another; he, she, it (U+4ED6)	e4bb96
仗	rely upon; protector; fight; war, weaponry (U+4ED7)	e4bb97
付	give, deliver, pay, hand over; entrust (U+4ED8)	e4bb98
仙	Taoist super-being, transcendent, immortal (U+4ED9)	e4bb99
仚	to fly (U+4EDA)	e4bb9a
仛	young girl; strange, different (U+4EDB)	e4bb9b
仜	U+4EDC (U+4EDC)	e4bb9c
仝	together, same; surname (U+4EDD)	e4bb9d
仞	ancient unit of measure (8 feet); 'fathom' (U+4EDE)	e4bb9e
仟	one thousand; leader of one thousand men (U+4EDF)	e4bb9f
仠	U+4EE0 (U+4EE0)	e4bba0
仡	strong; valiant (U+4EE1)	e4bba1
仢	U+4EE2 (U+4EE2)	e4bba2
代	replace, replacement (of person or generation); era, generation (U+4EE3)	e4bba3
令	command, order; 'commandant', magistrate; allow, cause (U+4EE4)	e4bba4
以	by means of; thereby, therefore; consider as; in order to (U+4EE5)	e4bba5
仦	U+4EE6 (U+4EE6)	e4bba6
仧	U+4EE7 (U+4EE7)	e4bba7
仨	(coll.) three (cannot be followed by a measure word) (U+4EE8)	e4bba8
仩	U+4EE9 (U+4EE9)	e4bba9
仪	ceremony, rites gifts; admire (U+4EEA)	e4bbaa
仫	tribe (U+4EEB)	e4bbab
们	adjunct pronoun indicate plural (U+4EEC)	e4bbac
仭	ancient unit of measure (8 feet); 'fathom' (U+4EED)	e4bbad
仮	falsehood, deception; vacation (U+4EEE)	e4bbae
仯	U+4EEF (U+4EEF)	e4bbaf
仰	raise the head to look; look up to, rely on, admire (U+4EF0)	e4bbb0
仱	U+4EF1 (U+4EF1)	e4bbb1
仲	middle brother; go between, mediator; surname (U+4EF2)	e4bbb2
仳	separate, part company (U+4EF3)	e4bbb3
仴	U+4EF4 (U+4EF4)	e4bbb4
仵	similar (U+4EF5)	e4bbb5
件	numerary adjunct for article; matter (U+4EF6)	e4bbb6
价	price, value (U+4EF7)	e4bbb7
仸	bent, distorted, crooked; feeble (U+4EF8)	e4bbb8
仹	U+4EF9 (U+4EF9)	e4bbb9
仺	U+4EFA (U+4EFA)	e4bbba
任	trust to, rely on, appoint; to bear, duty, office; allow (U+4EFB)	e4bbbb
仼	U+4EFC (U+4EFC)	e4bbbc
份	portion, part; duty (U+4EFD)	e4bbbd
仾	to hang or bow the head, to droop, to lower; low, beneath (U+4EFE)	e4bbbe
仿	imitate, copy; as if (U+4EFF)	e4bbbf
伀	excited (U+4F00)	e4bc80
企	plan a project; stand on tiptoe (U+4F01)	e4bc81
伂	U+4F02 (U+4F02)	e4bc82
伃	handsome (U+4F03)	e4bc83
伄	U+4F04 (U+4F04)	e4bc84
伅	U+4F05 (U+4F05)	e4bc85
伆	U+4F06 (U+4F06)	e4bc86
伇	U+4F07 (U+4F07)	e4bc87
伈	nervous, fearful (U+4F08)	e4bc88
伉	compare, match; pair; spouse (U+4F09)	e4bc89
伊	third person pronoun; he, she, this, that (U+4F0A)	e4bc8a
伋	deceptive (U+4F0B)	e4bc8b
伌	U+4F0C (U+4F0C)	e4bc8c
伍	five, company of five; troops (U+4F0D)	e4bc8d
伎	talent, skill, ability (U+4F0E)	e4bc8e
伏	crouch, crawl, lie hidden, conceal (U+4F0F)	e4bc8f
伐	cut down, subjugate, attack (U+4F10)	e4bc90
休	rest, stop; retire; do not! (U+4F11)	e4bc91
伒	U+4F12 (U+4F12)	e4bc92
伓	U+4F13 (U+4F13)	e4bc93
伔	U+4F14 (U+4F14)	e4bc94
伕	common laborer (U+4F15)	e4bc95
伖	U+4F16 (U+4F16)	e4bc96
众	multitude, crowd; masses, public (U+4F17)	e4bc97
优	superior, excellent; actor (U+4F18)	e4bc98
伙	companion, colleague; utensils (U+4F19)	e4bc99
会	assemble, meet together; meeting (U+4F1A)	e4bc9a
伛	humpback; stoop (U+4F1B)	e4bc9b
伜	deputy, vice- (U+4F1C)	e4bc9c
伝	summon; propagate, transmit (U+4F1D)	e4bc9d
伞	umbrella, parasol, parachute (U+4F1E)	e4bc9e
伟	great, robust; extraordinary (U+4F1F)	e4bc9f
传	summon; propagate, transmit (U+4F20)	e4bca0
伡	U+4F21 (U+4F21)	e4bca1
伢	child (U+4F22)	e4bca2
伣	like (U+4F23)	e4bca3
伤	wound, injury; fall ill from (U+4F24)	e4bca4
伥	ghost of one devoured by tiger (U+4F25)	e4bca5
伦	normal human relationships (U+4F26)	e4bca6
伧	vulgar person, country man (U+4F27)	e4bca7
伨	U+4F28 (U+4F28)	e4bca8
伩	trust, believe; letter; (Cant.) small (U+4F29)	e4bca9
伪	false, counterfeit, bogus (U+4F2A)	e4bcaa
伫	look towards; turn one's back on (U+4F2B)	e4bcab
伬	U+4F2C (U+4F2C)	e4bcac
伭	dark, somber; deep, profound (U+4F2D)	e4bcad
伮	to make a great effort (U+4F2E)	e4bcae
伯	older brother; father's elder brother; senior male 'sire'; feudal rank 'count' (U+4F2F)	e4bcaf
估	merchant; estimate, guess, presume (U+4F30)	e4bcb0
伱	thou, you (U+4F31)	e4bcb1
伲	we (Shanghai dialect) (U+4F32)	e4bcb2
伳	U+4F33 (U+4F33)	e4bcb3
伴	companion, comrade, partner; accompany (U+4F34)	e4bcb4
伵	U+4F35 (U+4F35)	e4bcb5
伶	lonely, solitary; actor (U+4F36)	e4bcb6
伷	descendent (U+4F37)	e4bcb7
伸	extend, stretch out, open up; trust (U+4F38)	e4bcb8
伹	dull, slow, unskillful (U+4F39)	e4bcb9
伺	serve, wait upon, attend; examine (U+4F3A)	e4bcba
伻	messenger, emissary; send emissary (U+4F3B)	e4bcbb
似	resemble, similar to; as if, seem (U+4F3C)	e4bcbc
