囕	U+56D5 (U+56D5)	e59b95
囖	(Cant.) final particle for pointing out the obvious (U+56D6)	e59b96
囗	erect, proud; upright; bald (U+56D7)	e59b97
囘	return, turn around; a time (U+56D8)	e59b98
囙	U+56D9 (U+56D9)	e59b99
囚	prisoner, convict; confine (U+56DA)	e59b9a
四	four (U+56DB)	e59b9b
囜	U+56DC (U+56DC)	e59b9c
囝	baby, infant (U+56DD)	e59b9d
回	return, turn around; a time (U+56DE)	e59b9e
囟	top of the head; skull (U+56DF)	e59b9f
因	cause, reason; by; because (of) (U+56E0)	e59ba0
囡	one's daughter; to filch; to secrete (U+56E1)	e59ba1
团	sphere, ball, circle; mass, lump (U+56E2)	e59ba2
団	sphere, ball, circle; mass, lump (U+56E3)	e59ba3
囤	grain basket, bin for grain (U+56E4)	e59ba4
囥	hide (U+56E5)	e59ba5
囦	U+56E6 (U+56E6)	e59ba6
囧	U+56E7 (U+56E7)	e59ba7
囨	U+56E8 (U+56E8)	e59ba8
囩	U+56E9 (U+56E9)	e59ba9
囪	chimney, funnel (U+56EA)	e59baa
囫	entire, whole (U+56EB)	e59bab
囬	to return to or from (U+56EC)	e59bac
园	garden; park, orchard (U+56ED)	e59bad
囮	inveigle, decoy; cheat (U+56EE)	e59bae
囯	variant of U+56FD 国, nation, country, nation-state (U+56EF)	e59baf
困	to surround, beseige; to be surrounded; difficult (U+56F0)	e59bb0
囱	chimney (U+56F1)	e59bb1
囲	surround, encircle, corral; whip (U+56F2)	e59bb2
図	diagram; chart, map, picture (U+56F3)	e59bb3
围	surround, encircle, corral (U+56F4)	e59bb4
囵	all, complete, entire (U+56F5)	e59bb5
囶	U+56F6 (U+56F6)	e59bb6
囷	round-shaped storage bin for grain (U+56F7)	e59bb7
囸	U+56F8 (U+56F8)	e59bb8
囹	prison, enclosure (U+56F9)	e59bb9
固	to become solid, solidify; strength (U+56FA)	e59bba
囻	U+56FB (U+56FB)	e59bbb
囼	U+56FC (U+56FC)	e59bbc
国	nation, country, nation-state (U+56FD)	e59bbd
图	diagram; chart, map, picture (U+56FE)	e59bbe
囿	pen up; limit, constrain (U+56FF)	e59bbf
圀	nation, country, nation-state (U+5700)	e59c80
圁	U+5701 (U+5701)	e59c81
圂	pig-sty; privy (U+5702)	e59c82
圃	garden, cultivated field (U+5703)	e59c83
圄	prison, jail (U+5704)	e59c84
圅	correspondence; a case; a box (U+5705)	e59c85
圆	circle; round, circular; complete (U+5706)	e59c86
圇	all, complete, entire (U+5707)	e59c87
圈	to circle; a circle; corral (U+5708)	e59c88
圉	stable, corral, enclosure; frontier, border (U+5709)	e59c89
圊	rest room (U+570A)	e59c8a
國	nation, country, nation-state (U+570B)	e59c8b
圌	fence (U+570C)	e59c8c
圍	surround, encircle, corral (U+570D)	e59c8d
圎	circle; round, circular; complete (U+570E)	e59c8e
圏	to circle; a circle; corral (U+570F)	e59c8f
圐	U+5710 (U+5710)	e59c90
圑	U+5711 (U+5711)	e59c91
園	garden; park, orchard (U+5712)	e59c92
圓	circle; round, circular; complete (U+5713)	e59c93
圔	U+5714 (U+5714)	e59c94
圕	library (U+5715)	e59c95
圖	diagram; chart, map, picture (U+5716)	e59c96
圗	diagram; chart, map, picture (U+5717)	e59c97
團	sphere, ball, circle; mass, lump (U+5718)	e59c98
