嫕	compliant, yielding; easy-going (U+5AD5)	e5ab95
嫖	patronize prostitutes, frequent (U+5AD6)	e5ab96
嫗	old woman, hag (U+5AD7)	e5ab97
嫘	surname (U+5AD8)	e5ab98
嫙	U+5AD9 (U+5AD9)	e5ab99
嫚	scorn, despise; be rude, affront (U+5ADA)	e5ab9a
嫛	compliant, yielding; easy-going a newborn child (U+5ADB)	e5ab9b
嫜	U+5ADC (U+5ADC)	e5ab9c
嫝	U+5ADD (U+5ADD)	e5ab9d
嫞	U+5ADE (U+5ADE)	e5ab9e
嫟	U+5ADF (U+5ADF)	e5ab9f
嫠	a widow (U+5AE0)	e5aba0
嫡	legal wife, child of legal wife (U+5AE1)	e5aba1
嫢	U+5AE2 (U+5AE2)	e5aba2
嫣	charming, fascinating; gay (U+5AE3)	e5aba3
嫤	U+5AE4 (U+5AE4)	e5aba4
嫥	U+5AE5 (U+5AE5)	e5aba5
嫦	name of a moon goddess (U+5AE6)	e5aba6
嫧	U+5AE7 (U+5AE7)	e5aba7
嫨	U+5AE8 (U+5AE8)	e5aba8
嫩	soft, tender, delicate; young (U+5AE9)	e5aba9
嫪	hanker (U+5AEA)	e5abaa
嫫	Huangdi's ugly concubine; nurse (U+5AEB)	e5abab
嫬	U+5AEC (U+5AEC)	e5abac
嫭	U+5AED (U+5AED)	e5abad
嫮	U+5AEE (U+5AEE)	e5abae
嫯	U+5AEF (U+5AEF)	e5abaf
嫰	tender, delicate, soft (U+5AF0)	e5abb0
嫱	lady (U+5AF1)	e5abb1
嫲	(Cant.) paternal grandmother (U+5AF2)	e5abb2
嫳	U+5AF3 (U+5AF3)	e5abb3
嫴	U+5AF4 (U+5AF4)	e5abb4
嫵	charming, enchanting (U+5AF5)	e5abb5
嫶	U+5AF6 (U+5AF6)	e5abb6
嫷	U+5AF7 (U+5AF7)	e5abb7
嫸	U+5AF8 (U+5AF8)	e5abb8
嫹	U+5AF9 (U+5AF9)	e5abb9
嫺	refined, elegant, gracious (U+5AFA)	e5abba
嫻	elegant, refined; skillful (U+5AFB)	e5abbb
嫼	U+5AFC (U+5AFC)	e5abbc
嫽	play with; (Cant.) to provoke (U+5AFD)	e5abbd
嫾	U+5AFE (U+5AFE)	e5abbe
嫿	tranquil (U+5AFF)	e5abbf
嬀	name of a river in Shanxi; crafty (U+5B00)	e5ac80
嬁	U+5B01 (U+5B01)	e5ac81
嬂	U+5B02 (U+5B02)	e5ac82
嬃	sister (U+5B03)	e5ac83
嬄	U+5B04 (U+5B04)	e5ac84
嬅	beautiful; used in girls' names (U+5B05)	e5ac85
嬆	U+5B06 (U+5B06)	e5ac86
嬇	U+5B07 (U+5B07)	e5ac87
嬈	graceful, charming, fascinating (U+5B08)	e5ac88
嬉	enjoy; play, amuse oneself (U+5B09)	e5ac89
嬊	U+5B0A (U+5B0A)	e5ac8a
嬋	beautiful, lovely, pretty, graceful (U+5B0B)	e5ac8b
嬌	seductive and loveable; tender (U+5B0C)	e5ac8c
嬍	U+5B0D (U+5B0D)	e5ac8d
嬎	to bear multiple, identical, offspring (U+5B0E)	e5ac8e
嬏	U+5B0F (U+5B0F)	e5ac8f
嬐	U+5B10 (U+5B10)	e5ac90
嬑	U+5B11 (U+5B11)	e5ac91
嬒	U+5B12 (U+5B12)	e5ac92
嬓	used in names (U+5B13)	e5ac93
嬔	baby rabbit (U+5B14)	e5ac94
嬕	U+5B15 (U+5B15)	e5ac95
嬖	favorite; a minion (U+5B16)	e5ac96
嬗	succession to the throne (U+5B17)	e5ac97
嬘	U+5B18 (U+5B18)	e5ac98
嬙	lady (U+5B19)	e5ac99
嬚	U+5B1A (U+5B1A)	e5ac9a
嬛	apt, clever; sycophant, flatterer (U+5B1B)	e5ac9b
嬜	U+5B1C (U+5B1C)	e5ac9c
嬝	delicate; graceful (U+5B1D)	e5ac9d
嬞	U+5B1E (U+5B1E)	e5ac9e
嬟	U+5B1F (U+5B1F)	e5ac9f
嬠	U+5B20 (U+5B20)	e5aca0
嬡	(your) daughter (U+5B21)	e5aca1
嬢	troubled, oppressed; fat; mother (U+5B22)	e5aca2
嬣	U+5B23 (U+5B23)	e5aca3
嬤	mother (U+5B24)	e5aca4
嬥	U+5B25 (U+5B25)	e5aca5
