櫕	U+6AD5 (U+6AD5)	e6ab95
櫖	U+6AD6 (U+6AD6)	e6ab96
櫗	U+6AD7 (U+6AD7)	e6ab97
櫘	U+6AD8 (U+6AD8)	e6ab98
櫙	U+6AD9 (U+6AD9)	e6ab99
櫚	palm (U+6ADA)	e6ab9a
櫛	comb out; weed out, eliminate (U+6ADB)	e6ab9b
櫜	quiver (case for arrows) (U+6ADC)	e6ab9c
櫝	cabinet, wardrobe; closet (U+6ADD)	e6ab9d
櫞	citrus (U+6ADE)	e6ab9e
櫟	chestnut-leaved oak; oak (U+6ADF)	e6ab9f
櫠	U+6AE0 (U+6AE0)	e6aba0
櫡	U+6AE1 (U+6AE1)	e6aba1
櫢	U+6AE2 (U+6AE2)	e6aba2
櫣	U+6AE3 (U+6AE3)	e6aba3
櫤	U+6AE4 (U+6AE4)	e6aba4
櫥	cabinet, wardrobe, cupboard (U+6AE5)	e6aba5
櫦	U+6AE6 (U+6AE6)	e6aba6
櫧	Oak (U+6AE7)	e6aba7
櫨	supporting block; sumac, loquat (U+6AE8)	e6aba8
櫩	U+6AE9 (U+6AE9)	e6aba9
櫪	type of oak; stable (U+6AEA)	e6abaa
櫫	wooden peg, post or stick (U+6AEB)	e6abab
櫬	coffin; tung tree (U+6AEC)	e6abac
櫭	U+6AED (U+6AED)	e6abad
櫮	U+6AEE (U+6AEE)	e6abae
櫯	U+6AEF (U+6AEF)	e6abaf
櫰	U+6AF0 (U+6AF0)	e6abb0
櫱	yeast; leaven for making liquors (U+6AF1)	e6abb1
櫲	U+6AF2 (U+6AF2)	e6abb2
櫳	cage, pen; set of bars (U+6AF3)	e6abb3
櫴	U+6AF4 (U+6AF4)	e6abb4
櫵	U+6AF5 (U+6AF5)	e6abb5
櫶	U+6AF6 (U+6AF6)	e6abb6
櫷	U+6AF7 (U+6AF7)	e6abb7
櫸	type of elm (U+6AF8)	e6abb8
櫹	U+6AF9 (U+6AF9)	e6abb9
櫺	carved or patterned window sills (U+6AFA)	e6abba
櫻	cherry, cherry blossom (U+6AFB)	e6abbb
櫼	U+6AFC (U+6AFC)	e6abbc
櫽	shape wood by use of heat; tool for shaping bent wood (U+6AFD)	e6abbd
櫾	the pomelo (U+6AFE)	e6abbe
櫿	U+6AFF (U+6AFF)	e6abbf
欀	U+6B00 (U+6B00)	e6ac80
欁	U+6B01 (U+6B01)	e6ac81
欂	U+6B02 (U+6B02)	e6ac82
欃	sandalwood; comet (U+6B03)	e6ac83
欄	railing, balustrade; animal pan (U+6B04)	e6ac84
欅	zelkova (U+6B05)	e6ac85
欆	U+6B06 (U+6B06)	e6ac86
欇	U+6B07 (U+6B07)	e6ac87
欈	U+6B08 (U+6B08)	e6ac88
欉	U+6B09 (U+6B09)	e6ac89
權	power, right, authority (U+6B0A)	e6ac8a
欋	U+6B0B (U+6B0B)	e6ac8b
欌	U+6B0C (U+6B0C)	e6ac8c
欍	U+6B0D (U+6B0D)	e6ac8d
欎	U+6B0E (U+6B0E)	e6ac8e
欏	the horse-chestnut (U+6B0F)	e6ac8f
欐	beam (U+6B10)	e6ac90
欑	gather (U+6B11)	e6ac91
欒	name of tree; a part of cornice (U+6B12)	e6ac92
欓	a cross-piece, as the round of a ladder, the rail of a chair; shelves; pigeonholes (U+6B13)	e6ac93
欔	U+6B14 (U+6B14)	e6ac94
欕	tree name (U+6B15)	e6ac95
欖	olive (U+6B16)	e6ac96
欗	U+6B17 (U+6B17)	e6ac97
欘	U+6B18 (U+6B18)	e6ac98
欙	sedan (U+6B19)	e6ac99
欚	U+6B1A (U+6B1A)	e6ac9a
欛	a handle (U+6B1B)	e6ac9b
欜	U+6B1C (U+6B1C)	e6ac9c
欝	luxuriant; dense, thick; moody (U+6B1D)	e6ac9d
欞	the lattice of a window a sill, a lintel (U+6B1E)	e6ac9e
欟	U+6B1F (U+6B1F)	e6ac9f
欠	owe, lack, be deficient; KangXi radical number 76 (U+6B20)	e6aca0
次	order, sequence; next (U+6B21)	e6aca1
欢	happy, pleased, glad; joy; enjoy (U+6B22)	e6aca2
欣	happy, joyous, delighted (U+6B23)	e6aca3
欤	a final particle used to express admiration, doubt, surprise, or to mark a question (U+6B24)	e6aca4
欥	U+6B25 (U+6B25)	e6aca5
欦	U+6B26 (U+6B26)	e6aca6
欧	translit.: Europe; ohm; surname (U+6B27)	e6aca7
欨	to blow or breathe upon; to smile (U+6B28)	e6aca8
欩	U+6B29 (U+6B29)	e6aca9
欪	U+6B2A (U+6B2A)	e6acaa
欫	U+6B2B (U+6B2B)	e6acab
欬	cough; sound of laughter (U+6B2C)	e6acac
欭	U+6B2D (U+6B2D)	e6acad
欮	to hiccough; to dig out to expand (U+6B2E)	e6acae
欯	U+6B2F (U+6B2F)	e6acaf
欰	U+6B30 (U+6B30)	e6acb0
欱	U+6B31 (U+6B31)	e6acb1
欲	desire, want, long for; intend (U+6B32)	e6acb2
欳	U+6B33 (U+6B33)	e6acb3
欴	U+6B34 (U+6B34)	e6acb4
欵	to treat well; to detain (U+6B35)	e6acb5
欶	to suck in (U+6B36)	e6acb6
欷	sob; sigh (U+6B37)	e6acb7
欸	sigh; an exclamatory sound (U+6B38)	e6acb8
欹	fierce dog; interjection of pleas; (Cant.) strange (U+6B39)	e6acb9
欺	cheat, double-cross, deceive (U+6B3A)	e6acba
欻	sudden, abrupt, quick (U+6B3B)	e6acbb
欼	drink; (Cant.) to use one's teeth and hands to break something such as a string (U+6B3C)	e6acbc
欽	respect, admire; respectful (U+6B3D)	e6acbd
款	item, article; clause; fund (U+6B3E)	e6acbe
欿	discontented; sad; gloomy (U+6B3F)	e6acbf
歀	same as 款 U+6B3E, an item, article; clause, fund (U+6B40)	e6ad80
歁	U+6B41 (U+6B41)	e6ad81
歂	U+6B42 (U+6B42)	e6ad82
歃	smear one's mouth with blood of a victim when taking an oath (U+6B43)	e6ad83
歄	U+6B44 (U+6B44)	e6ad84
歅	U+6B45 (U+6B45)	e6ad85
歆	like, admire; willingly, gladly; to quicken (U+6B46)	e6ad86
歇	rest, stop, lodge (U+6B47)	e6ad87
歈	songs (U+6B48)	e6ad88
歉	deficient, lacking, insufficient (U+6B49)	e6ad89
歊	sigh (U+6B4A)	e6ad8a
歋	U+6B4B (U+6B4B)	e6ad8b
歌	song, lyrics; sing, chant; praise (U+6B4C)	e6ad8c
歍	U+6B4D (U+6B4D)	e6ad8d
歎	sigh, admire (U+6B4E)	e6ad8e
歏	U+6B4F (U+6B4F)	e6ad8f
歐	used in transliterating non-Chinese words such as Europe, ohm; surname (U+6B50)	e6ad90
歑	U+6B51 (U+6B51)	e6ad91
歒	U+6B52 (U+6B52)	e6ad92
歓	happy, pleased, glad; joy; enjoy (U+6B53)	e6ad93
歔	blow through nose, snort (U+6B54)	e6ad94
歕	spurt, blow out, puff out (U+6B55)	e6ad95
歖	U+6B56 (U+6B56)	e6ad96
歗	roar, howl, scream; whistle (U+6B57)	e6ad97
歘	sudden (U+6B58)	e6ad98
歙	to suck; a county's name in anhui (U+6B59)	e6ad99
歚	used in name of famous Korean painter Ceng Sen (U+6B5A)	e6ad9a
歛	draw back, fold back; collect (U+6B5B)	e6ad9b
歜	furious; wrathful (U+6B5C)	e6ad9c
歝	U+6B5D (U+6B5D)	e6ad9d
歞	U+6B5E (U+6B5E)	e6ad9e
歟	a final particle used to express admiration, doubt, surprise, or to mark a question (U+6B5F)	e6ad9f
歠	sip, drink, suck (U+6B60)	e6ada0
歡	happy, pleased, glad; joy; to enjoy (U+6B61)	e6ada1
止	stop, halt, desist; detain (U+6B62)	e6ada2
正	right, proper, correct (U+6B63)	e6ada3
此	this, these; in this case, then (U+6B64)	e6ada4
步	step, pace; walk, stroll (U+6B65)	e6ada5
武	military; martial, warlike (U+6B66)	e6ada6
歧	fork of road; branching off (U+6B67)	e6ada7
歨	U+6B68 (U+6B68)	e6ada8
歩	step (U+6B69)	e6ada9
歪	slant; inclined; askewd, awry (U+6B6A)	e6adaa
