狕	U+72D5 (U+72D5)	e78b95
狖	a gibbon with a long tail and prominent nose (U+72D6)	e78b96
狗	dog, canis familiaris (U+72D7)	e78b97
狘	jump (U+72D8)	e78b98
狙	an ape, monkey; to spy, watch for; to lie (U+72D9)	e78b99
狚	U+72DA (U+72DA)	e78b9a
狛	lion-dog shrine guardians (U+72DB)	e78b9b
狜	U+72DC (U+72DC)	e78b9c
狝	hunt; autumn hunting; to capture with a fine net (U+72DD)	e78b9d
狞	ferocious appearance; hideous (U+72DE)	e78b9e
狟	U+72DF (U+72DF)	e78b9f
狠	vicious, cruel; severely, extreme (U+72E0)	e78ba0
狡	cunning, deceitful, treacherous (U+72E1)	e78ba1
狢	animal name (U+72E2)	e78ba2
狣	U+72E3 (U+72E3)	e78ba3
狤	U+72E4 (U+72E4)	e78ba4
狥	follow (U+72E5)	e78ba5
狦	U+72E6 (U+72E6)	e78ba6
狧	U+72E7 (U+72E7)	e78ba7
狨	U+72E8 (U+72E8)	e78ba8
狩	winter hunting; imperial tour (U+72E9)	e78ba9
狪	U+72EA (U+72EA)	e78baa
狫	U+72EB (U+72EB)	e78bab
独	alone, single, solitary, only (U+72EC)	e78bac
狭	narrow, limited; narrow-minded (U+72ED)	e78bad
狮	lion (U+72EE)	e78bae
狯	sly, cunning, crafty (U+72EF)	e78baf
狰	fierce-looking, ferocious (U+72F0)	e78bb0
狱	prison, jail; case; lawsuit (U+72F1)	e78bb1
狲	monkey (U+72F2)	e78bb2
狳	U+72F3 (U+72F3)	e78bb3
狴	a kind of tapir; a fierce beast depicted on the door of prisons (U+72F4)	e78bb4
狵	blend; variegated; striped (U+72F5)	e78bb5
狶	U+72F6 (U+72F6)	e78bb6
狷	rash, impetuous, impulsive (U+72F7)	e78bb7
狸	fox (U+72F8)	e78bb8
狹	narrow, limited; narrow-minded; to pinch (U+72F9)	e78bb9
狺	the snarling of dogs (U+72FA)	e78bba
狻	a fabulous beast (U+72FB)	e78bbb
狼	wolf (U+72FC)	e78bbc
狽	a legendary animal with short forelegs which rode a wolf (U+72FD)	e78bbd
狾	U+72FE (U+72FE)	e78bbe
狿	U+72FF (U+72FF)	e78bbf
猀	U+7300 (U+7300)	e78c80
猁	a kind of monkey (U+7301)	e78c81
猂	U+7302 (U+7302)	e78c82
猃	dog (U+7303)	e78c83
猄	U+7304 (U+7304)	e78c84
猅	U+7305 (U+7305)	e78c85
猆	U+7306 (U+7306)	e78c86
猇	the scream or roar of a tiger; to intimidate; to scare (U+7307)	e78c87
猈	U+7308 (U+7308)	e78c88
猉	U+7309 (U+7309)	e78c89
猊	lion; wild beast; wild horse (U+730A)	e78c8a
猋	wind; storm; gale; dog moving; (Cant.) running quickly (U+730B)	e78c8b
猌	U+730C (U+730C)	e78c8c
猍	U+730D (U+730D)	e78c8d
猎	hunt; field sports (U+730E)	e78c8e
猏	U+730F (U+730F)	e78c8f
猐	U+7310 (U+7310)	e78c90
猑	U+7311 (U+7311)	e78c91
猒	U+7312 (U+7312)	e78c92
猓	monkey (U+7313)	e78c93
猔	name of an ancient tribe (U+7314)	e78c94
猕	macacus monkey (U+7315)	e78c95
猖	mad, wild, reckless, unruly (U+7316)	e78c96
猗	exclamation of admiration (U+7317)	e78c97
猘	fierce dog; furious, frenzied (U+7318)	e78c98
猙	fierce-looking, ferocious (U+7319)	e78c99
猚	U+731A (U+731A)	e78c9a
猛	violent, savage, cruel; bold (U+731B)	e78c9b
猜	guess, conjecture, suppose; feel (U+731C)	e78c9c
猝	abruptly, suddenly; abrupt (U+731D)	e78c9d
猞	a wild cat; 猞猁, a lynx (U+731E)	e78c9e
猟	hunt; field sports (U+731F)	e78c9f
猠	U+7320 (U+7320)	e78ca0
猡	pig; Lolo aboringinal tribe (U+7321)	e78ca1
猢	a kind of monkey found in W.China (U+7322)	e78ca2
猣	U+7323 (U+7323)	e78ca3
猤	U+7324 (U+7324)	e78ca4
猥	vulgar, low, cheap; wanton; obscene (U+7325)	e78ca5
猦	U+7326 (U+7326)	e78ca6
猧	U+7327 (U+7327)	e78ca7
猨	ape (U+7328)	e78ca8
猩	species of orangutan (U+7329)	e78ca9
猪	pig, hog, wild boar (U+732A)	e78caa
猫	cat (U+732B)	e78cab
猬	vulgar; wanton; low; many; varied; a hedgehog, porcupine (U+732C)	e78cac
猭	U+732D (U+732D)	e78cad
献	offer, present; show, display (U+732E)	e78cae
猯	U+732F (U+732F)	e78caf
猰	U+7330 (U+7330)	e78cb0
猱	a monkey with yellow hair (U+7331)	e78cb1
猲	smoke or flames from fire; roast (U+7332)	e78cb2
猳	U+7333 (U+7333)	e78cb3
猴	monkey, ape; monkey-like (U+7334)	e78cb4
猵	U+7335 (U+7335)	e78cb5
猶	like, similar to, just like, as (U+7336)	e78cb6
猷	plan, scheme; plan, plot; way (U+7337)	e78cb7
猸	a kind of animal (U+7338)	e78cb8
猹	wild animal mentioned in short story by Lu Xun (U+7339)	e78cb9
猺	jackal; name of a tribe (U+733A)	e78cba
猻	monkey (U+733B)	e78cbb
猼	U+733C (U+733C)	e78cbc
猽	U+733D (U+733D)	e78cbd
猾	crafty, cunning, shrewd; deceitful (U+733E)	e78cbe
猿	ape (U+733F)	e78cbf
獀	to gather; to hunt or search for (U+7340)	e78d80
獁	mammoth (U+7341)	e78d81
獂	U+7342 (U+7342)	e78d82
獃	dull; dull-minded, simple, stupid (U+7343)	e78d83
獄	prison, jail; case; lawsuit (U+7344)	e78d84
獅	lion (U+7345)	e78d85
獆	U+7346 (U+7346)	e78d86
獇	U+7347 (U+7347)	e78d87
獈	U+7348 (U+7348)	e78d88
獉	jungle (U+7349)	e78d89
獊	U+734A (U+734A)	e78d8a
獋	roar; cry (U+734B)	e78d8b
獌	U+734C (U+734C)	e78d8c
獍	a mythical animal that eats its mother when it is born; Manchurian tiger (U+734D)	e78d8d
獎	prize, reward; give award to (U+734E)	e78d8e
獏	the panther; the tapir (U+734F)	e78d8f
獐	roebuck, hornless river deer (U+7350)	e78d90
獑	U+7351 (U+7351)	e78d91
獒	mastiff, large fierce dog (U+7352)	e78d92
獓	U+7353 (U+7353)	e78d93
獔	U+7354 (U+7354)	e78d94
獕	U+7355 (U+7355)	e78d95
獖	U+7356 (U+7356)	e78d96
獗	unruly, wild, violent, lawless (U+7357)	e78d97
獘	collapse (U+7358)	e78d98
獙	U+7359 (U+7359)	e78d99
獚	U+735A (U+735A)	e78d9a
獛	U+735B (U+735B)	e78d9b
獜	U+735C (U+735C)	e78d9c
獝	devil (U+735D)	e78d9d
獞	name of a variety of dog; wild tribes in South China (U+735E)	e78d9e
獟	U+735F (U+735F)	e78d9f
獠	to hunt at night by torches (U+7360)	e78da0
獡	U+7361 (U+7361)	e78da1
獢	dog (U+7362)	e78da2
獣	beast, animal; bestial (U+7363)	e78da3
獤	U+7364 (U+7364)	e78da4
獥	U+7365 (U+7365)	e78da5
獦	U+7366 (U+7366)	e78da6
獧	rash; honest and straightforward (U+7367)	e78da7
獨	alone, single, solitary, only (U+7368)	e78da8
獩	U+7369 (U+7369)	e78da9
獪	sly, cunning, crafty (U+736A)	e78daa
獫	dog (U+736B)	e78dab
獬	a fabulous monster (U+736C)	e78dac
獭	otter (U+736D)	e78dad
獮	hunt; autumn hunting; to capture with a fine net (U+736E)	e78dae
獯	a tribe of Scythians which invaded China during the Hsia dynasty (U+736F)	e78daf
獰	ferocious appearance; hideous (U+7370)	e78db0
獱	a kind of otter (U+7371)	e78db1
獲	obtain, get, receive; seize (U+7372)	e78db2
獳	looking like a fierce dog; angry (U+7373)	e78db3
獴	mongoose (U+7374)	e78db4
獵	hunt; field sports (U+7375)	e78db5
獶	U+7376 (U+7376)	e78db6
獷	fierce, rude, uncivilized (U+7377)	e78db7
獸	beast, animal; bestial (U+7378)	e78db8
獹	a hound (U+7379)	e78db9
獺	otter (U+737A)	e78dba
獻	offer, present; show, display (U+737B)	e78dbb
獼	macacus monkey (U+737C)	e78dbc
獽	U+737D (U+737D)	e78dbd
獾	the badger (U+737E)	e78dbe
獿	U+737F (U+737F)	e78dbf
玀	pig; lolo aborginal tribe (U+7380)	e78e80
玁	a dog with a long snout or muzzle (U+7381)	e78e81
玂	U+7382 (U+7382)	e78e82
玃	a large ape found in W. China (U+7383)	e78e83
玄	deep, profound, abstruse; KangXi radical 95 (U+7384)	e78e84
玅	mysterious, subtle; exquisite (U+7385)	e78e85
玆	now, here; this; time, year (U+7386)	e78e86
率	to lead; ratio; rate; limit (U+7387)	e78e87
玈	black (U+7388)	e78e88
玉	jade, precious stone, gem (U+7389)	e78e89
