盕	U+76D5 (U+76D5)	e79b95
盖	cover, hide, protect (U+76D6)	e79b96
盗	rob, steal; thief, bandit (U+76D7)	e79b97
盘	tray, plate, dish; examine (U+76D8)	e79b98
盙	a basket, square outside and round inside, used to hold boiled grain in State worship (U+76D9)	e79b99
盚	U+76DA (U+76DA)	e79b9a
盛	abundant, flourishing; contain; fill (U+76DB)	e79b9b
盜	rob, steal; thief, bandit (U+76DC)	e79b9c
盝	drip (U+76DD)	e79b9d
盞	small cup or container; classifier for lamps, etc. (U+76DE)	e79b9e
盟	swear; oath, covenant, alliance (U+76DF)	e79b9f
盠	U+76E0 (U+76E0)	e79ba0
盡	exhaust, use up; deplete (U+76E1)	e79ba1
盢	U+76E2 (U+76E2)	e79ba2
監	supervise, control, direct (U+76E3)	e79ba3
盤	tray, plate, dish; examine (U+76E4)	e79ba4
盥	wash (U+76E5)	e79ba5
盦	lid of a caldron; Buddhist cloister (U+76E6)	e79ba6
盧	cottage, hut; surname; black (U+76E7)	e79ba7
盨	U+76E8 (U+76E8)	e79ba8
盩	callus (U+76E9)	e79ba9
盪	to toss about; to swing; to rock (U+76EA)	e79baa
盫	U+76EB (U+76EB)	e79bab
盬	salt pit; leisure; pot; drink (U+76EC)	e79bac
盭	cruel (U+76ED)	e79bad
目	eye; look, see; division, topic (U+76EE)	e79bae
盯	rivet gaze upon, keep eyes on (U+76EF)	e79baf
盰	U+76F0 (U+76F0)	e79bb0
盱	wide open eyes; to gaze in astonishment (U+76F1)	e79bb1
盲	blind; unperceptive, shortsighted (U+76F2)	e79bb2
盳	U+76F3 (U+76F3)	e79bb3
直	straight, erect, vertical (U+76F4)	e79bb4
盵	U+76F5 (U+76F5)	e79bb5
盶	U+76F6 (U+76F6)	e79bb6
盷	U+76F7 (U+76F7)	e79bb7
相	mutual, reciprocal, each other (U+76F8)	e79bb8
盹	to doze; to nap; to nod (U+76F9)	e79bb9
盺	U+76FA (U+76FA)	e79bba
盻	glare; stare (U+76FB)	e79bbb
盼	look, gaze; expect, hope for (U+76FC)	e79bbc
盽	U+76FD (U+76FD)	e79bbd
盾	shield; dutch guilder; Indonesia (U+76FE)	e79bbe
盿	U+76FF (U+76FF)	e79bbf
眀	U+7700 (U+7700)	e79c80
省	province; save, economize (U+7701)	e79c81
眂	U+7702 (U+7702)	e79c82
眃	U+7703 (U+7703)	e79c83
眄	to look askance; looking dull (U+7704)	e79c84
眅	inlay; border (U+7705)	e79c85
眆	indistinct (U+7706)	e79c86
眇	blind in one eye; minute, minuscule (U+7707)	e79c87
眈	gloat, stare at; to delay, to loiter, to hinder (U+7708)	e79c88
眉	eyebrows; upper margin of book (U+7709)	e79c89
眊	dim-sighted; dull, bewildered (U+770A)	e79c8a
看	look, see; examine, scrutinize (U+770B)	e79c8b
県	county, district, subdivision (U+770C)	e79c8c
眍	sunken (U+770D)	e79c8d
眎	look at, inspect, observe, see (U+770E)	e79c8e
眏	U+770F (U+770F)	e79c8f
眐	U+7710 (U+7710)	e79c90
眑	sunken eyes; deep; abstruse (U+7711)	e79c91
眒	U+7712 (U+7712)	e79c92
眓	U+7713 (U+7713)	e79c93
眔	U+7714 (U+7714)	e79c94
眕	restraint (U+7715)	e79c95
眖	U+7716 (U+7716)	e79c96
眗	U+7717 (U+7717)	e79c97
眘	U+7718 (U+7718)	e79c98
眙	to gaze at (U+7719)	e79c99
眚	disease of the eyes; crime, fault (U+771A)	e79c9a
眛	dim, dark, obscure; blind (U+771B)	e79c9b
眜	U+771C (U+771C)	e79c9c
眝	U+771D (U+771D)	e79c9d
眞	real, actual, true, genuine (U+771E)	e79c9e
真	real, actual, true, genuine (U+771F)	e79c9f
眠	close eyes, sleep; hibernate (U+7720)	e79ca0
眡	(Cant.) blurred sight (U+7721)	e79ca1
眢	eyes without brightness (U+7722)	e79ca2
眣	prominent eyes (U+7723)	e79ca3
眤	U+7724 (U+7724)	e79ca4
眥	eye sockets; corner of the eyes (U+7725)	e79ca5
眦	corner of the eyes, eyesockets (U+7726)	e79ca6
眧	U+7727 (U+7727)	e79ca7
眨	wink (U+7728)	e79ca8
眩	to confuse; dizzy, dazed, disoriented (U+7729)	e79ca9
眪	U+772A (U+772A)	e79caa
眫	U+772B (U+772B)	e79cab
眬	faint, fuzzy, blurred (U+772C)	e79cac
眭	evil look of deep-set eyes (U+772D)	e79cad
眮	U+772E (U+772E)	e79cae
眯	be blinded (U+772F)	e79caf
眰	U+7730 (U+7730)	e79cb0
眱	U+7731 (U+7731)	e79cb1
眲	U+7732 (U+7732)	e79cb2
眳	U+7733 (U+7733)	e79cb3
眴	dazzled (U+7734)	e79cb4
眵	eyes diseased and dim (U+7735)	e79cb5
眶	eye socket; rim of eye (U+7736)	e79cb6
眷	take interest in, care for (U+7737)	e79cb7
眸	pupil of eye; eye (U+7738)	e79cb8
眹	pupil (U+7739)	e79cb9
眺	look at, gaze at, scan, survey (U+773A)	e79cba
眻	U+773B (U+773B)	e79cbb
眼	eye; eyelet, hole, opening (U+773C)	e79cbc
眽	to gaze; to ogle to look at (U+773D)	e79cbd
眾	masses, people, multitude, crowd (U+773E)	e79cbe
眿	U+773F (U+773F)	e79cbf
着	make move, take action (U+7740)	e79d80
睁	open eyes; stare (U+7741)	e79d81
睂	U+7742 (U+7742)	e79d82
睃	U+7743 (U+7743)	e79d83
睄	(Cant.) to glance (U+7744)	e79d84
睅	big-eyed (U+7745)	e79d85
睆	bright (U+7746)	e79d86
睇	look at, glance at; stare at (U+7747)	e79d87
睈	U+7748 (U+7748)	e79d88
睉	U+7749 (U+7749)	e79d89
睊	see, look, gaze at; askance (U+774A)	e79d8a
睋	U+774B (U+774B)	e79d8b
睌	U+774C (U+774C)	e79d8c
睍	to look at fearfully; overly cautious (U+774D)	e79d8d
睎	to long for; to gaze at (U+774E)	e79d8e
睏	be tired, sleepy (U+774F)	e79d8f
睐	squint at; sidelong glance (U+7750)	e79d90
睑	eyelid (U+7751)	e79d91
睒	to glance at, to peep; glittering; to shine (U+7752)	e79d92
睓	U+7753 (U+7753)	e79d93
睔	U+7754 (U+7754)	e79d94
睕	U+7755 (U+7755)	e79d95
睖	to stare straight ahead (U+7756)	e79d96
睗	a flash (U+7757)	e79d97
睘	round; stare (U+7758)	e79d98
睙	U+7759 (U+7759)	e79d99
睚	corner of eye; stare (U+775A)	e79d9a
睛	eyeball; pupil of eye (U+775B)	e79d9b
睜	to open the eyes; stare (U+775C)	e79d9c
睝	U+775D (U+775D)	e79d9d
睞	squint at; sidelong glance (U+775E)	e79d9e
睟	clear-eyed (U+775F)	e79d9f
睠	to care for; love (U+7760)	e79da0
睡	sleep, doze (U+7761)	e79da1
睢	gaze at, stare at; uninhibited (U+7762)	e79da2
督	supervise, oversee, direct (U+7763)	e79da3
睤	to look around, look askance (U+7764)	e79da4
睥	look askance at, glare at (U+7765)	e79da5
睦	friendly, amiable, peaceful (U+7766)	e79da6
睧	dull vision (U+7767)	e79da7
睨	look askance at, glare at; squint (U+7768)	e79da8
睩	U+7769 (U+7769)	e79da9
睪	spy on (U+776A)	e79daa
睫	eyelashes (U+776B)	e79dab
睬	notice; pay attention to (U+776C)	e79dac
睭	U+776D (U+776D)	e79dad
睮	U+776E (U+776E)	e79dae
睯	U+776F (U+776F)	e79daf
睰	U+7770 (U+7770)	e79db0
睱	to gaze slowly; white appearance of the eyes (U+7771)	e79db1
睲	U+7772 (U+7772)	e79db2
睳	U+7773 (U+7773)	e79db3
睴	U+7774 (U+7774)	e79db4
睵	U+7775 (U+7775)	e79db5
睶	U+7776 (U+7776)	e79db6
睷	U+7777 (U+7777)	e79db7
睸	(Cant.) to close, shut (U+7778)	e79db8
睹	look at, gaze at; observe (U+7779)	e79db9
睺	(Cant.) to watch (U+777A)	e79dba
睻	U+777B (U+777B)	e79dbb
睼	U+777C (U+777C)	e79dbc
睽	staring (U+777D)	e79dbd
睾	testicle (U+777E)	e79dbe
睿	shrewd, astute, clever, keen (U+777F)	e79dbf
瞀	to look at closely; nearsighted; dim; indistinct vision (U+7780)	e79e80
瞁	U+7781 (U+7781)	e79e81
瞂	U+7782 (U+7782)	e79e82
瞃	U+7783 (U+7783)	e79e83
瞄	take aim at; look at (U+7784)	e79e84
瞅	see, look, gaze at (U+7785)	e79e85
瞆	dim (U+7786)	e79e86
瞇	to close (the eyes); to squint (U+7787)	e79e87
瞈	U+7788 (U+7788)	e79e88
瞉	U+7789 (U+7789)	e79e89
瞊	U+778A (U+778A)	e79e8a
瞋	glare with anger (U+778B)	e79e8b
瞌	doze off; sleepy (U+778C)	e79e8c
瞍	blind; no pupil in the eye (U+778D)	e79e8d
瞎	blind, reckless; rash (U+778E)	e79e8e
瞏	round (U+778F)	e79e8f
瞐	U+7790 (U+7790)	e79e90
瞑	close eyes (U+7791)	e79e91
瞒	deceive, lie; eyes half-closed (U+7792)	e79e92
瞓	to sleep (U+7793)	e79e93
瞔	U+7794 (U+7794)	e79e94
瞕	cataract in the eye (U+7795)	e79e95
瞖	a cataract or film over the eye (U+7796)	e79e96
瞗	U+7797 (U+7797)	e79e97
瞘	deeply-sunk eyes (U+7798)	e79e98
瞙	U+7799 (U+7799)	e79e99
瞚	U+779A (U+779A)	e79e9a
瞛	U+779B (U+779B)	e79e9b
瞜	to see; to look at; to observe (U+779C)	e79e9c
瞝	U+779D (U+779D)	e79e9d
瞞	deceive, lie; eyes half-closed (U+779E)	e79e9e
瞟	glare at; look askance at; squint (U+779F)	e79e9f
瞠	look at, stare at, gaze at (U+77A0)	e79ea0
瞡	U+77A1 (U+77A1)	e79ea1
瞢	eyesight obscured; to feel ashamed (U+77A2)	e79ea2
瞣	U+77A3 (U+77A3)	e79ea3
瞤	to blink or twitch the eyes (U+77A4)	e79ea4
瞥	take fleeting glance at (U+77A5)	e79ea5
瞦	U+77A6 (U+77A6)	e79ea6
瞧	glance at, look at, see (U+77A7)	e79ea7
瞨	U+77A8 (U+77A8)	e79ea8
瞩	watch carefully, stare at, focus on (U+77A9)	e79ea9
瞪	stare at (U+77AA)	e79eaa
瞫	look (U+77AB)	e79eab
瞬	wink, blink; in a wink, a flash (U+77AC)	e79eac
瞭	bright, clear; clear-sighted (U+77AD)	e79ead
瞮	U+77AE (U+77AE)	e79eae
瞯	to peep; to spy (U+77AF)	e79eaf
瞰	watch, spy; overlook; look down (U+77B0)	e79eb0
瞱	U+77B1 (U+77B1)	e79eb1
瞲	U+77B2 (U+77B2)	e79eb2
瞳	pupil of eye (U+77B3)	e79eb3
瞴	U+77B4 (U+77B4)	e79eb4
瞵	to stare at (U+77B5)	e79eb5
瞶	dim; blurred vision (U+77B6)	e79eb6
瞷	U+77B7 (U+77B7)	e79eb7
瞸	U+77B8 (U+77B8)	e79eb8
瞹	clouded, obscure (U+77B9)	e79eb9
瞺	U+77BA (U+77BA)	e79eba
瞻	look; look out for; respect (U+77BB)	e79ebb
瞼	eyelid (U+77BC)	e79ebc
瞽	blind; blind musician; stupid (U+77BD)	e79ebd
瞾	U+77BE (U+77BE)	e79ebe
瞿	surname (U+77BF)	e79ebf
矀	U+77C0 (U+77C0)	e79f80
矁	to look at; to gaze (U+77C1)	e79f81
矂	U+77C2 (U+77C2)	e79f82
矃	U+77C3 (U+77C3)	e79f83
矄	U+77C4 (U+77C4)	e79f84
矅	U+77C5 (U+77C5)	e79f85
矆	U+77C6 (U+77C6)	e79f86
矇	stupid, ignorant; blind (U+77C7)	e79f87
矈	dense, detailed, fine (U+77C8)	e79f88
矉	an angry glare; to open the eyes with anger (U+77C9)	e79f89
矊	U+77CA (U+77CA)	e79f8a
矋	(Cant.) to stare angrily (U+77CB)	e79f8b
矌	U+77CC (U+77CC)	e79f8c
矍	look about in fright or alarm (U+77CD)	e79f8d
矎	U+77CE (U+77CE)	e79f8e
矏	U+77CF (U+77CF)	e79f8f
矐	U+77D0 (U+77D0)	e79f90
矑	the pupil of the eye; to see (U+77D1)	e79f91
矒	U+77D2 (U+77D2)	e79f92
矓	faint, fuzzy, blurred (U+77D3)	e79f93
矔	U+77D4 (U+77D4)	e79f94
矕	to see, witness, inspect (U+77D5)	e79f95
矖	U+77D6 (U+77D6)	e79f96
矗	straight, upright, erect, lofty (U+77D7)	e79f97
矘	U+77D8 (U+77D8)	e79f98
矙	view (U+77D9)	e79f99
矚	watch carefully, stare at, focus on (U+77DA)	e79f9a
矛	spear, lance; KangXi radical 110 (U+77DB)	e79f9b
矜	pity, feel sorry for, show sympat (U+77DC)	e79f9c
