竕	deciliter (U+7AD5)	e7ab95
竖	perpendicular, vertical; erect (U+7AD6)	e7ab96
竗	U+7AD7 (U+7AD7)	e7ab97
竘	U+7AD8 (U+7AD8)	e7ab98
站	stand up; a stand, station (U+7AD9)	e7ab99
竚	stand and wait for long time (U+7ADA)	e7ab9a
竛	U+7ADB (U+7ADB)	e7ab9b
竜	dragon; symbolic of emperor (U+7ADC)	e7ab9c
竝	to combine, annex; also, what's more (U+7ADD)	e7ab9d
竞	contend, vie, compete (U+7ADE)	e7ab9e
竟	finally, after all, at last (U+7ADF)	e7ab9f
章	composition; chapter, section (U+7AE0)	e7aba0
竡	hectoliter (U+7AE1)	e7aba1
竢	wait for, wait until, as soon as (U+7AE2)	e7aba2
竣	terminate, end, finish; quit (U+7AE3)	e7aba3
竤	U+7AE4 (U+7AE4)	e7aba4
童	child, boy, servant boy; virgin (U+7AE5)	e7aba5
竦	revere, respect, be in awe of (U+7AE6)	e7aba6
竧	U+7AE7 (U+7AE7)	e7aba7
竨	U+7AE8 (U+7AE8)	e7aba8
竩	U+7AE9 (U+7AE9)	e7aba9
竪	perpendicular, vertical; erect (U+7AEA)	e7abaa
竫	U+7AEB (U+7AEB)	e7abab
竬	U+7AEC (U+7AEC)	e7abac
竭	put forth great effort; exhaust (U+7AED)	e7abad
竮	U+7AEE (U+7AEE)	e7abae
端	end, extreme; head; beginning (U+7AEF)	e7abaf
竰	centiliter (U+7AF0)	e7abb0
竱	U+7AF1 (U+7AF1)	e7abb1
竲	U+7AF2 (U+7AF2)	e7abb2
竳	U+7AF3 (U+7AF3)	e7abb3
竴	U+7AF4 (U+7AF4)	e7abb4
竵	U+7AF5 (U+7AF5)	e7abb5
競	contend, vie, compete (U+7AF6)	e7abb6
竷	U+7AF7 (U+7AF7)	e7abb7
竸	contend, vie, compete (U+7AF8)	e7abb8
竹	bamboo; flute; KangXi radical 118 (U+7AF9)	e7abb9
竺	India; bamboo; surname (U+7AFA)	e7abba
竻	U+7AFB (U+7AFB)	e7abbb
竼	bamboo cover for boat (U+7AFC)	e7abbc
竽	ancient woodwind instrument (U+7AFD)	e7abbd
竾	flute (U+7AFE)	e7abbe
竿	bamboo pole; penis (U+7AFF)	e7abbf
笀	U+7B00 (U+7B00)	e7ac80
笁	U+7B01 (U+7B01)	e7ac81
笂	U+7B02 (U+7B02)	e7ac82
笃	deep, true, sincere, genuine (U+7B03)	e7ac83
笄	hairpin; fifteen year old girl (U+7B04)	e7ac84
笅	U+7B05 (U+7B05)	e7ac85
笆	bamboo fence (U+7B06)	e7ac86
笇	U+7B07 (U+7B07)	e7ac87
笈	bamboo box used carry books (U+7B08)	e7ac88
笉	U+7B09 (U+7B09)	e7ac89
笊	ladle, bamboo skimmer (U+7B0A)	e7ac8a
笋	bamboo shoots (U+7B0B)	e7ac8b
笌	U+7B0C (U+7B0C)	e7ac8c
笍	U+7B0D (U+7B0D)	e7ac8d
笎	U+7B0E (U+7B0E)	e7ac8e
笏	tablet held by someone having authority (U+7B0F)	e7ac8f
笐	bamboos placed across wooden frames on which grain may be stored in damp climates (U+7B10)	e7ac90
笑	smile, laugh, giggle; snicker (U+7B11)	e7ac91
笒	U+7B12 (U+7B12)	e7ac92
笓	to comb; a fine-toothed comb (U+7B13)	e7ac93
笔	writing brush; write; stroke (U+7B14)	e7ac94
笕	bamboo water pipe (U+7B15)	e7ac95
笖	U+7B16 (U+7B16)	e7ac96
笗	U+7B17 (U+7B17)	e7ac97
笘	U+7B18 (U+7B18)	e7ac98
笙	small gourd-shaped musical instrument (U+7B19)	e7ac99
笚	U+7B1A (U+7B1A)	e7ac9a
笛	bamboo flute; whistle (U+7B1B)	e7ac9b
笜	U+7B1C (U+7B1C)	e7ac9c
笝	U+7B1D (U+7B1D)	e7ac9d
笞	bamboo rod used for beatings (U+7B1E)	e7ac9e
笟	U+7B1F (U+7B1F)	e7ac9f
笠	bamboo hat; bamboo covering (U+7B20)	e7aca0
笡	U+7B21 (U+7B21)	e7aca1
笢	U+7B22 (U+7B22)	e7aca2
笣	U+7B23 (U+7B23)	e7aca3
笤	a broom, a besom (U+7B24)	e7aca4
笥	a hamper, wicker basket (U+7B25)	e7aca5
符	i.d. tag, tally, symbol, charm (U+7B26)	e7aca6
笧	to entwine around; check (a current) with a weir (U+7B27)	e7aca7
笨	foolish, stupid, dull; awkward (U+7B28)	e7aca8
笩	U+7B29 (U+7B29)	e7aca9
笪	a coarse mat of rushes or bamboo (U+7B2A)	e7acaa
笫	bed boards, sleeping mat (U+7B2B)	e7acab
第	sequence, number; grade, degree (U+7B2C)	e7acac
笭	bamboo screen (U+7B2D)	e7acad
笮	boards which support tiles on roof (U+7B2E)	e7acae
笯	a bird-cage (U+7B2F)	e7acaf
笰	curtain (U+7B30)	e7acb0
笱	a basket trap for fish, placed in the opening of a weir (U+7B31)	e7acb1
笲	basket (U+7B32)	e7acb2
笳	a reed leaf whistle (U+7B33)	e7acb3
笴	an arrow shaft (U+7B34)	e7acb4
笵	a bamboo form; a model (U+7B35)	e7acb5
笶	U+7B36 (U+7B36)	e7acb6
笷	U+7B37 (U+7B37)	e7acb7
笸	flat basket for grain (U+7B38)	e7acb8
笹	small bamboo (U+7B39)	e7acb9
笺	note, memo; stationery; comments (U+7B3A)	e7acba
笻	U+7B3B (U+7B3B)	e7acbb
笼	cage; cage-like basket (U+7B3C)	e7acbc
笽	U+7B3D (U+7B3D)	e7acbd
笾	bamboo container for food (U+7B3E)	e7acbe
笿	U+7B3F (U+7B3F)	e7acbf
筀	U+7B40 (U+7B40)	e7ad80
筁	a bamboo frame on which silkworms spin their cocoons (U+7B41)	e7ad81
筂	U+7B42 (U+7B42)	e7ad82
筃	U+7B43 (U+7B43)	e7ad83
筄	U+7B44 (U+7B44)	e7ad84
筅	bamboo brush; halberd (U+7B45)	e7ad85
筆	writing brush; write; stroke (U+7B46)	e7ad86
筇	bamboo name; bamboo staff (U+7B47)	e7ad87
筈	arrow end (U+7B48)	e7ad88
等	rank, grade; wait; equal; 'etc.' (U+7B49)	e7ad89
筊	bamboo rope; bamboo object used (U+7B4A)	e7ad8a
筋	muscles; tendons (U+7B4B)	e7ad8b
筌	bamboo fish trap (U+7B4C)	e7ad8c
筍	bamboo shoot; joint; tendon (U+7B4D)	e7ad8d
筎	U+7B4E (U+7B4E)	e7ad8e
筏	raft (U+7B4F)	e7ad8f
筐	bamboo basket or chest (U+7B50)	e7ad90
筑	ancient lute; build (U+7B51)	e7ad91
筒	thick piece of bamboo; pipe (U+7B52)	e7ad92
筓	a hairpin on which the hair is bound at the back of the head. 15 of age (U+7B53)	e7ad93
答	answer, reply; return; assent to (U+7B54)	e7ad94
筕	U+7B55 (U+7B55)	e7ad95
策	scheme, plan; to whip; urge (U+7B56)	e7ad96
筗	U+7B57 (U+7B57)	e7ad97
筘	U+7B58 (U+7B58)	e7ad98
筙	U+7B59 (U+7B59)	e7ad99
筚	wicker, bamboo (U+7B5A)	e7ad9a
筛	sieve, filter, screen; sift (U+7B5B)	e7ad9b
筜	tall bamboo (U+7B5C)	e7ad9c
筝	stringed musical instrument; kite (U+7B5D)	e7ad9d
筞	U+7B5E (U+7B5E)	e7ad9e
筟	U+7B5F (U+7B5F)	e7ad9f
筠	bamboo skin; bamboo (U+7B60)	e7ada0
筡	U+7B61 (U+7B61)	e7ada1
筢	rake (U+7B62)	e7ada2
筣	U+7B63 (U+7B63)	e7ada3
筤	young bamboo (U+7B64)	e7ada4
筥	round-shaped bamboo basket for holding rice (U+7B65)	e7ada5
筦	a key; to be in charge; a pipe (U+7B66)	e7ada6
筧	bamboo water pipe (U+7B67)	e7ada7
筨	U+7B68 (U+7B68)	e7ada8
筩	bamboo pipe; fish hook (U+7B69)	e7ada9
筪	U+7B6A (U+7B6A)	e7adaa
筫	U+7B6B (U+7B6B)	e7adab
筬	reed of a loom (U+7B6C)	e7adac
筭	an ancient device for working with numbers; count, calculate, figure (U+7B6D)	e7adad
筮	divination with stalks of plants; divining rod (U+7B6E)	e7adae
筯	chopsticks, tongs (U+7B6F)	e7adaf
筰	cable (U+7B70)	e7adb0
筱	dwarf bamboo; diminutive in person's name (U+7B71)	e7adb1
筲	basket, bucket (U+7B72)	e7adb2
筳	feast (U+7B73)	e7adb3
筴	type of grass used in divination; to divine; pincers (U+7B74)	e7adb4
筵	bamboo mat; feast, banquet (U+7B75)	e7adb5
筶	U+7B76 (U+7B76)	e7adb6
筷	chopsticks (U+7B77)	e7adb7
筸	name of a place in Honan (U+7B78)	e7adb8
筹	chip, tally, token; raise money (U+7B79)	e7adb9
筺	bamboo basket or chest (U+7B7A)	e7adba
筻	place name in Hunan province (U+7B7B)	e7adbb
筼	tall bamboo (U+7B7C)	e7adbc
筽	U+7B7D (U+7B7D)	e7adbd
签	sign, endorse; slip of paper (U+7B7E)	e7adbe
筿	U+7B7F (U+7B7F)	e7adbf
简	simple, terse, succinct, a letter (U+7B80)	e7ae80
箁	U+7B81 (U+7B81)	e7ae81
箂	U+7B82 (U+7B82)	e7ae82
箃	U+7B83 (U+7B83)	e7ae83
箄	U+7B84 (U+7B84)	e7ae84
箅	U+7B85 (U+7B85)	e7ae85
箆	fine-toothed comb; comb hair (U+7B86)	e7ae86
箇	numerary adjunct, piece; single (U+7B87)	e7ae87
箈	U+7B88 (U+7B88)	e7ae88
箉	U+7B89 (U+7B89)	e7ae89
箊	U+7B8A (U+7B8A)	e7ae8a
箋	note, memo; stationery; comments (U+7B8B)	e7ae8b
箌	U+7B8C (U+7B8C)	e7ae8c
箍	hoop; bind, surround (U+7B8D)	e7ae8d
箎	ancient woodwind instrument (U+7B8E)	e7ae8e
箏	stringed musical instrument; kite (U+7B8F)	e7ae8f
箐	to draw a bamboo bow or crossbow (U+7B90)	e7ae90
箑	fan (U+7B91)	e7ae91
箒	broom (U+7B92)	e7ae92
箓	book (U+7B93)	e7ae93
箔	reed screen; frame for growing silkworms (U+7B94)	e7ae94
箕	sieve; dust pan, garbage bag (U+7B95)	e7ae95
箖	U+7B96 (U+7B96)	e7ae96
算	count, calculate, figure; plan (U+7B97)	e7ae97
箘	fine bamboo (U+7B98)	e7ae98
箙	quiver (U+7B99)	e7ae99
箚	brief note; official communique (U+7B9A)	e7ae9a
箛	bugle (U+7B9B)	e7ae9b
箜	ancient string music instrument (U+7B9C)	e7ae9c
箝	tweezers, pliers, tongs, pincers (U+7B9D)	e7ae9d
箞	U+7B9E (U+7B9E)	e7ae9e
箟	U+7B9F (U+7B9F)	e7ae9f
箠	horse whip; flog (U+7BA0)	e7aea0
管	pipe, tube, duct; woodwind music (U+7BA1)	e7aea1
箢	U+7BA2 (U+7BA2)	e7aea2
箣	U+7BA3 (U+7BA3)	e7aea3
箤	U+7BA4 (U+7BA4)	e7aea4
箥	U+7BA5 (U+7BA5)	e7aea5
箦	bed mat; mat (U+7BA6)	e7aea6
箧	rattan box, suitcase, or case (U+7BA7)	e7aea7
箨	bamboo sheath, bamboo shoots (U+7BA8)	e7aea8
箩	bamboo basket (U+7BA9)	e7aea9
箪	small bamboo basket for holding (U+7BAA)	e7aeaa
箫	bamboo flute (U+7BAB)	e7aeab
箬	the cuticle of the bamboo a broad-leaved bamboo (U+7BAC)	e7aeac
箭	arrow; type of bamboo (U+7BAD)	e7aead
箮	U+7BAE (U+7BAE)	e7aeae
箯	bamboo palanquin (U+7BAF)	e7aeaf
箰	U+7BB0 (U+7BB0)	e7aeb0
箱	case, box, chest, trunk (U+7BB1)	e7aeb1
箲	U+7BB2 (U+7BB2)	e7aeb2
箳	bamboo mat used to protect carriage passengers from dust (vulgar form) (U+7BB3)	e7aeb3
箴	needle, probe; admon (U+7BB4)	e7aeb4
箵	U+7BB5 (U+7BB5)	e7aeb5
箶	U+7BB6 (U+7BB6)	e7aeb6
箷	U+7BB7 (U+7BB7)	e7aeb7
箸	chopsticks (U+7BB8)	e7aeb8
箹	U+7BB9 (U+7BB9)	e7aeb9
箺	U+7BBA (U+7BBA)	e7aeba
箻	U+7BBB (U+7BBB)	e7aebb
箼	U+7BBC (U+7BBC)	e7aebc
箽	U+7BBD (U+7BBD)	e7aebd
箾	musical instrument like pan-pipes, bamboo flute (U+7BBE)	e7aebe
箿	U+7BBF (U+7BBF)	e7aebf
節	knot, node, joint; section (U+7BC0)	e7af80
篁	bamboo grove; bamboo (U+7BC1)	e7af81
篂	U+7BC2 (U+7BC2)	e7af82
篃	U+7BC3 (U+7BC3)	e7af83
範	pattern, model, rule, law (U+7BC4)	e7af84
篅	U+7BC5 (U+7BC5)	e7af85
篆	seal script; seal, official stamp (U+7BC6)	e7af86
篇	chapter, section, essay, article (U+7BC7)	e7af87
篈	U+7BC8 (U+7BC8)	e7af88
