苕	rush plant (U+82D5)	e88b95
苖	U+82D6 (U+82D6)	e88b96
苗	sprouts; Miao nationality (U+82D7)	e88b97
苘	Indian mallow (U+82D8)	e88b98
苙	a pig-sty; a kind of medicinal plant (U+82D9)	e88b99
苚	U+82DA (U+82DA)	e88b9a
苛	small, petty; harsh, rigorous (U+82DB)	e88b9b
苜	clover (U+82DC)	e88b9c
苝	U+82DD (U+82DD)	e88b9d
苞	a variety of rush; firm, enduring; to burst forth (U+82DE)	e88b9e
苟	careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name; distinguish DKW 30853 (ji4) (U+82DF)	e88b9f
苠	U+82E0 (U+82E0)	e88ba0
苡	barley (U+82E1)	e88ba1
苢	barley; coix agretis (U+82E2)	e88ba2
苣	kind of lettuce (U+82E3)	e88ba3
苤	kohl rabi (U+82E4)	e88ba4
若	if, supposing, assuming; similar (U+82E5)	e88ba5
苦	bitter; hardship, suffering (U+82E6)	e88ba6
苧	China grass, ramie (Boehmeria nivea) (U+82E7)	e88ba7
苨	U+82E8 (U+82E8)	e88ba8
苩	U+82E9 (U+82E9)	e88ba9
苪	bright; shining, splendid (U+82EA)	e88baa
苫	rush or straw matting (U+82EB)	e88bab
苬	U+82EC (U+82EC)	e88bac
苭	U+82ED (U+82ED)	e88bad
苮	U+82EE (U+82EE)	e88bae
苯	benzene; luxuriant (U+82EF)	e88baf
苰	U+82F0 (U+82F0)	e88bb0
英	petal, flower, leaf; brave, a hero; England, English (U+82F1)	e88bb1
苲	U+82F2 (U+82F2)	e88bb2
苳	Petasites japonicus (U+82F3)	e88bb3
苴	sackcloth; female hemp plant (U+82F4)	e88bb4
苵	U+82F5 (U+82F5)	e88bb5
苶	weary; tired (U+82F6)	e88bb6
苷	licorice (U+82F7)	e88bb7
苸	U+82F8 (U+82F8)	e88bb8
苹	artemisia; duckweed; apple (U+82F9)	e88bb9
苺	berries (U+82FA)	e88bba
苻	kind of herb; type of grass (U+82FB)	e88bbb
苼	U+82FC (U+82FC)	e88bbc
