諕	to intimidate (U+8AD5)	e8ab95
論	debate; discuss; discourse (U+8AD6)	e8ab96
諗	consult carefully with, counsel (U+8AD7)	e8ab97
諘	U+8AD8 (U+8AD8)	e8ab98
諙	U+8AD9 (U+8AD9)	e8ab99
諚	(kokuji) command (U+8ADA)	e8ab9a
諛	flatter, truckle (U+8ADB)	e8ab9b
諜	an intelligence report; to spy; spying (U+8ADC)	e8ab9c
諝	knowledge; discrimination; treachery (U+8ADD)	e8ab9d
諞	brag, boast; quibble (U+8ADE)	e8ab9e
諟	to examine; to consider; honest (U+8ADF)	e8ab9f
諠	noisy, uproarious; forget (U+8AE0)	e8aba0
諡	posthumous name, posthumous title (U+8AE1)	e8aba1
諢	jokes, obscene jests; joke (U+8AE2)	e8aba2
諣	U+8AE3 (U+8AE3)	e8aba3
諤	honest speech, straightforward (U+8AE4)	e8aba4
諥	U+8AE5 (U+8AE5)	e8aba5
諦	careful, attentive (U+8AE6)	e8aba6
諧	harmonize, agree; joke, jest (U+8AE7)	e8aba7
諨	U+8AE8 (U+8AE8)	e8aba8
諩	U+8AE9 (U+8AE9)	e8aba9
諪	U+8AEA (U+8AEA)	e8abaa
諫	remonstrate, admonish (U+8AEB)	e8abab
諬	to open to begin to explain to inform a letter (U+8AEC)	e8abac
諭	proclaim, instruct; edict (U+8AED)	e8abad
諮	consult, confer; communicate in (U+8AEE)	e8abae
諯	U+8AEF (U+8AEF)	e8abaf
諰	apprehensive (U+8AF0)	e8abb0
諱	conceal; shun; regard as taboo (U+8AF1)	e8abb1
諲	U+8AF2 (U+8AF2)	e8abb2
諳	versed in, fully acquainted with (U+8AF3)	e8abb3
諴	in harmony; in agreement; incere (U+8AF4)	e8abb4
諵	mutter (U+8AF5)	e8abb5
諶	sincere, faithful; surname (U+8AF6)	e8abb6
諷	recite, incant; satirize (U+8AF7)	e8abb7
諸	several, various (U+8AF8)	e8abb8
諹	U+8AF9 (U+8AF9)	e8abb9
諺	proverb, maxim (U+8AFA)	e8abba
諻	U+8AFB (U+8AFB)	e8abbb
諼	forget; lie, cheat, deceive (U+8AFC)	e8abbc
諽	U+8AFD (U+8AFD)	e8abbd
諾	promise; assent, approve (U+8AFE)	e8abbe
諿	U+8AFF (U+8AFF)	e8abbf
謀	plan, scheme; strategem (U+8B00)	e8ac80
謁	visit, pay respects to (U+8B01)	e8ac81
謂	say, tell; call, name; be called (U+8B02)	e8ac82
謃	U+8B03 (U+8B03)	e8ac83
謄	copy, transcribe (U+8B04)	e8ac84
謅	play with words, quip; talk nonse (U+8B05)	e8ac85
謆	beguile, cajole (U+8B06)	e8ac86
謇	stutter; speak out boldly (U+8B07)	e8ac87
謈	U+8B08 (U+8B08)	e8ac88
謉	U+8B09 (U+8B09)	e8ac89
謊	lie (U+8B0A)	e8ac8a
謋	U+8B0B (U+8B0B)	e8ac8b
謌	slander, defame (U+8B0C)	e8ac8c
謍	U+8B0D (U+8B0D)	e8ac8d
謎	riddle, conundrum; puzzle (U+8B0E)	e8ac8e
謏	scold, censure; lead people toward virtuous ways; small, little (U+8B0F)	e8ac8f
謐	calm, quiet, still; cautious (U+8B10)	e8ac90
謑	shame, disgrace (U+8B11)	e8ac91
謒	U+8B12 (U+8B12)	e8ac92
謓	U+8B13 (U+8B13)	e8ac93
謔	jeer (U+8B14)	e8ac94
謕	U+8B15 (U+8B15)	e8ac95
謖	rise up; raise up (U+8B16)	e8ac96
謗	slander, libel (U+8B17)	e8ac97
謘	U+8B18 (U+8B18)	e8ac98
謙	humble, modest (U+8B19)	e8ac99
謚	to confer posthumous titles (U+8B1A)	e8ac9a
講	explain; discuss; talk (U+8B1B)	e8ac9b
謜	U+8B1C (U+8B1C)	e8ac9c
謝	thank; decline (U+8B1D)	e8ac9d
謞	U+8B1E (U+8B1E)	e8ac9e
謟	flatter; suspect, be uncertain (U+8B1F)	e8ac9f
謠	sing; folksong, ballad; rumor (U+8B20)	e8aca0
謡	sing; folksong, ballad; rumor (U+8B21)	e8aca1
謢	U+8B22 (U+8B22)	e8aca2
謣	U+8B23 (U+8B23)	e8aca3
謤	U+8B24 (U+8B24)	e8aca4
謥	U+8B25 (U+8B25)	e8aca5
謦	t speak softly (U+8B26)	e8aca6
謧	U+8B27 (U+8B27)	e8aca7
謨	scheme, plan; plan; be without (U+8B28)	e8aca8
謩	U+8B29 (U+8B29)	e8aca9
謪	to consult; to deliberate; commerce (U+8B2A)	e8acaa
謫	charge, blame; disgrace; demote; punish (U+8B2B)	e8acab
