軕	U+8ED5 (U+8ED5)	e8bb95
軖	U+8ED6 (U+8ED6)	e8bb96
軗	U+8ED7 (U+8ED7)	e8bb97
軘	war car (U+8ED8)	e8bb98
軙	a Chinese family name to arrange; to display wheel (U+8ED9)	e8bb99
軚	(Cant.) a steering wheel (U+8EDA)	e8bb9a
軛	yoke, collar; to restrain (U+8EDB)	e8bb9b
軜	reins (U+8EDC)	e8bb9c
軝	axle-tip (U+8EDD)	e8bb9d
軞	U+8EDE (U+8EDE)	e8bb9e
軟	soft, flexible, pliable; weak (U+8EDF)	e8bb9f
軠	U+8EE0 (U+8EE0)	e8bba0
軡	U+8EE1 (U+8EE1)	e8bba1
転	shift, move, turn (U+8EE2)	e8bba2
軣	rumble, explosion, blast (U+8EE3)	e8bba3
軤	surname (U+8EE4)	e8bba4
軥	yoke (U+8EE5)	e8bba5
軦	U+8EE6 (U+8EE6)	e8bba6
軧	U+8EE7 (U+8EE7)	e8bba7
軨	wooden cross-piece on front inside of carriage box (U+8EE8)	e8bba8
軩	U+8EE9 (U+8EE9)	e8bba9
軪	U+8EEA (U+8EEA)	e8bbaa
軫	cross board at rear of carriage (U+8EEB)	e8bbab
軬	U+8EEC (U+8EEC)	e8bbac
軭	(Cant.) to spoil, ruin (U+8EED)	e8bbad
軮	U+8EEE (U+8EEE)	e8bbae
軯	U+8EEF (U+8EEF)	e8bbaf
軰	a row of carriages; a generation; a class, a series a kind; denotes the plural (U+8EF0)	e8bbb0
軱	U+8EF1 (U+8EF1)	e8bbb1
軲	a wheel; to revolve (U+8EF2)	e8bbb2
軳	U+8EF3 (U+8EF3)	e8bbb3
軴	U+8EF4 (U+8EF4)	e8bbb4
軵	U+8EF5 (U+8EF5)	e8bbb5
軶	U+8EF6 (U+8EF6)	e8bbb6
軷	sacrifice (U+8EF7)	e8bbb7
軸	axle, axletree; pivot; axis (U+8EF8)	e8bbb8
軹	end of axle; divergent (U+8EF9)	e8bbb9
軺	small light carriage (U+8EFA)	e8bbba
軻	axle; personal name of mencius (U+8EFB)	e8bbbb
軼	rush forth; surpass, excel (U+8EFC)	e8bbbc
軽	light; easy, simple; gentle (U+8EFD)	e8bbbd
軾	horizontal wooden bar in front of a sedan chair (U+8EFE)	e8bbbe
軿	curtained carriage used by women (U+8EFF)	e8bbbf
輀	hearse (U+8F00)	e8bc80
輁	U+8F01 (U+8F01)	e8bc81
輂	U+8F02 (U+8F02)	e8bc82
較	compare; comparatively, more (U+8F03)	e8bc83
輄	U+8F04 (U+8F04)	e8bc84
輅	a chariot, carriage; a carriage pull-bar (U+8F05)	e8bc85
輆	U+8F06 (U+8F06)	e8bc86
輇	cart wheel with no spokes (U+8F07)	e8bc87
輈	shaft (U+8F08)	e8bc88
載	load; carry; transport, convey (U+8F09)	e8bc89
輊	low rear portion of cart (U+8F0A)	e8bc8a
輋	沙田禾輋, Hong Kong toponym (U+8F0B)	e8bc8b
輌	numerary adjunct for vehicles (U+8F0C)	e8bc8c
輍	U+8F0D (U+8F0D)	e8bc8d
輎	U+8F0E (U+8F0E)	e8bc8e
輏	light; light carriage (U+8F0F)	e8bc8f
輐	U+8F10 (U+8F10)	e8bc90
輑	U+8F11 (U+8F11)	e8bc91
輒	sides of chariot where weapons (U+8F12)	e8bc92
輓	mourn; pull; draw (U+8F13)	e8bc93
輔	cheek bone; protective; assist (U+8F14)	e8bc94
輕	light; easy, simple; gentle (U+8F15)	e8bc95
輖	U+8F16 (U+8F16)	e8bc96
輗	the cross-bar at the end of a carriage pole; linchpin of a large carriage (U+8F17)	e8bc97
輘	a car-rut; rumbling of a cart (U+8F18)	e8bc98
輙	sides of chariot were weapons (U+8F19)	e8bc99
輚	U+8F1A (U+8F1A)	e8bc9a
輛	numerary adjunct for vehicles (U+8F1B)	e8bc9b
輜	a supply cart, covered wagon, dray (U+8F1C)	e8bc9c
輝	brightness, luster, brilliance (U+8F1D)	e8bc9d
輞	exterior rim of wheel, felly (U+8F1E)	e8bc9e
輟	stop, suspend, halt (U+8F1F)	e8bc9f
輠	grease pot hung under axle of cart (U+8F20)	e8bca0
輡	same as 轗 U+8F57, to fail; a difficulty, misfortune (U+8F21)	e8bca1
輢	U+8F22 (U+8F22)	e8bca2
輣	U+8F23 (U+8F23)	e8bca3
輤	a pall to cover the hearse (U+8F24)	e8bca4
輥	turn round, revolve; roller (U+8F25)	e8bca5
輦	a hand-cart; to transport by carriage (U+8F26)	e8bca6
輧	curtained carriage used by women (U+8F27)	e8bca7
輨	U+8F28 (U+8F28)	e8bca8
輩	generation, lifetime; class (U+8F29)	e8bca9
輪	wheel; revolve, turn; recur (U+8F2A)	e8bcaa
輫	U+8F2B (U+8F2B)	e8bcab
輬	a hearse; a carriage (U+8F2C)	e8bcac
輭	flexible, pliable; weak, feeble (U+8F2D)	e8bcad
輮	exterior rim of wheel, felly (U+8F2E)	e8bcae
輯	gather up, collect; edit, compile (U+8F2F)	e8bcaf
輰	U+8F30 (U+8F30)	e8bcb0
輱	U+8F31 (U+8F31)	e8bcb1
輲	U+8F32 (U+8F32)	e8bcb2
輳	hubs of wheel; converge around (U+8F33)	e8bcb3
輴	sled (U+8F34)	e8bcb4
輵	great array of spears and chariots (U+8F35)	e8bcb5
輶	light carriage; trifling, light (U+8F36)	e8bcb6
輷	U+8F37 (U+8F37)	e8bcb7
輸	transport, carry, haul (U+8F38)	e8bcb8
輹	two pieces of wood underneath a cart (U+8F39)	e8bcb9
輺	U+8F3A (U+8F3A)	e8bcba
輻	spokes of wheel (U+8F3B)	e8bcbb
輼	U+8F3C (U+8F3C)	e8bcbc
輽	vehicle (U+8F3D)	e8bcbd
輾	turn over, roll (U+8F3E)	e8bcbe
輿	cart, palanquin; public opinion (U+8F3F)	e8bcbf
轀	hearse (U+8F40)	e8bd80
轁	U+8F41 (U+8F41)	e8bd81
轂	hub of wheel (U+8F42)	e8bd82
轃	U+8F43 (U+8F43)	e8bd83
轄	linchpin of wheel; control (U+8F44)	e8bd84
轅	axle; magistrate's office; surname (U+8F45)	e8bd85
轆	windlass, pulley, capstan; wheel (U+8F46)	e8bd86
轇	complicated, confused; dispute (U+8F47)	e8bd87
轈	turret on a chariot (U+8F48)	e8bd88
轉	shift, move, turn (U+8F49)	e8bd89
轊	axle-tip (U+8F4A)	e8bd8a
轋	U+8F4B (U+8F4B)	e8bd8b
轌	sled (U+8F4C)	e8bd8c
轍	wagon ruts, wheel tracks (U+8F4D)	e8bd8d
轎	sedan-chair, palanquin (U+8F4E)	e8bd8e
轏	sleeping cart (U+8F4F)	e8bd8f
轐	U+8F50 (U+8F50)	e8bd90
轑	rut (U+8F51)	e8bd91
轒	chariot (U+8F52)	e8bd92
轓	U+8F53 (U+8F53)	e8bd93
轔	rumbling of vehicles; threshold (U+8F54)	e8bd94
轕	great array of spears and chariots (U+8F55)	e8bd95
轖	framework of lattice on cart (U+8F56)	e8bd96
轗	fail (U+8F57)	e8bd97
轘	tear asunder between chariots (U+8F58)	e8bd98
轙	rings on the yokes (U+8F59)	e8bd99
轚	U+8F5A (U+8F5A)	e8bd9a
轛	U+8F5B (U+8F5B)	e8bd9b
轜	hearse (U+8F5C)	e8bd9c
轝	envy; hate, dislike; resentment (U+8F5D)	e8bd9d
轞	a vehicle for transporting prisoners (U+8F5E)	e8bd9e
轟	rumble, explosion, blast (U+8F5F)	e8bd9f
轠	U+8F60 (U+8F60)	e8bda0
轡	bridle of horse, reins (U+8F61)	e8bda1
轢	run over something with vehicle (U+8F62)	e8bda2
轣	to gallop; a mule (U+8F63)	e8bda3
轤	pulley, windlass, capstan (U+8F64)	e8bda4
轥	U+8F65 (U+8F65)	e8bda5
车	cart, vehicle; carry in cart (U+8F66)	e8bda6
轧	crush by weight; grind (U+8F67)	e8bda7
轨	track, rut, path (U+8F68)	e8bda8
轩	carriage; high; wide; balcony (U+8F69)	e8bda9
轪	U+8F6A (U+8F6A)	e8bdaa
轫	a block that keeps a wheel from moving (U+8F6B)	e8bdab
转	shift, move, turn (U+8F6C)	e8bdac
轭	yoke, collar (U+8F6D)	e8bdad
轮	wheel; revolve, turn; recur (U+8F6E)	e8bdae
软	soft, flexible, pliable; weak (U+8F6F)	e8bdaf
轰	rumble, explosion, blast (U+8F70)	e8bdb0
轱	wheel; to turn; to revolve (U+8F71)	e8bdb1
轲	axle; personal name of mencius (U+8F72)	e8bdb2
轳	pulley, windlass, capstan (U+8F73)	e8bdb3
轴	axle, axletree; pivot; axis (U+8F74)	e8bdb4
轵	end of axle; divergent (U+8F75)	e8bdb5
轶	rush forth; surpass, excel (U+8F76)	e8bdb6
轷	surname (U+8F77)	e8bdb7
轸	cross board at rear of carriage (U+8F78)	e8bdb8
轹	run over something with vehicle (U+8F79)	e8bdb9
轺	small light carriage (U+8F7A)	e8bdba
轻	light; easy, simple; gentle (U+8F7B)	e8bdbb
轼	horizontal wooden bar in front (U+8F7C)	e8bdbc
载	load; carry; transport, convey (U+8F7D)	e8bdbd
轾	low rear portion of cart (U+8F7E)	e8bdbe
轿	sedan-chair, palanquin (U+8F7F)	e8bdbf
辀	shaft (U+8F80)	e8be80
辁	cart wheel with no spokes (U+8F81)	e8be81
辂	a chariot, carriage; a carriage pull-bar (U+8F82)	e8be82
较	compare; comparatively, more (U+8F83)	e8be83
辄	sides of chariot where weapons (U+8F84)	e8be84
辅	cheek bone; protective; assist (U+8F85)	e8be85
辆	numerary adjunct for vehicles (U+8F86)	e8be86
辇	hand-cart; transport by carriage (U+8F87)	e8be87
辈	generation, lifetime; class (U+8F88)	e8be88
辉	brightness, luster, brilliance (U+8F89)	e8be89
辊	turn round, revolve; roller (U+8F8A)	e8be8a
辋	exterior rim of wheel, felly (U+8F8B)	e8be8b
辌	a hearse; a carriage (U+8F8C)	e8be8c
辍	stop, suspend, halt (U+8F8D)	e8be8d
辎	a supply cart, covered wagon, dray (U+8F8E)	e8be8e
辏	hubs of wheel; converge around (U+8F8F)	e8be8f
辐	spokes of wheel (U+8F90)	e8be90
辑	gather up, collect; edit, compile (U+8F91)	e8be91
辒	hearse (U+8F92)	e8be92
输	transport, carry, haul (U+8F93)	e8be93
辔	bridle of horse, reins (U+8F94)	e8be94
辕	axle; magistrate's office; surname (U+8F95)	e8be95
辖	linchpin of wheel; control (U+8F96)	e8be96
辗	turn over, roll (U+8F97)	e8be97
辘	windlass, pulley, capstan; wheel (U+8F98)	e8be98
辙	wagon ruts, wheel tracks (U+8F99)	e8be99
辚	rumbling of vehicles; threshold (U+8F9A)	e8be9a
辛	bitter; toilsome, laborious; 8th heavenly stem (U+8F9B)	e8be9b
辜	crime, criminal offense (U+8F9C)	e8be9c
辝	U+8F9D (U+8F9D)	e8be9d
辞	words, speech, expression, phrase (U+8F9E)	e8be9e
辟	law, rule; open up, develop (U+8F9F)	e8be9f
辠	crime, sin, vice; evil; hardship (U+8FA0)	e8bea0
辡	recrimination; wrangling (U+8FA1)	e8bea1
辢	bitter, pungent, acrid (U+8FA2)	e8bea2
辣	peppery, pungent, hot; cruel (U+8FA3)	e8bea3
辤	words, speech; a sentence, an expression or phrase; a message (U+8FA4)	e8bea4
辥	variety of marsh grass (U+8FA5)	e8bea5
辦	manage, do, handle; deal with (U+8FA6)	e8bea6
辧	manage, do, handle; deal with (U+8FA7)	e8bea7
辨	distinguish, discriminate (U+8FA8)	e8bea8
辩	dispute, argue, debate, discuss (U+8FA9)	e8bea9
辪	U+8FAA (U+8FAA)	e8beaa
辫	braid; pigtail, plait, queue (U+8FAB)	e8beab
辬	U+8FAC (U+8FAC)	e8beac
辭	words, speech, expression, phrase (U+8FAD)	e8bead
辮	braid; pigtail, plait, queue (U+8FAE)	e8beae
辯	dispute, argue, debate, discuss (U+8FAF)	e8beaf
辰	early morning; 5th terrestrial branch (U+8FB0)	e8beb0
辱	humiliate, insult, abuse (U+8FB1)	e8beb1
農	agriculture, farming; farmer (U+8FB2)	e8beb2
辳	U+8FB3 (U+8FB3)	e8beb3
辴	U+8FB4 (U+8FB4)	e8beb4
辵	walk; walking; KangXi radical 162 (U+8FB5)	e8beb5
辶	walk; walking; KangXi radical 162 (U+8FB6)	e8beb6
辷	smooth, slippery (U+8FB7)	e8beb7
辸	U+8FB8 (U+8FB8)	e8beb8
边	edge, margin, side, border (U+8FB9)	e8beb9
辺	edge, margin, side, border (U+8FBA)	e8beba
辻	crossroads; street (U+8FBB)	e8bebb
込	crowd into, go into (U+8FBC)	e8bebc
辽	distant, far (U+8FBD)	e8bebd
达	arrive at, reach; intelligent; smooth, slippery (U+8FBE)	e8bebe
辿	follow, pursue (U+8FBF)	e8bebf
迀	U+8FC0 (U+8FC0)	e8bf80
迁	move, shift, change; transfer; relocate a capital city (U+8FC1)	e8bf81
迂	doctrinaire, abstruse, unrealistic (U+8FC2)	e8bf82
迃	U+8FC3 (U+8FC3)	e8bf83
迄	extend, reach; until; till (U+8FC4)	e8bf84
迅	quick, hasty, rapid, sudden (U+8FC5)	e8bf85
迆	wind; walk out of straight path (U+8FC6)	e8bf86
过	pass, pass through, go across (U+8FC7)	e8bf87
迈	take a big stride; pass by (U+8FC8)	e8bf88
迉	U+8FC9 (U+8FC9)	e8bf89
迊	to go round, to make a circuit, to make a revolution, to turn round (U+8FCA)	e8bf8a
迋	travel, go to; deceive; scare (U+8FCB)	e8bf8b
