鋕	engrave (U+92D5)	e98b95
鋖	U+92D6 (U+92D6)	e98b96
鋗	a small basin; rings on a cart of carriage (U+92D7)	e98b97
鋘	sword (U+92D8)	e98b98
鋙	misfit; disordant; music instrument; hoe (U+92D9)	e98b99
鋚	iron; bronze decoration on bridle (U+92DA)	e98b9a
鋛	U+92DB (U+92DB)	e98b9b
鋜	fetters, shackles (U+92DC)	e98b9c
鋝	6 oz; ancient measurement (U+92DD)	e98b9d
鋞	U+92DE (U+92DE)	e98b9e
鋟	carve (U+92DF)	e98b9f
鋠	U+92E0 (U+92E0)	e98ba0
鋡	U+92E1 (U+92E1)	e98ba1
鋢	U+92E2 (U+92E2)	e98ba2
鋣	sword (U+92E3)	e98ba3
鋤	hoe; eradicate (U+92E4)	e98ba4
鋥	polish (U+92E5)	e98ba5
鋦	curium (U+92E6)	e98ba6
鋧	U+92E7 (U+92E7)	e98ba7
鋨	an ancient name for iron; osmium (U+92E8)	e98ba8
鋩	point of sword; sharp point (U+92E9)	e98ba9
鋪	spread out, arrange; shop, store; place to sleep, bed (U+92EA)	e98baa
鋫	U+92EB (U+92EB)	e98bab
鋬	U+92EC (U+92EC)	e98bac
鋭	sharp (U+92ED)	e98bad
鋮	person's name (U+92EE)	e98bae
鋯	zirconium (U+92EF)	e98baf
鋰	lithium (U+92F0)	e98bb0
鋱	terbium (U+92F1)	e98bb1
鋲	rivet (U+92F2)	e98bb2
鋳	melt, cast; coin, mint (U+92F3)	e98bb3
鋴	U+92F4 (U+92F4)	e98bb4
鋵	U+92F5 (U+92F5)	e98bb5
鋶	U+92F6 (U+92F6)	e98bb6
鋷	U+92F7 (U+92F7)	e98bb7
鋸	a saw; to saw; amputate (U+92F8)	e98bb8
鋹	sharp; a keen edge; sharp point (U+92F9)	e98bb9
鋺	a metal bowl (U+92FA)	e98bba
鋻	U+92FB (U+92FB)	e98bbb
鋼	steel; hard, strong, tough (U+92FC)	e98bbc
鋽	U+92FD (U+92FD)	e98bbd
鋾	U+92FE (U+92FE)	e98bbe
鋿	U+92FF (U+92FF)	e98bbf
錀	U+9300 (U+9300)	e98c80
錁	ingot; acrobatic move (U+9301)	e98c81
錂	U+9302 (U+9302)	e98c82
錃	U+9303 (U+9303)	e98c83
錄	copy, write down, record (U+9304)	e98c84
錅	U+9305 (U+9305)	e98c85
錆	the color of a mineral (U+9306)	e98c86
錇	berkelium (U+9307)	e98c87
錈	to bend iron (U+9308)	e98c88
錉	U+9309 (U+9309)	e98c89
錊	U+930A (U+930A)	e98c8a
錋	U+930B (U+930B)	e98c8b
錌	U+930C (U+930C)	e98c8c
錍	U+930D (U+930D)	e98c8d
錎	U+930E (U+930E)	e98c8e
錏	soft steel; ammonium (U+930F)	e98c8f
錐	gimlet, awl, drill, auger; bore (U+9310)	e98c90
錑	U+9311 (U+9311)	e98c91
錒	actinium (U+9312)	e98c92
錓	U+9313 (U+9313)	e98c93
錔	cap (U+9314)	e98c94
錕	ancient treasured sword (U+9315)	e98c95
錖	U+9316 (U+9316)	e98c96
錗	U+9317 (U+9317)	e98c97
錘	balance weight on scale; hammer (U+9318)	e98c98
錙	8 oz; an ancient unit of weight (U+9319)	e98c99
錚	clanging sound; small gong (U+931A)	e98c9a
錛	adz; adze (U+931B)	e98c9b
錜	U+931C (U+931C)	e98c9c
錝	U+931D (U+931D)	e98c9d
錞	instrument (U+931E)	e98c9e
錟	long spear (U+931F)	e98c9f
錠	spindle, slab, cake, tablet (U+9320)	e98ca0
錡	a kind of pen; a kind of chisel (U+9321)	e98ca1
錢	money, currency, coins (U+9322)	e98ca2
錣	armor neckplates (U+9323)	e98ca3
錤	hoe (U+9324)	e98ca4
錥	U+9325 (U+9325)	e98ca5
錦	brocade, tapestry; embroidered (U+9326)	e98ca6
錧	U+9327 (U+9327)	e98ca7
錨	anchor (U+9328)	e98ca8
錩	vessel (U+9329)	e98ca9
錪	U+932A (U+932A)	e98caa
錫	tin, stannum; bestow, confer (U+932B)	e98cab
錬	smelt metals (U+932C)	e98cac
錭	U+932D (U+932D)	e98cad
錮	run metal into cracks; confine (U+932E)	e98cae
錯	error, blunder, mistake, wrong (U+932F)	e98caf
錰	U+9330 (U+9330)	e98cb0
錱	U+9331 (U+9331)	e98cb1
録	copy (U+9332)	e98cb2
錳	manganese (U+9333)	e98cb3
錴	U+9334 (U+9334)	e98cb4
錵	U+9335 (U+9335)	e98cb5
錶	a watch, clock (U+9336)	e98cb6
錷	U+9337 (U+9337)	e98cb7
錸	rhenium (U+9338)	e98cb8
錹	U+9339 (U+9339)	e98cb9
錺	metal jewelry (U+933A)	e98cba
錻	a tin plate (U+933B)	e98cbb
錼	neptunium (Np) (U+933C)	e98cbc
錽	U+933D (U+933D)	e98cbd
錾	engraving tool, chisel (U+933E)	e98cbe
錿	U+933F (U+933F)	e98cbf
鍀	technetium (U+9340)	e98d80
鍁	shovel (U+9341)	e98d81
鍂	U+9342 (U+9342)	e98d82
鍃	a kind of tool (U+9343)	e98d83
鍄	U+9344 (U+9344)	e98d84
鍅	U+9345 (U+9345)	e98d85
鍆	mendelevium (Md) (U+9346)	e98d86
鍇	high quality iron (U+9347)	e98d87
鍈	U+9348 (U+9348)	e98d88
鍉	spoon, key (U+9349)	e98d89
鍊	smelt metals, forge; refine (U+934A)	e98d8a
鍋	cooking-pot, saucepan (U+934B)	e98d8b
鍌	U+934C (U+934C)	e98d8c
鍍	plate, coat, gild (U+934D)	e98d8d
鍎	U+934E (U+934E)	e98d8e
鍏	U+934F (U+934F)	e98d8f
鍐	a headstall, ornament on a bride (U+9350)	e98d90
鍑	U+9351 (U+9351)	e98d91
鍒	U+9352 (U+9352)	e98d92
鍓	U+9353 (U+9353)	e98d93
鍔	high, lofty; edge of knife (U+9354)	e98d94
鍕	U+9355 (U+9355)	e98d95
鍖	U+9356 (U+9356)	e98d96
鍗	U+9357 (U+9357)	e98d97
鍘	sickle for cutting grass or hay (U+9358)	e98d98
鍙	U+9359 (U+9359)	e98d99
鍚	frontlet (U+935A)	e98d9a
鍛	forge metal; temper, refine (U+935B)	e98d9b
鍜	to forge, work (U+935C)	e98d9c
