髕	kneecap (U+9AD5)	e9ab95
髖	hipbone; hip (U+9AD6)	e9ab96
髗	the skull; the forehead (U+9AD7)	e9ab97
高	high, tall; lofty, elevated (U+9AD8)	e9ab98
髙	variant of 高 U+9AD8, high, tall; lofty, elevated (U+9AD9)	e9ab99
髚	U+9ADA (U+9ADA)	e9ab9a
髛	U+9ADB (U+9ADB)	e9ab9b
髜	U+9ADC (U+9ADC)	e9ab9c
髝	U+9ADD (U+9ADD)	e9ab9d
髞	high, imposing, eminent (U+9ADE)	e9ab9e
髟	hair; KangXi radical 190 (U+9ADF)	e9ab9f
髠	shave head as punishment; prune (U+9AE0)	e9aba0
髡	to shear tree; ancient punishment (U+9AE1)	e9aba1
髢	wig (U+9AE2)	e9aba2
髣	similar to, like (U+9AE3)	e9aba3
髤	U+9AE4 (U+9AE4)	e9aba4
髥	beard; mustache (U+9AE5)	e9aba5
髦	flowing hair of young child (U+9AE6)	e9aba6
髧	long hair; (Cant.) to hang down, droop (U+9AE7)	e9aba7
髨	U+9AE8 (U+9AE8)	e9aba8
髩	U+9AE9 (U+9AE9)	e9aba9
髪	hair (U+9AEA)	e9abaa
髫	children's hair style; a youngster (U+9AEB)	e9abab
髬	U+9AEC (U+9AEC)	e9abac
髭	mustache (U+9AED)	e9abad
髮	hair (U+9AEE)	e9abae
髯	beard; mustache (U+9AEF)	e9abaf
髰	U+9AF0 (U+9AF0)	e9abb0
髱	a topknot, bun, coiled hair-knot (U+9AF1)	e9abb1
髲	a wig (U+9AF2)	e9abb2
髳	state (U+9AF3)	e9abb3
髴	disheveled hair; similar to (U+9AF4)	e9abb4
髵	whiskers, bristles on the jaws of an animal (U+9AF5)	e9abb5
髶	U+9AF6 (U+9AF6)	e9abb6
髷	a topknot (U+9AF7)	e9abb7
髸	U+9AF8 (U+9AF8)	e9abb8
髹	red lacquer; to lacquer (U+9AF9)	e9abb9
髺	the hair dishevelled, as in mourning (U+9AFA)	e9abba
髻	hair rolled up in a bun, topknot (U+9AFB)	e9abbb
髼	U+9AFC (U+9AFC)	e9abbc
髽	to dress the hair (U+9AFD)	e9abbd
髾	tail of a comet; long hair (U+9AFE)	e9abbe
髿	U+9AFF (U+9AFF)	e9abbf
鬀	to shave (U+9B00)	e9ac80
鬁	favus (U+9B01)	e9ac81
鬂	the hair on the temples (U+9B02)	e9ac82
鬃	mane; neck bristles (U+9B03)	e9ac83
鬄	U+9B04 (U+9B04)	e9ac84
鬅	unkempt hair; loose; flowing hair; (Cant.) 鬅鬠, to be slovenly dressed (U+9B05)	e9ac85
鬆	lax, loose; loosen, relax (U+9B06)	e9ac86
鬇	U+9B07 (U+9B07)	e9ac87
鬈	fine growth of hair curly hair (U+9B08)	e9ac88
鬉	U+9B09 (U+9B09)	e9ac89
鬊	U+9B0A (U+9B0A)	e9ac8a
鬋	forelock, bangs (U+9B0B)	e9ac8b
鬌	tufts of hair left on the heads of children after shaving (U+9B0C)	e9ac8c
鬍	beard, mustache, whiskers (U+9B0D)	e9ac8d
鬎	favus, scabies (U+9B0E)	e9ac8e
鬏	a coiffure on top of the head (U+9B0F)	e9ac8f
鬐	horse's mane; fins (U+9B10)	e9ac90
鬑	long, flowing hair (U+9B11)	e9ac91
鬒	black, glossy hair (U+9B12)	e9ac92
鬓	hair on temples (U+9B13)	e9ac93
鬔	U+9B14 (U+9B14)	e9ac94
鬕	U+9B15 (U+9B15)	e9ac95
鬖	wild hair (U+9B16)	e9ac96
鬗	U+9B17 (U+9B17)	e9ac97
鬘	beautiful hair (U+9B18)	e9ac98
鬙	matted hair (U+9B19)	e9ac99
鬚	beard, whiskers; whisker-like (U+9B1A)	e9ac9a
鬛	variant of 鬣 U+9B23, a mane (U+9B1B)	e9ac9b
鬜	to go bald (U+9B1C)	e9ac9c
鬝	U+9B1D (U+9B1D)	e9ac9d
鬞	U+9B1E (U+9B1E)	e9ac9e
鬟	dress hair in coiled knot; maid (U+9B1F)	e9ac9f
鬠	to make a top knot; (Cant.) 鬅鬠, to be slovenly dressed (U+9B20)	e9aca0
鬡	U+9B21 (U+9B21)	e9aca1
鬢	hair on temples (U+9B22)	e9aca2
鬣	horse's mane; fin; human whiskers (U+9B23)	e9aca3
鬤	U+9B24 (U+9B24)	e9aca4
鬥	struggle, fight, compete, contend (U+9B25)	e9aca5
鬦	struggle, fight, compete, contend (U+9B26)	e9aca6
鬧	quarrel; dispute hotly (U+9B27)	e9aca7
鬨	boisterous; clamor, noise (U+9B28)	e9aca8
鬩	feud, fight, quarrel (U+9B29)	e9aca9
鬪	struggle, fight, compete, contend (U+9B2A)	e9acaa
鬫	U+9B2B (U+9B2B)	e9acab
鬬	struggle (U+9B2C)	e9acac
鬭	struggle, fight, compete, contend; (Cant.) woodwork, carpentry (U+9B2D)	e9acad
鬮	lots (to be drawn); draw lots (U+9B2E)	e9acae
鬯	sacrificial wine; unhindered (U+9B2F)	e9acaf
鬰	luxuriant; dense, thick; moody (U+9B30)	e9acb0
鬱	luxuriant; dense, thick; moody (U+9B31)	e9acb1
鬲	type of caldron with three hollow legs; name of a state; KangXi radical number 193 (U+9B32)	e9acb2
鬳	U+9B33 (U+9B33)	e9acb3
鬴	pot (U+9B34)	e9acb4
鬵	big iron pot, caldron (U+9B35)	e9acb5
鬶	U+9B36 (U+9B36)	e9acb6
鬷	pot (U+9B37)	e9acb7
鬸	U+9B38 (U+9B38)	e9acb8
鬹	U+9B39 (U+9B39)	e9acb9
鬺	U+9B3A (U+9B3A)	e9acba
鬻	sell; child, childish; nourish (U+9B3B)	e9acbb
鬼	ghost; spirit of dead; devil (U+9B3C)	e9acbc
鬽	U+9B3D (U+9B3D)	e9acbd
鬾	U+9B3E (U+9B3E)	e9acbe
鬿	U+9B3F (U+9B3F)	e9acbf
魀	U+9B40 (U+9B40)	e9ad80
魁	chief; leader; best; monstrous (U+9B41)	e9ad81
魂	soul, spirit (U+9B42)	e9ad82
魃	drought demon (U+9B43)	e9ad83
魄	vigor; body; dark part of moon (U+9B44)	e9ad84
魅	kind of forest demon, elf (U+9B45)	e9ad85
魆	black (U+9B46)	e9ad86
魇	nightmare, bad dreams (U+9B47)	e9ad87
魈	mischevious, one footed spirit that dwells in the mountains (U+9B48)	e9ad88
魉	a kind of monster (U+9B49)	e9ad89
魊	a mythical creature said hurl san (U+9B4A)	e9ad8a
魋	bear (U+9B4B)	e9ad8b
魌	U+9B4C (U+9B4C)	e9ad8c
魍	demons, mountain spirits (U+9B4D)	e9ad8d
魎	a kind of monster (U+9B4E)	e9ad8e
魏	kingdom of Wei; surname (U+9B4F)	e9ad8f
魐	U+9B50 (U+9B50)	e9ad90
魑	a mountain demon resembling a tiger (U+9B51)	e9ad91
魒	U+9B52 (U+9B52)	e9ad92
魓	U+9B53 (U+9B53)	e9ad93
魔	demon, evil spirits; magic power (U+9B54)	e9ad94
魕	U+9B55 (U+9B55)	e9ad95
魖	U+9B56 (U+9B56)	e9ad96
魗	U+9B57 (U+9B57)	e9ad97
魘	nightmare, bad dreams (U+9B58)	e9ad98
魙	U+9B59 (U+9B59)	e9ad99
魚	fish; surname; KangXi radical 195 (U+9B5A)	e9ad9a
魛	the mullet (U+9B5B)	e9ad9b
魜	mermaid; manatee (U+9B5C)	e9ad9c
魝	U+9B5D (U+9B5D)	e9ad9d
魞	fish trap (U+9B5E)	e9ad9e
魟	a ray, skate (U+9B5F)	e9ad9f
魠	U+9B60 (U+9B60)	e9ada0
魡	U+9B61 (U+9B61)	e9ada1
魢	name of fish (U+9B62)	e9ada2
魣	U+9B63 (U+9B63)	e9ada3
魤	U+9B64 (U+9B64)	e9ada4
魥	U+9B65 (U+9B65)	e9ada5
魦	shark family, including some rays and skates (U+9B66)	e9ada6
魧	U+9B67 (U+9B67)	e9ada7
魨	blowfish, globefish, Spheroides vermicular (U+9B68)	e9ada8
魩	U+9B69 (U+9B69)	e9ada9
魪	U+9B6A (U+9B6A)	e9adaa
魫	the young of fish (U+9B6B)	e9adab
魬	sole or flounder (U+9B6C)	e9adac
魭	U+9B6D (U+9B6D)	e9adad
魮	U+9B6E (U+9B6E)	e9adae
魯	foolish, stupid, rash; vulgar (U+9B6F)	e9adaf
魰	the flying-fish (U+9B70)	e9adb0
魱	U+9B71 (U+9B71)	e9adb1
魲	fish name (U+9B72)	e9adb2
魳	a barracuda (U+9B73)	e9adb3
魴	bream (U+9B74)	e9adb4
魵	shrimp (U+9B75)	e9adb5
魶	U+9B76 (U+9B76)	e9adb6
魷	cuttlefish (U+9B77)	e9adb7
魸	U+9B78 (U+9B78)	e9adb8
魹	U+9B79 (U+9B79)	e9adb9
魺	U+9B7A (U+9B7A)	e9adba
魻	U+9B7B (U+9B7B)	e9adbb
魼	U+9B7C (U+9B7C)	e9adbc
魽	U+9B7D (U+9B7D)	e9adbd
魾	U+9B7E (U+9B7E)	e9adbe
魿	U+9B7F (U+9B7F)	e9adbf
鮀	snakefish (U+9B80)	e9ae80
鮁	the bonito (U+9B81)	e9ae81
鮂	U+9B82 (U+9B82)	e9ae82
鮃	a flatfish, flounder (U+9B83)	e9ae83
鮄	gurnard (U+9B84)	e9ae84
鮅	U+9B85 (U+9B85)	e9ae85
鮆	fish (U+9B86)	e9ae86
鮇	U+9B87 (U+9B87)	e9ae87
鮈	U+9B88 (U+9B88)	e9ae88
鮉	bream (U+9B89)	e9ae89
鮊	U+9B8A (U+9B8A)	e9ae8a
鮋	U+9B8B (U+9B8B)	e9ae8b
鮌	U+9B8C (U+9B8C)	e9ae8c
鮍	U+9B8D (U+9B8D)	e9ae8d
鮎	sheatfish, parasilurus asotus (U+9B8E)	e9ae8e
鮏	U+9B8F (U+9B8F)	e9ae8f
鮐	blowfish, globefish, tetraodon (U+9B90)	e9ae90
鮑	abalone; dried fish; surname (U+9B91)	e9ae91
鮒	carp, carassicus auratus (U+9B92)	e9ae92
