黕	red (U+9ED5)	e9bb95
黖	U+9ED6 (U+9ED6)	e9bb96
黗	U+9ED7 (U+9ED7)	e9bb97
默	silent; quiet, still; dark (U+9ED8)	e9bb98
黙	silent; quiet, still; dark (U+9ED9)	e9bb99
黚	U+9EDA (U+9EDA)	e9bb9a
黛	blacken eyebrows; black (U+9EDB)	e9bb9b
黜	dismiss; demote, downgrade (U+9EDC)	e9bb9c
黝	black (U+9EDD)	e9bb9d
點	dot, speck, spot; point, degree (U+9EDE)	e9bb9e
黟	black and shining; ebony (U+9EDF)	e9bb9f
黠	sly, cunning, shrewd; artful (U+9EE0)	e9bba0
黡	mole, scar, blemish (U+9EE1)	e9bba1
黢	black (U+9EE2)	e9bba2
黣	U+9EE3 (U+9EE3)	e9bba3
黤	blue-black (U+9EE4)	e9bba4
黥	to tattoo; to brand the face of criminals (U+9EE5)	e9bba5
黦	U+9EE6 (U+9EE6)	e9bba6
黧	a dark, sallow colour (U+9EE7)	e9bba7
黨	political party, gang, faction (U+9EE8)	e9bba8
黩	to dishonor, defile, corrupt; soiled (U+9EE9)	e9bba9
黪	grey black (U+9EEA)	e9bbaa
黫	U+9EEB (U+9EEB)	e9bbab
黬	blackhead (U+9EEC)	e9bbac
黭	U+9EED (U+9EED)	e9bbad
黮	black, dark; unclear; private (U+9EEE)	e9bbae
黯	dark, black; sullen, dreary (U+9EEF)	e9bbaf
黰	young girl's hair style (U+9EF0)	e9bbb0
黱	U+9EF1 (U+9EF1)	e9bbb1
黲	grey black (U+9EF2)	e9bbb2
黳	U+9EF3 (U+9EF3)	e9bbb3
黴	mold, mildew; bacteria, fungi (U+9EF4)	e9bbb4
黵	U+9EF5 (U+9EF5)	e9bbb5
黶	mole, scar, blemish (U+9EF6)	e9bbb6
黷	to dishonor, defile, corrupt; soiled (U+9EF7)	e9bbb7
黸	U+9EF8 (U+9EF8)	e9bbb8
黹	embroidery, needlework; radical (U+9EF9)	e9bbb9
黺	U+9EFA (U+9EFA)	e9bbba
黻	special pattern of embroidery (U+9EFB)	e9bbbb
黼	embroidered official or sacrificial robe (U+9EFC)	e9bbbc
黽	to strive; to endeavor (U+9EFD)	e9bbbd
黾	to strive; to endeavor (U+9EFE)	e9bbbe
黿	large turtle, sea turtle (U+9EFF)	e9bbbf
鼀	U+9F00 (U+9F00)	e9bc80
鼁	U+9F01 (U+9F01)	e9bc81
鼂	a kind of sea turtle; surname (U+9F02)	e9bc82
鼃	the edible water-frog (U+9F03)	e9bc83
鼄	the spider (U+9F04)	e9bc84
鼅	spider (U+9F05)	e9bc85
鼆	U+9F06 (U+9F06)	e9bc86
鼇	huge sea turtle (U+9F07)	e9bc87
鼈	a fresh-water turtle, Trionyx sinensis (U+9F08)	e9bc88
鼉	large reptile, water lizard (U+9F09)	e9bc89
鼊	U+9F0A (U+9F0A)	e9bc8a
鼋	large turtle, sea turtle (U+9F0B)	e9bc8b
鼌	U+9F0C (U+9F0C)	e9bc8c
鼍	large reptile, water lizard (U+9F0D)	e9bc8d
鼎	large, three-legged bronze caldron (U+9F0E)	e9bc8e
鼏	cover of tripod caldron (U+9F0F)	e9bc8f
鼐	incense tripod (U+9F10)	e9bc90
鼑	U+9F11 (U+9F11)	e9bc91
鼒	large tripod caldron with small mouth (U+9F12)	e9bc92
鼓	drum; beat, top, strike (U+9F13)	e9bc93
鼔	a drum; to drum, from whence comes: to rouse; to swell; to bulge (U+9F14)	e9bc94
鼕	rattle of drums (U+9F15)	e9bc95
鼖	drum (U+9F16)	e9bc96
鼗	small revolving drum with knobs (U+9F17)	e9bc97
鼘	U+9F18 (U+9F18)	e9bc98
鼙	drum carried on horseback (U+9F19)	e9bc99
鼚	drumming (U+9F1A)	e9bc9a
鼛	drum (U+9F1B)	e9bc9b
鼜	U+9F1C (U+9F1C)	e9bc9c
鼝	U+9F1D (U+9F1D)	e9bc9d
鼞	U+9F1E (U+9F1E)	e9bc9e
鼟	U+9F1F (U+9F1F)	e9bc9f
鼠	rat, mouse; KangXi radical 208 (U+9F20)	e9bca0
鼡	rat, mouse (U+9F21)	e9bca1
鼢	a variety of mole (U+9F22)	e9bca2
鼣	U+9F23 (U+9F23)	e9bca3
鼤	U+9F24 (U+9F24)	e9bca4
鼥	U+9F25 (U+9F25)	e9bca5
鼦	U+9F26 (U+9F26)	e9bca6
鼧	the marmot (U+9F27)	e9bca7
鼨	U+9F28 (U+9F28)	e9bca8
鼩	U+9F29 (U+9F29)	e9bca9
鼪	weasel (U+9F2A)	e9bcaa
鼫	marmot; squirrel (U+9F2B)	e9bcab
鼬	weasel, mustela itatis (U+9F2C)	e9bcac
鼭	U+9F2D (U+9F2D)	e9bcad
鼮	U+9F2E (U+9F2E)	e9bcae
鼯	flying squirrel (U+9F2F)	e9bcaf
鼰	U+9F30 (U+9F30)	e9bcb0
鼱	U+9F31 (U+9F31)	e9bcb1
鼲	U+9F32 (U+9F32)	e9bcb2
鼳	U+9F33 (U+9F33)	e9bcb3
