ꌉ	YI SYLLABLE SIT (U+A309)	ea8c89
ꌊ	YI SYLLABLE SIX (U+A30A)	ea8c8a
ꌋ	YI SYLLABLE SI (U+A30B)	ea8c8b
ꌌ	YI SYLLABLE SIP (U+A30C)	ea8c8c
ꌍ	YI SYLLABLE SIEX (U+A30D)	ea8c8d
ꌎ	YI SYLLABLE SIE (U+A30E)	ea8c8e
ꌏ	YI SYLLABLE SIEP (U+A30F)	ea8c8f
ꌐ	YI SYLLABLE SAT (U+A310)	ea8c90
ꌑ	YI SYLLABLE SAX (U+A311)	ea8c91
ꌒ	YI SYLLABLE SA (U+A312)	ea8c92
ꌓ	YI SYLLABLE SAP (U+A313)	ea8c93
ꌔ	YI SYLLABLE SUOX (U+A314)	ea8c94
ꌕ	YI SYLLABLE SUO (U+A315)	ea8c95
ꌖ	YI SYLLABLE SUOP (U+A316)	ea8c96
ꌗ	YI SYLLABLE SOT (U+A317)	ea8c97
ꌘ	YI SYLLABLE SOX (U+A318)	ea8c98
ꌙ	YI SYLLABLE SO (U+A319)	ea8c99
ꌚ	YI SYLLABLE SOP (U+A31A)	ea8c9a
ꌛ	YI SYLLABLE SEX (U+A31B)	ea8c9b
ꌜ	YI SYLLABLE SE (U+A31C)	ea8c9c
ꌝ	YI SYLLABLE SEP (U+A31D)	ea8c9d
ꌞ	YI SYLLABLE SUT (U+A31E)	ea8c9e
ꌟ	YI SYLLABLE SUX (U+A31F)	ea8c9f
ꌠ	YI SYLLABLE SU (U+A320)	ea8ca0
ꌡ	YI SYLLABLE SUP (U+A321)	ea8ca1
ꌢ	YI SYLLABLE SURX (U+A322)	ea8ca2
ꌣ	YI SYLLABLE SUR (U+A323)	ea8ca3
ꌤ	YI SYLLABLE SYT (U+A324)	ea8ca4
ꌥ	YI SYLLABLE SYX (U+A325)	ea8ca5
ꌦ	YI SYLLABLE SY (U+A326)	ea8ca6
ꌧ	YI SYLLABLE SYP (U+A327)	ea8ca7
ꌨ	YI SYLLABLE SYRX (U+A328)	ea8ca8
ꌩ	YI SYLLABLE SYR (U+A329)	ea8ca9
ꌪ	YI SYLLABLE SSIT (U+A32A)	ea8caa
ꌫ	YI SYLLABLE SSIX (U+A32B)	ea8cab
ꌬ	YI SYLLABLE SSI (U+A32C)	ea8cac
ꌭ	YI SYLLABLE SSIP (U+A32D)	ea8cad
ꌮ	YI SYLLABLE SSIEX (U+A32E)	ea8cae
ꌯ	YI SYLLABLE SSIE (U+A32F)	ea8caf
ꌰ	YI SYLLABLE SSIEP (U+A330)	ea8cb0
ꌱ	YI SYLLABLE SSAT (U+A331)	ea8cb1
ꌲ	YI SYLLABLE SSAX (U+A332)	ea8cb2
ꌳ	YI SYLLABLE SSA (U+A333)	ea8cb3
ꌴ	YI SYLLABLE SSAP (U+A334)	ea8cb4
ꌵ	YI SYLLABLE SSOT (U+A335)	ea8cb5
ꌶ	YI SYLLABLE SSOX (U+A336)	ea8cb6
ꌷ	YI SYLLABLE SSO (U+A337)	ea8cb7
ꌸ	YI SYLLABLE SSOP (U+A338)	ea8cb8
ꌹ	YI SYLLABLE SSEX (U+A339)	ea8cb9
ꌺ	YI SYLLABLE SSE (U+A33A)	ea8cba
ꌻ	YI SYLLABLE SSEP (U+A33B)	ea8cbb
ꌼ	YI SYLLABLE SSUT (U+A33C)	ea8cbc
ꌽ	YI SYLLABLE SSUX (U+A33D)	ea8cbd
ꌾ	YI SYLLABLE SSU (U+A33E)	ea8cbe
ꌿ	YI SYLLABLE SSUP (U+A33F)	ea8cbf
ꍀ	YI SYLLABLE SSYT (U+A340)	ea8d80
ꍁ	YI SYLLABLE SSYX (U+A341)	ea8d81
ꍂ	YI SYLLABLE SSY (U+A342)	ea8d82
ꍃ	YI SYLLABLE SSYP (U+A343)	ea8d83
ꍄ	YI SYLLABLE SSYRX (U+A344)	ea8d84
ꍅ	YI SYLLABLE SSYR (U+A345)	ea8d85
ꍆ	YI SYLLABLE ZHAT (U+A346)	ea8d86
ꍇ	YI SYLLABLE ZHAX (U+A347)	ea8d87
ꍈ	YI SYLLABLE ZHA (U+A348)	ea8d88
ꍉ	YI SYLLABLE ZHAP (U+A349)	ea8d89
ꍊ	YI SYLLABLE ZHUOX (U+A34A)	ea8d8a
ꍋ	YI SYLLABLE ZHUO (U+A34B)	ea8d8b
ꍌ	YI SYLLABLE ZHUOP (U+A34C)	ea8d8c
ꍍ	YI SYLLABLE ZHOT (U+A34D)	ea8d8d
ꍎ	YI SYLLABLE ZHOX (U+A34E)	ea8d8e
ꍏ	YI SYLLABLE ZHO (U+A34F)	ea8d8f
ꍐ	YI SYLLABLE ZHOP (U+A350)	ea8d90
ꍑ	YI SYLLABLE ZHET (U+A351)	ea8d91
ꍒ	YI SYLLABLE ZHEX (U+A352)	ea8d92
ꍓ	YI SYLLABLE ZHE (U+A353)	ea8d93
ꍔ	YI SYLLABLE ZHEP (U+A354)	ea8d94
ꍕ	YI SYLLABLE ZHUT (U+A355)	ea8d95
ꍖ	YI SYLLABLE ZHUX (U+A356)	ea8d96
ꍗ	YI SYLLABLE ZHU (U+A357)	ea8d97
ꍘ	YI SYLLABLE ZHUP (U+A358)	ea8d98
ꍙ	YI SYLLABLE ZHURX (U+A359)	ea8d99
ꍚ	YI SYLLABLE ZHUR (U+A35A)	ea8d9a
ꍛ	YI SYLLABLE ZHYT (U+A35B)	ea8d9b
ꍜ	YI SYLLABLE ZHYX (U+A35C)	ea8d9c
ꍝ	YI SYLLABLE ZHY (U+A35D)	ea8d9d
ꍞ	YI SYLLABLE ZHYP (U+A35E)	ea8d9e
ꍟ	YI SYLLABLE ZHYRX (U+A35F)	ea8d9f
ꍠ	YI SYLLABLE ZHYR (U+A360)	ea8da0
ꍡ	YI SYLLABLE CHAT (U+A361)	ea8da1
ꍢ	YI SYLLABLE CHAX (U+A362)	ea8da2
ꍣ	YI SYLLABLE CHA (U+A363)	ea8da3
ꍤ	YI SYLLABLE CHAP (U+A364)	ea8da4
ꍥ	YI SYLLABLE CHUOT (U+A365)	ea8da5
ꍦ	YI SYLLABLE CHUOX (U+A366)	ea8da6
ꍧ	YI SYLLABLE CHUO (U+A367)	ea8da7
ꍨ	YI SYLLABLE CHUOP (U+A368)	ea8da8
ꍩ	YI SYLLABLE CHOT (U+A369)	ea8da9
ꍪ	YI SYLLABLE CHOX (U+A36A)	ea8daa
ꍫ	YI SYLLABLE CHO (U+A36B)	ea8dab
ꍬ	YI SYLLABLE CHOP (U+A36C)	ea8dac
ꍭ	YI SYLLABLE CHET (U+A36D)	ea8dad
ꍮ	YI SYLLABLE CHEX (U+A36E)	ea8dae
ꍯ	YI SYLLABLE CHE (U+A36F)	ea8daf
ꍰ	YI SYLLABLE CHEP (U+A370)	ea8db0
ꍱ	YI SYLLABLE CHUX (U+A371)	ea8db1
ꍲ	YI SYLLABLE CHU (U+A372)	ea8db2
ꍳ	YI SYLLABLE CHUP (U+A373)	ea8db3
ꍴ	YI SYLLABLE CHURX (U+A374)	ea8db4
ꍵ	YI SYLLABLE CHUR (U+A375)	ea8db5
ꍶ	YI SYLLABLE CHYT (U+A376)	ea8db6
ꍷ	YI SYLLABLE CHYX (U+A377)	ea8db7
ꍸ	YI SYLLABLE CHY (U+A378)	ea8db8
ꍹ	YI SYLLABLE CHYP (U+A379)	ea8db9
ꍺ	YI SYLLABLE CHYRX (U+A37A)	ea8dba
ꍻ	YI SYLLABLE CHYR (U+A37B)	ea8dbb
ꍼ	YI SYLLABLE RRAX (U+A37C)	ea8dbc
ꍽ	YI SYLLABLE RRA (U+A37D)	ea8dbd
ꍾ	YI SYLLABLE RRUOX (U+A37E)	ea8dbe
ꍿ	YI SYLLABLE RRUO (U+A37F)	ea8dbf
ꎀ	YI SYLLABLE RROT (U+A380)	ea8e80
ꎁ	YI SYLLABLE RROX (U+A381)	ea8e81
ꎂ	YI SYLLABLE RRO (U+A382)	ea8e82
ꎃ	YI SYLLABLE RROP (U+A383)	ea8e83
ꎄ	YI SYLLABLE RRET (U+A384)	ea8e84
ꎅ	YI SYLLABLE RREX (U+A385)	ea8e85
ꎆ	YI SYLLABLE RRE (U+A386)	ea8e86
ꎇ	YI SYLLABLE RREP (U+A387)	ea8e87
ꎈ	YI SYLLABLE RRUT (U+A388)	ea8e88
ꎉ	YI SYLLABLE RRUX (U+A389)	ea8e89
ꎊ	YI SYLLABLE RRU (U+A38A)	ea8e8a
ꎋ	YI SYLLABLE RRUP (U+A38B)	ea8e8b
ꎌ	YI SYLLABLE RRURX (U+A38C)	ea8e8c
ꎍ	YI SYLLABLE RRUR (U+A38D)	ea8e8d
ꎎ	YI SYLLABLE RRYT (U+A38E)	ea8e8e
ꎏ	YI SYLLABLE RRYX (U+A38F)	ea8e8f
ꎐ	YI SYLLABLE RRY (U+A390)	ea8e90
ꎑ	YI SYLLABLE RRYP (U+A391)	ea8e91
ꎒ	YI SYLLABLE RRYRX (U+A392)	ea8e92
ꎓ	YI SYLLABLE RRYR (U+A393)	ea8e93
ꎔ	YI SYLLABLE NRAT (U+A394)	ea8e94
ꎕ	YI SYLLABLE NRAX (U+A395)	ea8e95
ꎖ	YI SYLLABLE NRA (U+A396)	ea8e96
ꎗ	YI SYLLABLE NRAP (U+A397)	ea8e97
ꎘ	YI SYLLABLE NROX (U+A398)	ea8e98
ꎙ	YI SYLLABLE NRO (U+A399)	ea8e99
ꎚ	YI SYLLABLE NROP (U+A39A)	ea8e9a
ꎛ	YI SYLLABLE NRET (U+A39B)	ea8e9b
ꎜ	YI SYLLABLE NREX (U+A39C)	ea8e9c
ꎝ	YI SYLLABLE NRE (U+A39D)	ea8e9d
ꎞ	YI SYLLABLE NREP (U+A39E)	ea8e9e
ꎟ	YI SYLLABLE NRUT (U+A39F)	ea8e9f
ꎠ	YI SYLLABLE NRUX (U+A3A0)	ea8ea0
ꎡ	YI SYLLABLE NRU (U+A3A1)	ea8ea1
ꎢ	YI SYLLABLE NRUP (U+A3A2)	ea8ea2
ꎣ	YI SYLLABLE NRURX (U+A3A3)	ea8ea3
ꎤ	YI SYLLABLE NRUR (U+A3A4)	ea8ea4
ꎥ	YI SYLLABLE NRYT (U+A3A5)	ea8ea5
ꎦ	YI SYLLABLE NRYX (U+A3A6)	ea8ea6
ꎧ	YI SYLLABLE NRY (U+A3A7)	ea8ea7
ꎨ	YI SYLLABLE NRYP (U+A3A8)	ea8ea8
ꎩ	YI SYLLABLE NRYRX (U+A3A9)	ea8ea9
