𓃵	EGYPTIAN HIEROGLYPH E030 (U+130F5)	f09383b5
𓃶	EGYPTIAN HIEROGLYPH E031 (U+130F6)	f09383b6
𓃷	EGYPTIAN HIEROGLYPH E032 (U+130F7)	f09383b7
𓃸	EGYPTIAN HIEROGLYPH E033 (U+130F8)	f09383b8
𓃹	EGYPTIAN HIEROGLYPH E034 (U+130F9)	f09383b9
𓃺	EGYPTIAN HIEROGLYPH E034A (U+130FA)	f09383ba
𓃻	EGYPTIAN HIEROGLYPH E036 (U+130FB)	f09383bb
𓃼	EGYPTIAN HIEROGLYPH E037 (U+130FC)	f09383bc
𓃽	EGYPTIAN HIEROGLYPH E038 (U+130FD)	f09383bd
𓃾	EGYPTIAN HIEROGLYPH F001 (U+130FE)	f09383be
𓃿	EGYPTIAN HIEROGLYPH F001A (U+130FF)	f09383bf
𓄀	EGYPTIAN HIEROGLYPH F002 (U+13100)	f0938480
𓄁	EGYPTIAN HIEROGLYPH F003 (U+13101)	f0938481
𓄂	EGYPTIAN HIEROGLYPH F004 (U+13102)	f0938482
𓄃	EGYPTIAN HIEROGLYPH F005 (U+13103)	f0938483
𓄄	EGYPTIAN HIEROGLYPH F006 (U+13104)	f0938484
𓄅	EGYPTIAN HIEROGLYPH F007 (U+13105)	f0938485
𓄆	EGYPTIAN HIEROGLYPH F008 (U+13106)	f0938486
𓄇	EGYPTIAN HIEROGLYPH F009 (U+13107)	f0938487
𓄈	EGYPTIAN HIEROGLYPH F010 (U+13108)	f0938488
𓄉	EGYPTIAN HIEROGLYPH F011 (U+13109)	f0938489
𓄊	EGYPTIAN HIEROGLYPH F012 (U+1310A)	f093848a
𓄋	EGYPTIAN HIEROGLYPH F013 (U+1310B)	f093848b
𓄌	EGYPTIAN HIEROGLYPH F013A (U+1310C)	f093848c
𓄍	EGYPTIAN HIEROGLYPH F014 (U+1310D)	f093848d
𓄎	EGYPTIAN HIEROGLYPH F015 (U+1310E)	f093848e
𓄏	EGYPTIAN HIEROGLYPH F016 (U+1310F)	f093848f
𓄐	EGYPTIAN HIEROGLYPH F017 (U+13110)	f0938490
𓄑	EGYPTIAN HIEROGLYPH F018 (U+13111)	f0938491
𓄒	EGYPTIAN HIEROGLYPH F019 (U+13112)	f0938492
𓄓	EGYPTIAN HIEROGLYPH F020 (U+13113)	f0938493
𓄔	EGYPTIAN HIEROGLYPH F021 (U+13114)	f0938494
𓄕	EGYPTIAN HIEROGLYPH F021A (U+13115)	f0938495
𓄖	EGYPTIAN HIEROGLYPH F022 (U+13116)	f0938496
𓄗	EGYPTIAN HIEROGLYPH F023 (U+13117)	f0938497
𓄘	EGYPTIAN HIEROGLYPH F024 (U+13118)	f0938498
𓄙	EGYPTIAN HIEROGLYPH F025 (U+13119)	f0938499
𓄚	EGYPTIAN HIEROGLYPH F026 (U+1311A)	f093849a
𓄛	EGYPTIAN HIEROGLYPH F027 (U+1311B)	f093849b
𓄜	EGYPTIAN HIEROGLYPH F028 (U+1311C)	f093849c
𓄝	EGYPTIAN HIEROGLYPH F029 (U+1311D)	f093849d
𓄞	EGYPTIAN HIEROGLYPH F030 (U+1311E)	f093849e
𓄟	EGYPTIAN HIEROGLYPH F031 (U+1311F)	f093849f
𓄠	EGYPTIAN HIEROGLYPH F031A (U+13120)	f09384a0
𓄡	EGYPTIAN HIEROGLYPH F032 (U+13121)	f09384a1
𓄢	EGYPTIAN HIEROGLYPH F033 (U+13122)	f09384a2
𓄣	EGYPTIAN HIEROGLYPH F034 (U+13123)	f09384a3
𓄤	EGYPTIAN HIEROGLYPH F035 (U+13124)	f09384a4
𓄥	EGYPTIAN HIEROGLYPH F036 (U+13125)	f09384a5
𓄦	EGYPTIAN HIEROGLYPH F037 (U+13126)	f09384a6
𓄧	EGYPTIAN HIEROGLYPH F037A (U+13127)	f09384a7
𓄨	EGYPTIAN HIEROGLYPH F038 (U+13128)	f09384a8
𓄩	EGYPTIAN HIEROGLYPH F038A (U+13129)	f09384a9
𓄪	EGYPTIAN HIEROGLYPH F039 (U+1312A)	f09384aa
𓄫	EGYPTIAN HIEROGLYPH F040 (U+1312B)	f09384ab
𓄬	EGYPTIAN HIEROGLYPH F041 (U+1312C)	f09384ac
𓄭	EGYPTIAN HIEROGLYPH F042 (U+1312D)	f09384ad
𓄮	EGYPTIAN HIEROGLYPH F043 (U+1312E)	f09384ae
𓄯	EGYPTIAN HIEROGLYPH F044 (U+1312F)	f09384af
𓄰	EGYPTIAN HIEROGLYPH F045 (U+13130)	f09384b0
𓄱	EGYPTIAN HIEROGLYPH F045A (U+13131)	f09384b1
𓄲	EGYPTIAN HIEROGLYPH F046 (U+13132)	f09384b2
𓄳	EGYPTIAN HIEROGLYPH F046A (U+13133)	f09384b3
𓄴	EGYPTIAN HIEROGLYPH F047 (U+13134)	f09384b4
𓄵	EGYPTIAN HIEROGLYPH F047A (U+13135)	f09384b5
𓄶	EGYPTIAN HIEROGLYPH F048 (U+13136)	f09384b6
𓄷	EGYPTIAN HIEROGLYPH F049 (U+13137)	f09384b7
𓄸	EGYPTIAN HIEROGLYPH F050 (U+13138)	f09384b8
𓄹	EGYPTIAN HIEROGLYPH F051 (U+13139)	f09384b9
𓄺	EGYPTIAN HIEROGLYPH F051A (U+1313A)	f09384ba
𓄻	EGYPTIAN HIEROGLYPH F051B (U+1313B)	f09384bb
𓄼	EGYPTIAN HIEROGLYPH F051C (U+1313C)	f09384bc
𓄽	EGYPTIAN HIEROGLYPH F052 (U+1313D)	f09384bd
𓄾	EGYPTIAN HIEROGLYPH F053 (U+1313E)	f09384be
𓄿	EGYPTIAN HIEROGLYPH G001 (U+1313F)	f09384bf
𓅀	EGYPTIAN HIEROGLYPH G002 (U+13140)	f0938580
𓅁	EGYPTIAN HIEROGLYPH G003 (U+13141)	f0938581
𓅂	EGYPTIAN HIEROGLYPH G004 (U+13142)	f0938582
𓅃	EGYPTIAN HIEROGLYPH G005 (U+13143)	f0938583
𓅄	EGYPTIAN HIEROGLYPH G006 (U+13144)	f0938584
𓅅	EGYPTIAN HIEROGLYPH G006A (U+13145)	f0938585
𓅆	EGYPTIAN HIEROGLYPH G007 (U+13146)	f0938586
𓅇	EGYPTIAN HIEROGLYPH G007A (U+13147)	f0938587
𓅈	EGYPTIAN HIEROGLYPH G007B (U+13148)	f0938588
𓅉	EGYPTIAN HIEROGLYPH G008 (U+13149)	f0938589
𓅊	EGYPTIAN HIEROGLYPH G009 (U+1314A)	f093858a
𓅋	EGYPTIAN HIEROGLYPH G010 (U+1314B)	f093858b
𓅌	EGYPTIAN HIEROGLYPH G011 (U+1314C)	f093858c
𓅍	EGYPTIAN HIEROGLYPH G011A (U+1314D)	f093858d
𓅎	EGYPTIAN HIEROGLYPH G012 (U+1314E)	f093858e
𓅏	EGYPTIAN HIEROGLYPH G013 (U+1314F)	f093858f
𓅐	EGYPTIAN HIEROGLYPH G014 (U+13150)	f0938590
𓅑	EGYPTIAN HIEROGLYPH G015 (U+13151)	f0938591
𓅒	EGYPTIAN HIEROGLYPH G016 (U+13152)	f0938592
𓅓	EGYPTIAN HIEROGLYPH G017 (U+13153)	f0938593
𓅔	EGYPTIAN HIEROGLYPH G018 (U+13154)	f0938594
𓅕	EGYPTIAN HIEROGLYPH G019 (U+13155)	f0938595
𓅖	EGYPTIAN HIEROGLYPH G020 (U+13156)	f0938596
𓅗	EGYPTIAN HIEROGLYPH G020A (U+13157)	f0938597
𓅘	EGYPTIAN HIEROGLYPH G021 (U+13158)	f0938598
𓅙	EGYPTIAN HIEROGLYPH G022 (U+13159)	f0938599
𓅚	EGYPTIAN HIEROGLYPH G023 (U+1315A)	f093859a
𓅛	EGYPTIAN HIEROGLYPH G024 (U+1315B)	f093859b
𓅜	EGYPTIAN HIEROGLYPH G025 (U+1315C)	f093859c
𓅝	EGYPTIAN HIEROGLYPH G026 (U+1315D)	f093859d
𓅞	EGYPTIAN HIEROGLYPH G026A (U+1315E)	f093859e
𓅟	EGYPTIAN HIEROGLYPH G027 (U+1315F)	f093859f
𓅠	EGYPTIAN HIEROGLYPH G028 (U+13160)	f09385a0
𓅡	EGYPTIAN HIEROGLYPH G029 (U+13161)	f09385a1
𓅢	EGYPTIAN HIEROGLYPH G030 (U+13162)	f09385a2
𓅣	EGYPTIAN HIEROGLYPH G031 (U+13163)	f09385a3
𓅤	EGYPTIAN HIEROGLYPH G032 (U+13164)	f09385a4
𓅥	EGYPTIAN HIEROGLYPH G033 (U+13165)	f09385a5
𓅦	EGYPTIAN HIEROGLYPH G034 (U+13166)	f09385a6
𓅧	EGYPTIAN HIEROGLYPH G035 (U+13167)	f09385a7
𓅨	EGYPTIAN HIEROGLYPH G036 (U+13168)	f09385a8
𓅩	EGYPTIAN HIEROGLYPH G036A (U+13169)	f09385a9
𓅪	EGYPTIAN HIEROGLYPH G037 (U+1316A)	f09385aa
𓅫	EGYPTIAN HIEROGLYPH G037A (U+1316B)	f09385ab
𓅬	EGYPTIAN HIEROGLYPH G038 (U+1316C)	f09385ac
𓅭	EGYPTIAN HIEROGLYPH G039 (U+1316D)	f09385ad
𓅮	EGYPTIAN HIEROGLYPH G040 (U+1316E)	f09385ae
𓅯	EGYPTIAN HIEROGLYPH G041 (U+1316F)	f09385af
𓅰	EGYPTIAN HIEROGLYPH G042 (U+13170)	f09385b0
𓅱	EGYPTIAN HIEROGLYPH G043 (U+13171)	f09385b1
𓅲	EGYPTIAN HIEROGLYPH G043A (U+13172)	f09385b2
𓅳	EGYPTIAN HIEROGLYPH G044 (U+13173)	f09385b3
𓅴	EGYPTIAN HIEROGLYPH G045 (U+13174)	f09385b4
𓅵	EGYPTIAN HIEROGLYPH G045A (U+13175)	f09385b5
𓅶	EGYPTIAN HIEROGLYPH G046 (U+13176)	f09385b6
𓅷	EGYPTIAN HIEROGLYPH G047 (U+13177)	f09385b7
𓅸	EGYPTIAN HIEROGLYPH G048 (U+13178)	f09385b8
𓅹	EGYPTIAN HIEROGLYPH G049 (U+13179)	f09385b9
𓅺	EGYPTIAN HIEROGLYPH G050 (U+1317A)	f09385ba
𓅻	EGYPTIAN HIEROGLYPH G051 (U+1317B)	f09385bb
𓅼	EGYPTIAN HIEROGLYPH G052 (U+1317C)	f09385bc
𓅽	EGYPTIAN HIEROGLYPH G053 (U+1317D)	f09385bd
𓅾	EGYPTIAN HIEROGLYPH G054 (U+1317E)	f09385be
𓅿	EGYPTIAN HIEROGLYPH H001 (U+1317F)	f09385bf
𓆀	EGYPTIAN HIEROGLYPH H002 (U+13180)	f0938680
𓆁	EGYPTIAN HIEROGLYPH H003 (U+13181)	f0938681
𓆂	EGYPTIAN HIEROGLYPH H004 (U+13182)	f0938682
𓆃	EGYPTIAN HIEROGLYPH H005 (U+13183)	f0938683
𓆄	EGYPTIAN HIEROGLYPH H006 (U+13184)	f0938684
𓆅	EGYPTIAN HIEROGLYPH H006A (U+13185)	f0938685
𓆆	EGYPTIAN HIEROGLYPH H007 (U+13186)	f0938686
𓆇	EGYPTIAN HIEROGLYPH H008 (U+13187)	f0938687
𓆈	EGYPTIAN HIEROGLYPH I001 (U+13188)	f0938688
𓆉	EGYPTIAN HIEROGLYPH I002 (U+13189)	f0938689
𓆊	EGYPTIAN HIEROGLYPH I003 (U+1318A)	f093868a
𓆋	EGYPTIAN HIEROGLYPH I004 (U+1318B)	f093868b
𓆌	EGYPTIAN HIEROGLYPH I005 (U+1318C)	f093868c
𓆍	EGYPTIAN HIEROGLYPH I005A (U+1318D)	f093868d
𓆎	EGYPTIAN HIEROGLYPH I006 (U+1318E)	f093868e
𓆏	EGYPTIAN HIEROGLYPH I007 (U+1318F)	f093868f
𓆐	EGYPTIAN HIEROGLYPH I008 (U+13190)	f0938690
𓆑	EGYPTIAN HIEROGLYPH I009 (U+13191)	f0938691
𓆒	EGYPTIAN HIEROGLYPH I009A (U+13192)	f0938692
𓆓	EGYPTIAN HIEROGLYPH I010 (U+13193)	f0938693
𓆔	EGYPTIAN HIEROGLYPH I010A (U+13194)	f0938694
𓆕	EGYPTIAN HIEROGLYPH I011 (U+13195)	f0938695
𓆖	EGYPTIAN HIEROGLYPH I011A (U+13196)	f0938696
𓆗	EGYPTIAN HIEROGLYPH I012 (U+13197)	f0938697
𓆘	EGYPTIAN HIEROGLYPH I013 (U+13198)	f0938698
𓆙	EGYPTIAN HIEROGLYPH I014 (U+13199)	f0938699
𓆚	EGYPTIAN HIEROGLYPH I015 (U+1319A)	f093869a
𓆛	EGYPTIAN HIEROGLYPH K001 (U+1319B)	f093869b
