🀦	MAHJONG TILE SPRING (U+1F026)	f09f80a6
🀧	MAHJONG TILE SUMMER (U+1F027)	f09f80a7
🀨	MAHJONG TILE AUTUMN (U+1F028)	f09f80a8
🀩	MAHJONG TILE WINTER (U+1F029)	f09f80a9
🀪	MAHJONG TILE JOKER (U+1F02A)	f09f80aa
🀫	MAHJONG TILE BACK (U+1F02B)	f09f80ab
🀰	DOMINO TILE HORIZONTAL BACK (U+1F030)	f09f80b0
🀱	DOMINO TILE HORIZONTAL-00-00 (U+1F031)	f09f80b1
🀲	DOMINO TILE HORIZONTAL-00-01 (U+1F032)	f09f80b2
🀳	DOMINO TILE HORIZONTAL-00-02 (U+1F033)	f09f80b3
🀴	DOMINO TILE HORIZONTAL-00-03 (U+1F034)	f09f80b4
🀵	DOMINO TILE HORIZONTAL-00-04 (U+1F035)	f09f80b5
🀶	DOMINO TILE HORIZONTAL-00-05 (U+1F036)	f09f80b6
🀷	DOMINO TILE HORIZONTAL-00-06 (U+1F037)	f09f80b7
🀸	DOMINO TILE HORIZONTAL-01-00 (U+1F038)	f09f80b8
🀹	DOMINO TILE HORIZONTAL-01-01 (U+1F039)	f09f80b9
🀺	DOMINO TILE HORIZONTAL-01-02 (U+1F03A)	f09f80ba
🀻	DOMINO TILE HORIZONTAL-01-03 (U+1F03B)	f09f80bb
🀼	DOMINO TILE HORIZONTAL-01-04 (U+1F03C)	f09f80bc
🀽	DOMINO TILE HORIZONTAL-01-05 (U+1F03D)	f09f80bd
🀾	DOMINO TILE HORIZONTAL-01-06 (U+1F03E)	f09f80be
🀿	DOMINO TILE HORIZONTAL-02-00 (U+1F03F)	f09f80bf
🁀	DOMINO TILE HORIZONTAL-02-01 (U+1F040)	f09f8180
🁁	DOMINO TILE HORIZONTAL-02-02 (U+1F041)	f09f8181
🁂	DOMINO TILE HORIZONTAL-02-03 (U+1F042)	f09f8182
🁃	DOMINO TILE HORIZONTAL-02-04 (U+1F043)	f09f8183
🁄	DOMINO TILE HORIZONTAL-02-05 (U+1F044)	f09f8184
🁅	DOMINO TILE HORIZONTAL-02-06 (U+1F045)	f09f8185
🁆	DOMINO TILE HORIZONTAL-03-00 (U+1F046)	f09f8186
🁇	DOMINO TILE HORIZONTAL-03-01 (U+1F047)	f09f8187
