𠍯	U+2036F (U+2036F)	f0a08daf
𠍰	U+20370 (U+20370)	f0a08db0
𠍱	U+20371 (U+20371)	f0a08db1
𠍲	U+20372 (U+20372)	f0a08db2
𠍳	U+20373 (U+20373)	f0a08db3
𠍴	U+20374 (U+20374)	f0a08db4
𠍵	U+20375 (U+20375)	f0a08db5
𠍶	U+20376 (U+20376)	f0a08db6
𠍷	U+20377 (U+20377)	f0a08db7
𠍸	U+20378 (U+20378)	f0a08db8
𠍹	U+20379 (U+20379)	f0a08db9
𠍺	U+2037A (U+2037A)	f0a08dba
𠍻	U+2037B (U+2037B)	f0a08dbb
𠍼	U+2037C (U+2037C)	f0a08dbc
𠍽	U+2037D (U+2037D)	f0a08dbd
𠍾	U+2037E (U+2037E)	f0a08dbe
𠍿	U+2037F (U+2037F)	f0a08dbf
𠎀	U+20380 (U+20380)	f0a08e80
𠎁	U+20381 (U+20381)	f0a08e81
𠎂	U+20382 (U+20382)	f0a08e82
𠎃	U+20383 (U+20383)	f0a08e83
𠎄	U+20384 (U+20384)	f0a08e84
𠎅	U+20385 (U+20385)	f0a08e85
𠎆	U+20386 (U+20386)	f0a08e86
𠎇	U+20387 (U+20387)	f0a08e87
𠎈	U+20388 (U+20388)	f0a08e88
𠎉	U+20389 (U+20389)	f0a08e89
𠎊	U+2038A (U+2038A)	f0a08e8a
𠎋	U+2038B (U+2038B)	f0a08e8b
𠎌	U+2038C (U+2038C)	f0a08e8c
𠎍	U+2038D (U+2038D)	f0a08e8d
𠎎	U+2038E (U+2038E)	f0a08e8e
𠎏	U+2038F (U+2038F)	f0a08e8f
𠎐	U+20390 (U+20390)	f0a08e90
𠎑	U+20391 (U+20391)	f0a08e91
𠎒	U+20392 (U+20392)	f0a08e92
𠎓	U+20393 (U+20393)	f0a08e93
𠎔	U+20394 (U+20394)	f0a08e94
𠎕	U+20395 (U+20395)	f0a08e95
𠎖	U+20396 (U+20396)	f0a08e96
𠎗	U+20397 (U+20397)	f0a08e97
𠎘	U+20398 (U+20398)	f0a08e98
𠎙	U+20399 (U+20399)	f0a08e99
𠎚	U+2039A (U+2039A)	f0a08e9a
𠎛	U+2039B (U+2039B)	f0a08e9b
𠎜	U+2039C (U+2039C)	f0a08e9c
𠎝	U+2039D (U+2039D)	f0a08e9d
𠎞	U+2039E (U+2039E)	f0a08e9e
𠎟	U+2039F (U+2039F)	f0a08e9f
𠎠	U+203A0 (U+203A0)	f0a08ea0
𠎡	U+203A1 (U+203A1)	f0a08ea1
𠎢	U+203A2 (U+203A2)	f0a08ea2
𠎣	U+203A3 (U+203A3)	f0a08ea3
𠎤	U+203A4 (U+203A4)	f0a08ea4
𠎥	U+203A5 (U+203A5)	f0a08ea5
𠎦	U+203A6 (U+203A6)	f0a08ea6
𠎧	U+203A7 (U+203A7)	f0a08ea7
𠎨	U+203A8 (U+203A8)	f0a08ea8
𠎩	U+203A9 (U+203A9)	f0a08ea9
𠎪	U+203AA (U+203AA)	f0a08eaa
𠎫	U+203AB (U+203AB)	f0a08eab
𠎬	U+203AC (U+203AC)	f0a08eac
𠎭	U+203AD (U+203AD)	f0a08ead
𠎮	U+203AE (U+203AE)	f0a08eae
𠎯	U+203AF (U+203AF)	f0a08eaf
𠎰	U+203B0 (U+203B0)	f0a08eb0
𠎱	U+203B1 (U+203B1)	f0a08eb1
𠎲	U+203B2 (U+203B2)	f0a08eb2
𠎳	U+203B3 (U+203B3)	f0a08eb3
𠎴	U+203B4 (U+203B4)	f0a08eb4
𠎵	U+203B5 (U+203B5)	f0a08eb5
𠎶	U+203B6 (U+203B6)	f0a08eb6
𠎷	U+203B7 (U+203B7)	f0a08eb7
𠎸	U+203B8 (U+203B8)	f0a08eb8
𠎹	U+203B9 (U+203B9)	f0a08eb9
𠎺	U+203BA (U+203BA)	f0a08eba
𠎻	U+203BB (U+203BB)	f0a08ebb
𠎼	U+203BC (U+203BC)	f0a08ebc
𠎽	U+203BD (U+203BD)	f0a08ebd
