𠝯	U+2076F (U+2076F)	f0a09daf
𠝰	U+20770 (U+20770)	f0a09db0
𠝱	U+20771 (U+20771)	f0a09db1
𠝲	U+20772 (U+20772)	f0a09db2
𠝳	U+20773 (U+20773)	f0a09db3
𠝴	U+20774 (U+20774)	f0a09db4
𠝵	U+20775 (U+20775)	f0a09db5
𠝶	U+20776 (U+20776)	f0a09db6
𠝷	U+20777 (U+20777)	f0a09db7
𠝸	U+20778 (U+20778)	f0a09db8
𠝹	(Cant.) to cut with a knife or scissors (U+20779)	f0a09db9
𠝺	U+2077A (U+2077A)	f0a09dba
𠝻	U+2077B (U+2077B)	f0a09dbb
𠝼	U+2077C (U+2077C)	f0a09dbc
𠝽	U+2077D (U+2077D)	f0a09dbd
𠝾	U+2077E (U+2077E)	f0a09dbe
𠝿	U+2077F (U+2077F)	f0a09dbf
𠞀	U+20780 (U+20780)	f0a09e80
𠞁	U+20781 (U+20781)	f0a09e81
𠞂	U+20782 (U+20782)	f0a09e82
𠞃	U+20783 (U+20783)	f0a09e83
𠞄	U+20784 (U+20784)	f0a09e84
𠞅	U+20785 (U+20785)	f0a09e85
𠞆	U+20786 (U+20786)	f0a09e86
𠞇	U+20787 (U+20787)	f0a09e87
𠞈	U+20788 (U+20788)	f0a09e88
𠞉	U+20789 (U+20789)	f0a09e89
𠞊	U+2078A (U+2078A)	f0a09e8a
𠞋	U+2078B (U+2078B)	f0a09e8b
𠞌	U+2078C (U+2078C)	f0a09e8c
𠞍	U+2078D (U+2078D)	f0a09e8d
𠞎	U+2078E (U+2078E)	f0a09e8e
𠞏	U+2078F (U+2078F)	f0a09e8f
𠞐	U+20790 (U+20790)	f0a09e90
𠞑	U+20791 (U+20791)	f0a09e91
𠞒	U+20792 (U+20792)	f0a09e92
𠞓	U+20793 (U+20793)	f0a09e93
𠞔	U+20794 (U+20794)	f0a09e94
𠞕	U+20795 (U+20795)	f0a09e95
𠞖	U+20796 (U+20796)	f0a09e96
𠞗	U+20797 (U+20797)	f0a09e97
𠞘	U+20798 (U+20798)	f0a09e98
