𠭯	U+20B6F (U+20B6F)	f0a0adaf
𠭰	U+20B70 (U+20B70)	f0a0adb0
𠭱	U+20B71 (U+20B71)	f0a0adb1
𠭲	U+20B72 (U+20B72)	f0a0adb2
𠭳	U+20B73 (U+20B73)	f0a0adb3
𠭴	(same as U+3441 㑁) short; of short stature (U+20B74)	f0a0adb4
𠭵	U+20B75 (U+20B75)	f0a0adb5
𠭶	U+20B76 (U+20B76)	f0a0adb6
𠭷	U+20B77 (U+20B77)	f0a0adb7
𠭸	U+20B78 (U+20B78)	f0a0adb8
𠭹	U+20B79 (U+20B79)	f0a0adb9
𠭺	U+20B7A (U+20B7A)	f0a0adba
𠭻	U+20B7B (U+20B7B)	f0a0adbb
𠭼	U+20B7C (U+20B7C)	f0a0adbc
𠭽	U+20B7D (U+20B7D)	f0a0adbd
𠭾	U+20B7E (U+20B7E)	f0a0adbe
𠭿	U+20B7F (U+20B7F)	f0a0adbf
𠮀	U+20B80 (U+20B80)	f0a0ae80
𠮁	U+20B81 (U+20B81)	f0a0ae81
𠮂	U+20B82 (U+20B82)	f0a0ae82
𠮃	U+20B83 (U+20B83)	f0a0ae83
𠮄	U+20B84 (U+20B84)	f0a0ae84
𠮅	U+20B85 (U+20B85)	f0a0ae85
𠮆	U+20B86 (U+20B86)	f0a0ae86
𠮇	U+20B87 (U+20B87)	f0a0ae87
𠮈	U+20B88 (U+20B88)	f0a0ae88
𠮉	U+20B89 (U+20B89)	f0a0ae89
𠮊	U+20B8A (U+20B8A)	f0a0ae8a
𠮋	U+20B8B (U+20B8B)	f0a0ae8b
𠮌	U+20B8C (U+20B8C)	f0a0ae8c
𠮍	U+20B8D (U+20B8D)	f0a0ae8d
𠮎	U+20B8E (U+20B8E)	f0a0ae8e
𠮏	U+20B8F (U+20B8F)	f0a0ae8f
𠮐	U+20B90 (U+20B90)	f0a0ae90
𠮑	U+20B91 (U+20B91)	f0a0ae91
𠮒	U+20B92 (U+20B92)	f0a0ae92
𠮓	U+20B93 (U+20B93)	f0a0ae93
𠮔	U+20B94 (U+20B94)	f0a0ae94
𠮕	U+20B95 (U+20B95)	f0a0ae95
𠮖	U+20B96 (U+20B96)	f0a0ae96
𠮗	U+20B97 (U+20B97)	f0a0ae97
𠮘	U+20B98 (U+20B98)	f0a0ae98
𠮙	U+20B99 (U+20B99)	f0a0ae99
𠮚	U+20B9A (U+20B9A)	f0a0ae9a
𠮛	U+20B9B (U+20B9B)	f0a0ae9b
𠮜	U+20B9C (U+20B9C)	f0a0ae9c
𠮝	U+20B9D (U+20B9D)	f0a0ae9d
𠮞	U+20B9E (U+20B9E)	f0a0ae9e
𠮟	U+20B9F (U+20B9F)	f0a0ae9f
𠮠	U+20BA0 (U+20BA0)	f0a0aea0
𠮡	U+20BA1 (U+20BA1)	f0a0aea1
𠮢	U+20BA2 (U+20BA2)	f0a0aea2
𠮣	U+20BA3 (U+20BA3)	f0a0aea3
𠮤	U+20BA4 (U+20BA4)	f0a0aea4
𠮥	U+20BA5 (U+20BA5)	f0a0aea5
𠮦	U+20BA6 (U+20BA6)	f0a0aea6
𠮧	U+20BA7 (U+20BA7)	f0a0aea7
𠮨	(Cant.) to tie, tow; bring along (U+20BA8)	f0a0aea8
𠮩	(Cant.) an interjection; rare, specialized (U+20BA9)	f0a0aea9
𠮪	U+20BAA (U+20BAA)	f0a0aeaa
𠮫	U+20BAB (U+20BAB)	f0a0aeab
𠮬	U+20BAC (U+20BAC)	f0a0aeac
𠮭	U+20BAD (U+20BAD)	f0a0aead
𠮮	U+20BAE (U+20BAE)	f0a0aeae
𠮯	U+20BAF (U+20BAF)	f0a0aeaf
𠮰	U+20BB0 (U+20BB0)	f0a0aeb0
𠮱	U+20BB1 (U+20BB1)	f0a0aeb1
𠮲	U+20BB2 (U+20BB2)	f0a0aeb2
𠮳	U+20BB3 (U+20BB3)	f0a0aeb3
𠮴	U+20BB4 (U+20BB4)	f0a0aeb4
𠮵	U+20BB5 (U+20BB5)	f0a0aeb5
𠮶	U+20BB6 (U+20BB6)	f0a0aeb6
𠮷	U+20BB7 (U+20BB7)	f0a0aeb7
𠮸	U+20BB8 (U+20BB8)	f0a0aeb8
𠮹	U+20BB9 (U+20BB9)	f0a0aeb9
𠮺	U+20BBA (U+20BBA)	f0a0aeba
𠮻	U+20BBB (U+20BBB)	f0a0aebb
𠮼	U+20BBC (U+20BBC)	f0a0aebc
𠮽	U+20BBD (U+20BBD)	f0a0aebd
𠮾	U+20BBE (U+20BBE)	f0a0aebe
𠮿	U+20BBF (U+20BBF)	f0a0aebf
𠯀	U+20BC0 (U+20BC0)	f0a0af80
𠯁	U+20BC1 (U+20BC1)	f0a0af81
𠯂	U+20BC2 (U+20BC2)	f0a0af82
𠯃	U+20BC3 (U+20BC3)	f0a0af83
𠯄	U+20BC4 (U+20BC4)	f0a0af84
𠯅	U+20BC5 (U+20BC5)	f0a0af85
𠯆	U+20BC6 (U+20BC6)	f0a0af86
𠯇	U+20BC7 (U+20BC7)	f0a0af87
𠯈	U+20BC8 (U+20BC8)	f0a0af88
𠯉	U+20BC9 (U+20BC9)	f0a0af89
𠯊	U+20BCA (U+20BCA)	f0a0af8a
𠯋	(Cant.) naughty, inferior (U+20BCB)	f0a0af8b
𠯌	U+20BCC (U+20BCC)	f0a0af8c
𠯍	U+20BCD (U+20BCD)	f0a0af8d
𠯎	U+20BCE (U+20BCE)	f0a0af8e
𠯏	U+20BCF (U+20BCF)	f0a0af8f
𠯐	U+20BD0 (U+20BD0)	f0a0af90
𠯑	U+20BD1 (U+20BD1)	f0a0af91
𠯒	U+20BD2 (U+20BD2)	f0a0af92
𠯓	U+20BD3 (U+20BD3)	f0a0af93
𠯔	U+20BD4 (U+20BD4)	f0a0af94
𠯕	U+20BD5 (U+20BD5)	f0a0af95
𠯖	U+20BD6 (U+20BD6)	f0a0af96
𠯗	nipple; to suck (U+20BD7)	f0a0af97
𠯘	U+20BD8 (U+20BD8)	f0a0af98
𠯙	U+20BD9 (U+20BD9)	f0a0af99
𠯚	U+20BDA (U+20BDA)	f0a0af9a
𠯛	U+20BDB (U+20BDB)	f0a0af9b
𠯜	U+20BDC (U+20BDC)	f0a0af9c
𠯝	U+20BDD (U+20BDD)	f0a0af9d
𠯞	U+20BDE (U+20BDE)	f0a0af9e
𠯟	U+20BDF (U+20BDF)	f0a0af9f
𠯠	U+20BE0 (U+20BE0)	f0a0afa0
𠯡	U+20BE1 (U+20BE1)	f0a0afa1
𠯢	U+20BE2 (U+20BE2)	f0a0afa2
𠯣	U+20BE3 (U+20BE3)	f0a0afa3
𠯤	U+20BE4 (U+20BE4)	f0a0afa4
𠯥	U+20BE5 (U+20BE5)	f0a0afa5
𠯦	(Cant.) to eat, take a meal (U+20BE6)	f0a0afa6
𠯧	U+20BE7 (U+20BE7)	f0a0afa7
𠯨	U+20BE8 (U+20BE8)	f0a0afa8
𠯩	U+20BE9 (U+20BE9)	f0a0afa9
𠯪	U+20BEA (U+20BEA)	f0a0afaa
𠯫	U+20BEB (U+20BEB)	f0a0afab
𠯬	U+20BEC (U+20BEC)	f0a0afac
𠯭	U+20BED (U+20BED)	f0a0afad
