𠽯	U+20F6F (U+20F6F)	f0a0bdaf
𠽰	U+20F70 (U+20F70)	f0a0bdb0
𠽱	U+20F71 (U+20F71)	f0a0bdb1
𠽲	U+20F72 (U+20F72)	f0a0bdb2
𠽳	U+20F73 (U+20F73)	f0a0bdb3
𠽴	U+20F74 (U+20F74)	f0a0bdb4
𠽵	U+20F75 (U+20F75)	f0a0bdb5
𠽶	U+20F76 (U+20F76)	f0a0bdb6
𠽷	U+20F77 (U+20F77)	f0a0bdb7
𠽸	U+20F78 (U+20F78)	f0a0bdb8
𠽹	U+20F79 (U+20F79)	f0a0bdb9
𠽺	U+20F7A (U+20F7A)	f0a0bdba
𠽻	U+20F7B (U+20F7B)	f0a0bdbb
𠽼	U+20F7C (U+20F7C)	f0a0bdbc
𠽽	U+20F7D (U+20F7D)	f0a0bdbd
𠽾	U+20F7E (U+20F7E)	f0a0bdbe
𠽿	U+20F7F (U+20F7F)	f0a0bdbf
𠾀	U+20F80 (U+20F80)	f0a0be80
𠾁	U+20F81 (U+20F81)	f0a0be81
𠾂	U+20F82 (U+20F82)	f0a0be82
𠾃	U+20F83 (U+20F83)	f0a0be83
𠾄	U+20F84 (U+20F84)	f0a0be84
𠾅	U+20F85 (U+20F85)	f0a0be85
𠾆	U+20F86 (U+20F86)	f0a0be86
𠾇	U+20F87 (U+20F87)	f0a0be87
𠾈	U+20F88 (U+20F88)	f0a0be88
𠾉	U+20F89 (U+20F89)	f0a0be89
𠾊	U+20F8A (U+20F8A)	f0a0be8a
𠾋	U+20F8B (U+20F8B)	f0a0be8b
𠾌	U+20F8C (U+20F8C)	f0a0be8c
𠾍	(Cant.) to flick something off in a disorderly way (U+20F8D)	f0a0be8d
𠾎	U+20F8E (U+20F8E)	f0a0be8e
𠾏	(Cant.) interjection (U+20F8F)	f0a0be8f
𠾐	U+20F90 (U+20F90)	f0a0be90
𠾑	U+20F91 (U+20F91)	f0a0be91
𠾒	U+20F92 (U+20F92)	f0a0be92
𠾓	U+20F93 (U+20F93)	f0a0be93
𠾔	U+20F94 (U+20F94)	f0a0be94
𠾕	U+20F95 (U+20F95)	f0a0be95
