𡍯	U+2136F (U+2136F)	f0a18daf
𡍰	U+21370 (U+21370)	f0a18db0
𡍱	U+21371 (U+21371)	f0a18db1
𡍲	U+21372 (U+21372)	f0a18db2
𡍳	U+21373 (U+21373)	f0a18db3
𡍴	U+21374 (U+21374)	f0a18db4
𡍵	U+21375 (U+21375)	f0a18db5
𡍶	U+21376 (U+21376)	f0a18db6
𡍷	U+21377 (U+21377)	f0a18db7
𡍸	U+21378 (U+21378)	f0a18db8
𡍹	U+21379 (U+21379)	f0a18db9
𡍺	U+2137A (U+2137A)	f0a18dba
𡍻	U+2137B (U+2137B)	f0a18dbb
𡍼	U+2137C (U+2137C)	f0a18dbc
𡍽	U+2137D (U+2137D)	f0a18dbd
𡍾	U+2137E (U+2137E)	f0a18dbe
𡍿	U+2137F (U+2137F)	f0a18dbf
𡎀	U+21380 (U+21380)	f0a18e80
𡎁	U+21381 (U+21381)	f0a18e81
𡎂	U+21382 (U+21382)	f0a18e82
𡎃	U+21383 (U+21383)	f0a18e83
𡎄	U+21384 (U+21384)	f0a18e84
𡎅	U+21385 (U+21385)	f0a18e85
𡎆	U+21386 (U+21386)	f0a18e86
𡎇	U+21387 (U+21387)	f0a18e87
𡎈	U+21388 (U+21388)	f0a18e88
𡎉	U+21389 (U+21389)	f0a18e89
𡎊	U+2138A (U+2138A)	f0a18e8a
𡎋	U+2138B (U+2138B)	f0a18e8b
𡎌	U+2138C (U+2138C)	f0a18e8c
𡎍	U+2138D (U+2138D)	f0a18e8d
𡎎	U+2138E (U+2138E)	f0a18e8e
𡎏	U+2138F (U+2138F)	f0a18e8f
𡎐	U+21390 (U+21390)	f0a18e90
𡎑	U+21391 (U+21391)	f0a18e91
𡎒	U+21392 (U+21392)	f0a18e92
𡎓	U+21393 (U+21393)	f0a18e93
𡎔	U+21394 (U+21394)	f0a18e94
𡎕	U+21395 (U+21395)	f0a18e95
𡎖	U+21396 (U+21396)	f0a18e96
𡎗	U+21397 (U+21397)	f0a18e97
𡎘	U+21398 (U+21398)	f0a18e98
𡎙	U+21399 (U+21399)	f0a18e99
𡎚	U+2139A (U+2139A)	f0a18e9a
𡎛	U+2139B (U+2139B)	f0a18e9b
𡎜	U+2139C (U+2139C)	f0a18e9c
𡎝	U+2139D (U+2139D)	f0a18e9d
𡎞	U+2139E (U+2139E)	f0a18e9e
𡎟	U+2139F (U+2139F)	f0a18e9f
𡎠	U+213A0 (U+213A0)	f0a18ea0
𡎡	U+213A1 (U+213A1)	f0a18ea1
𡎢	U+213A2 (U+213A2)	f0a18ea2
𡎣	U+213A3 (U+213A3)	f0a18ea3
𡎤	U+213A4 (U+213A4)	f0a18ea4
𡎥	U+213A5 (U+213A5)	f0a18ea5
𡎦	U+213A6 (U+213A6)	f0a18ea6
𡎧	U+213A7 (U+213A7)	f0a18ea7
𡎨	U+213A8 (U+213A8)	f0a18ea8
𡎩	U+213A9 (U+213A9)	f0a18ea9
𡎪	U+213AA (U+213AA)	f0a18eaa
𡎫	U+213AB (U+213AB)	f0a18eab
𡎬	U+213AC (U+213AC)	f0a18eac
𡎭	U+213AD (U+213AD)	f0a18ead
𡎮	U+213AE (U+213AE)	f0a18eae
𡎯	U+213AF (U+213AF)	f0a18eaf
𡎰	U+213B0 (U+213B0)	f0a18eb0
𡎱	U+213B1 (U+213B1)	f0a18eb1
𡎲	U+213B2 (U+213B2)	f0a18eb2
𡎳	U+213B3 (U+213B3)	f0a18eb3
𡎴	U+213B4 (U+213B4)	f0a18eb4
𡎵	U+213B5 (U+213B5)	f0a18eb5
𡎶	U+213B6 (U+213B6)	f0a18eb6
𡎷	U+213B7 (U+213B7)	f0a18eb7
𡎸	U+213B8 (U+213B8)	f0a18eb8
𡎹	U+213B9 (U+213B9)	f0a18eb9
𡎺	U+213BA (U+213BA)	f0a18eba
𡎻	U+213BB (U+213BB)	f0a18ebb
𡎼	U+213BC (U+213BC)	f0a18ebc
𡎽	U+213BD (U+213BD)	f0a18ebd
𡎾	U+213BE (U+213BE)	f0a18ebe
𡎿	U+213BF (U+213BF)	f0a18ebf
𡏀	U+213C0 (U+213C0)	f0a18f80
𡏁	U+213C1 (U+213C1)	f0a18f81
𡏂	U+213C2 (U+213C2)	f0a18f82
𡏃	U+213C3 (U+213C3)	f0a18f83
𡏄	U+213C4 (U+213C4)	f0a18f84
𡏅	U+213C5 (U+213C5)	f0a18f85
𡏆	U+213C6 (U+213C6)	f0a18f86
𡏇	U+213C7 (U+213C7)	f0a18f87
𡏈	U+213C8 (U+213C8)	f0a18f88
𡏉	U+213C9 (U+213C9)	f0a18f89
𡏊	U+213CA (U+213CA)	f0a18f8a
𡏋	U+213CB (U+213CB)	f0a18f8b
𡏌	U+213CC (U+213CC)	f0a18f8c
𡏍	U+213CD (U+213CD)	f0a18f8d
𡏎	U+213CE (U+213CE)	f0a18f8e
𡏏	U+213CF (U+213CF)	f0a18f8f
𡏐	U+213D0 (U+213D0)	f0a18f90
𡏑	U+213D1 (U+213D1)	f0a18f91
𡏒	U+213D2 (U+213D2)	f0a18f92
𡏓	U+213D3 (U+213D3)	f0a18f93
𡏔	U+213D4 (U+213D4)	f0a18f94
𡏕	U+213D5 (U+213D5)	f0a18f95
