𡝯	U+2176F (U+2176F)	f0a19daf
𡝰	U+21770 (U+21770)	f0a19db0
𡝱	U+21771 (U+21771)	f0a19db1
𡝲	U+21772 (U+21772)	f0a19db2
𡝳	U+21773 (U+21773)	f0a19db3
𡝴	U+21774 (U+21774)	f0a19db4
𡝵	U+21775 (U+21775)	f0a19db5
𡝶	U+21776 (U+21776)	f0a19db6
𡝷	U+21777 (U+21777)	f0a19db7
𡝸	U+21778 (U+21778)	f0a19db8
𡝹	U+21779 (U+21779)	f0a19db9
𡝺	U+2177A (U+2177A)	f0a19dba
𡝻	U+2177B (U+2177B)	f0a19dbb
𡝼	U+2177C (U+2177C)	f0a19dbc
𡝽	U+2177D (U+2177D)	f0a19dbd
𡝾	U+2177E (U+2177E)	f0a19dbe
𡝿	U+2177F (U+2177F)	f0a19dbf
𡞀	U+21780 (U+21780)	f0a19e80
𡞁	U+21781 (U+21781)	f0a19e81
𡞂	U+21782 (U+21782)	f0a19e82
𡞃	U+21783 (U+21783)	f0a19e83
𡞄	U+21784 (U+21784)	f0a19e84
𡞅	U+21785 (U+21785)	f0a19e85
𡞆	U+21786 (U+21786)	f0a19e86
𡞇	U+21787 (U+21787)	f0a19e87
𡞈	U+21788 (U+21788)	f0a19e88
𡞉	U+21789 (U+21789)	f0a19e89
𡞊	U+2178A (U+2178A)	f0a19e8a
𡞋	U+2178B (U+2178B)	f0a19e8b
𡞌	U+2178C (U+2178C)	f0a19e8c
𡞍	U+2178D (U+2178D)	f0a19e8d
𡞎	U+2178E (U+2178E)	f0a19e8e
𡞏	U+2178F (U+2178F)	f0a19e8f
𡞐	U+21790 (U+21790)	f0a19e90
𡞑	U+21791 (U+21791)	f0a19e91
𡞒	U+21792 (U+21792)	f0a19e92
𡞓	U+21793 (U+21793)	f0a19e93
𡞔	U+21794 (U+21794)	f0a19e94
𡞕	U+21795 (U+21795)	f0a19e95
𡞖	U+21796 (U+21796)	f0a19e96
𡞗	U+21797 (U+21797)	f0a19e97
𡞘	U+21798 (U+21798)	f0a19e98
𡞙	U+21799 (U+21799)	f0a19e99
𡞚	U+2179A (U+2179A)	f0a19e9a
𡞛	U+2179B (U+2179B)	f0a19e9b
𡞜	U+2179C (U+2179C)	f0a19e9c
𡞝	U+2179D (U+2179D)	f0a19e9d
𡞞	U+2179E (U+2179E)	f0a19e9e
𡞟	U+2179F (U+2179F)	f0a19e9f
𡞠	U+217A0 (U+217A0)	f0a19ea0
𡞡	U+217A1 (U+217A1)	f0a19ea1
𡞢	U+217A2 (U+217A2)	f0a19ea2
𡞣	U+217A3 (U+217A3)	f0a19ea3
𡞤	U+217A4 (U+217A4)	f0a19ea4
𡞥	U+217A5 (U+217A5)	f0a19ea5
𡞦	U+217A6 (U+217A6)	f0a19ea6
𡞧	U+217A7 (U+217A7)	f0a19ea7
𡞨	U+217A8 (U+217A8)	f0a19ea8
𡞩	U+217A9 (U+217A9)	f0a19ea9
𡞪	U+217AA (U+217AA)	f0a19eaa
𡞫	U+217AB (U+217AB)	f0a19eab
𡞬	U+217AC (U+217AC)	f0a19eac
𡞭	U+217AD (U+217AD)	f0a19ead
𡞮	U+217AE (U+217AE)	f0a19eae
𡞯	U+217AF (U+217AF)	f0a19eaf
𡞰	U+217B0 (U+217B0)	f0a19eb0
𡞱	U+217B1 (U+217B1)	f0a19eb1
𡞲	U+217B2 (U+217B2)	f0a19eb2
𡞳	U+217B3 (U+217B3)	f0a19eb3
𡞴	U+217B4 (U+217B4)	f0a19eb4
𡞵	U+217B5 (U+217B5)	f0a19eb5
𡞶	U+217B6 (U+217B6)	f0a19eb6
𡞷	U+217B7 (U+217B7)	f0a19eb7
𡞸	U+217B8 (U+217B8)	f0a19eb8
𡞹	U+217B9 (U+217B9)	f0a19eb9
𡞺	U+217BA (U+217BA)	f0a19eba
𡞻	U+217BB (U+217BB)	f0a19ebb
𡞼	U+217BC (U+217BC)	f0a19ebc
𡞽	U+217BD (U+217BD)	f0a19ebd
𡞾	soft, delicate (U+217BE)	f0a19ebe
𡞿	U+217BF (U+217BF)	f0a19ebf
𡟀	U+217C0 (U+217C0)	f0a19f80
𡟁	U+217C1 (U+217C1)	f0a19f81
𡟂	U+217C2 (U+217C2)	f0a19f82
𡟃	U+217C3 (U+217C3)	f0a19f83
𡟄	U+217C4 (U+217C4)	f0a19f84
𡟅	U+217C5 (U+217C5)	f0a19f85
𡟆	U+217C6 (U+217C6)	f0a19f86
𡟇	U+217C7 (U+217C7)	f0a19f87
𡟈	U+217C8 (U+217C8)	f0a19f88
𡟉	U+217C9 (U+217C9)	f0a19f89
𡟊	U+217CA (U+217CA)	f0a19f8a
𡟋	U+217CB (U+217CB)	f0a19f8b
𡟌	U+217CC (U+217CC)	f0a19f8c
𡟍	U+217CD (U+217CD)	f0a19f8d
𡟎	U+217CE (U+217CE)	f0a19f8e
𡟏	U+217CF (U+217CF)	f0a19f8f
𡟐	U+217D0 (U+217D0)	f0a19f90
𡟑	U+217D1 (U+217D1)	f0a19f91
𡟒	U+217D2 (U+217D2)	f0a19f92
𡟓	U+217D3 (U+217D3)	f0a19f93
𡟔	U+217D4 (U+217D4)	f0a19f94
𡟕	U+217D5 (U+217D5)	f0a19f95
𡟖	U+217D6 (U+217D6)	f0a19f96
𡟗	U+217D7 (U+217D7)	f0a19f97
𡟘	U+217D8 (U+217D8)	f0a19f98
𡟙	U+217D9 (U+217D9)	f0a19f99
𡟚	U+217DA (U+217DA)	f0a19f9a
𡟛	U+217DB (U+217DB)	f0a19f9b
𡟜	U+217DC (U+217DC)	f0a19f9c
𡟝	U+217DD (U+217DD)	f0a19f9d
𡟞	U+217DE (U+217DE)	f0a19f9e
𡟟	U+217DF (U+217DF)	f0a19f9f
𡟠	U+217E0 (U+217E0)	f0a19fa0
𡟡	U+217E1 (U+217E1)	f0a19fa1
𡟢	U+217E2 (U+217E2)	f0a19fa2
𡟣	U+217E3 (U+217E3)	f0a19fa3
𡟤	U+217E4 (U+217E4)	f0a19fa4
𡟥	U+217E5 (U+217E5)	f0a19fa5
𡟦	U+217E6 (U+217E6)	f0a19fa6
𡟧	U+217E7 (U+217E7)	f0a19fa7
𡟨	U+217E8 (U+217E8)	f0a19fa8
𡟩	U+217E9 (U+217E9)	f0a19fa9
𡟪	U+217EA (U+217EA)	f0a19faa
𡟫	U+217EB (U+217EB)	f0a19fab
𡟬	U+217EC (U+217EC)	f0a19fac
𡟭	U+217ED (U+217ED)	f0a19fad
𡟮	U+217EE (U+217EE)	f0a19fae
𡟯	U+217EF (U+217EF)	f0a19faf
𡟰	U+217F0 (U+217F0)	f0a19fb0
𡟱	U+217F1 (U+217F1)	f0a19fb1
𡟲	U+217F2 (U+217F2)	f0a19fb2
𡟳	U+217F3 (U+217F3)	f0a19fb3
𡟴	U+217F4 (U+217F4)	f0a19fb4
𡟵	U+217F5 (U+217F5)	f0a19fb5
𡟶	U+217F6 (U+217F6)	f0a19fb6
𡟷	U+217F7 (U+217F7)	f0a19fb7
𡟸	U+217F8 (U+217F8)	f0a19fb8
𡟹	U+217F9 (U+217F9)	f0a19fb9
𡟺	U+217FA (U+217FA)	f0a19fba
𡟻	U+217FB (U+217FB)	f0a19fbb
𡟼	U+217FC (U+217FC)	f0a19fbc
𡟽	U+217FD (U+217FD)	f0a19fbd
𡟾	U+217FE (U+217FE)	f0a19fbe
𡟿	U+217FF (U+217FF)	f0a19fbf
𡠀	U+21800 (U+21800)	f0a1a080
𡠁	U+21801 (U+21801)	f0a1a081
𡠂	U+21802 (U+21802)	f0a1a082
𡠃	U+21803 (U+21803)	f0a1a083
𡠄	U+21804 (U+21804)	f0a1a084
𡠅	U+21805 (U+21805)	f0a1a085
𡠆	U+21806 (U+21806)	f0a1a086
𡠇	U+21807 (U+21807)	f0a1a087
𡠈	U+21808 (U+21808)	f0a1a088
𡠉	U+21809 (U+21809)	f0a1a089
𡠊	U+2180A (U+2180A)	f0a1a08a
𡠋	U+2180B (U+2180B)	f0a1a08b
𡠌	U+2180C (U+2180C)	f0a1a08c
𡠍	U+2180D (U+2180D)	f0a1a08d
𡠎	U+2180E (U+2180E)	f0a1a08e
𡠏	U+2180F (U+2180F)	f0a1a08f
𡠐	U+21810 (U+21810)	f0a1a090
𡠑	U+21811 (U+21811)	f0a1a091
𡠒	U+21812 (U+21812)	f0a1a092
𡠓	U+21813 (U+21813)	f0a1a093
𡠔	U+21814 (U+21814)	f0a1a094
𡠕	U+21815 (U+21815)	f0a1a095
𡠖	U+21816 (U+21816)	f0a1a096
𡠗	U+21817 (U+21817)	f0a1a097
𡠘	U+21818 (U+21818)	f0a1a098
𡠙	U+21819 (U+21819)	f0a1a099
𡠚	U+2181A (U+2181A)	f0a1a09a
