𡭯	U+21B6F (U+21B6F)	f0a1adaf
𡭰	U+21B70 (U+21B70)	f0a1adb0
𡭱	U+21B71 (U+21B71)	f0a1adb1
𡭲	U+21B72 (U+21B72)	f0a1adb2
𡭳	U+21B73 (U+21B73)	f0a1adb3
𡭴	U+21B74 (U+21B74)	f0a1adb4
𡭵	U+21B75 (U+21B75)	f0a1adb5
𡭶	U+21B76 (U+21B76)	f0a1adb6
𡭷	U+21B77 (U+21B77)	f0a1adb7
𡭸	U+21B78 (U+21B78)	f0a1adb8
𡭹	U+21B79 (U+21B79)	f0a1adb9
𡭺	U+21B7A (U+21B7A)	f0a1adba
𡭻	U+21B7B (U+21B7B)	f0a1adbb
𡭼	U+21B7C (U+21B7C)	f0a1adbc
𡭽	U+21B7D (U+21B7D)	f0a1adbd
𡭾	U+21B7E (U+21B7E)	f0a1adbe
𡭿	U+21B7F (U+21B7F)	f0a1adbf
𡮀	U+21B80 (U+21B80)	f0a1ae80
𡮁	U+21B81 (U+21B81)	f0a1ae81
𡮂	U+21B82 (U+21B82)	f0a1ae82
𡮃	U+21B83 (U+21B83)	f0a1ae83
𡮄	U+21B84 (U+21B84)	f0a1ae84
𡮅	U+21B85 (U+21B85)	f0a1ae85
𡮆	U+21B86 (U+21B86)	f0a1ae86
𡮇	U+21B87 (U+21B87)	f0a1ae87
𡮈	U+21B88 (U+21B88)	f0a1ae88
𡮉	U+21B89 (U+21B89)	f0a1ae89
𡮊	U+21B8A (U+21B8A)	f0a1ae8a
𡮋	U+21B8B (U+21B8B)	f0a1ae8b
𡮌	U+21B8C (U+21B8C)	f0a1ae8c
𡮍	U+21B8D (U+21B8D)	f0a1ae8d
𡮎	U+21B8E (U+21B8E)	f0a1ae8e
𡮏	U+21B8F (U+21B8F)	f0a1ae8f
𡮐	U+21B90 (U+21B90)	f0a1ae90
𡮑	U+21B91 (U+21B91)	f0a1ae91
𡮒	U+21B92 (U+21B92)	f0a1ae92
𡮓	U+21B93 (U+21B93)	f0a1ae93
𡮔	U+21B94 (U+21B94)	f0a1ae94
𡮕	U+21B95 (U+21B95)	f0a1ae95
𡮖	U+21B96 (U+21B96)	f0a1ae96
𡮗	U+21B97 (U+21B97)	f0a1ae97
𡮘	U+21B98 (U+21B98)	f0a1ae98
𡮙	U+21B99 (U+21B99)	f0a1ae99
𡮚	U+21B9A (U+21B9A)	f0a1ae9a
𡮛	U+21B9B (U+21B9B)	f0a1ae9b
𡮜	U+21B9C (U+21B9C)	f0a1ae9c
𡮝	U+21B9D (U+21B9D)	f0a1ae9d
𡮞	U+21B9E (U+21B9E)	f0a1ae9e
𡮟	U+21B9F (U+21B9F)	f0a1ae9f
𡮠	U+21BA0 (U+21BA0)	f0a1aea0
𡮡	U+21BA1 (U+21BA1)	f0a1aea1
𡮢	U+21BA2 (U+21BA2)	f0a1aea2
𡮣	U+21BA3 (U+21BA3)	f0a1aea3
𡮤	U+21BA4 (U+21BA4)	f0a1aea4
𡮥	U+21BA5 (U+21BA5)	f0a1aea5
𡮦	worn out, spoiled (U+21BA6)	f0a1aea6
𡮧	U+21BA7 (U+21BA7)	f0a1aea7
𡮨	U+21BA8 (U+21BA8)	f0a1aea8
𡮩	U+21BA9 (U+21BA9)	f0a1aea9
𡮪	U+21BAA (U+21BAA)	f0a1aeaa
𡮫	U+21BAB (U+21BAB)	f0a1aeab
𡮬	U+21BAC (U+21BAC)	f0a1aeac
𡮭	U+21BAD (U+21BAD)	f0a1aead
𡮮	U+21BAE (U+21BAE)	f0a1aeae
𡮯	U+21BAF (U+21BAF)	f0a1aeaf
𡮰	U+21BB0 (U+21BB0)	f0a1aeb0
𡮱	U+21BB1 (U+21BB1)	f0a1aeb1
𡮲	U+21BB2 (U+21BB2)	f0a1aeb2
𡮳	U+21BB3 (U+21BB3)	f0a1aeb3
𡮴	U+21BB4 (U+21BB4)	f0a1aeb4
𡮵	U+21BB5 (U+21BB5)	f0a1aeb5
𡮶	U+21BB6 (U+21BB6)	f0a1aeb6
𡮷	U+21BB7 (U+21BB7)	f0a1aeb7
𡮸	U+21BB8 (U+21BB8)	f0a1aeb8
𡮹	U+21BB9 (U+21BB9)	f0a1aeb9
𡮺	U+21BBA (U+21BBA)	f0a1aeba
𡮻	U+21BBB (U+21BBB)	f0a1aebb
𡮼	U+21BBC (U+21BBC)	f0a1aebc
𡮽	U+21BBD (U+21BBD)	f0a1aebd
𡮾	U+21BBE (U+21BBE)	f0a1aebe
𡮿	U+21BBF (U+21BBF)	f0a1aebf
𡯀	U+21BC0 (U+21BC0)	f0a1af80
𡯁	U+21BC1 (U+21BC1)	f0a1af81
𡯂	U+21BC2 (U+21BC2)	f0a1af82
𡯃	U+21BC3 (U+21BC3)	f0a1af83
𡯄	U+21BC4 (U+21BC4)	f0a1af84
𡯅	U+21BC5 (U+21BC5)	f0a1af85
𡯆	U+21BC6 (U+21BC6)	f0a1af86
𡯇	U+21BC7 (U+21BC7)	f0a1af87
𡯈	U+21BC8 (U+21BC8)	f0a1af88
𡯉	U+21BC9 (U+21BC9)	f0a1af89
𡯊	U+21BCA (U+21BCA)	f0a1af8a
𡯋	U+21BCB (U+21BCB)	f0a1af8b
𡯌	U+21BCC (U+21BCC)	f0a1af8c
𡯍	U+21BCD (U+21BCD)	f0a1af8d
𡯎	U+21BCE (U+21BCE)	f0a1af8e
𡯏	U+21BCF (U+21BCF)	f0a1af8f
𡯐	U+21BD0 (U+21BD0)	f0a1af90
𡯑	U+21BD1 (U+21BD1)	f0a1af91
𡯒	U+21BD2 (U+21BD2)	f0a1af92
𡯓	U+21BD3 (U+21BD3)	f0a1af93
𡯔	U+21BD4 (U+21BD4)	f0a1af94
𡯕	U+21BD5 (U+21BD5)	f0a1af95
𡯖	U+21BD6 (U+21BD6)	f0a1af96
𡯗	U+21BD7 (U+21BD7)	f0a1af97
𡯘	U+21BD8 (U+21BD8)	f0a1af98
𡯙	U+21BD9 (U+21BD9)	f0a1af99
𡯚	U+21BDA (U+21BDA)	f0a1af9a
𡯛	U+21BDB (U+21BDB)	f0a1af9b
𡯜	U+21BDC (U+21BDC)	f0a1af9c
𡯝	U+21BDD (U+21BDD)	f0a1af9d
𡯞	U+21BDE (U+21BDE)	f0a1af9e
𡯟	U+21BDF (U+21BDF)	f0a1af9f
𡯠	U+21BE0 (U+21BE0)	f0a1afa0
𡯡	U+21BE1 (U+21BE1)	f0a1afa1
𡯢	U+21BE2 (U+21BE2)	f0a1afa2
𡯣	U+21BE3 (U+21BE3)	f0a1afa3
𡯤	U+21BE4 (U+21BE4)	f0a1afa4
𡯥	U+21BE5 (U+21BE5)	f0a1afa5
𡯦	U+21BE6 (U+21BE6)	f0a1afa6
𡯧	U+21BE7 (U+21BE7)	f0a1afa7
𡯨	U+21BE8 (U+21BE8)	f0a1afa8
𡯩	U+21BE9 (U+21BE9)	f0a1afa9
𡯪	U+21BEA (U+21BEA)	f0a1afaa
𡯫	U+21BEB (U+21BEB)	f0a1afab
𡯬	U+21BEC (U+21BEC)	f0a1afac
𡯭	U+21BED (U+21BED)	f0a1afad
𡯮	U+21BEE (U+21BEE)	f0a1afae
𡯯	U+21BEF (U+21BEF)	f0a1afaf
𡯰	U+21BF0 (U+21BF0)	f0a1afb0
𡯱	U+21BF1 (U+21BF1)	f0a1afb1
𡯲	U+21BF2 (U+21BF2)	f0a1afb2
𡯳	U+21BF3 (U+21BF3)	f0a1afb3
𡯴	U+21BF4 (U+21BF4)	f0a1afb4
𡯵	U+21BF5 (U+21BF5)	f0a1afb5
𡯶	U+21BF6 (U+21BF6)	f0a1afb6
𡯷	U+21BF7 (U+21BF7)	f0a1afb7
𡯸	U+21BF8 (U+21BF8)	f0a1afb8
𡯹	U+21BF9 (U+21BF9)	f0a1afb9
𡯺	U+21BFA (U+21BFA)	f0a1afba
𡯻	U+21BFB (U+21BFB)	f0a1afbb
𡯼	U+21BFC (U+21BFC)	f0a1afbc
