𡽯	U+21F6F (U+21F6F)	f0a1bdaf
𡽰	U+21F70 (U+21F70)	f0a1bdb0
𡽱	a high hill; the name of a hill (U+21F71)	f0a1bdb1
𡽲	U+21F72 (U+21F72)	f0a1bdb2
𡽳	U+21F73 (U+21F73)	f0a1bdb3
𡽴	U+21F74 (U+21F74)	f0a1bdb4
𡽵	U+21F75 (U+21F75)	f0a1bdb5
𡽶	U+21F76 (U+21F76)	f0a1bdb6
𡽷	U+21F77 (U+21F77)	f0a1bdb7
𡽸	U+21F78 (U+21F78)	f0a1bdb8
𡽹	U+21F79 (U+21F79)	f0a1bdb9
𡽺	U+21F7A (U+21F7A)	f0a1bdba
𡽻	U+21F7B (U+21F7B)	f0a1bdbb
𡽼	U+21F7C (U+21F7C)	f0a1bdbc
𡽽	U+21F7D (U+21F7D)	f0a1bdbd
𡽾	U+21F7E (U+21F7E)	f0a1bdbe
𡽿	U+21F7F (U+21F7F)	f0a1bdbf
𡾀	U+21F80 (U+21F80)	f0a1be80
𡾁	U+21F81 (U+21F81)	f0a1be81
𡾂	U+21F82 (U+21F82)	f0a1be82
𡾃	U+21F83 (U+21F83)	f0a1be83
𡾄	U+21F84 (U+21F84)	f0a1be84
𡾅	U+21F85 (U+21F85)	f0a1be85
𡾆	U+21F86 (U+21F86)	f0a1be86
𡾇	U+21F87 (U+21F87)	f0a1be87
𡾈	U+21F88 (U+21F88)	f0a1be88
𡾉	U+21F89 (U+21F89)	f0a1be89
𡾊	U+21F8A (U+21F8A)	f0a1be8a
𡾋	U+21F8B (U+21F8B)	f0a1be8b
𡾌	U+21F8C (U+21F8C)	f0a1be8c
𡾍	U+21F8D (U+21F8D)	f0a1be8d
𡾎	U+21F8E (U+21F8E)	f0a1be8e
𡾏	U+21F8F (U+21F8F)	f0a1be8f
𡾐	U+21F90 (U+21F90)	f0a1be90
𡾑	U+21F91 (U+21F91)	f0a1be91
𡾒	U+21F92 (U+21F92)	f0a1be92
𡾓	U+21F93 (U+21F93)	f0a1be93
𡾔	U+21F94 (U+21F94)	f0a1be94
𡾕	U+21F95 (U+21F95)	f0a1be95
𡾖	U+21F96 (U+21F96)	f0a1be96
𡾗	U+21F97 (U+21F97)	f0a1be97
𡾘	U+21F98 (U+21F98)	f0a1be98
𡾙	U+21F99 (U+21F99)	f0a1be99
𡾚	U+21F9A (U+21F9A)	f0a1be9a
𡾛	U+21F9B (U+21F9B)	f0a1be9b
𡾜	U+21F9C (U+21F9C)	f0a1be9c
𡾝	U+21F9D (U+21F9D)	f0a1be9d
𡾞	U+21F9E (U+21F9E)	f0a1be9e
𡾟	U+21F9F (U+21F9F)	f0a1be9f
𡾠	U+21FA0 (U+21FA0)	f0a1bea0
𡾡	U+21FA1 (U+21FA1)	f0a1bea1
𡾢	U+21FA2 (U+21FA2)	f0a1bea2
𡾣	U+21FA3 (U+21FA3)	f0a1bea3
𡾤	U+21FA4 (U+21FA4)	f0a1bea4
𡾥	U+21FA5 (U+21FA5)	f0a1bea5
𡾦	U+21FA6 (U+21FA6)	f0a1bea6
𡾧	U+21FA7 (U+21FA7)	f0a1bea7
𡾨	U+21FA8 (U+21FA8)	f0a1bea8
𡾩	U+21FA9 (U+21FA9)	f0a1bea9
𡾪	U+21FAA (U+21FAA)	f0a1beaa
𡾫	U+21FAB (U+21FAB)	f0a1beab
𡾬	U+21FAC (U+21FAC)	f0a1beac
𡾭	U+21FAD (U+21FAD)	f0a1bead
𡾮	U+21FAE (U+21FAE)	f0a1beae
𡾯	U+21FAF (U+21FAF)	f0a1beaf
𡾰	U+21FB0 (U+21FB0)	f0a1beb0
𡾱	U+21FB1 (U+21FB1)	f0a1beb1
𡾲	U+21FB2 (U+21FB2)	f0a1beb2
𡾳	U+21FB3 (U+21FB3)	f0a1beb3
𡾴	U+21FB4 (U+21FB4)	f0a1beb4
𡾵	U+21FB5 (U+21FB5)	f0a1beb5
𡾶	U+21FB6 (U+21FB6)	f0a1beb6
𡾷	U+21FB7 (U+21FB7)	f0a1beb7
𡾸	U+21FB8 (U+21FB8)	f0a1beb8
𡾹	U+21FB9 (U+21FB9)	f0a1beb9
𡾺	U+21FBA (U+21FBA)	f0a1beba
𡾻	U+21FBB (U+21FBB)	f0a1bebb
𡾼	U+21FBC (U+21FBC)	f0a1bebc
𡾽	U+21FBD (U+21FBD)	f0a1bebd
𡾾	U+21FBE (U+21FBE)	f0a1bebe
𡾿	U+21FBF (U+21FBF)	f0a1bebf
𡿀	U+21FC0 (U+21FC0)	f0a1bf80
𡿁	U+21FC1 (U+21FC1)	f0a1bf81
𡿂	U+21FC2 (U+21FC2)	f0a1bf82
𡿃	U+21FC3 (U+21FC3)	f0a1bf83
