𢍯	U+2236F (U+2236F)	f0a28daf
𢍰	U+22370 (U+22370)	f0a28db0
𢍱	U+22371 (U+22371)	f0a28db1
𢍲	U+22372 (U+22372)	f0a28db2
𢍳	U+22373 (U+22373)	f0a28db3
𢍴	U+22374 (U+22374)	f0a28db4
𢍵	U+22375 (U+22375)	f0a28db5
𢍶	U+22376 (U+22376)	f0a28db6
𢍷	U+22377 (U+22377)	f0a28db7
𢍸	U+22378 (U+22378)	f0a28db8
𢍹	U+22379 (U+22379)	f0a28db9
𢍺	U+2237A (U+2237A)	f0a28dba
𢍻	U+2237B (U+2237B)	f0a28dbb
𢍼	U+2237C (U+2237C)	f0a28dbc
𢍽	U+2237D (U+2237D)	f0a28dbd
𢍾	U+2237E (U+2237E)	f0a28dbe
𢍿	U+2237F (U+2237F)	f0a28dbf
𢎀	U+22380 (U+22380)	f0a28e80
𢎁	U+22381 (U+22381)	f0a28e81
𢎂	U+22382 (U+22382)	f0a28e82
𢎃	U+22383 (U+22383)	f0a28e83
𢎄	U+22384 (U+22384)	f0a28e84
𢎅	U+22385 (U+22385)	f0a28e85
𢎆	U+22386 (U+22386)	f0a28e86
𢎇	U+22387 (U+22387)	f0a28e87
𢎈	U+22388 (U+22388)	f0a28e88
𢎉	U+22389 (U+22389)	f0a28e89
𢎊	U+2238A (U+2238A)	f0a28e8a
𢎋	U+2238B (U+2238B)	f0a28e8b
𢎌	U+2238C (U+2238C)	f0a28e8c
𢎍	U+2238D (U+2238D)	f0a28e8d
𢎎	U+2238E (U+2238E)	f0a28e8e
𢎏	U+2238F (U+2238F)	f0a28e8f
𢎐	U+22390 (U+22390)	f0a28e90
𢎑	U+22391 (U+22391)	f0a28e91
𢎒	U+22392 (U+22392)	f0a28e92
𢎓	U+22393 (U+22393)	f0a28e93
𢎔	U+22394 (U+22394)	f0a28e94
𢎕	U+22395 (U+22395)	f0a28e95
𢎖	U+22396 (U+22396)	f0a28e96
