𢝯	U+2276F (U+2276F)	f0a29daf
𢝰	U+22770 (U+22770)	f0a29db0
𢝱	U+22771 (U+22771)	f0a29db1
𢝲	U+22772 (U+22772)	f0a29db2
𢝳	U+22773 (U+22773)	f0a29db3
𢝴	U+22774 (U+22774)	f0a29db4
𢝵	(Cant.) 花𢝵, to be fashionable (U+22775)	f0a29db5
𢝶	U+22776 (U+22776)	f0a29db6
𢝷	U+22777 (U+22777)	f0a29db7
𢝸	U+22778 (U+22778)	f0a29db8
𢝹	U+22779 (U+22779)	f0a29db9
𢝺	U+2277A (U+2277A)	f0a29dba
𢝻	U+2277B (U+2277B)	f0a29dbb
𢝼	U+2277C (U+2277C)	f0a29dbc
𢝽	U+2277D (U+2277D)	f0a29dbd
𢝾	U+2277E (U+2277E)	f0a29dbe
𢝿	U+2277F (U+2277F)	f0a29dbf
𢞀	U+22780 (U+22780)	f0a29e80
𢞁	U+22781 (U+22781)	f0a29e81
𢞂	U+22782 (U+22782)	f0a29e82
𢞃	U+22783 (U+22783)	f0a29e83
𢞄	U+22784 (U+22784)	f0a29e84
𢞅	U+22785 (U+22785)	f0a29e85
𢞆	U+22786 (U+22786)	f0a29e86
𢞇	U+22787 (U+22787)	f0a29e87
𢞈	U+22788 (U+22788)	f0a29e88
𢞉	U+22789 (U+22789)	f0a29e89
𢞊	U+2278A (U+2278A)	f0a29e8a
𢞋	U+2278B (U+2278B)	f0a29e8b
𢞌	U+2278C (U+2278C)	f0a29e8c
𢞍	U+2278D (U+2278D)	f0a29e8d
𢞎	U+2278E (U+2278E)	f0a29e8e
𢞏	U+2278F (U+2278F)	f0a29e8f
𢞐	U+22790 (U+22790)	f0a29e90
𢞑	U+22791 (U+22791)	f0a29e91
𢞒	U+22792 (U+22792)	f0a29e92
𢞓	U+22793 (U+22793)	f0a29e93
𢞔	U+22794 (U+22794)	f0a29e94
𢞕	U+22795 (U+22795)	f0a29e95
𢞖	U+22796 (U+22796)	f0a29e96
𢞗	U+22797 (U+22797)	f0a29e97
𢞘	U+22798 (U+22798)	f0a29e98
𢞙	U+22799 (U+22799)	f0a29e99
𢞚	U+2279A (U+2279A)	f0a29e9a
𢞛	U+2279B (U+2279B)	f0a29e9b
𢞜	U+2279C (U+2279C)	f0a29e9c
𢞝	U+2279D (U+2279D)	f0a29e9d
𢞞	U+2279E (U+2279E)	f0a29e9e
𢞟	U+2279F (U+2279F)	f0a29e9f
𢞠	U+227A0 (U+227A0)	f0a29ea0
𢞡	U+227A1 (U+227A1)	f0a29ea1
𢞢	U+227A2 (U+227A2)	f0a29ea2
𢞣	U+227A3 (U+227A3)	f0a29ea3
𢞤	U+227A4 (U+227A4)	f0a29ea4
𢞥	U+227A5 (U+227A5)	f0a29ea5
𢞦	U+227A6 (U+227A6)	f0a29ea6
𢞧	U+227A7 (U+227A7)	f0a29ea7
𢞨	U+227A8 (U+227A8)	f0a29ea8
𢞩	U+227A9 (U+227A9)	f0a29ea9
𢞪	U+227AA (U+227AA)	f0a29eaa
𢞫	U+227AB (U+227AB)	f0a29eab
𢞬	U+227AC (U+227AC)	f0a29eac
𢞭	U+227AD (U+227AD)	f0a29ead
𢞮	U+227AE (U+227AE)	f0a29eae
𢞯	U+227AF (U+227AF)	f0a29eaf
𢞰	U+227B0 (U+227B0)	f0a29eb0
𢞱	U+227B1 (U+227B1)	f0a29eb1
𢞲	U+227B2 (U+227B2)	f0a29eb2
𢞳	U+227B3 (U+227B3)	f0a29eb3
𢞴	U+227B4 (U+227B4)	f0a29eb4
𢞵	(Cant.) to brush, whisk (U+227B5)	f0a29eb5
𢞶	U+227B6 (U+227B6)	f0a29eb6
𢞷	U+227B7 (U+227B7)	f0a29eb7
𢞸	U+227B8 (U+227B8)	f0a29eb8
𢞹	U+227B9 (U+227B9)	f0a29eb9
𢞺	U+227BA (U+227BA)	f0a29eba
𢞻	U+227BB (U+227BB)	f0a29ebb
𢞼	U+227BC (U+227BC)	f0a29ebc
𢞽	U+227BD (U+227BD)	f0a29ebd
𢞾	U+227BE (U+227BE)	f0a29ebe
𢞿	U+227BF (U+227BF)	f0a29ebf
𢟀	U+227C0 (U+227C0)	f0a29f80
𢟁	U+227C1 (U+227C1)	f0a29f81
𢟂	U+227C2 (U+227C2)	f0a29f82
𢟃	U+227C3 (U+227C3)	f0a29f83
𢟄	U+227C4 (U+227C4)	f0a29f84
𢟅	U+227C5 (U+227C5)	f0a29f85
𢟆	U+227C6 (U+227C6)	f0a29f86
𢟇	U+227C7 (U+227C7)	f0a29f87
𢟈	U+227C8 (U+227C8)	f0a29f88
𢟉	U+227C9 (U+227C9)	f0a29f89
𢟊	U+227CA (U+227CA)	f0a29f8a
𢟋	U+227CB (U+227CB)	f0a29f8b
𢟌	U+227CC (U+227CC)	f0a29f8c
𢟍	U+227CD (U+227CD)	f0a29f8d
𢟎	U+227CE (U+227CE)	f0a29f8e
𢟏	U+227CF (U+227CF)	f0a29f8f
