𢭯	U+22B6F (U+22B6F)	f0a2adaf
𢭰	U+22B70 (U+22B70)	f0a2adb0
𢭱	U+22B71 (U+22B71)	f0a2adb1
𢭲	U+22B72 (U+22B72)	f0a2adb2
𢭳	U+22B73 (U+22B73)	f0a2adb3
𢭴	U+22B74 (U+22B74)	f0a2adb4
𢭵	U+22B75 (U+22B75)	f0a2adb5
𢭶	U+22B76 (U+22B76)	f0a2adb6
𢭷	U+22B77 (U+22B77)	f0a2adb7
𢭸	U+22B78 (U+22B78)	f0a2adb8
𢭹	U+22B79 (U+22B79)	f0a2adb9
𢭺	U+22B7A (U+22B7A)	f0a2adba
𢭻	U+22B7B (U+22B7B)	f0a2adbb
𢭼	U+22B7C (U+22B7C)	f0a2adbc
𢭽	U+22B7D (U+22B7D)	f0a2adbd
𢭾	U+22B7E (U+22B7E)	f0a2adbe
𢭿	U+22B7F (U+22B7F)	f0a2adbf
𢮀	U+22B80 (U+22B80)	f0a2ae80
𢮁	U+22B81 (U+22B81)	f0a2ae81
𢮂	U+22B82 (U+22B82)	f0a2ae82
𢮃	U+22B83 (U+22B83)	f0a2ae83
𢮄	U+22B84 (U+22B84)	f0a2ae84
𢮅	U+22B85 (U+22B85)	f0a2ae85
𢮆	U+22B86 (U+22B86)	f0a2ae86
𢮇	U+22B87 (U+22B87)	f0a2ae87
𢮈	U+22B88 (U+22B88)	f0a2ae88
𢮉	U+22B89 (U+22B89)	f0a2ae89
𢮊	U+22B8A (U+22B8A)	f0a2ae8a
𢮋	U+22B8B (U+22B8B)	f0a2ae8b
𢮌	U+22B8C (U+22B8C)	f0a2ae8c
𢮍	U+22B8D (U+22B8D)	f0a2ae8d
𢮎	U+22B8E (U+22B8E)	f0a2ae8e
𢮏	U+22B8F (U+22B8F)	f0a2ae8f
𢮐	U+22B90 (U+22B90)	f0a2ae90
𢮑	(Cant.) classifier for lengths of cylindrically shaped objects (U+22B91)	f0a2ae91
𢮒	U+22B92 (U+22B92)	f0a2ae92
𢮓	U+22B93 (U+22B93)	f0a2ae93
𢮔	U+22B94 (U+22B94)	f0a2ae94
𢮕	U+22B95 (U+22B95)	f0a2ae95
𢮖	U+22B96 (U+22B96)	f0a2ae96
𢮗	U+22B97 (U+22B97)	f0a2ae97
𢮘	U+22B98 (U+22B98)	f0a2ae98
𢮙	U+22B99 (U+22B99)	f0a2ae99
𢮚	U+22B9A (U+22B9A)	f0a2ae9a
𢮛	U+22B9B (U+22B9B)	f0a2ae9b
𢮜	U+22B9C (U+22B9C)	f0a2ae9c
𢮝	U+22B9D (U+22B9D)	f0a2ae9d
𢮞	U+22B9E (U+22B9E)	f0a2ae9e
𢮟	U+22B9F (U+22B9F)	f0a2ae9f
𢮠	U+22BA0 (U+22BA0)	f0a2aea0
𢮡	U+22BA1 (U+22BA1)	f0a2aea1
𢮢	U+22BA2 (U+22BA2)	f0a2aea2
𢮣	U+22BA3 (U+22BA3)	f0a2aea3
𢮤	U+22BA4 (U+22BA4)	f0a2aea4
𢮥	U+22BA5 (U+22BA5)	f0a2aea5
𢮦	U+22BA6 (U+22BA6)	f0a2aea6
𢮧	U+22BA7 (U+22BA7)	f0a2aea7
𢮨	U+22BA8 (U+22BA8)	f0a2aea8
𢮩	U+22BA9 (U+22BA9)	f0a2aea9
𢮪	U+22BAA (U+22BAA)	f0a2aeaa
𢮫	U+22BAB (U+22BAB)	f0a2aeab
𢮬	U+22BAC (U+22BAC)	f0a2aeac
𢮭	U+22BAD (U+22BAD)	f0a2aead
𢮮	U+22BAE (U+22BAE)	f0a2aeae
𢮯	U+22BAF (U+22BAF)	f0a2aeaf
𢮰	U+22BB0 (U+22BB0)	f0a2aeb0
𢮱	U+22BB1 (U+22BB1)	f0a2aeb1
𢮲	U+22BB2 (U+22BB2)	f0a2aeb2
𢮳	U+22BB3 (U+22BB3)	f0a2aeb3
𢮴	U+22BB4 (U+22BB4)	f0a2aeb4
𢮵	U+22BB5 (U+22BB5)	f0a2aeb5
𢮶	U+22BB6 (U+22BB6)	f0a2aeb6
𢮷	U+22BB7 (U+22BB7)	f0a2aeb7
𢮸	U+22BB8 (U+22BB8)	f0a2aeb8
