𢽯	U+22F6F (U+22F6F)	f0a2bdaf
𢽰	U+22F70 (U+22F70)	f0a2bdb0
𢽱	U+22F71 (U+22F71)	f0a2bdb1
𢽲	U+22F72 (U+22F72)	f0a2bdb2
𢽳	U+22F73 (U+22F73)	f0a2bdb3
𢽴	(Cant.) to poke, jab (U+22F74)	f0a2bdb4
𢽵	U+22F75 (U+22F75)	f0a2bdb5
𢽶	U+22F76 (U+22F76)	f0a2bdb6
𢽷	U+22F77 (U+22F77)	f0a2bdb7
𢽸	U+22F78 (U+22F78)	f0a2bdb8
𢽹	U+22F79 (U+22F79)	f0a2bdb9
𢽺	U+22F7A (U+22F7A)	f0a2bdba
𢽻	U+22F7B (U+22F7B)	f0a2bdbb
𢽼	U+22F7C (U+22F7C)	f0a2bdbc
𢽽	U+22F7D (U+22F7D)	f0a2bdbd
𢽾	U+22F7E (U+22F7E)	f0a2bdbe
𢽿	U+22F7F (U+22F7F)	f0a2bdbf
𢾀	U+22F80 (U+22F80)	f0a2be80
𢾁	U+22F81 (U+22F81)	f0a2be81
𢾂	U+22F82 (U+22F82)	f0a2be82
𢾃	U+22F83 (U+22F83)	f0a2be83
𢾄	U+22F84 (U+22F84)	f0a2be84
𢾅	U+22F85 (U+22F85)	f0a2be85
𢾆	U+22F86 (U+22F86)	f0a2be86
𢾇	U+22F87 (U+22F87)	f0a2be87
𢾈	U+22F88 (U+22F88)	f0a2be88
𢾉	U+22F89 (U+22F89)	f0a2be89
𢾊	U+22F8A (U+22F8A)	f0a2be8a
𢾋	U+22F8B (U+22F8B)	f0a2be8b
𢾌	U+22F8C (U+22F8C)	f0a2be8c
𢾍	U+22F8D (U+22F8D)	f0a2be8d
𢾎	U+22F8E (U+22F8E)	f0a2be8e
𢾏	U+22F8F (U+22F8F)	f0a2be8f
𢾐	U+22F90 (U+22F90)	f0a2be90
𢾑	U+22F91 (U+22F91)	f0a2be91
𢾒	U+22F92 (U+22F92)	f0a2be92
𢾓	U+22F93 (U+22F93)	f0a2be93
𢾔	U+22F94 (U+22F94)	f0a2be94
𢾕	U+22F95 (U+22F95)	f0a2be95
