𣍯	U+2336F (U+2336F)	f0a38daf
𣍰	U+23370 (U+23370)	f0a38db0
𣍱	U+23371 (U+23371)	f0a38db1
𣍲	U+23372 (U+23372)	f0a38db2
𣍳	U+23373 (U+23373)	f0a38db3
𣍴	U+23374 (U+23374)	f0a38db4
𣍵	U+23375 (U+23375)	f0a38db5
𣍶	U+23376 (U+23376)	f0a38db6
𣍷	U+23377 (U+23377)	f0a38db7
𣍸	U+23378 (U+23378)	f0a38db8
𣍹	U+23379 (U+23379)	f0a38db9
𣍺	U+2337A (U+2337A)	f0a38dba
𣍻	U+2337B (U+2337B)	f0a38dbb
𣍼	U+2337C (U+2337C)	f0a38dbc
𣍽	U+2337D (U+2337D)	f0a38dbd
𣍾	U+2337E (U+2337E)	f0a38dbe
𣍿	U+2337F (U+2337F)	f0a38dbf
𣎀	U+23380 (U+23380)	f0a38e80
𣎁	U+23381 (U+23381)	f0a38e81
𣎂	U+23382 (U+23382)	f0a38e82
𣎃	U+23383 (U+23383)	f0a38e83
𣎄	U+23384 (U+23384)	f0a38e84
𣎅	U+23385 (U+23385)	f0a38e85
𣎆	animals with short hair (U+23386)	f0a38e86
𣎇	U+23387 (U+23387)	f0a38e87
𣎈	U+23388 (U+23388)	f0a38e88
𣎉	U+23389 (U+23389)	f0a38e89
𣎊	U+2338A (U+2338A)	f0a38e8a
𣎋	U+2338B (U+2338B)	f0a38e8b
𣎌	U+2338C (U+2338C)	f0a38e8c
𣎍	U+2338D (U+2338D)	f0a38e8d
𣎎	U+2338E (U+2338E)	f0a38e8e
𣎏	U+2338F (U+2338F)	f0a38e8f
𣎐	U+23390 (U+23390)	f0a38e90
𣎑	U+23391 (U+23391)	f0a38e91
𣎒	U+23392 (U+23392)	f0a38e92
𣎓	U+23393 (U+23393)	f0a38e93
𣎔	U+23394 (U+23394)	f0a38e94
𣎕	U+23395 (U+23395)	f0a38e95
𣎖	U+23396 (U+23396)	f0a38e96
𣎗	U+23397 (U+23397)	f0a38e97
𣎘	U+23398 (U+23398)	f0a38e98
𣎙	U+23399 (U+23399)	f0a38e99
𣎚	U+2339A (U+2339A)	f0a38e9a
𣎛	U+2339B (U+2339B)	f0a38e9b
𣎜	U+2339C (U+2339C)	f0a38e9c
𣎝	U+2339D (U+2339D)	f0a38e9d
𣎞	U+2339E (U+2339E)	f0a38e9e
𣎟	U+2339F (U+2339F)	f0a38e9f
𣎠	U+233A0 (U+233A0)	f0a38ea0
𣎡	U+233A1 (U+233A1)	f0a38ea1
𣎢	U+233A2 (U+233A2)	f0a38ea2
𣎣	U+233A3 (U+233A3)	f0a38ea3
𣎤	U+233A4 (U+233A4)	f0a38ea4
𣎥	U+233A5 (U+233A5)	f0a38ea5
𣎦	U+233A6 (U+233A6)	f0a38ea6
𣎧	U+233A7 (U+233A7)	f0a38ea7
𣎨	U+233A8 (U+233A8)	f0a38ea8
𣎩	U+233A9 (U+233A9)	f0a38ea9
𣎪	U+233AA (U+233AA)	f0a38eaa
𣎫	U+233AB (U+233AB)	f0a38eab
𣎬	U+233AC (U+233AC)	f0a38eac
𣎭	U+233AD (U+233AD)	f0a38ead
𣎮	U+233AE (U+233AE)	f0a38eae
𣎯	U+233AF (U+233AF)	f0a38eaf
𣎰	U+233B0 (U+233B0)	f0a38eb0
𣎱	U+233B1 (U+233B1)	f0a38eb1
𣎲	U+233B2 (U+233B2)	f0a38eb2
𣎳	U+233B3 (U+233B3)	f0a38eb3
𣎴	stump of a tree (U+233B4)	f0a38eb4
𣎵	U+233B5 (U+233B5)	f0a38eb5
𣎶	U+233B6 (U+233B6)	f0a38eb6
𣎷	U+233B7 (U+233B7)	f0a38eb7
𣎸	U+233B8 (U+233B8)	f0a38eb8
𣎹	U+233B9 (U+233B9)	f0a38eb9
𣎺	U+233BA (U+233BA)	f0a38eba
𣎻	U+233BB (U+233BB)	f0a38ebb
𣎼	U+233BC (U+233BC)	f0a38ebc
𣎽	U+233BD (U+233BD)	f0a38ebd
𣎾	U+233BE (U+233BE)	f0a38ebe
𣎿	U+233BF (U+233BF)	f0a38ebf
𣏀	U+233C0 (U+233C0)	f0a38f80
𣏁	U+233C1 (U+233C1)	f0a38f81
