𣝯	U+2376F (U+2376F)	f0a39daf
𣝰	U+23770 (U+23770)	f0a39db0
𣝱	U+23771 (U+23771)	f0a39db1
𣝲	U+23772 (U+23772)	f0a39db2
𣝳	U+23773 (U+23773)	f0a39db3
𣝴	U+23774 (U+23774)	f0a39db4
𣝵	U+23775 (U+23775)	f0a39db5
𣝶	U+23776 (U+23776)	f0a39db6
𣝷	U+23777 (U+23777)	f0a39db7
𣝸	U+23778 (U+23778)	f0a39db8
𣝹	U+23779 (U+23779)	f0a39db9
𣝺	U+2377A (U+2377A)	f0a39dba
𣝻	U+2377B (U+2377B)	f0a39dbb
𣝼	U+2377C (U+2377C)	f0a39dbc
𣝽	U+2377D (U+2377D)	f0a39dbd
𣝾	U+2377E (U+2377E)	f0a39dbe
𣝿	U+2377F (U+2377F)	f0a39dbf
𣞀	U+23780 (U+23780)	f0a39e80
𣞁	U+23781 (U+23781)	f0a39e81
𣞂	U+23782 (U+23782)	f0a39e82
𣞃	U+23783 (U+23783)	f0a39e83
𣞄	U+23784 (U+23784)	f0a39e84
𣞅	U+23785 (U+23785)	f0a39e85
𣞆	U+23786 (U+23786)	f0a39e86
𣞇	U+23787 (U+23787)	f0a39e87
𣞈	U+23788 (U+23788)	f0a39e88
𣞉	U+23789 (U+23789)	f0a39e89
𣞊	U+2378A (U+2378A)	f0a39e8a
𣞋	U+2378B (U+2378B)	f0a39e8b
𣞌	U+2378C (U+2378C)	f0a39e8c
𣞍	U+2378D (U+2378D)	f0a39e8d
𣞎	U+2378E (U+2378E)	f0a39e8e
𣞏	U+2378F (U+2378F)	f0a39e8f
𣞐	U+23790 (U+23790)	f0a39e90
𣞑	U+23791 (U+23791)	f0a39e91
𣞒	U+23792 (U+23792)	f0a39e92
𣞓	U+23793 (U+23793)	f0a39e93
𣞔	U+23794 (U+23794)	f0a39e94
𣞕	U+23795 (U+23795)	f0a39e95
𣞖	U+23796 (U+23796)	f0a39e96
𣞗	U+23797 (U+23797)	f0a39e97
𣞘	U+23798 (U+23798)	f0a39e98
𣞙	U+23799 (U+23799)	f0a39e99
𣞚	U+2379A (U+2379A)	f0a39e9a
𣞛	U+2379B (U+2379B)	f0a39e9b
𣞜	U+2379C (U+2379C)	f0a39e9c
𣞝	U+2379D (U+2379D)	f0a39e9d
𣞞	U+2379E (U+2379E)	f0a39e9e
𣞟	U+2379F (U+2379F)	f0a39e9f
𣞠	U+237A0 (U+237A0)	f0a39ea0
𣞡	U+237A1 (U+237A1)	f0a39ea1
𣞢	U+237A2 (U+237A2)	f0a39ea2
𣞣	U+237A3 (U+237A3)	f0a39ea3
𣞤	U+237A4 (U+237A4)	f0a39ea4
𣞥	U+237A5 (U+237A5)	f0a39ea5
𣞦	U+237A6 (U+237A6)	f0a39ea6
𣞧	U+237A7 (U+237A7)	f0a39ea7
𣞨	U+237A8 (U+237A8)	f0a39ea8
𣞩	U+237A9 (U+237A9)	f0a39ea9
𣞪	U+237AA (U+237AA)	f0a39eaa
𣞫	U+237AB (U+237AB)	f0a39eab
𣞬	U+237AC (U+237AC)	f0a39eac
𣞭	U+237AD (U+237AD)	f0a39ead
𣞮	U+237AE (U+237AE)	f0a39eae
𣞯	U+237AF (U+237AF)	f0a39eaf
𣞰	U+237B0 (U+237B0)	f0a39eb0
𣞱	U+237B1 (U+237B1)	f0a39eb1
𣞲	U+237B2 (U+237B2)	f0a39eb2
𣞳	U+237B3 (U+237B3)	f0a39eb3
𣞴	U+237B4 (U+237B4)	f0a39eb4
𣞵	U+237B5 (U+237B5)	f0a39eb5
𣞶	U+237B6 (U+237B6)	f0a39eb6
𣞷	U+237B7 (U+237B7)	f0a39eb7
𣞸	U+237B8 (U+237B8)	f0a39eb8
𣞹	U+237B9 (U+237B9)	f0a39eb9
𣞺	U+237BA (U+237BA)	f0a39eba
𣞻	U+237BB (U+237BB)	f0a39ebb
𣞼	U+237BC (U+237BC)	f0a39ebc
𣞽	U+237BD (U+237BD)	f0a39ebd
𣞾	U+237BE (U+237BE)	f0a39ebe
𣞿	U+237BF (U+237BF)	f0a39ebf
