𣭯	U+23B6F (U+23B6F)	f0a3adaf
𣭰	U+23B70 (U+23B70)	f0a3adb0
𣭱	U+23B71 (U+23B71)	f0a3adb1
𣭲	U+23B72 (U+23B72)	f0a3adb2
𣭳	U+23B73 (U+23B73)	f0a3adb3
𣭴	U+23B74 (U+23B74)	f0a3adb4
𣭵	U+23B75 (U+23B75)	f0a3adb5
𣭶	U+23B76 (U+23B76)	f0a3adb6
𣭷	U+23B77 (U+23B77)	f0a3adb7
𣭸	U+23B78 (U+23B78)	f0a3adb8
𣭹	U+23B79 (U+23B79)	f0a3adb9
𣭺	U+23B7A (U+23B7A)	f0a3adba
𣭻	U+23B7B (U+23B7B)	f0a3adbb
𣭼	U+23B7C (U+23B7C)	f0a3adbc
𣭽	U+23B7D (U+23B7D)	f0a3adbd
𣭾	U+23B7E (U+23B7E)	f0a3adbe
𣭿	U+23B7F (U+23B7F)	f0a3adbf
𣮀	U+23B80 (U+23B80)	f0a3ae80
𣮁	U+23B81 (U+23B81)	f0a3ae81
𣮂	U+23B82 (U+23B82)	f0a3ae82
𣮃	U+23B83 (U+23B83)	f0a3ae83
𣮄	U+23B84 (U+23B84)	f0a3ae84
𣮅	U+23B85 (U+23B85)	f0a3ae85
𣮆	U+23B86 (U+23B86)	f0a3ae86
𣮇	U+23B87 (U+23B87)	f0a3ae87
𣮈	U+23B88 (U+23B88)	f0a3ae88
𣮉	U+23B89 (U+23B89)	f0a3ae89
𣮊	U+23B8A (U+23B8A)	f0a3ae8a
𣮋	U+23B8B (U+23B8B)	f0a3ae8b
𣮌	U+23B8C (U+23B8C)	f0a3ae8c
𣮍	U+23B8D (U+23B8D)	f0a3ae8d
𣮎	U+23B8E (U+23B8E)	f0a3ae8e
𣮏	U+23B8F (U+23B8F)	f0a3ae8f
𣮐	U+23B90 (U+23B90)	f0a3ae90
𣮑	U+23B91 (U+23B91)	f0a3ae91
𣮒	U+23B92 (U+23B92)	f0a3ae92
𣮓	U+23B93 (U+23B93)	f0a3ae93
𣮔	U+23B94 (U+23B94)	f0a3ae94
𣮕	U+23B95 (U+23B95)	f0a3ae95
𣮖	U+23B96 (U+23B96)	f0a3ae96
𣮗	U+23B97 (U+23B97)	f0a3ae97
𣮘	U+23B98 (U+23B98)	f0a3ae98
𣮙	U+23B99 (U+23B99)	f0a3ae99
𣮚	U+23B9A (U+23B9A)	f0a3ae9a
𣮛	U+23B9B (U+23B9B)	f0a3ae9b
𣮜	U+23B9C (U+23B9C)	f0a3ae9c
𣮝	U+23B9D (U+23B9D)	f0a3ae9d
𣮞	U+23B9E (U+23B9E)	f0a3ae9e
𣮟	U+23B9F (U+23B9F)	f0a3ae9f
𣮠	U+23BA0 (U+23BA0)	f0a3aea0
𣮡	U+23BA1 (U+23BA1)	f0a3aea1
𣮢	U+23BA2 (U+23BA2)	f0a3aea2
𣮣	U+23BA3 (U+23BA3)	f0a3aea3
𣮤	U+23BA4 (U+23BA4)	f0a3aea4
𣮥	U+23BA5 (U+23BA5)	f0a3aea5
𣮦	U+23BA6 (U+23BA6)	f0a3aea6
𣮧	U+23BA7 (U+23BA7)	f0a3aea7
𣮨	U+23BA8 (U+23BA8)	f0a3aea8
𣮩	U+23BA9 (U+23BA9)	f0a3aea9
𣮪	U+23BAA (U+23BAA)	f0a3aeaa
𣮫	U+23BAB (U+23BAB)	f0a3aeab
𣮬	U+23BAC (U+23BAC)	f0a3aeac
𣮭	U+23BAD (U+23BAD)	f0a3aead
𣮮	U+23BAE (U+23BAE)	f0a3aeae
𣮯	U+23BAF (U+23BAF)	f0a3aeaf
𣮰	U+23BB0 (U+23BB0)	f0a3aeb0
𣮱	U+23BB1 (U+23BB1)	f0a3aeb1
𣮲	U+23BB2 (U+23BB2)	f0a3aeb2
𣮳	U+23BB3 (U+23BB3)	f0a3aeb3
𣮴	U+23BB4 (U+23BB4)	f0a3aeb4
𣮵	U+23BB5 (U+23BB5)	f0a3aeb5
𣮶	U+23BB6 (U+23BB6)	f0a3aeb6
𣮷	U+23BB7 (U+23BB7)	f0a3aeb7
𣮸	U+23BB8 (U+23BB8)	f0a3aeb8
𣮹	U+23BB9 (U+23BB9)	f0a3aeb9
𣮺	U+23BBA (U+23BBA)	f0a3aeba
𣮻	U+23BBB (U+23BBB)	f0a3aebb
𣮼	U+23BBC (U+23BBC)	f0a3aebc
𣮽	U+23BBD (U+23BBD)	f0a3aebd
𣮾	U+23BBE (U+23BBE)	f0a3aebe
𣮿	U+23BBF (U+23BBF)	f0a3aebf
𣯀	U+23BC0 (U+23BC0)	f0a3af80
𣯁	U+23BC1 (U+23BC1)	f0a3af81
𣯂	U+23BC2 (U+23BC2)	f0a3af82
𣯃	U+23BC3 (U+23BC3)	f0a3af83
𣯄	U+23BC4 (U+23BC4)	f0a3af84
𣯅	U+23BC5 (U+23BC5)	f0a3af85
