𣽯	U+23F6F (U+23F6F)	f0a3bdaf
𣽰	U+23F70 (U+23F70)	f0a3bdb0
𣽱	U+23F71 (U+23F71)	f0a3bdb1
𣽲	U+23F72 (U+23F72)	f0a3bdb2
𣽳	U+23F73 (U+23F73)	f0a3bdb3
𣽴	U+23F74 (U+23F74)	f0a3bdb4
𣽵	U+23F75 (U+23F75)	f0a3bdb5
𣽶	U+23F76 (U+23F76)	f0a3bdb6
𣽷	U+23F77 (U+23F77)	f0a3bdb7
𣽸	U+23F78 (U+23F78)	f0a3bdb8
𣽹	U+23F79 (U+23F79)	f0a3bdb9
𣽺	U+23F7A (U+23F7A)	f0a3bdba
𣽻	U+23F7B (U+23F7B)	f0a3bdbb
𣽼	U+23F7C (U+23F7C)	f0a3bdbc
𣽽	U+23F7D (U+23F7D)	f0a3bdbd
𣽾	U+23F7E (U+23F7E)	f0a3bdbe
𣽿	U+23F7F (U+23F7F)	f0a3bdbf
𣾀	U+23F80 (U+23F80)	f0a3be80
𣾁	U+23F81 (U+23F81)	f0a3be81
𣾂	U+23F82 (U+23F82)	f0a3be82
𣾃	U+23F83 (U+23F83)	f0a3be83
𣾄	U+23F84 (U+23F84)	f0a3be84
𣾅	U+23F85 (U+23F85)	f0a3be85
𣾆	U+23F86 (U+23F86)	f0a3be86
𣾇	U+23F87 (U+23F87)	f0a3be87
𣾈	U+23F88 (U+23F88)	f0a3be88
𣾉	U+23F89 (U+23F89)	f0a3be89
𣾊	U+23F8A (U+23F8A)	f0a3be8a
𣾋	U+23F8B (U+23F8B)	f0a3be8b
𣾌	U+23F8C (U+23F8C)	f0a3be8c
𣾍	U+23F8D (U+23F8D)	f0a3be8d
𣾎	U+23F8E (U+23F8E)	f0a3be8e
𣾏	U+23F8F (U+23F8F)	f0a3be8f
𣾐	U+23F90 (U+23F90)	f0a3be90
𣾑	U+23F91 (U+23F91)	f0a3be91
𣾒	U+23F92 (U+23F92)	f0a3be92
𣾓	U+23F93 (U+23F93)	f0a3be93
𣾔	U+23F94 (U+23F94)	f0a3be94
𣾕	U+23F95 (U+23F95)	f0a3be95
𣾖	U+23F96 (U+23F96)	f0a3be96
𣾗	U+23F97 (U+23F97)	f0a3be97
𣾘	U+23F98 (U+23F98)	f0a3be98
𣾙	U+23F99 (U+23F99)	f0a3be99
𣾚	U+23F9A (U+23F9A)	f0a3be9a
𣾛	U+23F9B (U+23F9B)	f0a3be9b
𣾜	U+23F9C (U+23F9C)	f0a3be9c
𣾝	U+23F9D (U+23F9D)	f0a3be9d
𣾞	U+23F9E (U+23F9E)	f0a3be9e
𣾟	U+23F9F (U+23F9F)	f0a3be9f
𣾠	U+23FA0 (U+23FA0)	f0a3bea0
𣾡	U+23FA1 (U+23FA1)	f0a3bea1
𣾢	U+23FA2 (U+23FA2)	f0a3bea2
𣾣	U+23FA3 (U+23FA3)	f0a3bea3
𣾤	U+23FA4 (U+23FA4)	f0a3bea4
𣾥	U+23FA5 (U+23FA5)	f0a3bea5
𣾦	U+23FA6 (U+23FA6)	f0a3bea6
𣾧	U+23FA7 (U+23FA7)	f0a3bea7
𣾨	U+23FA8 (U+23FA8)	f0a3bea8
𣾩	U+23FA9 (U+23FA9)	f0a3bea9
𣾪	U+23FAA (U+23FAA)	f0a3beaa
𣾫	U+23FAB (U+23FAB)	f0a3beab
𣾬	U+23FAC (U+23FAC)	f0a3beac
