𤍯	U+2436F (U+2436F)	f0a48daf
𤍰	U+24370 (U+24370)	f0a48db0
𤍱	U+24371 (U+24371)	f0a48db1
𤍲	U+24372 (U+24372)	f0a48db2
𤍳	U+24373 (U+24373)	f0a48db3
𤍴	U+24374 (U+24374)	f0a48db4
𤍵	U+24375 (U+24375)	f0a48db5
𤍶	U+24376 (U+24376)	f0a48db6
𤍷	U+24377 (U+24377)	f0a48db7
𤍸	U+24378 (U+24378)	f0a48db8
𤍹	U+24379 (U+24379)	f0a48db9
𤍺	U+2437A (U+2437A)	f0a48dba
𤍻	U+2437B (U+2437B)	f0a48dbb
𤍼	U+2437C (U+2437C)	f0a48dbc
𤍽	U+2437D (U+2437D)	f0a48dbd
𤍾	U+2437E (U+2437E)	f0a48dbe
𤍿	U+2437F (U+2437F)	f0a48dbf
𤎀	U+24380 (U+24380)	f0a48e80
𤎁	U+24381 (U+24381)	f0a48e81
𤎂	U+24382 (U+24382)	f0a48e82
𤎃	U+24383 (U+24383)	f0a48e83
𤎄	U+24384 (U+24384)	f0a48e84
𤎅	U+24385 (U+24385)	f0a48e85
𤎆	U+24386 (U+24386)	f0a48e86
𤎇	U+24387 (U+24387)	f0a48e87
𤎈	U+24388 (U+24388)	f0a48e88
𤎉	U+24389 (U+24389)	f0a48e89
𤎊	U+2438A (U+2438A)	f0a48e8a
𤎋	U+2438B (U+2438B)	f0a48e8b
𤎌	U+2438C (U+2438C)	f0a48e8c
𤎍	U+2438D (U+2438D)	f0a48e8d
𤎎	U+2438E (U+2438E)	f0a48e8e
𤎏	U+2438F (U+2438F)	f0a48e8f
𤎐	U+24390 (U+24390)	f0a48e90
𤎑	U+24391 (U+24391)	f0a48e91
𤎒	U+24392 (U+24392)	f0a48e92
𤎓	U+24393 (U+24393)	f0a48e93
𤎔	U+24394 (U+24394)	f0a48e94
𤎕	U+24395 (U+24395)	f0a48e95
𤎖	U+24396 (U+24396)	f0a48e96
𤎗	U+24397 (U+24397)	f0a48e97
𤎘	U+24398 (U+24398)	f0a48e98
𤎙	U+24399 (U+24399)	f0a48e99
𤎚	U+2439A (U+2439A)	f0a48e9a
𤎛	U+2439B (U+2439B)	f0a48e9b
𤎜	U+2439C (U+2439C)	f0a48e9c
𤎝	U+2439D (U+2439D)	f0a48e9d
𤎞	U+2439E (U+2439E)	f0a48e9e
𤎟	U+2439F (U+2439F)	f0a48e9f
𤎠	U+243A0 (U+243A0)	f0a48ea0
𤎡	U+243A1 (U+243A1)	f0a48ea1
𤎢	U+243A2 (U+243A2)	f0a48ea2
𤎣	U+243A3 (U+243A3)	f0a48ea3
𤎤	U+243A4 (U+243A4)	f0a48ea4
𤎥	U+243A5 (U+243A5)	f0a48ea5
𤎦	U+243A6 (U+243A6)	f0a48ea6
𤎧	U+243A7 (U+243A7)	f0a48ea7
𤎨	U+243A8 (U+243A8)	f0a48ea8
𤎩	U+243A9 (U+243A9)	f0a48ea9
𤎪	U+243AA (U+243AA)	f0a48eaa
𤎫	U+243AB (U+243AB)	f0a48eab
𤎬	U+243AC (U+243AC)	f0a48eac
𤎭	U+243AD (U+243AD)	f0a48ead
𤎮	U+243AE (U+243AE)	f0a48eae
𤎯	U+243AF (U+243AF)	f0a48eaf
𤎰	U+243B0 (U+243B0)	f0a48eb0
𤎱	to make chowder (U+243B1)	f0a48eb1
𤎲	U+243B2 (U+243B2)	f0a48eb2
𤎳	U+243B3 (U+243B3)	f0a48eb3
𤎴	U+243B4 (U+243B4)	f0a48eb4
𤎵	U+243B5 (U+243B5)	f0a48eb5
𤎶	U+243B6 (U+243B6)	f0a48eb6
𤎷	U+243B7 (U+243B7)	f0a48eb7
𤎸	U+243B8 (U+243B8)	f0a48eb8
𤎹	U+243B9 (U+243B9)	f0a48eb9
𤎺	U+243BA (U+243BA)	f0a48eba
𤎻	U+243BB (U+243BB)	f0a48ebb
𤎼	U+243BC (U+243BC)	f0a48ebc
𤎽	U+243BD (U+243BD)	f0a48ebd
𤎾	U+243BE (U+243BE)	f0a48ebe
𤎿	U+243BF (U+243BF)	f0a48ebf
𤏀	U+243C0 (U+243C0)	f0a48f80
𤏁	U+243C1 (U+243C1)	f0a48f81
𤏂	U+243C2 (U+243C2)	f0a48f82
𤏃	U+243C3 (U+243C3)	f0a48f83
𤏄	U+243C4 (U+243C4)	f0a48f84
𤏅	U+243C5 (U+243C5)	f0a48f85
𤏆	U+243C6 (U+243C6)	f0a48f86
𤏇	U+243C7 (U+243C7)	f0a48f87
𤏈	U+243C8 (U+243C8)	f0a48f88
𤏉	U+243C9 (U+243C9)	f0a48f89
𤏊	U+243CA (U+243CA)	f0a48f8a
𤏋	U+243CB (U+243CB)	f0a48f8b
𤏌	U+243CC (U+243CC)	f0a48f8c
𤏍	U+243CD (U+243CD)	f0a48f8d
𤏎	U+243CE (U+243CE)	f0a48f8e
𤏏	U+243CF (U+243CF)	f0a48f8f
𤏐	U+243D0 (U+243D0)	f0a48f90
𤏑	U+243D1 (U+243D1)	f0a48f91
𤏒	U+243D2 (U+243D2)	f0a48f92
𤏓	U+243D3 (U+243D3)	f0a48f93
𤏔	U+243D4 (U+243D4)	f0a48f94
𤏕	U+243D5 (U+243D5)	f0a48f95
𤏖	U+243D6 (U+243D6)	f0a48f96
𤏗	U+243D7 (U+243D7)	f0a48f97
𤏘	U+243D8 (U+243D8)	f0a48f98
𤏙	U+243D9 (U+243D9)	f0a48f99
𤏚	U+243DA (U+243DA)	f0a48f9a
𤏛	U+243DB (U+243DB)	f0a48f9b
𤏜	U+243DC (U+243DC)	f0a48f9c
𤏝	U+243DD (U+243DD)	f0a48f9d
𤏞	U+243DE (U+243DE)	f0a48f9e
𤏟	U+243DF (U+243DF)	f0a48f9f
𤏠	U+243E0 (U+243E0)	f0a48fa0
𤏡	U+243E1 (U+243E1)	f0a48fa1
𤏢	U+243E2 (U+243E2)	f0a48fa2
𤏣	U+243E3 (U+243E3)	f0a48fa3
𤏤	U+243E4 (U+243E4)	f0a48fa4
𤏥	U+243E5 (U+243E5)	f0a48fa5
𤏦	U+243E6 (U+243E6)	f0a48fa6
𤏧	U+243E7 (U+243E7)	f0a48fa7
𤏨	U+243E8 (U+243E8)	f0a48fa8
𤏩	U+243E9 (U+243E9)	f0a48fa9
𤏪	U+243EA (U+243EA)	f0a48faa
𤏫	U+243EB (U+243EB)	f0a48fab
𤏬	U+243EC (U+243EC)	f0a48fac
𤏭	U+243ED (U+243ED)	f0a48fad
𤏮	U+243EE (U+243EE)	f0a48fae
𤏯	U+243EF (U+243EF)	f0a48faf
𤏰	U+243F0 (U+243F0)	f0a48fb0
𤏱	U+243F1 (U+243F1)	f0a48fb1
𤏲	to set on fire (U+243F2)	f0a48fb2
𤏳	U+243F3 (U+243F3)	f0a48fb3
𤏴	U+243F4 (U+243F4)	f0a48fb4
𤏵	U+243F5 (U+243F5)	f0a48fb5
𤏶	U+243F6 (U+243F6)	f0a48fb6
𤏷	U+243F7 (U+243F7)	f0a48fb7
𤏸	U+243F8 (U+243F8)	f0a48fb8
𤏹	U+243F9 (U+243F9)	f0a48fb9
𤏺	U+243FA (U+243FA)	f0a48fba
𤏻	U+243FB (U+243FB)	f0a48fbb
𤏼	U+243FC (U+243FC)	f0a48fbc
𤏽	U+243FD (U+243FD)	f0a48fbd
𤏾	U+243FE (U+243FE)	f0a48fbe
𤏿	U+243FF (U+243FF)	f0a48fbf
𤐀	U+24400 (U+24400)	f0a49080
𤐁	U+24401 (U+24401)	f0a49081
𤐂	U+24402 (U+24402)	f0a49082
𤐃	U+24403 (U+24403)	f0a49083
𤐄	U+24404 (U+24404)	f0a49084
𤐅	U+24405 (U+24405)	f0a49085
𤐆	U+24406 (U+24406)	f0a49086
𤐇	U+24407 (U+24407)	f0a49087
𤐈	U+24408 (U+24408)	f0a49088
𤐉	U+24409 (U+24409)	f0a49089
𤐊	U+2440A (U+2440A)	f0a4908a
𤐋	U+2440B (U+2440B)	f0a4908b
𤐌	U+2440C (U+2440C)	f0a4908c
𤐍	U+2440D (U+2440D)	f0a4908d
𤐎	U+2440E (U+2440E)	f0a4908e
𤐏	U+2440F (U+2440F)	f0a4908f
𤐐	U+24410 (U+24410)	f0a49090
𤐑	U+24411 (U+24411)	f0a49091
𤐒	U+24412 (U+24412)	f0a49092
𤐓	U+24413 (U+24413)	f0a49093
𤐔	U+24414 (U+24414)	f0a49094
𤐕	U+24415 (U+24415)	f0a49095
𤐖	U+24416 (U+24416)	f0a49096
𤐗	U+24417 (U+24417)	f0a49097
𤐘	U+24418 (U+24418)	f0a49098
𤐙	U+24419 (U+24419)	f0a49099
𤐚	U+2441A (U+2441A)	f0a4909a
𤐛	U+2441B (U+2441B)	f0a4909b
𤐜	U+2441C (U+2441C)	f0a4909c
𤐝	U+2441D (U+2441D)	f0a4909d
𤐞	U+2441E (U+2441E)	f0a4909e
𤐟	U+2441F (U+2441F)	f0a4909f
𤐠	U+24420 (U+24420)	f0a490a0
𤐡	U+24421 (U+24421)	f0a490a1
𤐢	U+24422 (U+24422)	f0a490a2
𤐣	U+24423 (U+24423)	f0a490a3
𤐤	U+24424 (U+24424)	f0a490a4
𤐥	U+24425 (U+24425)	f0a490a5
𤐦	U+24426 (U+24426)	f0a490a6
𤐧	U+24427 (U+24427)	f0a490a7
𤐨	U+24428 (U+24428)	f0a490a8
𤐩	U+24429 (U+24429)	f0a490a9
