𤝯	U+2476F (U+2476F)	f0a49daf
𤝰	U+24770 (U+24770)	f0a49db0
𤝱	U+24771 (U+24771)	f0a49db1
𤝲	U+24772 (U+24772)	f0a49db2
𤝳	U+24773 (U+24773)	f0a49db3
𤝴	U+24774 (U+24774)	f0a49db4
𤝵	U+24775 (U+24775)	f0a49db5
𤝶	U+24776 (U+24776)	f0a49db6
𤝷	U+24777 (U+24777)	f0a49db7
𤝸	U+24778 (U+24778)	f0a49db8
𤝹	U+24779 (U+24779)	f0a49db9
𤝺	U+2477A (U+2477A)	f0a49dba
𤝻	U+2477B (U+2477B)	f0a49dbb
𤝼	U+2477C (U+2477C)	f0a49dbc
𤝽	U+2477D (U+2477D)	f0a49dbd
𤝾	U+2477E (U+2477E)	f0a49dbe
𤝿	U+2477F (U+2477F)	f0a49dbf
𤞀	U+24780 (U+24780)	f0a49e80
𤞁	U+24781 (U+24781)	f0a49e81
𤞂	U+24782 (U+24782)	f0a49e82
𤞃	U+24783 (U+24783)	f0a49e83
𤞄	U+24784 (U+24784)	f0a49e84
𤞅	U+24785 (U+24785)	f0a49e85
𤞆	U+24786 (U+24786)	f0a49e86
𤞇	U+24787 (U+24787)	f0a49e87
𤞈	U+24788 (U+24788)	f0a49e88
𤞉	U+24789 (U+24789)	f0a49e89
𤞊	U+2478A (U+2478A)	f0a49e8a
𤞋	U+2478B (U+2478B)	f0a49e8b
𤞌	U+2478C (U+2478C)	f0a49e8c
𤞍	U+2478D (U+2478D)	f0a49e8d
𤞎	U+2478E (U+2478E)	f0a49e8e
𤞏	U+2478F (U+2478F)	f0a49e8f
𤞐	U+24790 (U+24790)	f0a49e90
𤞑	U+24791 (U+24791)	f0a49e91
𤞒	U+24792 (U+24792)	f0a49e92
𤞓	U+24793 (U+24793)	f0a49e93
𤞔	U+24794 (U+24794)	f0a49e94
𤞕	U+24795 (U+24795)	f0a49e95
𤞖	U+24796 (U+24796)	f0a49e96
𤞗	U+24797 (U+24797)	f0a49e97
𤞘	U+24798 (U+24798)	f0a49e98
𤞙	U+24799 (U+24799)	f0a49e99
𤞚	U+2479A (U+2479A)	f0a49e9a
𤞛	U+2479B (U+2479B)	f0a49e9b
𤞜	U+2479C (U+2479C)	f0a49e9c
𤞝	U+2479D (U+2479D)	f0a49e9d
𤞞	U+2479E (U+2479E)	f0a49e9e
𤞟	U+2479F (U+2479F)	f0a49e9f
𤞠	U+247A0 (U+247A0)	f0a49ea0
𤞡	U+247A1 (U+247A1)	f0a49ea1
𤞢	U+247A2 (U+247A2)	f0a49ea2
𤞣	U+247A3 (U+247A3)	f0a49ea3
𤞤	U+247A4 (U+247A4)	f0a49ea4
𤞥	U+247A5 (U+247A5)	f0a49ea5
𤞦	U+247A6 (U+247A6)	f0a49ea6
𤞧	U+247A7 (U+247A7)	f0a49ea7
𤞨	U+247A8 (U+247A8)	f0a49ea8
𤞩	U+247A9 (U+247A9)	f0a49ea9
