𤭯	U+24B6F (U+24B6F)	f0a4adaf
𤭰	U+24B70 (U+24B70)	f0a4adb0
𤭱	U+24B71 (U+24B71)	f0a4adb1
𤭲	U+24B72 (U+24B72)	f0a4adb2
𤭳	U+24B73 (U+24B73)	f0a4adb3
𤭴	U+24B74 (U+24B74)	f0a4adb4
𤭵	U+24B75 (U+24B75)	f0a4adb5
𤭶	U+24B76 (U+24B76)	f0a4adb6
𤭷	U+24B77 (U+24B77)	f0a4adb7
𤭸	U+24B78 (U+24B78)	f0a4adb8
𤭹	U+24B79 (U+24B79)	f0a4adb9
𤭺	U+24B7A (U+24B7A)	f0a4adba
𤭻	U+24B7B (U+24B7B)	f0a4adbb
𤭼	U+24B7C (U+24B7C)	f0a4adbc
𤭽	U+24B7D (U+24B7D)	f0a4adbd
𤭾	U+24B7E (U+24B7E)	f0a4adbe
𤭿	U+24B7F (U+24B7F)	f0a4adbf
𤮀	U+24B80 (U+24B80)	f0a4ae80
𤮁	U+24B81 (U+24B81)	f0a4ae81
𤮂	U+24B82 (U+24B82)	f0a4ae82
𤮃	U+24B83 (U+24B83)	f0a4ae83
𤮄	U+24B84 (U+24B84)	f0a4ae84
𤮅	U+24B85 (U+24B85)	f0a4ae85
𤮆	U+24B86 (U+24B86)	f0a4ae86
𤮇	U+24B87 (U+24B87)	f0a4ae87
𤮈	U+24B88 (U+24B88)	f0a4ae88
𤮉	U+24B89 (U+24B89)	f0a4ae89
𤮊	U+24B8A (U+24B8A)	f0a4ae8a
𤮋	U+24B8B (U+24B8B)	f0a4ae8b
𤮌	U+24B8C (U+24B8C)	f0a4ae8c
𤮍	U+24B8D (U+24B8D)	f0a4ae8d
𤮎	U+24B8E (U+24B8E)	f0a4ae8e
𤮏	U+24B8F (U+24B8F)	f0a4ae8f
𤮐	U+24B90 (U+24B90)	f0a4ae90
𤮑	U+24B91 (U+24B91)	f0a4ae91
𤮒	U+24B92 (U+24B92)	f0a4ae92
𤮓	U+24B93 (U+24B93)	f0a4ae93
𤮔	U+24B94 (U+24B94)	f0a4ae94
𤮕	U+24B95 (U+24B95)	f0a4ae95
𤮖	U+24B96 (U+24B96)	f0a4ae96
𤮗	U+24B97 (U+24B97)	f0a4ae97
𤮘	U+24B98 (U+24B98)	f0a4ae98
𤮙	U+24B99 (U+24B99)	f0a4ae99
𤮚	U+24B9A (U+24B9A)	f0a4ae9a
𤮛	U+24B9B (U+24B9B)	f0a4ae9b
𤮜	U+24B9C (U+24B9C)	f0a4ae9c
𤮝	U+24B9D (U+24B9D)	f0a4ae9d
𤮞	U+24B9E (U+24B9E)	f0a4ae9e
𤮟	U+24B9F (U+24B9F)	f0a4ae9f
𤮠	U+24BA0 (U+24BA0)	f0a4aea0
𤮡	U+24BA1 (U+24BA1)	f0a4aea1
𤮢	U+24BA2 (U+24BA2)	f0a4aea2
𤮣	U+24BA3 (U+24BA3)	f0a4aea3
𤮤	U+24BA4 (U+24BA4)	f0a4aea4
𤮥	U+24BA5 (U+24BA5)	f0a4aea5
𤮦	U+24BA6 (U+24BA6)	f0a4aea6
𤮧	U+24BA7 (U+24BA7)	f0a4aea7
𤮨	to grind; a hull; a mill (U+24BA8)	f0a4aea8
𤮩	U+24BA9 (U+24BA9)	f0a4aea9
𤮪	U+24BAA (U+24BAA)	f0a4aeaa
𤮫	U+24BAB (U+24BAB)	f0a4aeab
𤮬	U+24BAC (U+24BAC)	f0a4aeac
𤮭	a jug for boiling congee (U+24BAD)	f0a4aead
𤮮	U+24BAE (U+24BAE)	f0a4aeae
𤮯	U+24BAF (U+24BAF)	f0a4aeaf
𤮰	U+24BB0 (U+24BB0)	f0a4aeb0
𤮱	U+24BB1 (U+24BB1)	f0a4aeb1
𤮲	U+24BB2 (U+24BB2)	f0a4aeb2
𤮳	U+24BB3 (U+24BB3)	f0a4aeb3
𤮴	U+24BB4 (U+24BB4)	f0a4aeb4
𤮵	U+24BB5 (U+24BB5)	f0a4aeb5
𤮶	U+24BB6 (U+24BB6)	f0a4aeb6
𤮷	U+24BB7 (U+24BB7)	f0a4aeb7
𤮸	U+24BB8 (U+24BB8)	f0a4aeb8
𤮹	U+24BB9 (U+24BB9)	f0a4aeb9
𤮺	U+24BBA (U+24BBA)	f0a4aeba
𤮻	U+24BBB (U+24BBB)	f0a4aebb
𤮼	U+24BBC (U+24BBC)	f0a4aebc
𤮽	U+24BBD (U+24BBD)	f0a4aebd
𤮾	U+24BBE (U+24BBE)	f0a4aebe
𤮿	U+24BBF (U+24BBF)	f0a4aebf
𤯀	U+24BC0 (U+24BC0)	f0a4af80
𤯁	U+24BC1 (U+24BC1)	f0a4af81
𤯂	U+24BC2 (U+24BC2)	f0a4af82
𤯃	U+24BC3 (U+24BC3)	f0a4af83
𤯄	U+24BC4 (U+24BC4)	f0a4af84
𤯅	U+24BC5 (U+24BC5)	f0a4af85
𤯆	U+24BC6 (U+24BC6)	f0a4af86
𤯇	U+24BC7 (U+24BC7)	f0a4af87
𤯈	U+24BC8 (U+24BC8)	f0a4af88
𤯉	U+24BC9 (U+24BC9)	f0a4af89
𤯊	U+24BCA (U+24BCA)	f0a4af8a
𤯋	U+24BCB (U+24BCB)	f0a4af8b
𤯌	U+24BCC (U+24BCC)	f0a4af8c
𤯍	U+24BCD (U+24BCD)	f0a4af8d
𤯎	U+24BCE (U+24BCE)	f0a4af8e
𤯏	U+24BCF (U+24BCF)	f0a4af8f
𤯐	U+24BD0 (U+24BD0)	f0a4af90
𤯑	U+24BD1 (U+24BD1)	f0a4af91
𤯒	U+24BD2 (U+24BD2)	f0a4af92
𤯓	U+24BD3 (U+24BD3)	f0a4af93
𤯔	U+24BD4 (U+24BD4)	f0a4af94
𤯕	U+24BD5 (U+24BD5)	f0a4af95
𤯖	U+24BD6 (U+24BD6)	f0a4af96
𤯗	U+24BD7 (U+24BD7)	f0a4af97
𤯘	U+24BD8 (U+24BD8)	f0a4af98
𤯙	U+24BD9 (U+24BD9)	f0a4af99
𤯚	U+24BDA (U+24BDA)	f0a4af9a
𤯛	U+24BDB (U+24BDB)	f0a4af9b
𤯜	U+24BDC (U+24BDC)	f0a4af9c
𤯝	U+24BDD (U+24BDD)	f0a4af9d
𤯞	U+24BDE (U+24BDE)	f0a4af9e
𤯟	U+24BDF (U+24BDF)	f0a4af9f
𤯠	U+24BE0 (U+24BE0)	f0a4afa0
𤯡	U+24BE1 (U+24BE1)	f0a4afa1
𤯢	U+24BE2 (U+24BE2)	f0a4afa2
𤯣	U+24BE3 (U+24BE3)	f0a4afa3
𤯤	U+24BE4 (U+24BE4)	f0a4afa4
𤯥	U+24BE5 (U+24BE5)	f0a4afa5
𤯦	U+24BE6 (U+24BE6)	f0a4afa6
𤯧	U+24BE7 (U+24BE7)	f0a4afa7
𤯨	U+24BE8 (U+24BE8)	f0a4afa8
𤯩	U+24BE9 (U+24BE9)	f0a4afa9
𤯪	U+24BEA (U+24BEA)	f0a4afaa
𤯫	U+24BEB (U+24BEB)	f0a4afab
𤯬	U+24BEC (U+24BEC)	f0a4afac
𤯭	U+24BED (U+24BED)	f0a4afad
𤯮	U+24BEE (U+24BEE)	f0a4afae
𤯯	U+24BEF (U+24BEF)	f0a4afaf
𤯰	U+24BF0 (U+24BF0)	f0a4afb0
𤯱	U+24BF1 (U+24BF1)	f0a4afb1
𤯲	U+24BF2 (U+24BF2)	f0a4afb2
𤯳	same as 甦 U+7526 to be reborn; to resuscitate, revive (U+24BF3)	f0a4afb3
𤯴	U+24BF4 (U+24BF4)	f0a4afb4
𤯵	U+24BF5 (U+24BF5)	f0a4afb5
𤯶	U+24BF6 (U+24BF6)	f0a4afb6
𤯷	U+24BF7 (U+24BF7)	f0a4afb7
𤯸	U+24BF8 (U+24BF8)	f0a4afb8
𤯹	U+24BF9 (U+24BF9)	f0a4afb9
𤯺	U+24BFA (U+24BFA)	f0a4afba
𤯻	U+24BFB (U+24BFB)	f0a4afbb
𤯼	U+24BFC (U+24BFC)	f0a4afbc
𤯽	U+24BFD (U+24BFD)	f0a4afbd
𤯾	U+24BFE (U+24BFE)	f0a4afbe
𤯿	U+24BFF (U+24BFF)	f0a4afbf
𤰀	U+24C00 (U+24C00)	f0a4b080
𤰁	U+24C01 (U+24C01)	f0a4b081
𤰂	U+24C02 (U+24C02)	f0a4b082
𤰃	U+24C03 (U+24C03)	f0a4b083
𤰄	U+24C04 (U+24C04)	f0a4b084
𤰅	U+24C05 (U+24C05)	f0a4b085
𤰆	U+24C06 (U+24C06)	f0a4b086
𤰇	U+24C07 (U+24C07)	f0a4b087
𤰈	U+24C08 (U+24C08)	f0a4b088
𤰉	U+24C09 (U+24C09)	f0a4b089
𤰊	U+24C0A (U+24C0A)	f0a4b08a
𤰋	U+24C0B (U+24C0B)	f0a4b08b
𤰌	U+24C0C (U+24C0C)	f0a4b08c
𤰍	U+24C0D (U+24C0D)	f0a4b08d
𤰎	U+24C0E (U+24C0E)	f0a4b08e
𤰏	U+24C0F (U+24C0F)	f0a4b08f
𤰐	U+24C10 (U+24C10)	f0a4b090
𤰑	U+24C11 (U+24C11)	f0a4b091
𤰒	U+24C12 (U+24C12)	f0a4b092
𤰓	U+24C13 (U+24C13)	f0a4b093
𤰔	U+24C14 (U+24C14)	f0a4b094
𤰕	U+24C15 (U+24C15)	f0a4b095
𤰖	U+24C16 (U+24C16)	f0a4b096
