𤽯	U+24F6F (U+24F6F)	f0a4bdaf
𤽰	U+24F70 (U+24F70)	f0a4bdb0
𤽱	U+24F71 (U+24F71)	f0a4bdb1
𤽲	U+24F72 (U+24F72)	f0a4bdb2
𤽳	U+24F73 (U+24F73)	f0a4bdb3
𤽴	U+24F74 (U+24F74)	f0a4bdb4
𤽵	U+24F75 (U+24F75)	f0a4bdb5
𤽶	U+24F76 (U+24F76)	f0a4bdb6
𤽷	U+24F77 (U+24F77)	f0a4bdb7
𤽸	U+24F78 (U+24F78)	f0a4bdb8
𤽹	U+24F79 (U+24F79)	f0a4bdb9
𤽺	U+24F7A (U+24F7A)	f0a4bdba
𤽻	U+24F7B (U+24F7B)	f0a4bdbb
𤽼	U+24F7C (U+24F7C)	f0a4bdbc
𤽽	U+24F7D (U+24F7D)	f0a4bdbd
𤽾	U+24F7E (U+24F7E)	f0a4bdbe
𤽿	U+24F7F (U+24F7F)	f0a4bdbf
𤾀	U+24F80 (U+24F80)	f0a4be80
𤾁	U+24F81 (U+24F81)	f0a4be81
𤾂	U+24F82 (U+24F82)	f0a4be82
𤾃	U+24F83 (U+24F83)	f0a4be83
𤾄	U+24F84 (U+24F84)	f0a4be84
𤾅	U+24F85 (U+24F85)	f0a4be85
𤾆	U+24F86 (U+24F86)	f0a4be86
𤾇	U+24F87 (U+24F87)	f0a4be87
𤾈	U+24F88 (U+24F88)	f0a4be88
𤾉	U+24F89 (U+24F89)	f0a4be89
𤾊	U+24F8A (U+24F8A)	f0a4be8a
𤾋	U+24F8B (U+24F8B)	f0a4be8b
𤾌	U+24F8C (U+24F8C)	f0a4be8c
𤾍	U+24F8D (U+24F8D)	f0a4be8d
𤾎	U+24F8E (U+24F8E)	f0a4be8e
𤾏	U+24F8F (U+24F8F)	f0a4be8f
𤾐	U+24F90 (U+24F90)	f0a4be90
𤾑	U+24F91 (U+24F91)	f0a4be91
𤾒	U+24F92 (U+24F92)	f0a4be92
𤾓	U+24F93 (U+24F93)	f0a4be93
𤾔	U+24F94 (U+24F94)	f0a4be94
𤾕	U+24F95 (U+24F95)	f0a4be95
𤾖	U+24F96 (U+24F96)	f0a4be96
𤾗	U+24F97 (U+24F97)	f0a4be97
𤾘	U+24F98 (U+24F98)	f0a4be98
𤾙	U+24F99 (U+24F99)	f0a4be99
𤾚	U+24F9A (U+24F9A)	f0a4be9a
𤾛	U+24F9B (U+24F9B)	f0a4be9b
𤾜	U+24F9C (U+24F9C)	f0a4be9c
𤾝	U+24F9D (U+24F9D)	f0a4be9d
𤾞	U+24F9E (U+24F9E)	f0a4be9e
𤾟	U+24F9F (U+24F9F)	f0a4be9f
𤾠	U+24FA0 (U+24FA0)	f0a4bea0
𤾡	U+24FA1 (U+24FA1)	f0a4bea1
𤾢	U+24FA2 (U+24FA2)	f0a4bea2
𤾣	U+24FA3 (U+24FA3)	f0a4bea3
𤾤	U+24FA4 (U+24FA4)	f0a4bea4
𤾥	U+24FA5 (U+24FA5)	f0a4bea5
𤾦	U+24FA6 (U+24FA6)	f0a4bea6
𤾧	U+24FA7 (U+24FA7)	f0a4bea7
𤾨	U+24FA8 (U+24FA8)	f0a4bea8
𤾩	U+24FA9 (U+24FA9)	f0a4bea9
𤾪	U+24FAA (U+24FAA)	f0a4beaa
𤾫	U+24FAB (U+24FAB)	f0a4beab
𤾬	U+24FAC (U+24FAC)	f0a4beac
𤾭	U+24FAD (U+24FAD)	f0a4bead
𤾮	U+24FAE (U+24FAE)	f0a4beae
𤾯	U+24FAF (U+24FAF)	f0a4beaf
𤾰	U+24FB0 (U+24FB0)	f0a4beb0
𤾱	U+24FB1 (U+24FB1)	f0a4beb1
𤾲	U+24FB2 (U+24FB2)	f0a4beb2
𤾳	U+24FB3 (U+24FB3)	f0a4beb3
𤾴	U+24FB4 (U+24FB4)	f0a4beb4
𤾵	U+24FB5 (U+24FB5)	f0a4beb5
𤾶	U+24FB6 (U+24FB6)	f0a4beb6
𤾷	U+24FB7 (U+24FB7)	f0a4beb7
𤾸	U+24FB8 (U+24FB8)	f0a4beb8
𤾹	U+24FB9 (U+24FB9)	f0a4beb9
𤾺	U+24FBA (U+24FBA)	f0a4beba
𤾻	U+24FBB (U+24FBB)	f0a4bebb
𤾼	U+24FBC (U+24FBC)	f0a4bebc
𤾽	U+24FBD (U+24FBD)	f0a4bebd
𤾾	U+24FBE (U+24FBE)	f0a4bebe
𤾿	U+24FBF (U+24FBF)	f0a4bebf
𤿀	U+24FC0 (U+24FC0)	f0a4bf80
𤿁	U+24FC1 (U+24FC1)	f0a4bf81
𤿂	(Cant.) unattractive, pale (U+24FC2)	f0a4bf82
𤿃	U+24FC3 (U+24FC3)	f0a4bf83
𤿄	U+24FC4 (U+24FC4)	f0a4bf84
𤿅	U+24FC5 (U+24FC5)	f0a4bf85
𤿆	U+24FC6 (U+24FC6)	f0a4bf86
𤿇	U+24FC7 (U+24FC7)	f0a4bf87
𤿈	U+24FC8 (U+24FC8)	f0a4bf88
𤿉	U+24FC9 (U+24FC9)	f0a4bf89
𤿊	U+24FCA (U+24FCA)	f0a4bf8a
𤿋	U+24FCB (U+24FCB)	f0a4bf8b
𤿌	U+24FCC (U+24FCC)	f0a4bf8c
𤿍	U+24FCD (U+24FCD)	f0a4bf8d
𤿎	to split (U+24FCE)	f0a4bf8e
𤿏	U+24FCF (U+24FCF)	f0a4bf8f
𤿐	U+24FD0 (U+24FD0)	f0a4bf90
𤿑	U+24FD1 (U+24FD1)	f0a4bf91
𤿒	U+24FD2 (U+24FD2)	f0a4bf92
𤿓	U+24FD3 (U+24FD3)	f0a4bf93
𤿔	U+24FD4 (U+24FD4)	f0a4bf94
𤿕	U+24FD5 (U+24FD5)	f0a4bf95
𤿖	U+24FD6 (U+24FD6)	f0a4bf96
𤿗	U+24FD7 (U+24FD7)	f0a4bf97
𤿘	U+24FD8 (U+24FD8)	f0a4bf98
𤿙	U+24FD9 (U+24FD9)	f0a4bf99
𤿚	U+24FDA (U+24FDA)	f0a4bf9a
𤿛	U+24FDB (U+24FDB)	f0a4bf9b
𤿜	U+24FDC (U+24FDC)	f0a4bf9c
𤿝	U+24FDD (U+24FDD)	f0a4bf9d
𤿞	U+24FDE (U+24FDE)	f0a4bf9e
𤿟	U+24FDF (U+24FDF)	f0a4bf9f
𤿠	U+24FE0 (U+24FE0)	f0a4bfa0
𤿡	U+24FE1 (U+24FE1)	f0a4bfa1
𤿢	U+24FE2 (U+24FE2)	f0a4bfa2
𤿣	U+24FE3 (U+24FE3)	f0a4bfa3
𤿤	U+24FE4 (U+24FE4)	f0a4bfa4
𤿥	U+24FE5 (U+24FE5)	f0a4bfa5
𤿦	U+24FE6 (U+24FE6)	f0a4bfa6
𤿧	U+24FE7 (U+24FE7)	f0a4bfa7
𤿨	U+24FE8 (U+24FE8)	f0a4bfa8
𤿩	U+24FE9 (U+24FE9)	f0a4bfa9
𤿪	(Cant.) wrinkled, crumpled (U+24FEA)	f0a4bfaa
𤿫	U+24FEB (U+24FEB)	f0a4bfab
𤿬	U+24FEC (U+24FEC)	f0a4bfac
