𥍯	U+2536F (U+2536F)	f0a58daf
𥍰	U+25370 (U+25370)	f0a58db0
𥍱	U+25371 (U+25371)	f0a58db1
𥍲	U+25372 (U+25372)	f0a58db2
𥍳	U+25373 (U+25373)	f0a58db3
𥍴	U+25374 (U+25374)	f0a58db4
𥍵	U+25375 (U+25375)	f0a58db5
𥍶	U+25376 (U+25376)	f0a58db6
𥍷	U+25377 (U+25377)	f0a58db7
𥍸	U+25378 (U+25378)	f0a58db8
𥍹	U+25379 (U+25379)	f0a58db9
𥍺	U+2537A (U+2537A)	f0a58dba
𥍻	U+2537B (U+2537B)	f0a58dbb
𥍼	U+2537C (U+2537C)	f0a58dbc
𥍽	U+2537D (U+2537D)	f0a58dbd
𥍾	U+2537E (U+2537E)	f0a58dbe
𥍿	U+2537F (U+2537F)	f0a58dbf
𥎀	U+25380 (U+25380)	f0a58e80
𥎁	U+25381 (U+25381)	f0a58e81
𥎂	U+25382 (U+25382)	f0a58e82
𥎃	U+25383 (U+25383)	f0a58e83
𥎄	U+25384 (U+25384)	f0a58e84
𥎅	U+25385 (U+25385)	f0a58e85
𥎆	U+25386 (U+25386)	f0a58e86
𥎇	U+25387 (U+25387)	f0a58e87
𥎈	U+25388 (U+25388)	f0a58e88
𥎉	U+25389 (U+25389)	f0a58e89
𥎊	U+2538A (U+2538A)	f0a58e8a
𥎋	U+2538B (U+2538B)	f0a58e8b
𥎌	U+2538C (U+2538C)	f0a58e8c
𥎍	U+2538D (U+2538D)	f0a58e8d
𥎎	U+2538E (U+2538E)	f0a58e8e
𥎏	U+2538F (U+2538F)	f0a58e8f
𥎐	U+25390 (U+25390)	f0a58e90
𥎑	U+25391 (U+25391)	f0a58e91
𥎒	U+25392 (U+25392)	f0a58e92
𥎓	U+25393 (U+25393)	f0a58e93
𥎔	U+25394 (U+25394)	f0a58e94
𥎕	U+25395 (U+25395)	f0a58e95
𥎖	U+25396 (U+25396)	f0a58e96
𥎗	U+25397 (U+25397)	f0a58e97
𥎘	U+25398 (U+25398)	f0a58e98
𥎙	U+25399 (U+25399)	f0a58e99
𥎚	U+2539A (U+2539A)	f0a58e9a
𥎛	U+2539B (U+2539B)	f0a58e9b
𥎜	U+2539C (U+2539C)	f0a58e9c
𥎝	U+2539D (U+2539D)	f0a58e9d
𥎞	U+2539E (U+2539E)	f0a58e9e
𥎟	U+2539F (U+2539F)	f0a58e9f
