𥝯	U+2576F (U+2576F)	f0a59daf
𥝰	U+25770 (U+25770)	f0a59db0
𥝱	U+25771 (U+25771)	f0a59db1
𥝲	U+25772 (U+25772)	f0a59db2
𥝳	U+25773 (U+25773)	f0a59db3
𥝴	U+25774 (U+25774)	f0a59db4
𥝵	U+25775 (U+25775)	f0a59db5
𥝶	U+25776 (U+25776)	f0a59db6
𥝷	U+25777 (U+25777)	f0a59db7
𥝸	U+25778 (U+25778)	f0a59db8
𥝹	U+25779 (U+25779)	f0a59db9
𥝺	U+2577A (U+2577A)	f0a59dba
𥝻	U+2577B (U+2577B)	f0a59dbb
𥝼	U+2577C (U+2577C)	f0a59dbc
𥝽	U+2577D (U+2577D)	f0a59dbd
𥝾	U+2577E (U+2577E)	f0a59dbe
𥝿	U+2577F (U+2577F)	f0a59dbf
𥞀	U+25780 (U+25780)	f0a59e80
𥞁	U+25781 (U+25781)	f0a59e81
𥞂	U+25782 (U+25782)	f0a59e82
𥞃	U+25783 (U+25783)	f0a59e83
𥞄	U+25784 (U+25784)	f0a59e84
𥞅	U+25785 (U+25785)	f0a59e85
𥞆	U+25786 (U+25786)	f0a59e86
𥞇	U+25787 (U+25787)	f0a59e87
𥞈	U+25788 (U+25788)	f0a59e88
𥞉	U+25789 (U+25789)	f0a59e89
𥞊	U+2578A (U+2578A)	f0a59e8a
𥞋	U+2578B (U+2578B)	f0a59e8b
𥞌	U+2578C (U+2578C)	f0a59e8c
𥞍	U+2578D (U+2578D)	f0a59e8d
𥞎	U+2578E (U+2578E)	f0a59e8e
𥞏	U+2578F (U+2578F)	f0a59e8f
𥞐	U+25790 (U+25790)	f0a59e90
𥞑	U+25791 (U+25791)	f0a59e91
𥞒	U+25792 (U+25792)	f0a59e92
𥞓	U+25793 (U+25793)	f0a59e93
𥞔	U+25794 (U+25794)	f0a59e94
𥞕	U+25795 (U+25795)	f0a59e95
𥞖	U+25796 (U+25796)	f0a59e96
𥞗	U+25797 (U+25797)	f0a59e97
𥞘	U+25798 (U+25798)	f0a59e98
𥞙	U+25799 (U+25799)	f0a59e99
𥞚	U+2579A (U+2579A)	f0a59e9a
𥞛	a stack, pile (U+2579B)	f0a59e9b
𥞜	U+2579C (U+2579C)	f0a59e9c
𥞝	U+2579D (U+2579D)	f0a59e9d
𥞞	U+2579E (U+2579E)	f0a59e9e
𥞟	U+2579F (U+2579F)	f0a59e9f
𥞠	U+257A0 (U+257A0)	f0a59ea0
𥞡	U+257A1 (U+257A1)	f0a59ea1
𥞢	U+257A2 (U+257A2)	f0a59ea2
𥞣	U+257A3 (U+257A3)	f0a59ea3
𥞤	U+257A4 (U+257A4)	f0a59ea4
𥞥	U+257A5 (U+257A5)	f0a59ea5
𥞦	U+257A6 (U+257A6)	f0a59ea6
𥞧	U+257A7 (U+257A7)	f0a59ea7
𥞨	U+257A8 (U+257A8)	f0a59ea8
𥞩	U+257A9 (U+257A9)	f0a59ea9
𥞪	U+257AA (U+257AA)	f0a59eaa
𥞫	U+257AB (U+257AB)	f0a59eab
𥞬	U+257AC (U+257AC)	f0a59eac
𥞭	U+257AD (U+257AD)	f0a59ead
𥞮	U+257AE (U+257AE)	f0a59eae
𥞯	U+257AF (U+257AF)	f0a59eaf
𥞰	U+257B0 (U+257B0)	f0a59eb0
𥞱	U+257B1 (U+257B1)	f0a59eb1
𥞲	U+257B2 (U+257B2)	f0a59eb2
𥞳	U+257B3 (U+257B3)	f0a59eb3
𥞴	U+257B4 (U+257B4)	f0a59eb4
𥞵	U+257B5 (U+257B5)	f0a59eb5
𥞶	U+257B6 (U+257B6)	f0a59eb6
𥞷	U+257B7 (U+257B7)	f0a59eb7
𥞸	U+257B8 (U+257B8)	f0a59eb8
𥞹	U+257B9 (U+257B9)	f0a59eb9
𥞺	U+257BA (U+257BA)	f0a59eba
𥞻	U+257BB (U+257BB)	f0a59ebb
𥞼	U+257BC (U+257BC)	f0a59ebc
𥞽	U+257BD (U+257BD)	f0a59ebd
𥞾	U+257BE (U+257BE)	f0a59ebe
𥞿	U+257BF (U+257BF)	f0a59ebf
𥟀	U+257C0 (U+257C0)	f0a59f80
𥟁	U+257C1 (U+257C1)	f0a59f81
𥟂	U+257C2 (U+257C2)	f0a59f82
𥟃	U+257C3 (U+257C3)	f0a59f83
𥟄	U+257C4 (U+257C4)	f0a59f84
𥟅	U+257C5 (U+257C5)	f0a59f85
𥟆	U+257C6 (U+257C6)	f0a59f86
𥟇	U+257C7 (U+257C7)	f0a59f87
𥟈	U+257C8 (U+257C8)	f0a59f88
𥟉	U+257C9 (U+257C9)	f0a59f89
𥟊	U+257CA (U+257CA)	f0a59f8a
𥟋	U+257CB (U+257CB)	f0a59f8b
𥟌	U+257CC (U+257CC)	f0a59f8c
𥟍	U+257CD (U+257CD)	f0a59f8d
𥟎	U+257CE (U+257CE)	f0a59f8e
𥟏	U+257CF (U+257CF)	f0a59f8f
𥟐	U+257D0 (U+257D0)	f0a59f90
𥟑	U+257D1 (U+257D1)	f0a59f91
𥟒	U+257D2 (U+257D2)	f0a59f92
𥟓	U+257D3 (U+257D3)	f0a59f93
𥟔	U+257D4 (U+257D4)	f0a59f94
𥟕	U+257D5 (U+257D5)	f0a59f95
𥟖	U+257D6 (U+257D6)	f0a59f96
𥟗	U+257D7 (U+257D7)	f0a59f97
𥟘	U+257D8 (U+257D8)	f0a59f98
𥟙	U+257D9 (U+257D9)	f0a59f99
𥟚	U+257DA (U+257DA)	f0a59f9a
𥟛	U+257DB (U+257DB)	f0a59f9b
𥟜	U+257DC (U+257DC)	f0a59f9c
𥟝	U+257DD (U+257DD)	f0a59f9d
𥟞	U+257DE (U+257DE)	f0a59f9e
𥟟	U+257DF (U+257DF)	f0a59f9f
𥟠	U+257E0 (U+257E0)	f0a59fa0
𥟡	U+257E1 (U+257E1)	f0a59fa1
𥟢	U+257E2 (U+257E2)	f0a59fa2
𥟣	U+257E3 (U+257E3)	f0a59fa3
𥟤	U+257E4 (U+257E4)	f0a59fa4
𥟥	U+257E5 (U+257E5)	f0a59fa5
𥟦	U+257E6 (U+257E6)	f0a59fa6
𥟧	U+257E7 (U+257E7)	f0a59fa7
𥟨	U+257E8 (U+257E8)	f0a59fa8
𥟩	U+257E9 (U+257E9)	f0a59fa9
𥟪	U+257EA (U+257EA)	f0a59faa
𥟫	U+257EB (U+257EB)	f0a59fab
𥟬	U+257EC (U+257EC)	f0a59fac
𥟭	U+257ED (U+257ED)	f0a59fad
𥟮	U+257EE (U+257EE)	f0a59fae
𥟯	U+257EF (U+257EF)	f0a59faf
𥟰	U+257F0 (U+257F0)	f0a59fb0
𥟱	U+257F1 (U+257F1)	f0a59fb1
𥟲	U+257F2 (U+257F2)	f0a59fb2
𥟳	U+257F3 (U+257F3)	f0a59fb3
𥟴	U+257F4 (U+257F4)	f0a59fb4
𥟵	U+257F5 (U+257F5)	f0a59fb5
𥟶	U+257F6 (U+257F6)	f0a59fb6
𥟷	U+257F7 (U+257F7)	f0a59fb7
𥟸	U+257F8 (U+257F8)	f0a59fb8
𥟹	U+257F9 (U+257F9)	f0a59fb9
𥟺	U+257FA (U+257FA)	f0a59fba
𥟻	U+257FB (U+257FB)	f0a59fbb
𥟼	U+257FC (U+257FC)	f0a59fbc
𥟽	U+257FD (U+257FD)	f0a59fbd
𥟾	U+257FE (U+257FE)	f0a59fbe
𥟿	U+257FF (U+257FF)	f0a59fbf
𥠀	U+25800 (U+25800)	f0a5a080
𥠁	U+25801 (U+25801)	f0a5a081
𥠂	U+25802 (U+25802)	f0a5a082
𥠃	U+25803 (U+25803)	f0a5a083
𥠄	U+25804 (U+25804)	f0a5a084
𥠅	U+25805 (U+25805)	f0a5a085
𥠆	U+25806 (U+25806)	f0a5a086
𥠇	U+25807 (U+25807)	f0a5a087
𥠈	U+25808 (U+25808)	f0a5a088
𥠉	U+25809 (U+25809)	f0a5a089
𥠊	U+2580A (U+2580A)	f0a5a08a
𥠋	U+2580B (U+2580B)	f0a5a08b
𥠌	U+2580C (U+2580C)	f0a5a08c
𥠍	U+2580D (U+2580D)	f0a5a08d
𥠎	U+2580E (U+2580E)	f0a5a08e
𥠏	U+2580F (U+2580F)	f0a5a08f
𥠐	U+25810 (U+25810)	f0a5a090
𥠑	U+25811 (U+25811)	f0a5a091
𥠒	U+25812 (U+25812)	f0a5a092
𥠓	U+25813 (U+25813)	f0a5a093
𥠔	U+25814 (U+25814)	f0a5a094
𥠕	U+25815 (U+25815)	f0a5a095
𥠖	U+25816 (U+25816)	f0a5a096
𥠗	U+25817 (U+25817)	f0a5a097
𥠘	U+25818 (U+25818)	f0a5a098
𥠙	U+25819 (U+25819)	f0a5a099
𥠚	U+2581A (U+2581A)	f0a5a09a
𥠛	U+2581B (U+2581B)	f0a5a09b
𥠜	U+2581C (U+2581C)	f0a5a09c
𥠝	U+2581D (U+2581D)	f0a5a09d
𥠞	U+2581E (U+2581E)	f0a5a09e
𥠟	U+2581F (U+2581F)	f0a5a09f
𥠠	U+25820 (U+25820)	f0a5a0a0
𥠡	U+25821 (U+25821)	f0a5a0a1
𥠢	U+25822 (U+25822)	f0a5a0a2
𥠣	U+25823 (U+25823)	f0a5a0a3
𥠤	U+25824 (U+25824)	f0a5a0a4
𥠥	U+25825 (U+25825)	f0a5a0a5
𥠦	U+25826 (U+25826)	f0a5a0a6
𥠧	U+25827 (U+25827)	f0a5a0a7
𥠨	U+25828 (U+25828)	f0a5a0a8
𥠩	U+25829 (U+25829)	f0a5a0a9
𥠪	U+2582A (U+2582A)	f0a5a0aa
𥠫	U+2582B (U+2582B)	f0a5a0ab
𥠬	U+2582C (U+2582C)	f0a5a0ac
𥠭	U+2582D (U+2582D)	f0a5a0ad
𥠮	U+2582E (U+2582E)	f0a5a0ae
𥠯	U+2582F (U+2582F)	f0a5a0af
𥠰	U+25830 (U+25830)	f0a5a0b0
𥠱	U+25831 (U+25831)	f0a5a0b1
𥠲	U+25832 (U+25832)	f0a5a0b2
𥠳	U+25833 (U+25833)	f0a5a0b3
𥠴	U+25834 (U+25834)	f0a5a0b4
𥠵	U+25835 (U+25835)	f0a5a0b5
𥠶	U+25836 (U+25836)	f0a5a0b6
𥠷	U+25837 (U+25837)	f0a5a0b7
𥠸	U+25838 (U+25838)	f0a5a0b8
𥠹	U+25839 (U+25839)	f0a5a0b9
𥠺	U+2583A (U+2583A)	f0a5a0ba
𥠻	U+2583B (U+2583B)	f0a5a0bb
𥠼	U+2583C (U+2583C)	f0a5a0bc
𥠽	U+2583D (U+2583D)	f0a5a0bd
𥠾	U+2583E (U+2583E)	f0a5a0be
𥠿	U+2583F (U+2583F)	f0a5a0bf
𥡀	U+25840 (U+25840)	f0a5a180
𥡁	U+25841 (U+25841)	f0a5a181
𥡂	U+25842 (U+25842)	f0a5a182
𥡃	U+25843 (U+25843)	f0a5a183
𥡄	U+25844 (U+25844)	f0a5a184
𥡅	U+25845 (U+25845)	f0a5a185
𥡆	U+25846 (U+25846)	f0a5a186
𥡇	U+25847 (U+25847)	f0a5a187
𥡈	U+25848 (U+25848)	f0a5a188
𥡉	U+25849 (U+25849)	f0a5a189
