𥭯	U+25B6F (U+25B6F)	f0a5adaf
𥭰	U+25B70 (U+25B70)	f0a5adb0
𥭱	U+25B71 (U+25B71)	f0a5adb1
𥭲	U+25B72 (U+25B72)	f0a5adb2
𥭳	U+25B73 (U+25B73)	f0a5adb3
𥭴	U+25B74 (U+25B74)	f0a5adb4
𥭵	U+25B75 (U+25B75)	f0a5adb5
𥭶	U+25B76 (U+25B76)	f0a5adb6
𥭷	U+25B77 (U+25B77)	f0a5adb7
𥭸	U+25B78 (U+25B78)	f0a5adb8
𥭹	U+25B79 (U+25B79)	f0a5adb9
𥭺	U+25B7A (U+25B7A)	f0a5adba
𥭻	U+25B7B (U+25B7B)	f0a5adbb
𥭼	U+25B7C (U+25B7C)	f0a5adbc
𥭽	U+25B7D (U+25B7D)	f0a5adbd
𥭾	U+25B7E (U+25B7E)	f0a5adbe
𥭿	U+25B7F (U+25B7F)	f0a5adbf
𥮀	U+25B80 (U+25B80)	f0a5ae80
𥮁	U+25B81 (U+25B81)	f0a5ae81
𥮂	U+25B82 (U+25B82)	f0a5ae82
𥮃	U+25B83 (U+25B83)	f0a5ae83
𥮄	U+25B84 (U+25B84)	f0a5ae84
𥮅	U+25B85 (U+25B85)	f0a5ae85
𥮆	U+25B86 (U+25B86)	f0a5ae86
𥮇	U+25B87 (U+25B87)	f0a5ae87
𥮈	U+25B88 (U+25B88)	f0a5ae88
𥮉	U+25B89 (U+25B89)	f0a5ae89
𥮊	U+25B8A (U+25B8A)	f0a5ae8a
𥮋	U+25B8B (U+25B8B)	f0a5ae8b
𥮌	U+25B8C (U+25B8C)	f0a5ae8c
𥮍	U+25B8D (U+25B8D)	f0a5ae8d
𥮎	U+25B8E (U+25B8E)	f0a5ae8e
𥮏	U+25B8F (U+25B8F)	f0a5ae8f
𥮐	U+25B90 (U+25B90)	f0a5ae90
𥮑	U+25B91 (U+25B91)	f0a5ae91
𥮒	U+25B92 (U+25B92)	f0a5ae92
𥮓	U+25B93 (U+25B93)	f0a5ae93
𥮔	U+25B94 (U+25B94)	f0a5ae94
𥮕	U+25B95 (U+25B95)	f0a5ae95
𥮖	U+25B96 (U+25B96)	f0a5ae96
𥮗	U+25B97 (U+25B97)	f0a5ae97
𥮘	U+25B98 (U+25B98)	f0a5ae98
𥮙	U+25B99 (U+25B99)	f0a5ae99
𥮚	U+25B9A (U+25B9A)	f0a5ae9a
𥮛	U+25B9B (U+25B9B)	f0a5ae9b
𥮜	U+25B9C (U+25B9C)	f0a5ae9c
𥮝	U+25B9D (U+25B9D)	f0a5ae9d
𥮞	U+25B9E (U+25B9E)	f0a5ae9e
𥮟	U+25B9F (U+25B9F)	f0a5ae9f
𥮠	U+25BA0 (U+25BA0)	f0a5aea0
𥮡	U+25BA1 (U+25BA1)	f0a5aea1
𥮢	U+25BA2 (U+25BA2)	f0a5aea2
𥮣	U+25BA3 (U+25BA3)	f0a5aea3
𥮤	U+25BA4 (U+25BA4)	f0a5aea4
𥮥	U+25BA5 (U+25BA5)	f0a5aea5
𥮦	U+25BA6 (U+25BA6)	f0a5aea6
𥮧	U+25BA7 (U+25BA7)	f0a5aea7
𥮨	U+25BA8 (U+25BA8)	f0a5aea8
𥮩	U+25BA9 (U+25BA9)	f0a5aea9
𥮪	U+25BAA (U+25BAA)	f0a5aeaa
𥮫	U+25BAB (U+25BAB)	f0a5aeab
𥮬	U+25BAC (U+25BAC)	f0a5aeac
𥮭	U+25BAD (U+25BAD)	f0a5aead
𥮮	U+25BAE (U+25BAE)	f0a5aeae
𥮯	U+25BAF (U+25BAF)	f0a5aeaf
𥮰	U+25BB0 (U+25BB0)	f0a5aeb0
𥮱	U+25BB1 (U+25BB1)	f0a5aeb1
𥮲	U+25BB2 (U+25BB2)	f0a5aeb2
𥮳	U+25BB3 (U+25BB3)	f0a5aeb3
𥮴	U+25BB4 (U+25BB4)	f0a5aeb4
𥮵	U+25BB5 (U+25BB5)	f0a5aeb5
𥮶	U+25BB6 (U+25BB6)	f0a5aeb6
𥮷	U+25BB7 (U+25BB7)	f0a5aeb7
𥮸	U+25BB8 (U+25BB8)	f0a5aeb8
𥮹	U+25BB9 (U+25BB9)	f0a5aeb9
𥮺	U+25BBA (U+25BBA)	f0a5aeba
𥮻	U+25BBB (U+25BBB)	f0a5aebb
𥮼	U+25BBC (U+25BBC)	f0a5aebc
𥮽	U+25BBD (U+25BBD)	f0a5aebd
𥮾	U+25BBE (U+25BBE)	f0a5aebe
𥮿	U+25BBF (U+25BBF)	f0a5aebf
𥯀	U+25BC0 (U+25BC0)	f0a5af80
𥯁	U+25BC1 (U+25BC1)	f0a5af81
𥯂	U+25BC2 (U+25BC2)	f0a5af82
𥯃	U+25BC3 (U+25BC3)	f0a5af83
𥯄	U+25BC4 (U+25BC4)	f0a5af84
𥯅	U+25BC5 (U+25BC5)	f0a5af85
𥯆	U+25BC6 (U+25BC6)	f0a5af86
𥯇	U+25BC7 (U+25BC7)	f0a5af87
𥯈	U+25BC8 (U+25BC8)	f0a5af88
