𥽯	U+25F6F (U+25F6F)	f0a5bdaf
𥽰	U+25F70 (U+25F70)	f0a5bdb0
𥽱	U+25F71 (U+25F71)	f0a5bdb1
𥽲	U+25F72 (U+25F72)	f0a5bdb2
𥽳	U+25F73 (U+25F73)	f0a5bdb3
𥽴	U+25F74 (U+25F74)	f0a5bdb4
𥽵	U+25F75 (U+25F75)	f0a5bdb5
𥽶	U+25F76 (U+25F76)	f0a5bdb6
𥽷	U+25F77 (U+25F77)	f0a5bdb7
𥽸	U+25F78 (U+25F78)	f0a5bdb8
𥽹	U+25F79 (U+25F79)	f0a5bdb9
𥽺	U+25F7A (U+25F7A)	f0a5bdba
𥽻	U+25F7B (U+25F7B)	f0a5bdbb
𥽼	U+25F7C (U+25F7C)	f0a5bdbc
𥽽	U+25F7D (U+25F7D)	f0a5bdbd
𥽾	U+25F7E (U+25F7E)	f0a5bdbe
𥽿	U+25F7F (U+25F7F)	f0a5bdbf
𥾀	U+25F80 (U+25F80)	f0a5be80
𥾁	U+25F81 (U+25F81)	f0a5be81
𥾂	U+25F82 (U+25F82)	f0a5be82
𥾃	U+25F83 (U+25F83)	f0a5be83
𥾄	U+25F84 (U+25F84)	f0a5be84
𥾅	U+25F85 (U+25F85)	f0a5be85
𥾆	U+25F86 (U+25F86)	f0a5be86
𥾇	U+25F87 (U+25F87)	f0a5be87
𥾈	U+25F88 (U+25F88)	f0a5be88
𥾉	U+25F89 (U+25F89)	f0a5be89
𥾊	U+25F8A (U+25F8A)	f0a5be8a
𥾋	U+25F8B (U+25F8B)	f0a5be8b
𥾌	U+25F8C (U+25F8C)	f0a5be8c
𥾍	U+25F8D (U+25F8D)	f0a5be8d
𥾎	U+25F8E (U+25F8E)	f0a5be8e
𥾏	U+25F8F (U+25F8F)	f0a5be8f
𥾐	U+25F90 (U+25F90)	f0a5be90
𥾑	U+25F91 (U+25F91)	f0a5be91
𥾒	U+25F92 (U+25F92)	f0a5be92
𥾓	U+25F93 (U+25F93)	f0a5be93
𥾔	U+25F94 (U+25F94)	f0a5be94
𥾕	U+25F95 (U+25F95)	f0a5be95
𥾖	U+25F96 (U+25F96)	f0a5be96
𥾗	U+25F97 (U+25F97)	f0a5be97
𥾘	U+25F98 (U+25F98)	f0a5be98
𥾙	U+25F99 (U+25F99)	f0a5be99
𥾚	U+25F9A (U+25F9A)	f0a5be9a
𥾛	U+25F9B (U+25F9B)	f0a5be9b
𥾜	U+25F9C (U+25F9C)	f0a5be9c
𥾝	U+25F9D (U+25F9D)	f0a5be9d
𥾞	U+25F9E (U+25F9E)	f0a5be9e
𥾟	U+25F9F (U+25F9F)	f0a5be9f
𥾠	U+25FA0 (U+25FA0)	f0a5bea0
𥾡	U+25FA1 (U+25FA1)	f0a5bea1
𥾢	U+25FA2 (U+25FA2)	f0a5bea2
𥾣	U+25FA3 (U+25FA3)	f0a5bea3
𥾤	U+25FA4 (U+25FA4)	f0a5bea4
𥾥	U+25FA5 (U+25FA5)	f0a5bea5
𥾦	U+25FA6 (U+25FA6)	f0a5bea6
𥾧	U+25FA7 (U+25FA7)	f0a5bea7
𥾨	U+25FA8 (U+25FA8)	f0a5bea8
𥾩	U+25FA9 (U+25FA9)	f0a5bea9
𥾪	U+25FAA (U+25FAA)	f0a5beaa
𥾫	U+25FAB (U+25FAB)	f0a5beab
𥾬	U+25FAC (U+25FAC)	f0a5beac
𥾭	U+25FAD (U+25FAD)	f0a5bead
𥾮	U+25FAE (U+25FAE)	f0a5beae
𥾯	U+25FAF (U+25FAF)	f0a5beaf
𥾰	U+25FB0 (U+25FB0)	f0a5beb0
𥾱	U+25FB1 (U+25FB1)	f0a5beb1
𥾲	U+25FB2 (U+25FB2)	f0a5beb2
𥾳	U+25FB3 (U+25FB3)	f0a5beb3
𥾴	U+25FB4 (U+25FB4)	f0a5beb4
𥾵	U+25FB5 (U+25FB5)	f0a5beb5
𥾶	U+25FB6 (U+25FB6)	f0a5beb6
𥾷	U+25FB7 (U+25FB7)	f0a5beb7
𥾸	U+25FB8 (U+25FB8)	f0a5beb8
𥾹	U+25FB9 (U+25FB9)	f0a5beb9
𥾺	U+25FBA (U+25FBA)	f0a5beba
𥾻	U+25FBB (U+25FBB)	f0a5bebb
𥾼	U+25FBC (U+25FBC)	f0a5bebc
𥾽	U+25FBD (U+25FBD)	f0a5bebd
𥾾	U+25FBE (U+25FBE)	f0a5bebe
𥾿	U+25FBF (U+25FBF)	f0a5bebf
𥿀	U+25FC0 (U+25FC0)	f0a5bf80
𥿁	U+25FC1 (U+25FC1)	f0a5bf81
𥿂	U+25FC2 (U+25FC2)	f0a5bf82
𥿃	U+25FC3 (U+25FC3)	f0a5bf83
𥿄	U+25FC4 (U+25FC4)	f0a5bf84
𥿅	U+25FC5 (U+25FC5)	f0a5bf85
𥿆	U+25FC6 (U+25FC6)	f0a5bf86
𥿇	U+25FC7 (U+25FC7)	f0a5bf87
𥿈	U+25FC8 (U+25FC8)	f0a5bf88
𥿉	U+25FC9 (U+25FC9)	f0a5bf89
𥿊	U+25FCA (U+25FCA)	f0a5bf8a
𥿋	U+25FCB (U+25FCB)	f0a5bf8b
𥿌	U+25FCC (U+25FCC)	f0a5bf8c
𥿍	U+25FCD (U+25FCD)	f0a5bf8d
𥿎	U+25FCE (U+25FCE)	f0a5bf8e
𥿏	U+25FCF (U+25FCF)	f0a5bf8f
𥿐	U+25FD0 (U+25FD0)	f0a5bf90
𥿑	U+25FD1 (U+25FD1)	f0a5bf91
𥿒	U+25FD2 (U+25FD2)	f0a5bf92
𥿓	U+25FD3 (U+25FD3)	f0a5bf93
𥿔	U+25FD4 (U+25FD4)	f0a5bf94
𥿕	U+25FD5 (U+25FD5)	f0a5bf95
𥿖	U+25FD6 (U+25FD6)	f0a5bf96
𥿗	U+25FD7 (U+25FD7)	f0a5bf97
𥿘	U+25FD8 (U+25FD8)	f0a5bf98
𥿙	U+25FD9 (U+25FD9)	f0a5bf99
𥿚	U+25FDA (U+25FDA)	f0a5bf9a
𥿛	U+25FDB (U+25FDB)	f0a5bf9b
𥿜	U+25FDC (U+25FDC)	f0a5bf9c
𥿝	U+25FDD (U+25FDD)	f0a5bf9d
𥿞	U+25FDE (U+25FDE)	f0a5bf9e
𥿟	U+25FDF (U+25FDF)	f0a5bf9f
𥿠	U+25FE0 (U+25FE0)	f0a5bfa0
𥿡	U+25FE1 (U+25FE1)	f0a5bfa1
