𦍯	U+2636F (U+2636F)	f0a68daf
𦍰	U+26370 (U+26370)	f0a68db0
𦍱	U+26371 (U+26371)	f0a68db1
𦍲	U+26372 (U+26372)	f0a68db2
𦍳	U+26373 (U+26373)	f0a68db3
𦍴	U+26374 (U+26374)	f0a68db4
𦍵	U+26375 (U+26375)	f0a68db5
𦍶	U+26376 (U+26376)	f0a68db6
𦍷	U+26377 (U+26377)	f0a68db7
𦍸	U+26378 (U+26378)	f0a68db8
𦍹	U+26379 (U+26379)	f0a68db9
𦍺	U+2637A (U+2637A)	f0a68dba
𦍻	U+2637B (U+2637B)	f0a68dbb
𦍼	U+2637C (U+2637C)	f0a68dbc
𦍽	U+2637D (U+2637D)	f0a68dbd
𦍾	U+2637E (U+2637E)	f0a68dbe
𦍿	U+2637F (U+2637F)	f0a68dbf
𦎀	U+26380 (U+26380)	f0a68e80
𦎁	U+26381 (U+26381)	f0a68e81
𦎂	U+26382 (U+26382)	f0a68e82
𦎃	U+26383 (U+26383)	f0a68e83
𦎄	U+26384 (U+26384)	f0a68e84
𦎅	U+26385 (U+26385)	f0a68e85
𦎆	U+26386 (U+26386)	f0a68e86
𦎇	U+26387 (U+26387)	f0a68e87
𦎈	U+26388 (U+26388)	f0a68e88
𦎉	U+26389 (U+26389)	f0a68e89
𦎊	U+2638A (U+2638A)	f0a68e8a
𦎋	U+2638B (U+2638B)	f0a68e8b
𦎌	U+2638C (U+2638C)	f0a68e8c
𦎍	U+2638D (U+2638D)	f0a68e8d
𦎎	U+2638E (U+2638E)	f0a68e8e
𦎏	U+2638F (U+2638F)	f0a68e8f
𦎐	U+26390 (U+26390)	f0a68e90
𦎑	U+26391 (U+26391)	f0a68e91
𦎒	U+26392 (U+26392)	f0a68e92
𦎓	U+26393 (U+26393)	f0a68e93
𦎔	U+26394 (U+26394)	f0a68e94
𦎕	U+26395 (U+26395)	f0a68e95
𦎖	U+26396 (U+26396)	f0a68e96
𦎗	U+26397 (U+26397)	f0a68e97
𦎘	U+26398 (U+26398)	f0a68e98
𦎙	U+26399 (U+26399)	f0a68e99
𦎚	U+2639A (U+2639A)	f0a68e9a
𦎛	U+2639B (U+2639B)	f0a68e9b
𦎜	U+2639C (U+2639C)	f0a68e9c
𦎝	U+2639D (U+2639D)	f0a68e9d
𦎞	U+2639E (U+2639E)	f0a68e9e
𦎟	U+2639F (U+2639F)	f0a68e9f
𦎠	U+263A0 (U+263A0)	f0a68ea0
𦎡	U+263A1 (U+263A1)	f0a68ea1
𦎢	U+263A2 (U+263A2)	f0a68ea2
𦎣	U+263A3 (U+263A3)	f0a68ea3
𦎤	U+263A4 (U+263A4)	f0a68ea4
𦎥	U+263A5 (U+263A5)	f0a68ea5
𦎦	U+263A6 (U+263A6)	f0a68ea6
𦎧	U+263A7 (U+263A7)	f0a68ea7
𦎨	U+263A8 (U+263A8)	f0a68ea8
𦎩	U+263A9 (U+263A9)	f0a68ea9
𦎪	U+263AA (U+263AA)	f0a68eaa
𦎫	U+263AB (U+263AB)	f0a68eab
𦎬	U+263AC (U+263AC)	f0a68eac
𦎭	U+263AD (U+263AD)	f0a68ead
𦎮	U+263AE (U+263AE)	f0a68eae
𦎯	U+263AF (U+263AF)	f0a68eaf
𦎰	U+263B0 (U+263B0)	f0a68eb0
𦎱	U+263B1 (U+263B1)	f0a68eb1
𦎲	U+263B2 (U+263B2)	f0a68eb2
𦎳	U+263B3 (U+263B3)	f0a68eb3
𦎴	U+263B4 (U+263B4)	f0a68eb4
𦎵	U+263B5 (U+263B5)	f0a68eb5
𦎶	U+263B6 (U+263B6)	f0a68eb6
𦎷	U+263B7 (U+263B7)	f0a68eb7
𦎸	U+263B8 (U+263B8)	f0a68eb8
𦎹	U+263B9 (U+263B9)	f0a68eb9
𦎺	U+263BA (U+263BA)	f0a68eba
𦎻	U+263BB (U+263BB)	f0a68ebb
𦎼	U+263BC (U+263BC)	f0a68ebc
𦎽	U+263BD (U+263BD)	f0a68ebd
𦎾	U+263BE (U+263BE)	f0a68ebe
𦎿	U+263BF (U+263BF)	f0a68ebf
𦏀	U+263C0 (U+263C0)	f0a68f80
𦏁	U+263C1 (U+263C1)	f0a68f81
𦏂	U+263C2 (U+263C2)	f0a68f82
𦏃	U+263C3 (U+263C3)	f0a68f83
𦏄	U+263C4 (U+263C4)	f0a68f84
𦏅	U+263C5 (U+263C5)	f0a68f85
𦏆	U+263C6 (U+263C6)	f0a68f86
𦏇	U+263C7 (U+263C7)	f0a68f87
𦏈	U+263C8 (U+263C8)	f0a68f88
𦏉	U+263C9 (U+263C9)	f0a68f89
𦏊	U+263CA (U+263CA)	f0a68f8a
𦏋	U+263CB (U+263CB)	f0a68f8b
𦏌	U+263CC (U+263CC)	f0a68f8c
𦏍	U+263CD (U+263CD)	f0a68f8d
𦏎	U+263CE (U+263CE)	f0a68f8e
𦏏	U+263CF (U+263CF)	f0a68f8f
𦏐	U+263D0 (U+263D0)	f0a68f90
𦏑	U+263D1 (U+263D1)	f0a68f91
𦏒	U+263D2 (U+263D2)	f0a68f92
𦏓	U+263D3 (U+263D3)	f0a68f93
𦏔	U+263D4 (U+263D4)	f0a68f94
𦏕	U+263D5 (U+263D5)	f0a68f95
𦏖	U+263D6 (U+263D6)	f0a68f96
𦏗	U+263D7 (U+263D7)	f0a68f97
𦏘	U+263D8 (U+263D8)	f0a68f98
𦏙	U+263D9 (U+263D9)	f0a68f99
𦏚	U+263DA (U+263DA)	f0a68f9a
𦏛	U+263DB (U+263DB)	f0a68f9b
𦏜	U+263DC (U+263DC)	f0a68f9c
𦏝	U+263DD (U+263DD)	f0a68f9d
𦏞	U+263DE (U+263DE)	f0a68f9e
𦏟	U+263DF (U+263DF)	f0a68f9f
𦏠	U+263E0 (U+263E0)	f0a68fa0
𦏡	U+263E1 (U+263E1)	f0a68fa1
𦏢	U+263E2 (U+263E2)	f0a68fa2
𦏣	U+263E3 (U+263E3)	f0a68fa3
𦏤	U+263E4 (U+263E4)	f0a68fa4
𦏥	U+263E5 (U+263E5)	f0a68fa5
𦏦	U+263E6 (U+263E6)	f0a68fa6
𦏧	U+263E7 (U+263E7)	f0a68fa7
𦏨	U+263E8 (U+263E8)	f0a68fa8
𦏩	U+263E9 (U+263E9)	f0a68fa9
𦏪	U+263EA (U+263EA)	f0a68faa
𦏫	U+263EB (U+263EB)	f0a68fab
𦏬	U+263EC (U+263EC)	f0a68fac
𦏭	U+263ED (U+263ED)	f0a68fad
𦏮	U+263EE (U+263EE)	f0a68fae
𦏯	U+263EF (U+263EF)	f0a68faf
𦏰	U+263F0 (U+263F0)	f0a68fb0
𦏱	U+263F1 (U+263F1)	f0a68fb1
𦏲	U+263F2 (U+263F2)	f0a68fb2
𦏳	U+263F3 (U+263F3)	f0a68fb3
𦏴	U+263F4 (U+263F4)	f0a68fb4
𦏵	U+263F5 (U+263F5)	f0a68fb5
𦏶	U+263F6 (U+263F6)	f0a68fb6
𦏷	U+263F7 (U+263F7)	f0a68fb7
𦏸	U+263F8 (U+263F8)	f0a68fb8
𦏹	U+263F9 (U+263F9)	f0a68fb9
𦏺	U+263FA (U+263FA)	f0a68fba
𦏻	U+263FB (U+263FB)	f0a68fbb
𦏼	U+263FC (U+263FC)	f0a68fbc
𦏽	U+263FD (U+263FD)	f0a68fbd
𦏾	U+263FE (U+263FE)	f0a68fbe
𦏿	U+263FF (U+263FF)	f0a68fbf
𦐀	U+26400 (U+26400)	f0a69080
𦐁	U+26401 (U+26401)	f0a69081
𦐂	U+26402 (U+26402)	f0a69082
𦐃	U+26403 (U+26403)	f0a69083
𦐄	U+26404 (U+26404)	f0a69084
𦐅	U+26405 (U+26405)	f0a69085
𦐆	U+26406 (U+26406)	f0a69086
𦐇	the sound of wings, whir (U+26407)	f0a69087
𦐈	to fly (U+26408)	f0a69088
𦐉	U+26409 (U+26409)	f0a69089
𦐊	U+2640A (U+2640A)	f0a6908a
𦐋	U+2640B (U+2640B)	f0a6908b
𦐌	U+2640C (U+2640C)	f0a6908c
𦐍	U+2640D (U+2640D)	f0a6908d
𦐎	U+2640E (U+2640E)	f0a6908e
𦐏	U+2640F (U+2640F)	f0a6908f
𦐐	U+26410 (U+26410)	f0a69090
𦐑	U+26411 (U+26411)	f0a69091
𦐒	U+26412 (U+26412)	f0a69092
𦐓	U+26413 (U+26413)	f0a69093
𦐔	U+26414 (U+26414)	f0a69094
𦐕	U+26415 (U+26415)	f0a69095
𦐖	U+26416 (U+26416)	f0a69096
𦐗	U+26417 (U+26417)	f0a69097
𦐘	U+26418 (U+26418)	f0a69098
𦐙	U+26419 (U+26419)	f0a69099
𦐚	U+2641A (U+2641A)	f0a6909a
𦐛	U+2641B (U+2641B)	f0a6909b
𦐜	U+2641C (U+2641C)	f0a6909c
𦐝	U+2641D (U+2641D)	f0a6909d
𦐞	U+2641E (U+2641E)	f0a6909e
𦐟	U+2641F (U+2641F)	f0a6909f
𦐠	U+26420 (U+26420)	f0a690a0
𦐡	U+26421 (U+26421)	f0a690a1
𦐢	U+26422 (U+26422)	f0a690a2
