𦝯	U+2676F (U+2676F)	f0a69daf
𦝰	U+26770 (U+26770)	f0a69db0
𦝱	U+26771 (U+26771)	f0a69db1
𦝲	U+26772 (U+26772)	f0a69db2
𦝳	U+26773 (U+26773)	f0a69db3
𦝴	U+26774 (U+26774)	f0a69db4
𦝵	U+26775 (U+26775)	f0a69db5
𦝶	U+26776 (U+26776)	f0a69db6
𦝷	U+26777 (U+26777)	f0a69db7
𦝸	U+26778 (U+26778)	f0a69db8
𦝹	U+26779 (U+26779)	f0a69db9
𦝺	U+2677A (U+2677A)	f0a69dba
𦝻	U+2677B (U+2677B)	f0a69dbb
𦝼	U+2677C (U+2677C)	f0a69dbc
𦝽	U+2677D (U+2677D)	f0a69dbd
𦝾	U+2677E (U+2677E)	f0a69dbe
𦝿	U+2677F (U+2677F)	f0a69dbf
𦞀	U+26780 (U+26780)	f0a69e80
𦞁	U+26781 (U+26781)	f0a69e81
𦞂	U+26782 (U+26782)	f0a69e82
𦞃	U+26783 (U+26783)	f0a69e83
𦞄	U+26784 (U+26784)	f0a69e84
𦞅	U+26785 (U+26785)	f0a69e85
𦞆	U+26786 (U+26786)	f0a69e86
𦞇	U+26787 (U+26787)	f0a69e87
𦞈	U+26788 (U+26788)	f0a69e88
𦞉	U+26789 (U+26789)	f0a69e89
𦞊	U+2678A (U+2678A)	f0a69e8a
𦞋	U+2678B (U+2678B)	f0a69e8b
𦞌	U+2678C (U+2678C)	f0a69e8c
𦞍	U+2678D (U+2678D)	f0a69e8d
𦞎	U+2678E (U+2678E)	f0a69e8e
𦞏	U+2678F (U+2678F)	f0a69e8f
𦞐	U+26790 (U+26790)	f0a69e90
𦞑	U+26791 (U+26791)	f0a69e91
𦞒	U+26792 (U+26792)	f0a69e92
𦞓	U+26793 (U+26793)	f0a69e93
𦞔	U+26794 (U+26794)	f0a69e94
𦞕	U+26795 (U+26795)	f0a69e95
𦞖	U+26796 (U+26796)	f0a69e96
𦞗	U+26797 (U+26797)	f0a69e97
𦞘	U+26798 (U+26798)	f0a69e98
𦞙	U+26799 (U+26799)	f0a69e99
𦞚	U+2679A (U+2679A)	f0a69e9a
𦞛	U+2679B (U+2679B)	f0a69e9b
𦞜	U+2679C (U+2679C)	f0a69e9c
𦞝	U+2679D (U+2679D)	f0a69e9d
𦞞	U+2679E (U+2679E)	f0a69e9e
𦞟	U+2679F (U+2679F)	f0a69e9f
𦞠	U+267A0 (U+267A0)	f0a69ea0
𦞡	U+267A1 (U+267A1)	f0a69ea1
𦞢	U+267A2 (U+267A2)	f0a69ea2
𦞣	rank; rancid; fetid (U+267A3)	f0a69ea3
𦞤	U+267A4 (U+267A4)	f0a69ea4
𦞥	U+267A5 (U+267A5)	f0a69ea5
𦞦	U+267A6 (U+267A6)	f0a69ea6
𦞧	U+267A7 (U+267A7)	f0a69ea7
𦞨	U+267A8 (U+267A8)	f0a69ea8
𦞩	U+267A9 (U+267A9)	f0a69ea9
𦞪	U+267AA (U+267AA)	f0a69eaa
𦞫	U+267AB (U+267AB)	f0a69eab
𦞬	U+267AC (U+267AC)	f0a69eac
𦞭	U+267AD (U+267AD)	f0a69ead
𦞮	U+267AE (U+267AE)	f0a69eae
𦞯	U+267AF (U+267AF)	f0a69eaf
𦞰	U+267B0 (U+267B0)	f0a69eb0
𦞱	U+267B1 (U+267B1)	f0a69eb1
𦞲	U+267B2 (U+267B2)	f0a69eb2
𦞳	U+267B3 (U+267B3)	f0a69eb3
