𦭯	U+26B6F (U+26B6F)	f0a6adaf
𦭰	U+26B70 (U+26B70)	f0a6adb0
𦭱	U+26B71 (U+26B71)	f0a6adb1
𦭲	U+26B72 (U+26B72)	f0a6adb2
𦭳	U+26B73 (U+26B73)	f0a6adb3
𦭴	U+26B74 (U+26B74)	f0a6adb4
𦭵	U+26B75 (U+26B75)	f0a6adb5
𦭶	U+26B76 (U+26B76)	f0a6adb6
𦭷	U+26B77 (U+26B77)	f0a6adb7
𦭸	U+26B78 (U+26B78)	f0a6adb8
𦭹	U+26B79 (U+26B79)	f0a6adb9
𦭺	U+26B7A (U+26B7A)	f0a6adba
𦭻	U+26B7B (U+26B7B)	f0a6adbb
𦭼	U+26B7C (U+26B7C)	f0a6adbc
𦭽	U+26B7D (U+26B7D)	f0a6adbd
𦭾	U+26B7E (U+26B7E)	f0a6adbe
𦭿	U+26B7F (U+26B7F)	f0a6adbf
𦮀	U+26B80 (U+26B80)	f0a6ae80
𦮁	U+26B81 (U+26B81)	f0a6ae81
𦮂	U+26B82 (U+26B82)	f0a6ae82
𦮃	U+26B83 (U+26B83)	f0a6ae83
𦮄	U+26B84 (U+26B84)	f0a6ae84
𦮅	U+26B85 (U+26B85)	f0a6ae85
𦮆	U+26B86 (U+26B86)	f0a6ae86
𦮇	U+26B87 (U+26B87)	f0a6ae87
𦮈	U+26B88 (U+26B88)	f0a6ae88
𦮉	U+26B89 (U+26B89)	f0a6ae89
𦮊	U+26B8A (U+26B8A)	f0a6ae8a
𦮋	U+26B8B (U+26B8B)	f0a6ae8b
𦮌	U+26B8C (U+26B8C)	f0a6ae8c
𦮍	U+26B8D (U+26B8D)	f0a6ae8d
𦮎	U+26B8E (U+26B8E)	f0a6ae8e
𦮏	U+26B8F (U+26B8F)	f0a6ae8f
𦮐	U+26B90 (U+26B90)	f0a6ae90
𦮑	U+26B91 (U+26B91)	f0a6ae91
𦮒	U+26B92 (U+26B92)	f0a6ae92
𦮓	U+26B93 (U+26B93)	f0a6ae93
𦮔	U+26B94 (U+26B94)	f0a6ae94
𦮕	U+26B95 (U+26B95)	f0a6ae95
𦮖	U+26B96 (U+26B96)	f0a6ae96
𦮗	U+26B97 (U+26B97)	f0a6ae97
𦮘	U+26B98 (U+26B98)	f0a6ae98
𦮙	U+26B99 (U+26B99)	f0a6ae99
𦮚	U+26B9A (U+26B9A)	f0a6ae9a
𦮛	U+26B9B (U+26B9B)	f0a6ae9b
𦮜	U+26B9C (U+26B9C)	f0a6ae9c
𦮝	U+26B9D (U+26B9D)	f0a6ae9d
𦮞	U+26B9E (U+26B9E)	f0a6ae9e
𦮟	U+26B9F (U+26B9F)	f0a6ae9f
𦮠	U+26BA0 (U+26BA0)	f0a6aea0
𦮡	U+26BA1 (U+26BA1)	f0a6aea1
𦮢	U+26BA2 (U+26BA2)	f0a6aea2
𦮣	U+26BA3 (U+26BA3)	f0a6aea3
𦮤	U+26BA4 (U+26BA4)	f0a6aea4
𦮥	U+26BA5 (U+26BA5)	f0a6aea5
𦮦	U+26BA6 (U+26BA6)	f0a6aea6
𦮧	U+26BA7 (U+26BA7)	f0a6aea7
𦮨	U+26BA8 (U+26BA8)	f0a6aea8
𦮩	U+26BA9 (U+26BA9)	f0a6aea9
𦮪	U+26BAA (U+26BAA)	f0a6aeaa
𦮫	U+26BAB (U+26BAB)	f0a6aeab
𦮬	U+26BAC (U+26BAC)	f0a6aeac
𦮭	U+26BAD (U+26BAD)	f0a6aead
𦮮	U+26BAE (U+26BAE)	f0a6aeae
𦮯	U+26BAF (U+26BAF)	f0a6aeaf
𦮰	U+26BB0 (U+26BB0)	f0a6aeb0
𦮱	U+26BB1 (U+26BB1)	f0a6aeb1
𦮲	U+26BB2 (U+26BB2)	f0a6aeb2
𦮳	U+26BB3 (U+26BB3)	f0a6aeb3
𦮴	U+26BB4 (U+26BB4)	f0a6aeb4
𦮵	U+26BB5 (U+26BB5)	f0a6aeb5
𦮶	U+26BB6 (U+26BB6)	f0a6aeb6
𦮷	U+26BB7 (U+26BB7)	f0a6aeb7
𦮸	U+26BB8 (U+26BB8)	f0a6aeb8
𦮹	U+26BB9 (U+26BB9)	f0a6aeb9
𦮺	U+26BBA (U+26BBA)	f0a6aeba
𦮻	U+26BBB (U+26BBB)	f0a6aebb
𦮼	U+26BBC (U+26BBC)	f0a6aebc
𦮽	U+26BBD (U+26BBD)	f0a6aebd
𦮾	U+26BBE (U+26BBE)	f0a6aebe
𦮿	U+26BBF (U+26BBF)	f0a6aebf
