𦽯	U+26F6F (U+26F6F)	f0a6bdaf
𦽰	U+26F70 (U+26F70)	f0a6bdb0
𦽱	U+26F71 (U+26F71)	f0a6bdb1
𦽲	U+26F72 (U+26F72)	f0a6bdb2
𦽳	U+26F73 (U+26F73)	f0a6bdb3
𦽴	U+26F74 (U+26F74)	f0a6bdb4
𦽵	U+26F75 (U+26F75)	f0a6bdb5
𦽶	U+26F76 (U+26F76)	f0a6bdb6
𦽷	U+26F77 (U+26F77)	f0a6bdb7
𦽸	U+26F78 (U+26F78)	f0a6bdb8
𦽹	U+26F79 (U+26F79)	f0a6bdb9
𦽺	U+26F7A (U+26F7A)	f0a6bdba
𦽻	U+26F7B (U+26F7B)	f0a6bdbb
𦽼	U+26F7C (U+26F7C)	f0a6bdbc
𦽽	U+26F7D (U+26F7D)	f0a6bdbd
𦽾	U+26F7E (U+26F7E)	f0a6bdbe
𦽿	U+26F7F (U+26F7F)	f0a6bdbf
𦾀	U+26F80 (U+26F80)	f0a6be80
𦾁	U+26F81 (U+26F81)	f0a6be81
𦾂	U+26F82 (U+26F82)	f0a6be82
𦾃	U+26F83 (U+26F83)	f0a6be83
𦾄	U+26F84 (U+26F84)	f0a6be84
𦾅	U+26F85 (U+26F85)	f0a6be85
𦾆	U+26F86 (U+26F86)	f0a6be86
𦾇	U+26F87 (U+26F87)	f0a6be87
𦾈	U+26F88 (U+26F88)	f0a6be88
𦾉	U+26F89 (U+26F89)	f0a6be89
𦾊	U+26F8A (U+26F8A)	f0a6be8a
𦾋	U+26F8B (U+26F8B)	f0a6be8b
𦾌	U+26F8C (U+26F8C)	f0a6be8c
𦾍	U+26F8D (U+26F8D)	f0a6be8d
𦾎	U+26F8E (U+26F8E)	f0a6be8e
𦾏	U+26F8F (U+26F8F)	f0a6be8f
𦾐	U+26F90 (U+26F90)	f0a6be90
𦾑	U+26F91 (U+26F91)	f0a6be91
𦾒	U+26F92 (U+26F92)	f0a6be92
𦾓	U+26F93 (U+26F93)	f0a6be93
𦾔	U+26F94 (U+26F94)	f0a6be94
𦾕	U+26F95 (U+26F95)	f0a6be95
𦾖	U+26F96 (U+26F96)	f0a6be96
𦾗	U+26F97 (U+26F97)	f0a6be97
𦾘	U+26F98 (U+26F98)	f0a6be98
𦾙	U+26F99 (U+26F99)	f0a6be99
𦾚	U+26F9A (U+26F9A)	f0a6be9a
𦾛	U+26F9B (U+26F9B)	f0a6be9b
𦾜	U+26F9C (U+26F9C)	f0a6be9c
𦾝	U+26F9D (U+26F9D)	f0a6be9d
𦾞	U+26F9E (U+26F9E)	f0a6be9e
𦾟	U+26F9F (U+26F9F)	f0a6be9f
𦾠	U+26FA0 (U+26FA0)	f0a6bea0
𦾡	U+26FA1 (U+26FA1)	f0a6bea1
𦾢	U+26FA2 (U+26FA2)	f0a6bea2
𦾣	U+26FA3 (U+26FA3)	f0a6bea3
𦾤	U+26FA4 (U+26FA4)	f0a6bea4
𦾥	U+26FA5 (U+26FA5)	f0a6bea5
𦾦	U+26FA6 (U+26FA6)	f0a6bea6
𦾧	U+26FA7 (U+26FA7)	f0a6bea7
𦾨	U+26FA8 (U+26FA8)	f0a6bea8
𦾩	U+26FA9 (U+26FA9)	f0a6bea9
𦾪	U+26FAA (U+26FAA)	f0a6beaa
𦾫	U+26FAB (U+26FAB)	f0a6beab
𦾬	U+26FAC (U+26FAC)	f0a6beac
𦾭	U+26FAD (U+26FAD)	f0a6bead
𦾮	U+26FAE (U+26FAE)	f0a6beae
𦾯	U+26FAF (U+26FAF)	f0a6beaf
𦾰	U+26FB0 (U+26FB0)	f0a6beb0
𦾱	U+26FB1 (U+26FB1)	f0a6beb1
𦾲	U+26FB2 (U+26FB2)	f0a6beb2
𦾳	U+26FB3 (U+26FB3)	f0a6beb3
𦾴	U+26FB4 (U+26FB4)	f0a6beb4
𦾵	U+26FB5 (U+26FB5)	f0a6beb5
𦾶	U+26FB6 (U+26FB6)	f0a6beb6
𦾷	U+26FB7 (U+26FB7)	f0a6beb7
𦾸	U+26FB8 (U+26FB8)	f0a6beb8
𦾹	U+26FB9 (U+26FB9)	f0a6beb9
𦾺	U+26FBA (U+26FBA)	f0a6beba
𦾻	U+26FBB (U+26FBB)	f0a6bebb
𦾼	U+26FBC (U+26FBC)	f0a6bebc
𦾽	U+26FBD (U+26FBD)	f0a6bebd
𦾾	U+26FBE (U+26FBE)	f0a6bebe
𦾿	U+26FBF (U+26FBF)	f0a6bebf
𦿀	U+26FC0 (U+26FC0)	f0a6bf80
𦿁	U+26FC1 (U+26FC1)	f0a6bf81
𦿂	U+26FC2 (U+26FC2)	f0a6bf82
𦿃	U+26FC3 (U+26FC3)	f0a6bf83
𦿄	U+26FC4 (U+26FC4)	f0a6bf84
𦿅	U+26FC5 (U+26FC5)	f0a6bf85
𦿆	U+26FC6 (U+26FC6)	f0a6bf86
𦿇	U+26FC7 (U+26FC7)	f0a6bf87
𦿈	U+26FC8 (U+26FC8)	f0a6bf88
𦿉	U+26FC9 (U+26FC9)	f0a6bf89
𦿊	U+26FCA (U+26FCA)	f0a6bf8a
𦿋	U+26FCB (U+26FCB)	f0a6bf8b
𦿌	U+26FCC (U+26FCC)	f0a6bf8c
𦿍	U+26FCD (U+26FCD)	f0a6bf8d
𦿎	U+26FCE (U+26FCE)	f0a6bf8e
𦿏	U+26FCF (U+26FCF)	f0a6bf8f
𦿐	U+26FD0 (U+26FD0)	f0a6bf90
𦿑	U+26FD1 (U+26FD1)	f0a6bf91
𦿒	U+26FD2 (U+26FD2)	f0a6bf92
𦿓	U+26FD3 (U+26FD3)	f0a6bf93
𦿔	U+26FD4 (U+26FD4)	f0a6bf94
𦿕	U+26FD5 (U+26FD5)	f0a6bf95
𦿖	U+26FD6 (U+26FD6)	f0a6bf96
𦿗	U+26FD7 (U+26FD7)	f0a6bf97
𦿘	U+26FD8 (U+26FD8)	f0a6bf98
𦿙	U+26FD9 (U+26FD9)	f0a6bf99
𦿚	U+26FDA (U+26FDA)	f0a6bf9a
𦿛	U+26FDB (U+26FDB)	f0a6bf9b
𦿜	U+26FDC (U+26FDC)	f0a6bf9c
𦿝	U+26FDD (U+26FDD)	f0a6bf9d
𦿞	U+26FDE (U+26FDE)	f0a6bf9e
𦿟	U+26FDF (U+26FDF)	f0a6bf9f
𦿠	U+26FE0 (U+26FE0)	f0a6bfa0
𦿡	U+26FE1 (U+26FE1)	f0a6bfa1
𦿢	U+26FE2 (U+26FE2)	f0a6bfa2
𦿣	U+26FE3 (U+26FE3)	f0a6bfa3
𦿤	U+26FE4 (U+26FE4)	f0a6bfa4
𦿥	U+26FE5 (U+26FE5)	f0a6bfa5
𦿦	U+26FE6 (U+26FE6)	f0a6bfa6
𦿧	U+26FE7 (U+26FE7)	f0a6bfa7
𦿨	U+26FE8 (U+26FE8)	f0a6bfa8
𦿩	U+26FE9 (U+26FE9)	f0a6bfa9
𦿪	U+26FEA (U+26FEA)	f0a6bfaa
𦿫	U+26FEB (U+26FEB)	f0a6bfab
𦿬	U+26FEC (U+26FEC)	f0a6bfac
𦿭	U+26FED (U+26FED)	f0a6bfad
𦿮	U+26FEE (U+26FEE)	f0a6bfae
𦿯	U+26FEF (U+26FEF)	f0a6bfaf
𦿰	U+26FF0 (U+26FF0)	f0a6bfb0
𦿱	U+26FF1 (U+26FF1)	f0a6bfb1
𦿲	U+26FF2 (U+26FF2)	f0a6bfb2
𦿳	U+26FF3 (U+26FF3)	f0a6bfb3
𦿴	U+26FF4 (U+26FF4)	f0a6bfb4
𦿵	U+26FF5 (U+26FF5)	f0a6bfb5
𦿶	U+26FF6 (U+26FF6)	f0a6bfb6
𦿷	U+26FF7 (U+26FF7)	f0a6bfb7
𦿸	U+26FF8 (U+26FF8)	f0a6bfb8
𦿹	U+26FF9 (U+26FF9)	f0a6bfb9
𦿺	U+26FFA (U+26FFA)	f0a6bfba
𦿻	U+26FFB (U+26FFB)	f0a6bfbb
𦿼	U+26FFC (U+26FFC)	f0a6bfbc
𦿽	U+26FFD (U+26FFD)	f0a6bfbd
𦿾	U+26FFE (U+26FFE)	f0a6bfbe
𦿿	U+26FFF (U+26FFF)	f0a6bfbf
𧀀	U+27000 (U+27000)	f0a78080
𧀁	U+27001 (U+27001)	f0a78081
𧀂	U+27002 (U+27002)	f0a78082
𧀃	U+27003 (U+27003)	f0a78083
𧀄	U+27004 (U+27004)	f0a78084
𧀅	U+27005 (U+27005)	f0a78085
𧀆	U+27006 (U+27006)	f0a78086
𧀇	U+27007 (U+27007)	f0a78087
𧀈	U+27008 (U+27008)	f0a78088
𧀉	U+27009 (U+27009)	f0a78089
𧀊	U+2700A (U+2700A)	f0a7808a
𧀋	U+2700B (U+2700B)	f0a7808b
𧀌	U+2700C (U+2700C)	f0a7808c
𧀍	U+2700D (U+2700D)	f0a7808d
𧀎	U+2700E (U+2700E)	f0a7808e
𧀏	U+2700F (U+2700F)	f0a7808f
𧀐	U+27010 (U+27010)	f0a78090
𧀑	U+27011 (U+27011)	f0a78091
𧀒	U+27012 (U+27012)	f0a78092
𧀓	U+27013 (U+27013)	f0a78093
𧀔	U+27014 (U+27014)	f0a78094
𧀕	U+27015 (U+27015)	f0a78095
𧀖	U+27016 (U+27016)	f0a78096
𧀗	U+27017 (U+27017)	f0a78097
𧀘	U+27018 (U+27018)	f0a78098
𧀙	U+27019 (U+27019)	f0a78099
𧀚	U+2701A (U+2701A)	f0a7809a
𧀛	U+2701B (U+2701B)	f0a7809b
𧀜	U+2701C (U+2701C)	f0a7809c
𧀝	U+2701D (U+2701D)	f0a7809d
𧀞	U+2701E (U+2701E)	f0a7809e
𧀟	U+2701F (U+2701F)	f0a7809f
𧀠	U+27020 (U+27020)	f0a780a0
𧀡	U+27021 (U+27021)	f0a780a1
𧀢	U+27022 (U+27022)	f0a780a2
𧀣	U+27023 (U+27023)	f0a780a3
𧀤	U+27024 (U+27024)	f0a780a4
𧀥	U+27025 (U+27025)	f0a780a5
𧀦	U+27026 (U+27026)	f0a780a6
𧀧	U+27027 (U+27027)	f0a780a7
𧀨	U+27028 (U+27028)	f0a780a8
𧀩	U+27029 (U+27029)	f0a780a9
𧀪	U+2702A (U+2702A)	f0a780aa
𧀫	U+2702B (U+2702B)	f0a780ab
𧀬	U+2702C (U+2702C)	f0a780ac
𧀭	U+2702D (U+2702D)	f0a780ad
𧀮	U+2702E (U+2702E)	f0a780ae
𧀯	U+2702F (U+2702F)	f0a780af
𧀰	U+27030 (U+27030)	f0a780b0
𧀱	U+27031 (U+27031)	f0a780b1
𧀲	U+27032 (U+27032)	f0a780b2
𧀳	U+27033 (U+27033)	f0a780b3
𧀴	U+27034 (U+27034)	f0a780b4
𧀵	U+27035 (U+27035)	f0a780b5
𧀶	U+27036 (U+27036)	f0a780b6
𧀷	U+27037 (U+27037)	f0a780b7
𧀸	U+27038 (U+27038)	f0a780b8
𧀹	U+27039 (U+27039)	f0a780b9
𧀺	U+2703A (U+2703A)	f0a780ba
𧀻	U+2703B (U+2703B)	f0a780bb
𧀼	U+2703C (U+2703C)	f0a780bc
𧀽	U+2703D (U+2703D)	f0a780bd
𧀾	U+2703E (U+2703E)	f0a780be
𧀿	U+2703F (U+2703F)	f0a780bf
𧁀	U+27040 (U+27040)	f0a78180
𧁁	U+27041 (U+27041)	f0a78181
𧁂	U+27042 (U+27042)	f0a78182
𧁃	U+27043 (U+27043)	f0a78183
𧁄	U+27044 (U+27044)	f0a78184
𧁅	U+27045 (U+27045)	f0a78185
𧁆	U+27046 (U+27046)	f0a78186
𧁇	U+27047 (U+27047)	f0a78187
𧁈	U+27048 (U+27048)	f0a78188
𧁉	U+27049 (U+27049)	f0a78189
𧁊	U+2704A (U+2704A)	f0a7818a
𧁋	U+2704B (U+2704B)	f0a7818b
𧁌	U+2704C (U+2704C)	f0a7818c
𧁍	U+2704D (U+2704D)	f0a7818d
𧁎	U+2704E (U+2704E)	f0a7818e
𧁏	U+2704F (U+2704F)	f0a7818f
𧁐	U+27050 (U+27050)	f0a78190
𧁑	U+27051 (U+27051)	f0a78191
𧁒	U+27052 (U+27052)	f0a78192
𧁓	U+27053 (U+27053)	f0a78193
𧁔	U+27054 (U+27054)	f0a78194
𧁕	U+27055 (U+27055)	f0a78195
𧁖	U+27056 (U+27056)	f0a78196
𧁗	U+27057 (U+27057)	f0a78197
𧁘	U+27058 (U+27058)	f0a78198
𧁙	U+27059 (U+27059)	f0a78199
𧁚	U+2705A (U+2705A)	f0a7819a
𧁛	U+2705B (U+2705B)	f0a7819b
𧁜	U+2705C (U+2705C)	f0a7819c
𧁝	U+2705D (U+2705D)	f0a7819d
𧁞	U+2705E (U+2705E)	f0a7819e
𧁟	U+2705F (U+2705F)	f0a7819f
𧁠	U+27060 (U+27060)	f0a781a0
𧁡	U+27061 (U+27061)	f0a781a1
𧁢	U+27062 (U+27062)	f0a781a2
𧁣	U+27063 (U+27063)	f0a781a3
𧁤	U+27064 (U+27064)	f0a781a4
𧁥	U+27065 (U+27065)	f0a781a5
𧁦	U+27066 (U+27066)	f0a781a6
𧁧	U+27067 (U+27067)	f0a781a7
𧁨	U+27068 (U+27068)	f0a781a8
