𧍯	U+2736F (U+2736F)	f0a78daf
𧍰	U+27370 (U+27370)	f0a78db0
𧍱	U+27371 (U+27371)	f0a78db1
𧍲	U+27372 (U+27372)	f0a78db2
𧍳	U+27373 (U+27373)	f0a78db3
𧍴	U+27374 (U+27374)	f0a78db4
𧍵	U+27375 (U+27375)	f0a78db5
𧍶	U+27376 (U+27376)	f0a78db6
𧍷	U+27377 (U+27377)	f0a78db7
𧍸	U+27378 (U+27378)	f0a78db8
𧍹	U+27379 (U+27379)	f0a78db9
𧍺	U+2737A (U+2737A)	f0a78dba
𧍻	U+2737B (U+2737B)	f0a78dbb
𧍼	U+2737C (U+2737C)	f0a78dbc
𧍽	U+2737D (U+2737D)	f0a78dbd
𧍾	U+2737E (U+2737E)	f0a78dbe
𧍿	U+2737F (U+2737F)	f0a78dbf
𧎀	U+27380 (U+27380)	f0a78e80
𧎁	U+27381 (U+27381)	f0a78e81
𧎂	U+27382 (U+27382)	f0a78e82
𧎃	U+27383 (U+27383)	f0a78e83
𧎄	U+27384 (U+27384)	f0a78e84
𧎅	U+27385 (U+27385)	f0a78e85
𧎆	U+27386 (U+27386)	f0a78e86
𧎇	U+27387 (U+27387)	f0a78e87
𧎈	U+27388 (U+27388)	f0a78e88
𧎉	U+27389 (U+27389)	f0a78e89
𧎊	U+2738A (U+2738A)	f0a78e8a
𧎋	U+2738B (U+2738B)	f0a78e8b
𧎌	U+2738C (U+2738C)	f0a78e8c
𧎍	U+2738D (U+2738D)	f0a78e8d
𧎎	U+2738E (U+2738E)	f0a78e8e
𧎏	U+2738F (U+2738F)	f0a78e8f
𧎐	U+27390 (U+27390)	f0a78e90
𧎑	U+27391 (U+27391)	f0a78e91
𧎒	U+27392 (U+27392)	f0a78e92
𧎓	U+27393 (U+27393)	f0a78e93
𧎔	U+27394 (U+27394)	f0a78e94
𧎕	U+27395 (U+27395)	f0a78e95
𧎖	U+27396 (U+27396)	f0a78e96
𧎗	U+27397 (U+27397)	f0a78e97
𧎘	U+27398 (U+27398)	f0a78e98
𧎙	U+27399 (U+27399)	f0a78e99
𧎚	U+2739A (U+2739A)	f0a78e9a
𧎛	U+2739B (U+2739B)	f0a78e9b
𧎜	U+2739C (U+2739C)	f0a78e9c
𧎝	U+2739D (U+2739D)	f0a78e9d
𧎞	U+2739E (U+2739E)	f0a78e9e
𧎟	U+2739F (U+2739F)	f0a78e9f
𧎠	U+273A0 (U+273A0)	f0a78ea0
𧎡	U+273A1 (U+273A1)	f0a78ea1
𧎢	U+273A2 (U+273A2)	f0a78ea2
𧎣	U+273A3 (U+273A3)	f0a78ea3
