𧝯	U+2776F (U+2776F)	f0a79daf
𧝰	U+27770 (U+27770)	f0a79db0
𧝱	U+27771 (U+27771)	f0a79db1
𧝲	U+27772 (U+27772)	f0a79db2
𧝳	U+27773 (U+27773)	f0a79db3
𧝴	U+27774 (U+27774)	f0a79db4
𧝵	U+27775 (U+27775)	f0a79db5
𧝶	U+27776 (U+27776)	f0a79db6
𧝷	U+27777 (U+27777)	f0a79db7
𧝸	U+27778 (U+27778)	f0a79db8
𧝹	U+27779 (U+27779)	f0a79db9
𧝺	U+2777A (U+2777A)	f0a79dba
𧝻	U+2777B (U+2777B)	f0a79dbb
𧝼	U+2777C (U+2777C)	f0a79dbc
𧝽	U+2777D (U+2777D)	f0a79dbd
𧝾	U+2777E (U+2777E)	f0a79dbe
𧝿	U+2777F (U+2777F)	f0a79dbf
𧞀	U+27780 (U+27780)	f0a79e80
𧞁	U+27781 (U+27781)	f0a79e81
𧞂	U+27782 (U+27782)	f0a79e82
𧞃	U+27783 (U+27783)	f0a79e83
𧞄	U+27784 (U+27784)	f0a79e84
𧞅	U+27785 (U+27785)	f0a79e85
𧞆	U+27786 (U+27786)	f0a79e86
𧞇	U+27787 (U+27787)	f0a79e87
𧞈	U+27788 (U+27788)	f0a79e88
𧞉	U+27789 (U+27789)	f0a79e89
𧞊	U+2778A (U+2778A)	f0a79e8a
𧞋	U+2778B (U+2778B)	f0a79e8b
𧞌	U+2778C (U+2778C)	f0a79e8c
𧞍	U+2778D (U+2778D)	f0a79e8d
𧞎	U+2778E (U+2778E)	f0a79e8e
𧞏	U+2778F (U+2778F)	f0a79e8f
𧞐	U+27790 (U+27790)	f0a79e90
𧞑	U+27791 (U+27791)	f0a79e91
𧞒	U+27792 (U+27792)	f0a79e92
𧞓	U+27793 (U+27793)	f0a79e93
𧞔	U+27794 (U+27794)	f0a79e94
𧞕	U+27795 (U+27795)	f0a79e95
𧞖	U+27796 (U+27796)	f0a79e96
𧞗	U+27797 (U+27797)	f0a79e97
𧞘	U+27798 (U+27798)	f0a79e98
𧞙	U+27799 (U+27799)	f0a79e99
𧞚	U+2779A (U+2779A)	f0a79e9a
𧞛	U+2779B (U+2779B)	f0a79e9b
𧞜	U+2779C (U+2779C)	f0a79e9c
𧞝	U+2779D (U+2779D)	f0a79e9d
𧞞	U+2779E (U+2779E)	f0a79e9e
𧞟	U+2779F (U+2779F)	f0a79e9f
𧞠	U+277A0 (U+277A0)	f0a79ea0
𧞡	U+277A1 (U+277A1)	f0a79ea1
𧞢	U+277A2 (U+277A2)	f0a79ea2
𧞣	U+277A3 (U+277A3)	f0a79ea3
𧞤	U+277A4 (U+277A4)	f0a79ea4
𧞥	U+277A5 (U+277A5)	f0a79ea5
𧞦	U+277A6 (U+277A6)	f0a79ea6
𧞧	U+277A7 (U+277A7)	f0a79ea7
𧞨	U+277A8 (U+277A8)	f0a79ea8
𧞩	U+277A9 (U+277A9)	f0a79ea9
𧞪	old or badly fitting clothes; untidy (U+277AA)	f0a79eaa
𧞫	U+277AB (U+277AB)	f0a79eab
𧞬	U+277AC (U+277AC)	f0a79eac
𧞭	U+277AD (U+277AD)	f0a79ead
𧞮	U+277AE (U+277AE)	f0a79eae
𧞯	U+277AF (U+277AF)	f0a79eaf
𧞰	U+277B0 (U+277B0)	f0a79eb0
𧞱	U+277B1 (U+277B1)	f0a79eb1
𧞲	U+277B2 (U+277B2)	f0a79eb2
𧞳	U+277B3 (U+277B3)	f0a79eb3
𧞴	U+277B4 (U+277B4)	f0a79eb4
𧞵	U+277B5 (U+277B5)	f0a79eb5
𧞶	U+277B6 (U+277B6)	f0a79eb6
𧞷	U+277B7 (U+277B7)	f0a79eb7
𧞸	U+277B8 (U+277B8)	f0a79eb8
𧞹	U+277B9 (U+277B9)	f0a79eb9
𧞺	U+277BA (U+277BA)	f0a79eba
𧞻	U+277BB (U+277BB)	f0a79ebb
𧞼	U+277BC (U+277BC)	f0a79ebc
𧞽	U+277BD (U+277BD)	f0a79ebd
𧞾	U+277BE (U+277BE)	f0a79ebe
𧞿	U+277BF (U+277BF)	f0a79ebf
𧟀	U+277C0 (U+277C0)	f0a79f80
𧟁	U+277C1 (U+277C1)	f0a79f81
𧟂	U+277C2 (U+277C2)	f0a79f82
𧟃	U+277C3 (U+277C3)	f0a79f83
𧟄	U+277C4 (U+277C4)	f0a79f84
𧟅	U+277C5 (U+277C5)	f0a79f85
𧟆	U+277C6 (U+277C6)	f0a79f86
𧟇	U+277C7 (U+277C7)	f0a79f87
𧟈	U+277C8 (U+277C8)	f0a79f88
𧟉	U+277C9 (U+277C9)	f0a79f89
𧟊	U+277CA (U+277CA)	f0a79f8a
𧟋	U+277CB (U+277CB)	f0a79f8b
𧟌	U+277CC (U+277CC)	f0a79f8c
𧟍	U+277CD (U+277CD)	f0a79f8d
𧟎	U+277CE (U+277CE)	f0a79f8e
𧟏	U+277CF (U+277CF)	f0a79f8f
𧟐	U+277D0 (U+277D0)	f0a79f90
𧟑	U+277D1 (U+277D1)	f0a79f91
𧟒	U+277D2 (U+277D2)	f0a79f92
𧟓	U+277D3 (U+277D3)	f0a79f93
𧟔	U+277D4 (U+277D4)	f0a79f94
𧟕	U+277D5 (U+277D5)	f0a79f95
𧟖	U+277D6 (U+277D6)	f0a79f96
𧟗	U+277D7 (U+277D7)	f0a79f97
𧟘	U+277D8 (U+277D8)	f0a79f98
𧟙	U+277D9 (U+277D9)	f0a79f99
𧟚	U+277DA (U+277DA)	f0a79f9a
𧟛	U+277DB (U+277DB)	f0a79f9b
𧟜	U+277DC (U+277DC)	f0a79f9c
𧟝	U+277DD (U+277DD)	f0a79f9d
𧟞	U+277DE (U+277DE)	f0a79f9e
𧟟	U+277DF (U+277DF)	f0a79f9f
𧟠	U+277E0 (U+277E0)	f0a79fa0
𧟡	U+277E1 (U+277E1)	f0a79fa1
𧟢	U+277E2 (U+277E2)	f0a79fa2
𧟣	U+277E3 (U+277E3)	f0a79fa3
𧟤	U+277E4 (U+277E4)	f0a79fa4
𧟥	U+277E5 (U+277E5)	f0a79fa5
𧟦	U+277E6 (U+277E6)	f0a79fa6
𧟧	U+277E7 (U+277E7)	f0a79fa7
𧟨	U+277E8 (U+277E8)	f0a79fa8
𧟩	U+277E9 (U+277E9)	f0a79fa9
𧟪	U+277EA (U+277EA)	f0a79faa
𧟫	U+277EB (U+277EB)	f0a79fab
𧟬	U+277EC (U+277EC)	f0a79fac
𧟭	U+277ED (U+277ED)	f0a79fad
𧟮	U+277EE (U+277EE)	f0a79fae
𧟯	U+277EF (U+277EF)	f0a79faf
𧟰	U+277F0 (U+277F0)	f0a79fb0
𧟱	U+277F1 (U+277F1)	f0a79fb1
𧟲	U+277F2 (U+277F2)	f0a79fb2
𧟳	U+277F3 (U+277F3)	f0a79fb3
𧟴	U+277F4 (U+277F4)	f0a79fb4
𧟵	U+277F5 (U+277F5)	f0a79fb5
𧟶	U+277F6 (U+277F6)	f0a79fb6
𧟷	U+277F7 (U+277F7)	f0a79fb7
𧟸	U+277F8 (U+277F8)	f0a79fb8
𧟹	U+277F9 (U+277F9)	f0a79fb9
𧟺	U+277FA (U+277FA)	f0a79fba
𧟻	U+277FB (U+277FB)	f0a79fbb
𧟼	U+277FC (U+277FC)	f0a79fbc
𧟽	U+277FD (U+277FD)	f0a79fbd
𧟾	U+277FE (U+277FE)	f0a79fbe
𧟿	U+277FF (U+277FF)	f0a79fbf
𧠀	U+27800 (U+27800)	f0a7a080
𧠁	U+27801 (U+27801)	f0a7a081
𧠂	U+27802 (U+27802)	f0a7a082
𧠃	U+27803 (U+27803)	f0a7a083
𧠄	U+27804 (U+27804)	f0a7a084
𧠅	U+27805 (U+27805)	f0a7a085
𧠆	U+27806 (U+27806)	f0a7a086
𧠇	U+27807 (U+27807)	f0a7a087
𧠈	U+27808 (U+27808)	f0a7a088
𧠉	U+27809 (U+27809)	f0a7a089
𧠊	U+2780A (U+2780A)	f0a7a08a
𧠋	U+2780B (U+2780B)	f0a7a08b
𧠌	U+2780C (U+2780C)	f0a7a08c
𧠍	U+2780D (U+2780D)	f0a7a08d
𧠎	U+2780E (U+2780E)	f0a7a08e
𧠏	U+2780F (U+2780F)	f0a7a08f
𧠐	U+27810 (U+27810)	f0a7a090
𧠑	U+27811 (U+27811)	f0a7a091
𧠒	U+27812 (U+27812)	f0a7a092
𧠓	U+27813 (U+27813)	f0a7a093
𧠔	U+27814 (U+27814)	f0a7a094
𧠕	U+27815 (U+27815)	f0a7a095
𧠖	U+27816 (U+27816)	f0a7a096
𧠗	U+27817 (U+27817)	f0a7a097
𧠘	U+27818 (U+27818)	f0a7a098
𧠙	U+27819 (U+27819)	f0a7a099
𧠚	U+2781A (U+2781A)	f0a7a09a
𧠛	U+2781B (U+2781B)	f0a7a09b
𧠜	U+2781C (U+2781C)	f0a7a09c
𧠝	U+2781D (U+2781D)	f0a7a09d
𧠞	U+2781E (U+2781E)	f0a7a09e
𧠟	U+2781F (U+2781F)	f0a7a09f
𧠠	U+27820 (U+27820)	f0a7a0a0
𧠡	U+27821 (U+27821)	f0a7a0a1
𧠢	U+27822 (U+27822)	f0a7a0a2
𧠣	U+27823 (U+27823)	f0a7a0a3
𧠤	U+27824 (U+27824)	f0a7a0a4
𧠥	U+27825 (U+27825)	f0a7a0a5
𧠦	U+27826 (U+27826)	f0a7a0a6
𧠧	U+27827 (U+27827)	f0a7a0a7
𧠨	U+27828 (U+27828)	f0a7a0a8
𧠩	U+27829 (U+27829)	f0a7a0a9
𧠪	U+2782A (U+2782A)	f0a7a0aa
𧠫	U+2782B (U+2782B)	f0a7a0ab
𧠬	U+2782C (U+2782C)	f0a7a0ac
𧠭	U+2782D (U+2782D)	f0a7a0ad
𧠮	U+2782E (U+2782E)	f0a7a0ae
𧠯	U+2782F (U+2782F)	f0a7a0af
𧠰	U+27830 (U+27830)	f0a7a0b0
𧠱	U+27831 (U+27831)	f0a7a0b1
𧠲	U+27832 (U+27832)	f0a7a0b2
𧠳	U+27833 (U+27833)	f0a7a0b3
𧠴	U+27834 (U+27834)	f0a7a0b4
𧠵	U+27835 (U+27835)	f0a7a0b5
𧠶	U+27836 (U+27836)	f0a7a0b6
𧠷	U+27837 (U+27837)	f0a7a0b7
𧠸	U+27838 (U+27838)	f0a7a0b8
𧠹	U+27839 (U+27839)	f0a7a0b9
𧠺	U+2783A (U+2783A)	f0a7a0ba
𧠻	U+2783B (U+2783B)	f0a7a0bb
𧠼	U+2783C (U+2783C)	f0a7a0bc
𧠽	U+2783D (U+2783D)	f0a7a0bd
𧠾	U+2783E (U+2783E)	f0a7a0be
𧠿	U+2783F (U+2783F)	f0a7a0bf
𧡀	U+27840 (U+27840)	f0a7a180
