𧭯	U+27B6F (U+27B6F)	f0a7adaf
𧭰	U+27B70 (U+27B70)	f0a7adb0
𧭱	U+27B71 (U+27B71)	f0a7adb1
𧭲	U+27B72 (U+27B72)	f0a7adb2
𧭳	U+27B73 (U+27B73)	f0a7adb3
𧭴	U+27B74 (U+27B74)	f0a7adb4
𧭵	U+27B75 (U+27B75)	f0a7adb5
𧭶	U+27B76 (U+27B76)	f0a7adb6
𧭷	U+27B77 (U+27B77)	f0a7adb7
𧭸	U+27B78 (U+27B78)	f0a7adb8
𧭹	U+27B79 (U+27B79)	f0a7adb9
𧭺	U+27B7A (U+27B7A)	f0a7adba
𧭻	U+27B7B (U+27B7B)	f0a7adbb
𧭼	U+27B7C (U+27B7C)	f0a7adbc
𧭽	U+27B7D (U+27B7D)	f0a7adbd
𧭾	U+27B7E (U+27B7E)	f0a7adbe
𧭿	U+27B7F (U+27B7F)	f0a7adbf
𧮀	U+27B80 (U+27B80)	f0a7ae80
𧮁	U+27B81 (U+27B81)	f0a7ae81
𧮂	U+27B82 (U+27B82)	f0a7ae82
𧮃	U+27B83 (U+27B83)	f0a7ae83
𧮄	U+27B84 (U+27B84)	f0a7ae84
𧮅	U+27B85 (U+27B85)	f0a7ae85
𧮆	U+27B86 (U+27B86)	f0a7ae86
𧮇	U+27B87 (U+27B87)	f0a7ae87
𧮈	U+27B88 (U+27B88)	f0a7ae88
𧮉	U+27B89 (U+27B89)	f0a7ae89
𧮊	U+27B8A (U+27B8A)	f0a7ae8a
𧮋	U+27B8B (U+27B8B)	f0a7ae8b
𧮌	U+27B8C (U+27B8C)	f0a7ae8c
𧮍	U+27B8D (U+27B8D)	f0a7ae8d
𧮎	U+27B8E (U+27B8E)	f0a7ae8e
𧮏	U+27B8F (U+27B8F)	f0a7ae8f
𧮐	U+27B90 (U+27B90)	f0a7ae90
𧮑	U+27B91 (U+27B91)	f0a7ae91
𧮒	U+27B92 (U+27B92)	f0a7ae92
𧮓	U+27B93 (U+27B93)	f0a7ae93
𧮔	U+27B94 (U+27B94)	f0a7ae94
𧮕	U+27B95 (U+27B95)	f0a7ae95
𧮖	U+27B96 (U+27B96)	f0a7ae96
𧮗	U+27B97 (U+27B97)	f0a7ae97
𧮘	U+27B98 (U+27B98)	f0a7ae98
𧮙	U+27B99 (U+27B99)	f0a7ae99
𧮚	U+27B9A (U+27B9A)	f0a7ae9a
𧮛	U+27B9B (U+27B9B)	f0a7ae9b
𧮜	U+27B9C (U+27B9C)	f0a7ae9c
𧮝	U+27B9D (U+27B9D)	f0a7ae9d
𧮞	U+27B9E (U+27B9E)	f0a7ae9e
𧮟	U+27B9F (U+27B9F)	f0a7ae9f
𧮠	U+27BA0 (U+27BA0)	f0a7aea0
𧮡	U+27BA1 (U+27BA1)	f0a7aea1
𧮢	U+27BA2 (U+27BA2)	f0a7aea2
𧮣	U+27BA3 (U+27BA3)	f0a7aea3
𧮤	U+27BA4 (U+27BA4)	f0a7aea4
𧮥	U+27BA5 (U+27BA5)	f0a7aea5
𧮦	U+27BA6 (U+27BA6)	f0a7aea6
𧮧	U+27BA7 (U+27BA7)	f0a7aea7
𧮨	U+27BA8 (U+27BA8)	f0a7aea8
𧮩	U+27BA9 (U+27BA9)	f0a7aea9
𧮪	U+27BAA (U+27BAA)	f0a7aeaa
𧮫	U+27BAB (U+27BAB)	f0a7aeab
𧮬	U+27BAC (U+27BAC)	f0a7aeac
𧮭	U+27BAD (U+27BAD)	f0a7aead
𧮮	U+27BAE (U+27BAE)	f0a7aeae
𧮯	U+27BAF (U+27BAF)	f0a7aeaf
𧮰	U+27BB0 (U+27BB0)	f0a7aeb0
𧮱	U+27BB1 (U+27BB1)	f0a7aeb1
𧮲	U+27BB2 (U+27BB2)	f0a7aeb2
𧮳	U+27BB3 (U+27BB3)	f0a7aeb3
𧮴	U+27BB4 (U+27BB4)	f0a7aeb4
𧮵	U+27BB5 (U+27BB5)	f0a7aeb5
𧮶	U+27BB6 (U+27BB6)	f0a7aeb6
𧮷	U+27BB7 (U+27BB7)	f0a7aeb7
𧮸	U+27BB8 (U+27BB8)	f0a7aeb8
𧮹	U+27BB9 (U+27BB9)	f0a7aeb9
𧮺	U+27BBA (U+27BBA)	f0a7aeba
𧮻	U+27BBB (U+27BBB)	f0a7aebb
𧮼	U+27BBC (U+27BBC)	f0a7aebc
𧮽	U+27BBD (U+27BBD)	f0a7aebd
𧮾	U+27BBE (U+27BBE)	f0a7aebe
𧮿	U+27BBF (U+27BBF)	f0a7aebf
𧯀	U+27BC0 (U+27BC0)	f0a7af80
𧯁	U+27BC1 (U+27BC1)	f0a7af81
𧯂	U+27BC2 (U+27BC2)	f0a7af82
𧯃	U+27BC3 (U+27BC3)	f0a7af83
𧯄	U+27BC4 (U+27BC4)	f0a7af84
𧯅	U+27BC5 (U+27BC5)	f0a7af85
𧯆	U+27BC6 (U+27BC6)	f0a7af86
𧯇	U+27BC7 (U+27BC7)	f0a7af87
𧯈	U+27BC8 (U+27BC8)	f0a7af88
𧯉	U+27BC9 (U+27BC9)	f0a7af89
𧯊	U+27BCA (U+27BCA)	f0a7af8a
𧯋	U+27BCB (U+27BCB)	f0a7af8b
𧯌	U+27BCC (U+27BCC)	f0a7af8c
𧯍	U+27BCD (U+27BCD)	f0a7af8d
𧯎	U+27BCE (U+27BCE)	f0a7af8e
𧯏	U+27BCF (U+27BCF)	f0a7af8f
𧯐	U+27BD0 (U+27BD0)	f0a7af90
𧯑	U+27BD1 (U+27BD1)	f0a7af91
𧯒	U+27BD2 (U+27BD2)	f0a7af92
𧯓	U+27BD3 (U+27BD3)	f0a7af93
𧯔	U+27BD4 (U+27BD4)	f0a7af94
𧯕	U+27BD5 (U+27BD5)	f0a7af95
𧯖	U+27BD6 (U+27BD6)	f0a7af96
𧯗	U+27BD7 (U+27BD7)	f0a7af97
𧯘	U+27BD8 (U+27BD8)	f0a7af98
𧯙	U+27BD9 (U+27BD9)	f0a7af99
𧯚	U+27BDA (U+27BDA)	f0a7af9a
𧯛	U+27BDB (U+27BDB)	f0a7af9b
𧯜	U+27BDC (U+27BDC)	f0a7af9c
𧯝	U+27BDD (U+27BDD)	f0a7af9d
𧯞	U+27BDE (U+27BDE)	f0a7af9e
𧯟	U+27BDF (U+27BDF)	f0a7af9f
𧯠	U+27BE0 (U+27BE0)	f0a7afa0
𧯡	U+27BE1 (U+27BE1)	f0a7afa1
𧯢	U+27BE2 (U+27BE2)	f0a7afa2
𧯣	U+27BE3 (U+27BE3)	f0a7afa3
𧯤	U+27BE4 (U+27BE4)	f0a7afa4
𧯥	U+27BE5 (U+27BE5)	f0a7afa5
𧯦	U+27BE6 (U+27BE6)	f0a7afa6
𧯧	U+27BE7 (U+27BE7)	f0a7afa7
𧯨	U+27BE8 (U+27BE8)	f0a7afa8
𧯩	U+27BE9 (U+27BE9)	f0a7afa9
𧯪	U+27BEA (U+27BEA)	f0a7afaa
𧯫	U+27BEB (U+27BEB)	f0a7afab
𧯬	U+27BEC (U+27BEC)	f0a7afac
𧯭	U+27BED (U+27BED)	f0a7afad
𧯮	U+27BEE (U+27BEE)	f0a7afae
𧯯	U+27BEF (U+27BEF)	f0a7afaf
𧯰	U+27BF0 (U+27BF0)	f0a7afb0
𧯱	U+27BF1 (U+27BF1)	f0a7afb1
𧯲	U+27BF2 (U+27BF2)	f0a7afb2
𧯳	U+27BF3 (U+27BF3)	f0a7afb3
𧯴	U+27BF4 (U+27BF4)	f0a7afb4
𧯵	U+27BF5 (U+27BF5)	f0a7afb5
𧯶	U+27BF6 (U+27BF6)	f0a7afb6
𧯷	U+27BF7 (U+27BF7)	f0a7afb7
𧯸	U+27BF8 (U+27BF8)	f0a7afb8
𧯹	U+27BF9 (U+27BF9)	f0a7afb9
𧯺	U+27BFA (U+27BFA)	f0a7afba
𧯻	U+27BFB (U+27BFB)	f0a7afbb
𧯼	U+27BFC (U+27BFC)	f0a7afbc
𧯽	U+27BFD (U+27BFD)	f0a7afbd
𧯾	U+27BFE (U+27BFE)	f0a7afbe
𧯿	U+27BFF (U+27BFF)	f0a7afbf
𧰀	U+27C00 (U+27C00)	f0a7b080
𧰁	U+27C01 (U+27C01)	f0a7b081
𧰂	U+27C02 (U+27C02)	f0a7b082
𧰃	U+27C03 (U+27C03)	f0a7b083
𧰄	U+27C04 (U+27C04)	f0a7b084
𧰅	U+27C05 (U+27C05)	f0a7b085
𧰆	U+27C06 (U+27C06)	f0a7b086
𧰇	U+27C07 (U+27C07)	f0a7b087
𧰈	U+27C08 (U+27C08)	f0a7b088
𧰉	U+27C09 (U+27C09)	f0a7b089
