𧽯	U+27F6F (U+27F6F)	f0a7bdaf
𧽰	U+27F70 (U+27F70)	f0a7bdb0
𧽱	U+27F71 (U+27F71)	f0a7bdb1
𧽲	U+27F72 (U+27F72)	f0a7bdb2
𧽳	U+27F73 (U+27F73)	f0a7bdb3
𧽴	U+27F74 (U+27F74)	f0a7bdb4
𧽵	U+27F75 (U+27F75)	f0a7bdb5
𧽶	U+27F76 (U+27F76)	f0a7bdb6
𧽷	U+27F77 (U+27F77)	f0a7bdb7
𧽸	to step, jump (U+27F78)	f0a7bdb8
𧽹	U+27F79 (U+27F79)	f0a7bdb9
𧽺	U+27F7A (U+27F7A)	f0a7bdba
𧽻	U+27F7B (U+27F7B)	f0a7bdbb
𧽼	U+27F7C (U+27F7C)	f0a7bdbc
𧽽	U+27F7D (U+27F7D)	f0a7bdbd
𧽾	U+27F7E (U+27F7E)	f0a7bdbe
𧽿	U+27F7F (U+27F7F)	f0a7bdbf
𧾀	U+27F80 (U+27F80)	f0a7be80
𧾁	U+27F81 (U+27F81)	f0a7be81
𧾂	U+27F82 (U+27F82)	f0a7be82
𧾃	U+27F83 (U+27F83)	f0a7be83
𧾄	U+27F84 (U+27F84)	f0a7be84
𧾅	U+27F85 (U+27F85)	f0a7be85
𧾆	U+27F86 (U+27F86)	f0a7be86
𧾇	U+27F87 (U+27F87)	f0a7be87
𧾈	U+27F88 (U+27F88)	f0a7be88
𧾉	U+27F89 (U+27F89)	f0a7be89
𧾊	U+27F8A (U+27F8A)	f0a7be8a
𧾋	U+27F8B (U+27F8B)	f0a7be8b
𧾌	U+27F8C (U+27F8C)	f0a7be8c
𧾍	U+27F8D (U+27F8D)	f0a7be8d
𧾎	U+27F8E (U+27F8E)	f0a7be8e
𧾏	U+27F8F (U+27F8F)	f0a7be8f
𧾐	U+27F90 (U+27F90)	f0a7be90
𧾑	U+27F91 (U+27F91)	f0a7be91
𧾒	U+27F92 (U+27F92)	f0a7be92
𧾓	U+27F93 (U+27F93)	f0a7be93
𧾔	U+27F94 (U+27F94)	f0a7be94
𧾕	U+27F95 (U+27F95)	f0a7be95
𧾖	U+27F96 (U+27F96)	f0a7be96
𧾗	U+27F97 (U+27F97)	f0a7be97
𧾘	U+27F98 (U+27F98)	f0a7be98
𧾙	U+27F99 (U+27F99)	f0a7be99
𧾚	U+27F9A (U+27F9A)	f0a7be9a
𧾛	U+27F9B (U+27F9B)	f0a7be9b
𧾜	U+27F9C (U+27F9C)	f0a7be9c
𧾝	U+27F9D (U+27F9D)	f0a7be9d
𧾞	U+27F9E (U+27F9E)	f0a7be9e
𧾟	U+27F9F (U+27F9F)	f0a7be9f
𧾠	U+27FA0 (U+27FA0)	f0a7bea0
𧾡	U+27FA1 (U+27FA1)	f0a7bea1
𧾢	U+27FA2 (U+27FA2)	f0a7bea2
𧾣	U+27FA3 (U+27FA3)	f0a7bea3
𧾤	U+27FA4 (U+27FA4)	f0a7bea4
𧾥	U+27FA5 (U+27FA5)	f0a7bea5
𧾦	U+27FA6 (U+27FA6)	f0a7bea6
𧾧	U+27FA7 (U+27FA7)	f0a7bea7
𧾨	U+27FA8 (U+27FA8)	f0a7bea8
𧾩	U+27FA9 (U+27FA9)	f0a7bea9
𧾪	U+27FAA (U+27FAA)	f0a7beaa
𧾫	U+27FAB (U+27FAB)	f0a7beab
𧾬	U+27FAC (U+27FAC)	f0a7beac
𧾭	U+27FAD (U+27FAD)	f0a7bead
𧾮	U+27FAE (U+27FAE)	f0a7beae
𧾯	U+27FAF (U+27FAF)	f0a7beaf
𧾰	U+27FB0 (U+27FB0)	f0a7beb0
𧾱	U+27FB1 (U+27FB1)	f0a7beb1
𧾲	U+27FB2 (U+27FB2)	f0a7beb2
𧾳	U+27FB3 (U+27FB3)	f0a7beb3
𧾴	U+27FB4 (U+27FB4)	f0a7beb4
𧾵	U+27FB5 (U+27FB5)	f0a7beb5
𧾶	U+27FB6 (U+27FB6)	f0a7beb6
𧾷	U+27FB7 (U+27FB7)	f0a7beb7
𧾸	U+27FB8 (U+27FB8)	f0a7beb8
𧾹	U+27FB9 (U+27FB9)	f0a7beb9
𧾺	U+27FBA (U+27FBA)	f0a7beba
𧾻	U+27FBB (U+27FBB)	f0a7bebb
𧾼	U+27FBC (U+27FBC)	f0a7bebc
𧾽	U+27FBD (U+27FBD)	f0a7bebd
𧾾	U+27FBE (U+27FBE)	f0a7bebe
𧾿	U+27FBF (U+27FBF)	f0a7bebf
𧿀	U+27FC0 (U+27FC0)	f0a7bf80
𧿁	U+27FC1 (U+27FC1)	f0a7bf81
𧿂	U+27FC2 (U+27FC2)	f0a7bf82
𧿃	U+27FC3 (U+27FC3)	f0a7bf83
𧿄	U+27FC4 (U+27FC4)	f0a7bf84
𧿅	U+27FC5 (U+27FC5)	f0a7bf85
𧿆	U+27FC6 (U+27FC6)	f0a7bf86
𧿇	U+27FC7 (U+27FC7)	f0a7bf87
𧿈	U+27FC8 (U+27FC8)	f0a7bf88
𧿉	U+27FC9 (U+27FC9)	f0a7bf89
𧿊	U+27FCA (U+27FCA)	f0a7bf8a
𧿋	U+27FCB (U+27FCB)	f0a7bf8b
