𨍯	U+2836F (U+2836F)	f0a88daf
𨍰	U+28370 (U+28370)	f0a88db0
𨍱	U+28371 (U+28371)	f0a88db1
𨍲	U+28372 (U+28372)	f0a88db2
𨍳	distant; an open carriage (U+28373)	f0a88db3
𨍴	U+28374 (U+28374)	f0a88db4
𨍵	U+28375 (U+28375)	f0a88db5
𨍶	U+28376 (U+28376)	f0a88db6
𨍷	U+28377 (U+28377)	f0a88db7
𨍸	U+28378 (U+28378)	f0a88db8
𨍹	U+28379 (U+28379)	f0a88db9
𨍺	U+2837A (U+2837A)	f0a88dba
𨍻	U+2837B (U+2837B)	f0a88dbb
𨍼	U+2837C (U+2837C)	f0a88dbc
𨍽	U+2837D (U+2837D)	f0a88dbd
𨍾	U+2837E (U+2837E)	f0a88dbe
𨍿	U+2837F (U+2837F)	f0a88dbf
𨎀	U+28380 (U+28380)	f0a88e80
𨎁	U+28381 (U+28381)	f0a88e81
𨎂	U+28382 (U+28382)	f0a88e82
𨎃	U+28383 (U+28383)	f0a88e83
𨎄	U+28384 (U+28384)	f0a88e84
𨎅	U+28385 (U+28385)	f0a88e85
𨎆	U+28386 (U+28386)	f0a88e86
𨎇	U+28387 (U+28387)	f0a88e87
𨎈	U+28388 (U+28388)	f0a88e88
𨎉	U+28389 (U+28389)	f0a88e89
𨎊	U+2838A (U+2838A)	f0a88e8a
𨎋	U+2838B (U+2838B)	f0a88e8b
𨎌	U+2838C (U+2838C)	f0a88e8c
𨎍	U+2838D (U+2838D)	f0a88e8d
𨎎	U+2838E (U+2838E)	f0a88e8e
𨎏	U+2838F (U+2838F)	f0a88e8f
𨎐	U+28390 (U+28390)	f0a88e90
𨎑	U+28391 (U+28391)	f0a88e91
𨎒	U+28392 (U+28392)	f0a88e92
𨎓	U+28393 (U+28393)	f0a88e93
𨎔	U+28394 (U+28394)	f0a88e94
𨎕	U+28395 (U+28395)	f0a88e95
𨎖	U+28396 (U+28396)	f0a88e96
𨎗	U+28397 (U+28397)	f0a88e97
𨎘	U+28398 (U+28398)	f0a88e98
𨎙	U+28399 (U+28399)	f0a88e99
𨎚	U+2839A (U+2839A)	f0a88e9a
𨎛	U+2839B (U+2839B)	f0a88e9b
𨎜	U+2839C (U+2839C)	f0a88e9c
𨎝	U+2839D (U+2839D)	f0a88e9d
𨎞	U+2839E (U+2839E)	f0a88e9e
𨎟	U+2839F (U+2839F)	f0a88e9f
𨎠	U+283A0 (U+283A0)	f0a88ea0
𨎡	U+283A1 (U+283A1)	f0a88ea1
𨎢	U+283A2 (U+283A2)	f0a88ea2
𨎣	U+283A3 (U+283A3)	f0a88ea3
𨎤	U+283A4 (U+283A4)	f0a88ea4
𨎥	U+283A5 (U+283A5)	f0a88ea5
𨎦	U+283A6 (U+283A6)	f0a88ea6
𨎧	U+283A7 (U+283A7)	f0a88ea7
𨎨	U+283A8 (U+283A8)	f0a88ea8
𨎩	U+283A9 (U+283A9)	f0a88ea9
𨎪	U+283AA (U+283AA)	f0a88eaa
𨎫	U+283AB (U+283AB)	f0a88eab
𨎬	U+283AC (U+283AC)	f0a88eac
𨎭	U+283AD (U+283AD)	f0a88ead
𨎮	U+283AE (U+283AE)	f0a88eae
𨎯	U+283AF (U+283AF)	f0a88eaf
𨎰	U+283B0 (U+283B0)	f0a88eb0
𨎱	U+283B1 (U+283B1)	f0a88eb1
𨎲	U+283B2 (U+283B2)	f0a88eb2
𨎳	U+283B3 (U+283B3)	f0a88eb3
𨎴	vertical pegs of wood used to keep the axle-tree of a cart in its place (U+283B4)	f0a88eb4
𨎵	U+283B5 (U+283B5)	f0a88eb5
𨎶	U+283B6 (U+283B6)	f0a88eb6
𨎷	U+283B7 (U+283B7)	f0a88eb7
𨎸	U+283B8 (U+283B8)	f0a88eb8
𨎹	U+283B9 (U+283B9)	f0a88eb9
𨎺	U+283BA (U+283BA)	f0a88eba
𨎻	U+283BB (U+283BB)	f0a88ebb
𨎼	U+283BC (U+283BC)	f0a88ebc
𨎽	U+283BD (U+283BD)	f0a88ebd
𨎾	U+283BE (U+283BE)	f0a88ebe
𨎿	U+283BF (U+283BF)	f0a88ebf
𨏀	U+283C0 (U+283C0)	f0a88f80
𨏁	U+283C1 (U+283C1)	f0a88f81
𨏂	U+283C2 (U+283C2)	f0a88f82
𨏃	U+283C3 (U+283C3)	f0a88f83
𨏄	U+283C4 (U+283C4)	f0a88f84
𨏅	U+283C5 (U+283C5)	f0a88f85
𨏆	U+283C6 (U+283C6)	f0a88f86
𨏇	U+283C7 (U+283C7)	f0a88f87
𨏈	U+283C8 (U+283C8)	f0a88f88
𨏉	U+283C9 (U+283C9)	f0a88f89
𨏊	U+283CA (U+283CA)	f0a88f8a
𨏋	U+283CB (U+283CB)	f0a88f8b
𨏌	U+283CC (U+283CC)	f0a88f8c
𨏍	U+283CD (U+283CD)	f0a88f8d
𨏎	U+283CE (U+283CE)	f0a88f8e
𨏏	U+283CF (U+283CF)	f0a88f8f
𨏐	U+283D0 (U+283D0)	f0a88f90
𨏑	U+283D1 (U+283D1)	f0a88f91
𨏒	U+283D2 (U+283D2)	f0a88f92
𨏓	U+283D3 (U+283D3)	f0a88f93
𨏔	U+283D4 (U+283D4)	f0a88f94
𨏕	U+283D5 (U+283D5)	f0a88f95
𨏖	U+283D6 (U+283D6)	f0a88f96
𨏗	U+283D7 (U+283D7)	f0a88f97
𨏘	U+283D8 (U+283D8)	f0a88f98
𨏙	U+283D9 (U+283D9)	f0a88f99
𨏚	U+283DA (U+283DA)	f0a88f9a
𨏛	U+283DB (U+283DB)	f0a88f9b
𨏜	U+283DC (U+283DC)	f0a88f9c
𨏝	U+283DD (U+283DD)	f0a88f9d
𨏞	U+283DE (U+283DE)	f0a88f9e
𨏟	U+283DF (U+283DF)	f0a88f9f
𨏠	U+283E0 (U+283E0)	f0a88fa0
𨏡	U+283E1 (U+283E1)	f0a88fa1
𨏢	U+283E2 (U+283E2)	f0a88fa2
𨏣	U+283E3 (U+283E3)	f0a88fa3
𨏤	U+283E4 (U+283E4)	f0a88fa4
𨏥	U+283E5 (U+283E5)	f0a88fa5
𨏦	U+283E6 (U+283E6)	f0a88fa6
𨏧	U+283E7 (U+283E7)	f0a88fa7
𨏨	U+283E8 (U+283E8)	f0a88fa8
𨏩	U+283E9 (U+283E9)	f0a88fa9
𨏪	U+283EA (U+283EA)	f0a88faa
𨏫	U+283EB (U+283EB)	f0a88fab
𨏬	U+283EC (U+283EC)	f0a88fac
𨏭	U+283ED (U+283ED)	f0a88fad
𨏮	U+283EE (U+283EE)	f0a88fae
𨏯	U+283EF (U+283EF)	f0a88faf
𨏰	U+283F0 (U+283F0)	f0a88fb0
𨏱	U+283F1 (U+283F1)	f0a88fb1
𨏲	U+283F2 (U+283F2)	f0a88fb2
𨏳	U+283F3 (U+283F3)	f0a88fb3
𨏴	U+283F4 (U+283F4)	f0a88fb4
𨏵	U+283F5 (U+283F5)	f0a88fb5
𨏶	U+283F6 (U+283F6)	f0a88fb6
𨏷	U+283F7 (U+283F7)	f0a88fb7
𨏸	U+283F8 (U+283F8)	f0a88fb8
𨏹	U+283F9 (U+283F9)	f0a88fb9
𨏺	U+283FA (U+283FA)	f0a88fba
𨏻	U+283FB (U+283FB)	f0a88fbb
𨏼	U+283FC (U+283FC)	f0a88fbc
𨏽	U+283FD (U+283FD)	f0a88fbd
𨏾	U+283FE (U+283FE)	f0a88fbe
𨏿	U+283FF (U+283FF)	f0a88fbf
𨐀	U+28400 (U+28400)	f0a89080
𨐁	U+28401 (U+28401)	f0a89081
𨐂	U+28402 (U+28402)	f0a89082
𨐃	U+28403 (U+28403)	f0a89083
𨐄	U+28404 (U+28404)	f0a89084
