𨝯	U+2876F (U+2876F)	f0a89daf
𨝰	U+28770 (U+28770)	f0a89db0
𨝱	U+28771 (U+28771)	f0a89db1
𨝲	U+28772 (U+28772)	f0a89db2
𨝳	U+28773 (U+28773)	f0a89db3
𨝴	U+28774 (U+28774)	f0a89db4
𨝵	U+28775 (U+28775)	f0a89db5
𨝶	U+28776 (U+28776)	f0a89db6
𨝷	U+28777 (U+28777)	f0a89db7
𨝸	U+28778 (U+28778)	f0a89db8
𨝹	U+28779 (U+28779)	f0a89db9
𨝺	U+2877A (U+2877A)	f0a89dba
𨝻	U+2877B (U+2877B)	f0a89dbb
𨝼	U+2877C (U+2877C)	f0a89dbc
𨝽	U+2877D (U+2877D)	f0a89dbd
𨝾	U+2877E (U+2877E)	f0a89dbe
𨝿	U+2877F (U+2877F)	f0a89dbf
𨞀	U+28780 (U+28780)	f0a89e80
𨞁	U+28781 (U+28781)	f0a89e81
𨞂	U+28782 (U+28782)	f0a89e82
𨞃	U+28783 (U+28783)	f0a89e83
𨞄	U+28784 (U+28784)	f0a89e84
𨞅	U+28785 (U+28785)	f0a89e85
𨞆	U+28786 (U+28786)	f0a89e86
𨞇	U+28787 (U+28787)	f0a89e87
𨞈	U+28788 (U+28788)	f0a89e88
𨞉	U+28789 (U+28789)	f0a89e89
𨞊	U+2878A (U+2878A)	f0a89e8a
𨞋	U+2878B (U+2878B)	f0a89e8b
𨞌	U+2878C (U+2878C)	f0a89e8c
𨞍	U+2878D (U+2878D)	f0a89e8d
𨞎	U+2878E (U+2878E)	f0a89e8e
𨞏	U+2878F (U+2878F)	f0a89e8f
𨞐	U+28790 (U+28790)	f0a89e90
𨞑	U+28791 (U+28791)	f0a89e91
𨞒	U+28792 (U+28792)	f0a89e92
𨞓	U+28793 (U+28793)	f0a89e93
𨞔	U+28794 (U+28794)	f0a89e94
𨞕	U+28795 (U+28795)	f0a89e95
𨞖	U+28796 (U+28796)	f0a89e96
𨞗	U+28797 (U+28797)	f0a89e97
𨞘	U+28798 (U+28798)	f0a89e98
𨞙	U+28799 (U+28799)	f0a89e99
𨞚	U+2879A (U+2879A)	f0a89e9a
𨞛	U+2879B (U+2879B)	f0a89e9b
𨞜	U+2879C (U+2879C)	f0a89e9c
𨞝	U+2879D (U+2879D)	f0a89e9d
𨞞	U+2879E (U+2879E)	f0a89e9e
𨞟	U+2879F (U+2879F)	f0a89e9f
𨞠	U+287A0 (U+287A0)	f0a89ea0
𨞡	U+287A1 (U+287A1)	f0a89ea1
𨞢	U+287A2 (U+287A2)	f0a89ea2
𨞣	U+287A3 (U+287A3)	f0a89ea3
𨞤	U+287A4 (U+287A4)	f0a89ea4
𨞥	U+287A5 (U+287A5)	f0a89ea5
𨞦	U+287A6 (U+287A6)	f0a89ea6
𨞧	U+287A7 (U+287A7)	f0a89ea7
𨞨	U+287A8 (U+287A8)	f0a89ea8
𨞩	U+287A9 (U+287A9)	f0a89ea9
𨞪	U+287AA (U+287AA)	f0a89eaa
𨞫	U+287AB (U+287AB)	f0a89eab
𨞬	U+287AC (U+287AC)	f0a89eac
𨞭	U+287AD (U+287AD)	f0a89ead
𨞮	U+287AE (U+287AE)	f0a89eae
𨞯	U+287AF (U+287AF)	f0a89eaf
𨞰	U+287B0 (U+287B0)	f0a89eb0
𨞱	U+287B1 (U+287B1)	f0a89eb1
𨞲	U+287B2 (U+287B2)	f0a89eb2
𨞳	U+287B3 (U+287B3)	f0a89eb3
𨞴	U+287B4 (U+287B4)	f0a89eb4
