𨭯	U+28B6F (U+28B6F)	f0a8adaf
𨭰	U+28B70 (U+28B70)	f0a8adb0
𨭱	U+28B71 (U+28B71)	f0a8adb1
𨭲	U+28B72 (U+28B72)	f0a8adb2
𨭳	U+28B73 (U+28B73)	f0a8adb3
𨭴	U+28B74 (U+28B74)	f0a8adb4
𨭵	U+28B75 (U+28B75)	f0a8adb5
𨭶	U+28B76 (U+28B76)	f0a8adb6
𨭷	U+28B77 (U+28B77)	f0a8adb7
𨭸	U+28B78 (U+28B78)	f0a8adb8
𨭹	U+28B79 (U+28B79)	f0a8adb9
𨭺	U+28B7A (U+28B7A)	f0a8adba
𨭻	U+28B7B (U+28B7B)	f0a8adbb
𨭼	U+28B7C (U+28B7C)	f0a8adbc
𨭽	U+28B7D (U+28B7D)	f0a8adbd
𨭾	U+28B7E (U+28B7E)	f0a8adbe
𨭿	U+28B7F (U+28B7F)	f0a8adbf
𨮀	U+28B80 (U+28B80)	f0a8ae80
𨮁	U+28B81 (U+28B81)	f0a8ae81
𨮂	U+28B82 (U+28B82)	f0a8ae82
𨮃	U+28B83 (U+28B83)	f0a8ae83
𨮄	U+28B84 (U+28B84)	f0a8ae84
𨮅	U+28B85 (U+28B85)	f0a8ae85
𨮆	U+28B86 (U+28B86)	f0a8ae86
𨮇	U+28B87 (U+28B87)	f0a8ae87
𨮈	U+28B88 (U+28B88)	f0a8ae88
𨮉	U+28B89 (U+28B89)	f0a8ae89
𨮊	U+28B8A (U+28B8A)	f0a8ae8a
𨮋	U+28B8B (U+28B8B)	f0a8ae8b
𨮌	U+28B8C (U+28B8C)	f0a8ae8c
𨮍	U+28B8D (U+28B8D)	f0a8ae8d
𨮎	U+28B8E (U+28B8E)	f0a8ae8e
𨮏	U+28B8F (U+28B8F)	f0a8ae8f
𨮐	U+28B90 (U+28B90)	f0a8ae90
𨮑	U+28B91 (U+28B91)	f0a8ae91
𨮒	U+28B92 (U+28B92)	f0a8ae92
𨮓	U+28B93 (U+28B93)	f0a8ae93
𨮔	U+28B94 (U+28B94)	f0a8ae94
𨮕	U+28B95 (U+28B95)	f0a8ae95
𨮖	U+28B96 (U+28B96)	f0a8ae96
𨮗	U+28B97 (U+28B97)	f0a8ae97
𨮘	a fine grade of steel (U+28B98)	f0a8ae98
𨮙	U+28B99 (U+28B99)	f0a8ae99
𨮚	U+28B9A (U+28B9A)	f0a8ae9a
𨮛	U+28B9B (U+28B9B)	f0a8ae9b
𨮜	U+28B9C (U+28B9C)	f0a8ae9c
𨮝	U+28B9D (U+28B9D)	f0a8ae9d
𨮞	U+28B9E (U+28B9E)	f0a8ae9e
