𨽯	U+28F6F (U+28F6F)	f0a8bdaf
𨽰	U+28F70 (U+28F70)	f0a8bdb0
𨽱	U+28F71 (U+28F71)	f0a8bdb1
𨽲	U+28F72 (U+28F72)	f0a8bdb2
𨽳	U+28F73 (U+28F73)	f0a8bdb3
𨽴	U+28F74 (U+28F74)	f0a8bdb4
𨽵	U+28F75 (U+28F75)	f0a8bdb5
𨽶	U+28F76 (U+28F76)	f0a8bdb6
𨽷	U+28F77 (U+28F77)	f0a8bdb7
𨽸	U+28F78 (U+28F78)	f0a8bdb8
𨽹	U+28F79 (U+28F79)	f0a8bdb9
𨽺	U+28F7A (U+28F7A)	f0a8bdba
𨽻	U+28F7B (U+28F7B)	f0a8bdbb
𨽼	U+28F7C (U+28F7C)	f0a8bdbc
𨽽	U+28F7D (U+28F7D)	f0a8bdbd
𨽾	U+28F7E (U+28F7E)	f0a8bdbe
𨽿	U+28F7F (U+28F7F)	f0a8bdbf
𨾀	U+28F80 (U+28F80)	f0a8be80
𨾁	U+28F81 (U+28F81)	f0a8be81
𨾂	U+28F82 (U+28F82)	f0a8be82
𨾃	U+28F83 (U+28F83)	f0a8be83
𨾄	U+28F84 (U+28F84)	f0a8be84
𨾅	U+28F85 (U+28F85)	f0a8be85
𨾆	U+28F86 (U+28F86)	f0a8be86
𨾇	U+28F87 (U+28F87)	f0a8be87
𨾈	U+28F88 (U+28F88)	f0a8be88
𨾉	U+28F89 (U+28F89)	f0a8be89
𨾊	U+28F8A (U+28F8A)	f0a8be8a
𨾋	U+28F8B (U+28F8B)	f0a8be8b
𨾌	U+28F8C (U+28F8C)	f0a8be8c
𨾍	U+28F8D (U+28F8D)	f0a8be8d
𨾎	U+28F8E (U+28F8E)	f0a8be8e
𨾏	U+28F8F (U+28F8F)	f0a8be8f
𨾐	U+28F90 (U+28F90)	f0a8be90
𨾑	U+28F91 (U+28F91)	f0a8be91
𨾒	U+28F92 (U+28F92)	f0a8be92
𨾓	U+28F93 (U+28F93)	f0a8be93
𨾔	U+28F94 (U+28F94)	f0a8be94
𨾕	U+28F95 (U+28F95)	f0a8be95
𨾖	U+28F96 (U+28F96)	f0a8be96
𨾗	U+28F97 (U+28F97)	f0a8be97
𨾘	U+28F98 (U+28F98)	f0a8be98
𨾙	U+28F99 (U+28F99)	f0a8be99
𨾚	U+28F9A (U+28F9A)	f0a8be9a
𨾛	U+28F9B (U+28F9B)	f0a8be9b
𨾜	U+28F9C (U+28F9C)	f0a8be9c
𨾝	U+28F9D (U+28F9D)	f0a8be9d
𨾞	U+28F9E (U+28F9E)	f0a8be9e
𨾟	U+28F9F (U+28F9F)	f0a8be9f
𨾠	U+28FA0 (U+28FA0)	f0a8bea0
𨾡	U+28FA1 (U+28FA1)	f0a8bea1
𨾢	U+28FA2 (U+28FA2)	f0a8bea2
𨾣	U+28FA3 (U+28FA3)	f0a8bea3
𨾤	U+28FA4 (U+28FA4)	f0a8bea4
𨾥	U+28FA5 (U+28FA5)	f0a8bea5
𨾦	U+28FA6 (U+28FA6)	f0a8bea6
𨾧	U+28FA7 (U+28FA7)	f0a8bea7
𨾨	U+28FA8 (U+28FA8)	f0a8bea8
𨾩	U+28FA9 (U+28FA9)	f0a8bea9
𨾪	U+28FAA (U+28FAA)	f0a8beaa
𨾫	U+28FAB (U+28FAB)	f0a8beab
𨾬	U+28FAC (U+28FAC)	f0a8beac
𨾭	U+28FAD (U+28FAD)	f0a8bead
𨾮	U+28FAE (U+28FAE)	f0a8beae
𨾯	U+28FAF (U+28FAF)	f0a8beaf
𨾰	U+28FB0 (U+28FB0)	f0a8beb0
𨾱	U+28FB1 (U+28FB1)	f0a8beb1
𨾲	U+28FB2 (U+28FB2)	f0a8beb2
𨾳	U+28FB3 (U+28FB3)	f0a8beb3
𨾴	U+28FB4 (U+28FB4)	f0a8beb4
𨾵	U+28FB5 (U+28FB5)	f0a8beb5
𨾶	U+28FB6 (U+28FB6)	f0a8beb6
𨾷	U+28FB7 (U+28FB7)	f0a8beb7
𨾸	U+28FB8 (U+28FB8)	f0a8beb8
𨾹	U+28FB9 (U+28FB9)	f0a8beb9
𨾺	U+28FBA (U+28FBA)	f0a8beba
𨾻	U+28FBB (U+28FBB)	f0a8bebb
𨾼	U+28FBC (U+28FBC)	f0a8bebc
𨾽	U+28FBD (U+28FBD)	f0a8bebd
𨾾	U+28FBE (U+28FBE)	f0a8bebe
