𩍯	U+2936F (U+2936F)	f0a98daf
𩍰	U+29370 (U+29370)	f0a98db0
𩍱	U+29371 (U+29371)	f0a98db1
𩍲	U+29372 (U+29372)	f0a98db2
𩍳	U+29373 (U+29373)	f0a98db3
𩍴	U+29374 (U+29374)	f0a98db4
𩍵	U+29375 (U+29375)	f0a98db5
𩍶	U+29376 (U+29376)	f0a98db6
𩍷	U+29377 (U+29377)	f0a98db7
𩍸	U+29378 (U+29378)	f0a98db8
𩍹	U+29379 (U+29379)	f0a98db9
𩍺	U+2937A (U+2937A)	f0a98dba
𩍻	U+2937B (U+2937B)	f0a98dbb
𩍼	U+2937C (U+2937C)	f0a98dbc
𩍽	U+2937D (U+2937D)	f0a98dbd
𩍾	U+2937E (U+2937E)	f0a98dbe
𩍿	U+2937F (U+2937F)	f0a98dbf
𩎀	U+29380 (U+29380)	f0a98e80
𩎁	U+29381 (U+29381)	f0a98e81
𩎂	U+29382 (U+29382)	f0a98e82
𩎃	U+29383 (U+29383)	f0a98e83
𩎄	U+29384 (U+29384)	f0a98e84
𩎅	U+29385 (U+29385)	f0a98e85
𩎆	U+29386 (U+29386)	f0a98e86
𩎇	U+29387 (U+29387)	f0a98e87
𩎈	U+29388 (U+29388)	f0a98e88
𩎉	U+29389 (U+29389)	f0a98e89
𩎊	U+2938A (U+2938A)	f0a98e8a
𩎋	U+2938B (U+2938B)	f0a98e8b
𩎌	U+2938C (U+2938C)	f0a98e8c
𩎍	U+2938D (U+2938D)	f0a98e8d
𩎎	U+2938E (U+2938E)	f0a98e8e
𩎏	U+2938F (U+2938F)	f0a98e8f
𩎐	U+29390 (U+29390)	f0a98e90
𩎑	U+29391 (U+29391)	f0a98e91
𩎒	U+29392 (U+29392)	f0a98e92
𩎓	U+29393 (U+29393)	f0a98e93
𩎔	U+29394 (U+29394)	f0a98e94
𩎕	U+29395 (U+29395)	f0a98e95
𩎖	U+29396 (U+29396)	f0a98e96
𩎗	U+29397 (U+29397)	f0a98e97
𩎘	U+29398 (U+29398)	f0a98e98
𩎙	U+29399 (U+29399)	f0a98e99
𩎚	U+2939A (U+2939A)	f0a98e9a
𩎛	U+2939B (U+2939B)	f0a98e9b
