𩝯	U+2976F (U+2976F)	f0a99daf
𩝰	U+29770 (U+29770)	f0a99db0
𩝱	U+29771 (U+29771)	f0a99db1
𩝲	U+29772 (U+29772)	f0a99db2
𩝳	U+29773 (U+29773)	f0a99db3
𩝴	U+29774 (U+29774)	f0a99db4
𩝵	U+29775 (U+29775)	f0a99db5
𩝶	U+29776 (U+29776)	f0a99db6
𩝷	U+29777 (U+29777)	f0a99db7
𩝸	U+29778 (U+29778)	f0a99db8
𩝹	U+29779 (U+29779)	f0a99db9
𩝺	U+2977A (U+2977A)	f0a99dba
𩝻	U+2977B (U+2977B)	f0a99dbb
𩝼	U+2977C (U+2977C)	f0a99dbc
𩝽	U+2977D (U+2977D)	f0a99dbd
𩝾	U+2977E (U+2977E)	f0a99dbe
𩝿	U+2977F (U+2977F)	f0a99dbf
𩞀	U+29780 (U+29780)	f0a99e80
𩞁	U+29781 (U+29781)	f0a99e81
𩞂	U+29782 (U+29782)	f0a99e82
𩞃	U+29783 (U+29783)	f0a99e83
𩞄	U+29784 (U+29784)	f0a99e84
𩞅	U+29785 (U+29785)	f0a99e85
𩞆	U+29786 (U+29786)	f0a99e86
𩞇	U+29787 (U+29787)	f0a99e87
𩞈	U+29788 (U+29788)	f0a99e88
𩞉	U+29789 (U+29789)	f0a99e89
𩞊	U+2978A (U+2978A)	f0a99e8a
𩞋	U+2978B (U+2978B)	f0a99e8b
𩞌	U+2978C (U+2978C)	f0a99e8c
𩞍	U+2978D (U+2978D)	f0a99e8d
𩞎	U+2978E (U+2978E)	f0a99e8e
𩞏	U+2978F (U+2978F)	f0a99e8f
𩞐	U+29790 (U+29790)	f0a99e90
𩞑	U+29791 (U+29791)	f0a99e91
𩞒	U+29792 (U+29792)	f0a99e92
𩞓	U+29793 (U+29793)	f0a99e93
𩞔	U+29794 (U+29794)	f0a99e94
𩞕	U+29795 (U+29795)	f0a99e95
𩞖	U+29796 (U+29796)	f0a99e96
𩞗	U+29797 (U+29797)	f0a99e97
𩞘	U+29798 (U+29798)	f0a99e98
𩞙	U+29799 (U+29799)	f0a99e99
𩞚	U+2979A (U+2979A)	f0a99e9a
𩞛	U+2979B (U+2979B)	f0a99e9b
𩞜	U+2979C (U+2979C)	f0a99e9c
𩞝	U+2979D (U+2979D)	f0a99e9d
𩞞	U+2979E (U+2979E)	f0a99e9e
