𩭯	U+29B6F (U+29B6F)	f0a9adaf
𩭰	U+29B70 (U+29B70)	f0a9adb0
𩭱	U+29B71 (U+29B71)	f0a9adb1
𩭲	U+29B72 (U+29B72)	f0a9adb2
𩭳	U+29B73 (U+29B73)	f0a9adb3
𩭴	U+29B74 (U+29B74)	f0a9adb4
𩭵	U+29B75 (U+29B75)	f0a9adb5
𩭶	U+29B76 (U+29B76)	f0a9adb6
𩭷	U+29B77 (U+29B77)	f0a9adb7
𩭸	U+29B78 (U+29B78)	f0a9adb8
𩭹	U+29B79 (U+29B79)	f0a9adb9
𩭺	U+29B7A (U+29B7A)	f0a9adba
𩭻	U+29B7B (U+29B7B)	f0a9adbb
𩭼	U+29B7C (U+29B7C)	f0a9adbc
𩭽	U+29B7D (U+29B7D)	f0a9adbd
𩭾	U+29B7E (U+29B7E)	f0a9adbe
𩭿	U+29B7F (U+29B7F)	f0a9adbf
𩮀	U+29B80 (U+29B80)	f0a9ae80
𩮁	U+29B81 (U+29B81)	f0a9ae81
𩮂	U+29B82 (U+29B82)	f0a9ae82
𩮃	U+29B83 (U+29B83)	f0a9ae83
𩮄	U+29B84 (U+29B84)	f0a9ae84
𩮅	U+29B85 (U+29B85)	f0a9ae85
𩮆	U+29B86 (U+29B86)	f0a9ae86
𩮇	U+29B87 (U+29B87)	f0a9ae87
𩮈	U+29B88 (U+29B88)	f0a9ae88
𩮉	U+29B89 (U+29B89)	f0a9ae89
𩮊	U+29B8A (U+29B8A)	f0a9ae8a
𩮋	U+29B8B (U+29B8B)	f0a9ae8b
𩮌	U+29B8C (U+29B8C)	f0a9ae8c
𩮍	U+29B8D (U+29B8D)	f0a9ae8d
𩮎	U+29B8E (U+29B8E)	f0a9ae8e
𩮏	U+29B8F (U+29B8F)	f0a9ae8f
𩮐	U+29B90 (U+29B90)	f0a9ae90
𩮑	U+29B91 (U+29B91)	f0a9ae91
𩮒	U+29B92 (U+29B92)	f0a9ae92
𩮓	U+29B93 (U+29B93)	f0a9ae93
𩮔	U+29B94 (U+29B94)	f0a9ae94
𩮕	U+29B95 (U+29B95)	f0a9ae95
𩮖	U+29B96 (U+29B96)	f0a9ae96
𩮗	U+29B97 (U+29B97)	f0a9ae97
𩮘	U+29B98 (U+29B98)	f0a9ae98
𩮙	U+29B99 (U+29B99)	f0a9ae99
𩮚	U+29B9A (U+29B9A)	f0a9ae9a
𩮛	U+29B9B (U+29B9B)	f0a9ae9b
𩮜	U+29B9C (U+29B9C)	f0a9ae9c
𩮝	U+29B9D (U+29B9D)	f0a9ae9d
𩮞	U+29B9E (U+29B9E)	f0a9ae9e
𩮟	U+29B9F (U+29B9F)	f0a9ae9f
𩮠	U+29BA0 (U+29BA0)	f0a9aea0
𩮡	U+29BA1 (U+29BA1)	f0a9aea1
𩮢	U+29BA2 (U+29BA2)	f0a9aea2
𩮣	U+29BA3 (U+29BA3)	f0a9aea3
𩮤	U+29BA4 (U+29BA4)	f0a9aea4
𩮥	U+29BA5 (U+29BA5)	f0a9aea5
𩮦	U+29BA6 (U+29BA6)	f0a9aea6
𩮧	U+29BA7 (U+29BA7)	f0a9aea7
𩮨	U+29BA8 (U+29BA8)	f0a9aea8
𩮩	U+29BA9 (U+29BA9)	f0a9aea9
𩮪	U+29BAA (U+29BAA)	f0a9aeaa
𩮫	U+29BAB (U+29BAB)	f0a9aeab
𩮬	U+29BAC (U+29BAC)	f0a9aeac
𩮭	U+29BAD (U+29BAD)	f0a9aead
𩮮	U+29BAE (U+29BAE)	f0a9aeae
𩮯	U+29BAF (U+29BAF)	f0a9aeaf
𩮰	U+29BB0 (U+29BB0)	f0a9aeb0
𩮱	U+29BB1 (U+29BB1)	f0a9aeb1
𩮲	U+29BB2 (U+29BB2)	f0a9aeb2
𩮳	U+29BB3 (U+29BB3)	f0a9aeb3
𩮴	U+29BB4 (U+29BB4)	f0a9aeb4
𩮵	U+29BB5 (U+29BB5)	f0a9aeb5
𩮶	U+29BB6 (U+29BB6)	f0a9aeb6
𩮷	U+29BB7 (U+29BB7)	f0a9aeb7
𩮸	U+29BB8 (U+29BB8)	f0a9aeb8
𩮹	U+29BB9 (U+29BB9)	f0a9aeb9
𩮺	U+29BBA (U+29BBA)	f0a9aeba
𩮻	U+29BBB (U+29BBB)	f0a9aebb
𩮼	U+29BBC (U+29BBC)	f0a9aebc
𩮽	U+29BBD (U+29BBD)	f0a9aebd
𩮾	U+29BBE (U+29BBE)	f0a9aebe
𩮿	U+29BBF (U+29BBF)	f0a9aebf
𩯀	U+29BC0 (U+29BC0)	f0a9af80
𩯁	U+29BC1 (U+29BC1)	f0a9af81
𩯂	U+29BC2 (U+29BC2)	f0a9af82
𩯃	U+29BC3 (U+29BC3)	f0a9af83
𩯄	U+29BC4 (U+29BC4)	f0a9af84
𩯅	U+29BC5 (U+29BC5)	f0a9af85
𩯆	U+29BC6 (U+29BC6)	f0a9af86
𩯇	U+29BC7 (U+29BC7)	f0a9af87
𩯈	U+29BC8 (U+29BC8)	f0a9af88
𩯉	U+29BC9 (U+29BC9)	f0a9af89
𩯊	U+29BCA (U+29BCA)	f0a9af8a
𩯋	U+29BCB (U+29BCB)	f0a9af8b
𩯌	U+29BCC (U+29BCC)	f0a9af8c
𩯍	U+29BCD (U+29BCD)	f0a9af8d
𩯎	U+29BCE (U+29BCE)	f0a9af8e
𩯏	U+29BCF (U+29BCF)	f0a9af8f
𩯐	U+29BD0 (U+29BD0)	f0a9af90
𩯑	U+29BD1 (U+29BD1)	f0a9af91
𩯒	U+29BD2 (U+29BD2)	f0a9af92
𩯓	U+29BD3 (U+29BD3)	f0a9af93
