𩽯	U+29F6F (U+29F6F)	f0a9bdaf
𩽰	U+29F70 (U+29F70)	f0a9bdb0
𩽱	U+29F71 (U+29F71)	f0a9bdb1
𩽲	U+29F72 (U+29F72)	f0a9bdb2
𩽳	U+29F73 (U+29F73)	f0a9bdb3
𩽴	U+29F74 (U+29F74)	f0a9bdb4
𩽵	U+29F75 (U+29F75)	f0a9bdb5
𩽶	U+29F76 (U+29F76)	f0a9bdb6
𩽷	U+29F77 (U+29F77)	f0a9bdb7
𩽸	U+29F78 (U+29F78)	f0a9bdb8
𩽹	U+29F79 (U+29F79)	f0a9bdb9
𩽺	U+29F7A (U+29F7A)	f0a9bdba
𩽻	U+29F7B (U+29F7B)	f0a9bdbb
𩽼	U+29F7C (U+29F7C)	f0a9bdbc
𩽽	U+29F7D (U+29F7D)	f0a9bdbd
𩽾	U+29F7E (U+29F7E)	f0a9bdbe
𩽿	U+29F7F (U+29F7F)	f0a9bdbf
𩾀	U+29F80 (U+29F80)	f0a9be80
𩾁	U+29F81 (U+29F81)	f0a9be81
𩾂	U+29F82 (U+29F82)	f0a9be82
𩾃	U+29F83 (U+29F83)	f0a9be83
𩾄	U+29F84 (U+29F84)	f0a9be84
𩾅	U+29F85 (U+29F85)	f0a9be85
𩾆	U+29F86 (U+29F86)	f0a9be86
𩾇	U+29F87 (U+29F87)	f0a9be87
𩾈	U+29F88 (U+29F88)	f0a9be88
𩾉	U+29F89 (U+29F89)	f0a9be89
𩾊	U+29F8A (U+29F8A)	f0a9be8a
𩾋	U+29F8B (U+29F8B)	f0a9be8b
𩾌	U+29F8C (U+29F8C)	f0a9be8c
𩾍	U+29F8D (U+29F8D)	f0a9be8d
𩾎	U+29F8E (U+29F8E)	f0a9be8e
𩾏	U+29F8F (U+29F8F)	f0a9be8f
𩾐	U+29F90 (U+29F90)	f0a9be90
𩾑	U+29F91 (U+29F91)	f0a9be91
𩾒	U+29F92 (U+29F92)	f0a9be92
𩾓	U+29F93 (U+29F93)	f0a9be93
𩾔	U+29F94 (U+29F94)	f0a9be94
𩾕	U+29F95 (U+29F95)	f0a9be95
𩾖	U+29F96 (U+29F96)	f0a9be96
𩾗	U+29F97 (U+29F97)	f0a9be97
𩾘	U+29F98 (U+29F98)	f0a9be98
𩾙	U+29F99 (U+29F99)	f0a9be99
𩾚	U+29F9A (U+29F9A)	f0a9be9a
𩾛	U+29F9B (U+29F9B)	f0a9be9b
𩾜	U+29F9C (U+29F9C)	f0a9be9c
𩾝	U+29F9D (U+29F9D)	f0a9be9d
𩾞	U+29F9E (U+29F9E)	f0a9be9e
𩾟	U+29F9F (U+29F9F)	f0a9be9f
𩾠	U+29FA0 (U+29FA0)	f0a9bea0
𩾡	U+29FA1 (U+29FA1)	f0a9bea1
𩾢	U+29FA2 (U+29FA2)	f0a9bea2
𩾣	U+29FA3 (U+29FA3)	f0a9bea3
𩾤	U+29FA4 (U+29FA4)	f0a9bea4
𩾥	U+29FA5 (U+29FA5)	f0a9bea5
𩾦	U+29FA6 (U+29FA6)	f0a9bea6
𩾧	U+29FA7 (U+29FA7)	f0a9bea7
