𪍯	U+2A36F (U+2A36F)	f0aa8daf
𪍰	U+2A370 (U+2A370)	f0aa8db0
𪍱	U+2A371 (U+2A371)	f0aa8db1
𪍲	U+2A372 (U+2A372)	f0aa8db2
𪍳	U+2A373 (U+2A373)	f0aa8db3
𪍴	U+2A374 (U+2A374)	f0aa8db4
𪍵	U+2A375 (U+2A375)	f0aa8db5
𪍶	U+2A376 (U+2A376)	f0aa8db6
𪍷	U+2A377 (U+2A377)	f0aa8db7
𪍸	young wheat (U+2A378)	f0aa8db8
𪍹	U+2A379 (U+2A379)	f0aa8db9
𪍺	U+2A37A (U+2A37A)	f0aa8dba
𪍻	U+2A37B (U+2A37B)	f0aa8dbb
𪍼	U+2A37C (U+2A37C)	f0aa8dbc
𪍽	U+2A37D (U+2A37D)	f0aa8dbd
𪍾	U+2A37E (U+2A37E)	f0aa8dbe
𪍿	U+2A37F (U+2A37F)	f0aa8dbf
𪎀	U+2A380 (U+2A380)	f0aa8e80
𪎁	U+2A381 (U+2A381)	f0aa8e81
𪎂	U+2A382 (U+2A382)	f0aa8e82
𪎃	U+2A383 (U+2A383)	f0aa8e83
𪎄	U+2A384 (U+2A384)	f0aa8e84
𪎅	U+2A385 (U+2A385)	f0aa8e85
𪎆	U+2A386 (U+2A386)	f0aa8e86
𪎇	U+2A387 (U+2A387)	f0aa8e87
𪎈	U+2A388 (U+2A388)	f0aa8e88
𪎉	U+2A389 (U+2A389)	f0aa8e89
𪎊	U+2A38A (U+2A38A)	f0aa8e8a
𪎋	U+2A38B (U+2A38B)	f0aa8e8b
𪎌	U+2A38C (U+2A38C)	f0aa8e8c
𪎍	U+2A38D (U+2A38D)	f0aa8e8d
𪎎	U+2A38E (U+2A38E)	f0aa8e8e
𪎏	U+2A38F (U+2A38F)	f0aa8e8f
𪎐	U+2A390 (U+2A390)	f0aa8e90
𪎑	U+2A391 (U+2A391)	f0aa8e91
𪎒	U+2A392 (U+2A392)	f0aa8e92
𪎓	U+2A393 (U+2A393)	f0aa8e93
𪎔	U+2A394 (U+2A394)	f0aa8e94
𪎕	U+2A395 (U+2A395)	f0aa8e95
𪎖	U+2A396 (U+2A396)	f0aa8e96
𪎗	U+2A397 (U+2A397)	f0aa8e97
𪎘	U+2A398 (U+2A398)	f0aa8e98
𪎙	U+2A399 (U+2A399)	f0aa8e99
𪎚	U+2A39A (U+2A39A)	f0aa8e9a
𪎛	U+2A39B (U+2A39B)	f0aa8e9b
𪎜	U+2A39C (U+2A39C)	f0aa8e9c
𪎝	U+2A39D (U+2A39D)	f0aa8e9d
𪎞	U+2A39E (U+2A39E)	f0aa8e9e
𪎟	U+2A39F (U+2A39F)	f0aa8e9f
𪎠	U+2A3A0 (U+2A3A0)	f0aa8ea0
𪎡	U+2A3A1 (U+2A3A1)	f0aa8ea1
𪎢	U+2A3A2 (U+2A3A2)	f0aa8ea2
𪎣	U+2A3A3 (U+2A3A3)	f0aa8ea3
𪎤	U+2A3A4 (U+2A3A4)	f0aa8ea4
𪎥	U+2A3A5 (U+2A3A5)	f0aa8ea5
𪎦	U+2A3A6 (U+2A3A6)	f0aa8ea6
𪎧	U+2A3A7 (U+2A3A7)	f0aa8ea7
𪎨	U+2A3A8 (U+2A3A8)	f0aa8ea8
𪎩	U+2A3A9 (U+2A3A9)	f0aa8ea9
𪎪	U+2A3AA (U+2A3AA)	f0aa8eaa
𪎫	U+2A3AB (U+2A3AB)	f0aa8eab
𪎬	U+2A3AC (U+2A3AC)	f0aa8eac
𪎭	U+2A3AD (U+2A3AD)	f0aa8ead
𪎮	U+2A3AE (U+2A3AE)	f0aa8eae
𪎯	U+2A3AF (U+2A3AF)	f0aa8eaf
𪎰	U+2A3B0 (U+2A3B0)	f0aa8eb0
𪎱	U+2A3B1 (U+2A3B1)	f0aa8eb1
𪎲	U+2A3B2 (U+2A3B2)	f0aa8eb2
𪎳	U+2A3B3 (U+2A3B3)	f0aa8eb3
𪎴	U+2A3B4 (U+2A3B4)	f0aa8eb4
𪎵	U+2A3B5 (U+2A3B5)	f0aa8eb5
𪎶	U+2A3B6 (U+2A3B6)	f0aa8eb6
𪎷	U+2A3B7 (U+2A3B7)	f0aa8eb7
𪎸	U+2A3B8 (U+2A3B8)	f0aa8eb8
𪎹	U+2A3B9 (U+2A3B9)	f0aa8eb9
𪎺	U+2A3BA (U+2A3BA)	f0aa8eba
𪎻	U+2A3BB (U+2A3BB)	f0aa8ebb
𪎼	U+2A3BC (U+2A3BC)	f0aa8ebc
𪎽	U+2A3BD (U+2A3BD)	f0aa8ebd
𪎾	U+2A3BE (U+2A3BE)	f0aa8ebe
𪎿	U+2A3BF (U+2A3BF)	f0aa8ebf
𪏀	U+2A3C0 (U+2A3C0)	f0aa8f80
𪏁	U+2A3C1 (U+2A3C1)	f0aa8f81
𪏂	U+2A3C2 (U+2A3C2)	f0aa8f82
𪏃	U+2A3C3 (U+2A3C3)	f0aa8f83
𪏄	U+2A3C4 (U+2A3C4)	f0aa8f84
𪏅	U+2A3C5 (U+2A3C5)	f0aa8f85
𪏆	U+2A3C6 (U+2A3C6)	f0aa8f86
𪏇	U+2A3C7 (U+2A3C7)	f0aa8f87
𪏈	U+2A3C8 (U+2A3C8)	f0aa8f88
𪏉	U+2A3C9 (U+2A3C9)	f0aa8f89
𪏊	U+2A3CA (U+2A3CA)	f0aa8f8a
𪏋	U+2A3CB (U+2A3CB)	f0aa8f8b
𪏌	U+2A3CC (U+2A3CC)	f0aa8f8c
𪏍	U+2A3CD (U+2A3CD)	f0aa8f8d
𪏎	U+2A3CE (U+2A3CE)	f0aa8f8e
𪏏	U+2A3CF (U+2A3CF)	f0aa8f8f
𪏐	U+2A3D0 (U+2A3D0)	f0aa8f90
𪏑	U+2A3D1 (U+2A3D1)	f0aa8f91
𪏒	U+2A3D2 (U+2A3D2)	f0aa8f92
𪏓	U+2A3D3 (U+2A3D3)	f0aa8f93
𪏔	U+2A3D4 (U+2A3D4)	f0aa8f94
𪏕	U+2A3D5 (U+2A3D5)	f0aa8f95
𪏖	U+2A3D6 (U+2A3D6)	f0aa8f96
𪏗	U+2A3D7 (U+2A3D7)	f0aa8f97
𪏘	U+2A3D8 (U+2A3D8)	f0aa8f98
𪏙	a yolk (U+2A3D9)	f0aa8f99
𪏚	U+2A3DA (U+2A3DA)	f0aa8f9a
𪏛	U+2A3DB (U+2A3DB)	f0aa8f9b
𪏜	U+2A3DC (U+2A3DC)	f0aa8f9c
𪏝	U+2A3DD (U+2A3DD)	f0aa8f9d
𪏞	U+2A3DE (U+2A3DE)	f0aa8f9e
𪏟	U+2A3DF (U+2A3DF)	f0aa8f9f
𪏠	U+2A3E0 (U+2A3E0)	f0aa8fa0
𪏡	U+2A3E1 (U+2A3E1)	f0aa8fa1
𪏢	U+2A3E2 (U+2A3E2)	f0aa8fa2
𪏣	U+2A3E3 (U+2A3E3)	f0aa8fa3
𪏤	U+2A3E4 (U+2A3E4)	f0aa8fa4
𪏥	U+2A3E5 (U+2A3E5)	f0aa8fa5
𪏦	U+2A3E6 (U+2A3E6)	f0aa8fa6
𪏧	U+2A3E7 (U+2A3E7)	f0aa8fa7
𪏨	U+2A3E8 (U+2A3E8)	f0aa8fa8
𪏩	U+2A3E9 (U+2A3E9)	f0aa8fa9
𪏪	U+2A3EA (U+2A3EA)	f0aa8faa
𪏫	U+2A3EB (U+2A3EB)	f0aa8fab
𪏬	U+2A3EC (U+2A3EC)	f0aa8fac
𪏭	U+2A3ED (U+2A3ED)	f0aa8fad
𪏮	U+2A3EE (U+2A3EE)	f0aa8fae
𪏯	U+2A3EF (U+2A3EF)	f0aa8faf
𪏰	U+2A3F0 (U+2A3F0)	f0aa8fb0
𪏱	U+2A3F1 (U+2A3F1)	f0aa8fb1
𪏲	U+2A3F2 (U+2A3F2)	f0aa8fb2
𪏳	U+2A3F3 (U+2A3F3)	f0aa8fb3
𪏴	U+2A3F4 (U+2A3F4)	f0aa8fb4
𪏵	U+2A3F5 (U+2A3F5)	f0aa8fb5
𪏶	U+2A3F6 (U+2A3F6)	f0aa8fb6
𪏷	U+2A3F7 (U+2A3F7)	f0aa8fb7
𪏸	U+2A3F8 (U+2A3F8)	f0aa8fb8
𪏹	U+2A3F9 (U+2A3F9)	f0aa8fb9
𪏺	U+2A3FA (U+2A3FA)	f0aa8fba
𪏻	U+2A3FB (U+2A3FB)	f0aa8fbb
𪏼	U+2A3FC (U+2A3FC)	f0aa8fbc
𪏽	U+2A3FD (U+2A3FD)	f0aa8fbd
𪏾	U+2A3FE (U+2A3FE)	f0aa8fbe
𪏿	U+2A3FF (U+2A3FF)	f0aa8fbf
𪐀	(Cant.) relationship; together (U+2A400)	f0aa9080
𪐁	U+2A401 (U+2A401)	f0aa9081
𪐂	U+2A402 (U+2A402)	f0aa9082
𪐃	U+2A403 (U+2A403)	f0aa9083
𪐄	U+2A404 (U+2A404)	f0aa9084
𪐅	U+2A405 (U+2A405)	f0aa9085
𪐆	U+2A406 (U+2A406)	f0aa9086
𪐇	U+2A407 (U+2A407)	f0aa9087
𪐈	U+2A408 (U+2A408)	f0aa9088
𪐉	U+2A409 (U+2A409)	f0aa9089
𪐊	U+2A40A (U+2A40A)	f0aa908a
𪐋	U+2A40B (U+2A40B)	f0aa908b
𪐌	U+2A40C (U+2A40C)	f0aa908c
𪐍	U+2A40D (U+2A40D)	f0aa908d
𪐎	U+2A40E (U+2A40E)	f0aa908e
𪐏	U+2A40F (U+2A40F)	f0aa908f
𪐐	U+2A410 (U+2A410)	f0aa9090
𪐑	U+2A411 (U+2A411)	f0aa9091
𪐒	U+2A412 (U+2A412)	f0aa9092
𪐓	U+2A413 (U+2A413)	f0aa9093
