𪞘	U+2A798 (U+2A798)	f0aa9e98
𪞙	U+2A799 (U+2A799)	f0aa9e99
𪞚	U+2A79A (U+2A79A)	f0aa9e9a
𪞛	U+2A79B (U+2A79B)	f0aa9e9b
𪞜	U+2A79C (U+2A79C)	f0aa9e9c
𪞝	an icicle (U+2A79D)	f0aa9e9d
𪞞	U+2A79E (U+2A79E)	f0aa9e9e
𪞟	U+2A79F (U+2A79F)	f0aa9e9f
𪞠	U+2A7A0 (U+2A7A0)	f0aa9ea0
𪞡	U+2A7A1 (U+2A7A1)	f0aa9ea1
𪞢	U+2A7A2 (U+2A7A2)	f0aa9ea2
𪞣	U+2A7A3 (U+2A7A3)	f0aa9ea3
𪞤	U+2A7A4 (U+2A7A4)	f0aa9ea4
𪞥	U+2A7A5 (U+2A7A5)	f0aa9ea5
𪞦	U+2A7A6 (U+2A7A6)	f0aa9ea6
𪞧	U+2A7A7 (U+2A7A7)	f0aa9ea7
𪞨	U+2A7A8 (U+2A7A8)	f0aa9ea8
𪞩	U+2A7A9 (U+2A7A9)	f0aa9ea9
𪞪	U+2A7AA (U+2A7AA)	f0aa9eaa
𪞫	U+2A7AB (U+2A7AB)	f0aa9eab
𪞬	U+2A7AC (U+2A7AC)	f0aa9eac
𪞭	U+2A7AD (U+2A7AD)	f0aa9ead
𪞮	U+2A7AE (U+2A7AE)	f0aa9eae
𪞯	U+2A7AF (U+2A7AF)	f0aa9eaf
𪞰	U+2A7B0 (U+2A7B0)	f0aa9eb0
𪞱	U+2A7B1 (U+2A7B1)	f0aa9eb1
𪞲	U+2A7B2 (U+2A7B2)	f0aa9eb2
𪞳	U+2A7B3 (U+2A7B3)	f0aa9eb3
𪞴	U+2A7B4 (U+2A7B4)	f0aa9eb4
𪞵	U+2A7B5 (U+2A7B5)	f0aa9eb5
𪞶	U+2A7B6 (U+2A7B6)	f0aa9eb6
𪞷	U+2A7B7 (U+2A7B7)	f0aa9eb7
𪞸	U+2A7B8 (U+2A7B8)	f0aa9eb8
𪞹	U+2A7B9 (U+2A7B9)	f0aa9eb9
𪞺	U+2A7BA (U+2A7BA)	f0aa9eba
𪞻	U+2A7BB (U+2A7BB)	f0aa9ebb
𪞼	U+2A7BC (U+2A7BC)	f0aa9ebc
𪞽	U+2A7BD (U+2A7BD)	f0aa9ebd
𪞾	U+2A7BE (U+2A7BE)	f0aa9ebe
𪞿	U+2A7BF (U+2A7BF)	f0aa9ebf
𪟀	U+2A7C0 (U+2A7C0)	f0aa9f80
𪟁	U+2A7C1 (U+2A7C1)	f0aa9f81
𪟂	U+2A7C2 (U+2A7C2)	f0aa9f82
𪟃	U+2A7C3 (U+2A7C3)	f0aa9f83
𪟄	U+2A7C4 (U+2A7C4)	f0aa9f84
𪟅	U+2A7C5 (U+2A7C5)	f0aa9f85
𪟆	U+2A7C6 (U+2A7C6)	f0aa9f86
𪟇	U+2A7C7 (U+2A7C7)	f0aa9f87
𪟈	U+2A7C8 (U+2A7C8)	f0aa9f88
𪟉	U+2A7C9 (U+2A7C9)	f0aa9f89
𪟊	U+2A7CA (U+2A7CA)	f0aa9f8a
𪟋	U+2A7CB (U+2A7CB)	f0aa9f8b
𪟌	U+2A7CC (U+2A7CC)	f0aa9f8c
𪟍	U+2A7CD (U+2A7CD)	f0aa9f8d
𪟎	U+2A7CE (U+2A7CE)	f0aa9f8e
𪟏	U+2A7CF (U+2A7CF)	f0aa9f8f
𪟐	U+2A7D0 (U+2A7D0)	f0aa9f90
𪟑	U+2A7D1 (U+2A7D1)	f0aa9f91
𪟒	U+2A7D2 (U+2A7D2)	f0aa9f92
𪟓	U+2A7D3 (U+2A7D3)	f0aa9f93
𪟔	U+2A7D4 (U+2A7D4)	f0aa9f94
𪟕	U+2A7D5 (U+2A7D5)	f0aa9f95
𪟖	U+2A7D6 (U+2A7D6)	f0aa9f96
